,Stn,Datum,Tijd,P,qP,T,qT
0,81,19350101,7.45,743,0,25,0
1,81,19350101,13.45,742,0,26,0
2,81,19350101,19.45,743,0,28,0
3,81,19350102,7.45,743,0,26,0
4,81,19350102,13.45,743,0,27,0
5,81,19350102,19.45,743,0,27,0
6,81,19350103,7.45,743,0,25,0
7,81,19350103,13.45,743,0,26,0
8,81,19350103,19.45,744,0,27,0
9,81,19350104,7.45,744,0,24,0
10,81,19350104,13.45,743,0,29,0
11,81,19350104,19.45,744,0,27,0
12,81,19350105,7.45,745,0,25,0
13,81,19350105,13.45,744,0,27,0
14,81,19350105,19.45,744,0,27,0
15,81,19350106,7.45,743,0,24,0
16,81,19350106,13.45,741,0,27,0
17,81,19350106,19.45,742,0,26,0
18,81,19350107,7.45,741,0,24,0
19,81,19350107,13.45,740,0,29,0
20,81,19350107,19.45,741,0,27,0
21,81,19350108,7.45,741,0,23,0
22,81,19350108,13.45,740,0,27,0
23,81,19350108,19.45,740,0,27,0
24,81,19350109,7.45,741,0,25,0
25,81,19350109,13.45,740,0,27,0
26,81,19350109,19.45,740,0,27,0
27,81,19350110,7.45,741,0,24,0
28,81,19350110,13.45,740,0,29,0
29,81,19350110,19.45,740,0,28,0
30,81,19350111,7.45,741,0,25,0
31,81,19350111,13.45,740,0,27,0
32,81,19350111,19.45,741,0,27,0
33,81,19350112,7.45,742,0,25,0
34,81,19350112,13.45,741,0,29,0
35,81,19350112,19.45,742,0,26,0
36,81,19350113,7.45,742,0,26,0
37,81,19350113,13.45,741,0,29,0
38,81,19350113,19.45,742,0,27,0
39,81,19350114,7.45,742,0,25,0
40,81,19350114,13.45,741,0,29,0
41,81,19350114,19.45,742,0,27,0
42,81,19350115,7.45,743,0,24,0
43,81,19350115,13.45,742,0,26,0
44,81,19350115,19.45,744,0,29,0
45,81,19350116,7.45,744,0,26,0
46,81,19350116,13.45,743,0,29,0
47,81,19350116,19.45,745,0,26,0
48,81,19350117,7.45,745,0,26,0
49,81,19350117,13.45,744,0,28,0
50,81,19350117,19.45,745,0,27,0
51,81,19350118,7.45,744,0,25,0
52,81,19350118,13.45,743,0,28,0
53,81,19350118,19.45,744,0,27,0
54,81,19350119,7.45,744,0,25,0
55,81,19350119,13.45,743,0,27,0
56,81,19350119,19.45,744,0,26,0
57,81,19350120,7.45,744,0,25,0
58,81,19350120,13.45,743,0,27,0
59,81,19350120,19.45,743,0,25,0
