,Stn,Datum,Tijd,P,qP,T,qT
0,81,19360101,7.45,746,0,25,0
1,81,19360101,13.45,745,0,28,0
2,81,19360101,19.45,745,0,27,0
3,81,19360102,7.45,745,0,25,0
4,81,19360102,13.45,743,0,29,0
5,81,19360102,19.45,744,0,26,0
6,81,19360103,7.45,743,0,24,0
7,81,19360103,13.45,744,0,29,0
8,81,19360103,19.45,744,0,26,0
9,81,19360104,7.45,745,0,24,0
10,81,19360104,13.45,744,0,28,0
11,81,19360104,19.45,744,0,25,0
12,81,19360105,7.45,745,0,23,0
13,81,19360105,13.45,745,0,28,0
14,81,19360105,19.45,745,0,25,0
15,81,19360106,7.45,745,0,24,0
16,81,19360106,13.45,745,0,27,0
17,81,19360106,19.45,745,0,25,0
18,81,19360107,7.45,745,0,24,0
19,81,19360107,13.45,745,0,26,0
20,81,19360107,19.45,745,0,25,0
21,81,19360108,7.45,744,0,25,0
22,81,19360108,13.45,744,0,28,0
23,81,19360108,19.45,744,0,25,0
24,81,19360109,7.45,744,0,25,0
25,81,19360109,13.45,744,0,28,0
26,81,19360109,19.45,744,0,25,0
27,81,19360110,7.45,744,0,23,0
28,81,19360110,13.45,744,0,26,0
29,81,19360110,19.45,744,0,24,0
30,81,19360111,7.45,745,0,25,0
31,81,19360111,13.45,745,0,27,0
32,81,19360111,19.45,745,0,25,0
33,81,19360112,7.45,745,0,24,0
34,81,19360112,13.45,745,0,29,0
35,81,19360112,19.45,745,0,26,0
36,81,19360113,7.45,745,0,24,0
37,81,19360113,13.45,745,0,29,0
38,81,19360113,19.45,745,0,25,0
39,81,19360114,7.45,744,0,24,0
40,81,19360114,13.45,745,0,30,0
41,81,19360114,19.45,744,0,24,0
42,81,19360115,7.45,744,0,23,0
43,81,19360115,13.45,745,0,25,0
44,81,19360115,19.45,744,0,24,0
45,81,19360116,7.45,744,0,23,0
46,81,19360116,13.45,745,0,25,0
47,81,19360116,19.45,745,0,23,0
48,81,19360117,7.45,745,0,21,0
