,Stn,Datum,Niveau,Rd,qRd
0,81,19400101,1,10,0
1,81,19400102,1,0,0
2,81,19400103,1,0,0
3,81,19400104,1,0,0
4,81,19400105,1,0,0
5,81,19400106,1,0,0
6,81,19400107,1,0,0
7,81,19400108,1,6,0
8,81,19400109,1,0,0
9,81,19400110,1,8,0
10,81,19400111,1,0,0
11,81,19400112,1,0,0
12,81,19400113,1,0,0
13,81,19400114,1,0,0
14,81,19400115,1,135,0
15,81,19400116,1,0,0
16,81,19400117,1,0,0
17,81,19400118,1,0,0
18,81,19400119,1,0,0
19,81,19400120,1,0,0
20,81,19400121,1,8,0
21,81,19400122,1,0,0
22,81,19400123,1,61,0
23,81,19400124,1,50,0
24,81,19400125,1,75,0
25,81,19400126,1,95,0
26,81,19400127,1,0,0
27,81,19400128,1,0,0
28,81,19400129,1,0,0
29,81,19400130,1,0,0
30,81,19400131,1,0,0
31,81,19400201,1,0,0
32,81,19400202,1,4,0
33,81,19400203,1,0,0
34,81,19400204,1,90,0
35,81,19400205,1,0,0
36,81,19400206,1,0,0
37,81,19400207,1,28,0
38,81,19400208,1,0,0
39,81,19400209,1,0,0
40,81,19400210,1,62,0
41,81,19400211,1,0,0
42,81,19400212,1,145,0
43,81,19400213,1,43,0
44,81,19400214,1,0,0
45,81,19400215,1,0,0
46,81,19400216,1,0,0
47,81,19400217,1,0,0
48,81,19400218,1,125,0
49,81,19400219,1,0,0
50,81,19400220,1,0,0
51,81,19400221,1,0,0
52,81,19400222,1,0,0
53,81,19400223,1,0,0
54,81,19400224,1,0,0
55,81,19400225,1,0,0
56,81,19400226,1,0,0
57,81,19400227,1,21,0
58,81,19400228,1,35,0
59,81,19400229,1,142,0
60,81,19400301,1,32,0
61,81,19400302,1,0,0
62,81,19400303,1,0,0
63,81,19400304,1,8,0
64,81,19400305,1,0,0
65,81,19400306,1,0,0
66,81,19400307,1,0,0
67,81,19400308,1,0,0
68,81,19400309,1,0,0
69,81,19400310,1,23,0
70,81,19400311,1,288,0
71,81,19400312,1,68,0
72,81,19400313,1,0,0
73,81,19400314,1,0,0
74,81,19400315,1,0,0
75,81,19400316,1,0,0
76,81,19400317,1,0,0
77,81,19400318,1,0,0
78,81,19400319,1,0,0
79,81,19400320,1,0,0
80,81,19400321,1,0,0
81,81,19400322,1,0,0
82,81,19400323,1,0,0
83,81,19400324,1,32,0
84,81,19400325,1,0,0
85,81,19400326,1,70,0
86,81,19400327,1,9,0
87,81,19400328,1,0,0
88,81,19400329,1,0,0
89,81,19400330,1,26,0
90,81,19400331,1,0,0
91,81,19400401,1,0,0
92,81,19400402,1,0,0
93,81,19400403,1,0,0
94,81,19400404,1,0,0
95,81,19400405,1,0,0
96,81,19400406,1,0,0
97,81,19400407,1,15,0
98,81,19400408,1,14,0
99,81,19400409,1,0,0
100,81,19400410,1,20,0
101,81,19400411,1,8,0
102,81,19400412,1,0,0
103,81,19400413,1,0,0
104,81,19400414,1,0,0
105,81,19400415,1,0,0
106,81,19400416,1,88,0
107,81,19400417,1,3,0
108,81,19400418,1,71,0
109,81,19400419,1,0,0
110,81,19400420,1,0,0
111,81,19400421,1,0,0
112,81,19400422,1,55,0
113,81,19400423,1,0,0
114,81,19400424,1,0,0
115,81,19400425,1,0,0
116,81,19400426,1,0,0
117,81,19400427,1,0,0
118,81,19400428,1,0,0
