,Stn,Datum,Tijd,P,qP,Tn,qTn,Tx,qTx
552,81,19200703,8.0,749.5,0,—,7,—,7
553,81,19200703,14.0,749,0,—,7,—,7
554,81,19200703,24.0,—,7,26.5,0,28,0
555,81,19200704,8.0,750,0,—,7,—,7
556,81,19200704,14.0,749.6,0,—,7,—,7
557,81,19200704,24.0,—,7,26,0,28,0
558,81,19200705,8.0,750,0,—,7,—,7
559,81,19200705,14.0,749.7,0,—,7,—,7
560,81,19200705,24.0,—,7,25.5,0,28,0
561,81,19200706,8.0,749.5,0,—,7,—,7
562,81,19200706,14.0,749,0,—,7,—,7
563,81,19200706,24.0,—,7,25,0,26,0
564,81,19200707,8.0,749.5,0,—,7,—,7
565,81,19200707,14.0,749,0,—,7,—,7
566,81,19200707,24.0,—,7,26,0,28,0
567,81,19200708,8.0,749,0,—,7,—,7
568,81,19200708,14.0,748.5,0,—,7,—,7
569,81,19200708,24.0,—,7,25,0,27,0
570,81,19200709,8.0,749.5,0,—,7,—,7
571,81,19200709,14.0,749,0,—,7,—,7
572,81,19200709,24.0,—,7,26,0,28.8,0
573,81,19200710,8.0,749,0,—,7,—,7
574,81,19200710,14.0,748.6,0,—,7,—,7
575,81,19200710,24.0,—,7,25.8,0,28,0
576,81,19200711,8.0,749,0,—,7,—,7
577,81,19200711,14.0,748,0,—,7,—,7
578,81,19200711,24.0,—,7,25,0,28,0
579,81,19200712,8.0,750.7,0,—,7,—,7
580,81,19200712,14.0,750,0,—,7,—,7
581,81,19200712,24.0,—,7,26,0,29,0
582,81,19200713,8.0,749.6,0,—,7,—,7
583,81,19200713,14.0,749,0,—,7,—,7
584,81,19200713,24.0,—,7,26,0,28,0
585,81,19200714,8.0,749,0,—,7,—,7
586,81,19200714,14.0,748.5,0,—,7,—,7
587,81,19200714,24.0,—,7,25,0,28,0
588,81,19200715,8.0,750.3,0,—,7,—,7
589,81,19200715,14.0,750,0,—,7,—,7
590,81,19200715,24.0,—,7,26,0,28.8,0
591,81,19200716,8.0,750,0,—,7,—,7
592,81,19200716,14.0,749.5,0,—,7,—,7
593,81,19200716,24.0,—,7,26,0,28.3,0
594,81,19200717,8.0,750,0,—,7,—,7
595,81,19200717,14.0,749.7,0,—,7,—,7
596,81,19200717,24.0,—,7,26,0,29,0
597,81,19200718,8.0,750,0,—,7,—,7
598,81,19200718,14.0,749.6,0,—,7,—,7
599,81,19200718,24.0,—,7,25,0,28,0
600,81,19200719,8.0,750,0,—,7,—,7
601,81,19200719,14.0,749.7,0,—,7,—,7
602,81,19200719,24.0,—,7,25,0,28.5,0
603,81,19200720,8.0,750.3,0,—,7,—,7
604,81,19200720,14.0,750,0,—,7,—,7
605,81,19200720,24.0,—,7,26,0,28,0
606,81,19200721,8.0,751,0,—,7,—,7
607,81,19200721,14.0,750.7,0,—,7,—,7
608,81,19200721,24.0,—,7,25,0,28.3,0
609,81,19200722,8.0,750.7,0,—,7,—,7
610,81,19200722,14.0,750,0,—,7,—,7
611,81,19200722,24.0,—,7,26,0,28.5,0
612,81,19200723,8.0,751,0,—,7,—,7
613,81,19200723,14.0,750.5,0,—,7,—,7
614,81,19200723,24.0,—,7,27,0,29.5,0
615,81,19200724,8.0,750.5,0,—,7,—,7
616,81,19200724,14.0,750,0,—,7,—,7
617,81,19200724,24.0,—,7,26,0,29,0
618,81,19200725,8.0,750,0,—,7,—,7
619,81,19200725,14.0,749.5,0,—,7,—,7
620,81,19200725,24.0,—,7,27,0,30,0
621,81,19200726,8.0,749,0,—,7,—,7
622,81,19200726,14.0,748.5,0,—,7,—,7
623,81,19200726,24.0,—,7,27,0,30,0
624,81,19200727,8.0,749,0,—,7,—,7
625,81,19200727,14.0,748.5,0,—,7,—,7
626,81,19200727,24.0,—,7,27,0,29,0
627,81,19200728,8.0,750,0,—,7,—,7
628,81,19200728,14.0,749.5,0,—,7,—,7
629,81,19200728,24.0,—,7,26,0,29,0
630,81,19200729,8.0,750,0,—,7,—,7
631,81,19200729,14.0,749.5,0,—,7,—,7
632,81,19200729,24.0,—,7,26,0,29,0
633,81,19200730,8.0,750,0,—,7,—,7
634,81,19200730,14.0,749.7,0,—,7,—,7
635,81,19200730,24.0,—,7,27,0,29,0
636,81,19200731,8.0,749,0,—,7,—,7
637,81,19200731,14.0,748.5,0,—,7,—,7
638,81,19200731,24.0,—,7,27,0,29.3,0
639,81,19200801,8.0,749,0,—,7,—,7
640,81,19200801,14.0,748.7,0,—,7,—,7
641,81,19200801,24.0,—,7,27,0,30,0
642,81,19200802,8.0,749.6,0,—,7,—,7
643,81,19200802,14.0,749,0,—,7,—,7
644,81,19200802,24.0,—,7,27,0,30,0
645,81,19200803,8.0,749.5,0,—,7,—,7
646,81,19200803,14.0,749,0,—,7,—,7
647,81,19200803,24.0,—,7,26,0,29,0
648,81,19200804,8.0,749,0,—,7,—,7
649,81,19200804,14.0,748.5,0,—,7,—,7
650,81,19200804,24.0,—,7,26,0,28.5,0
651,81,19200805,8.0,749,0,—,7,—,7
652,81,19200805,14.0,748.5,0,—,7,—,7
653,81,19200805,24.0,—,7,26,0,29,0
654,81,19200806,8.0,748.5,0,—,7,—,7
655,81,19200806,14.0,748,0,—,7,—,7
656,81,19200806,24.0,—,7,28,0,28.8,0
657,81,19200807,8.0,748.2,0,—,7,—,7
658,81,19200807,14.0,748,0,—,7,—,7
659,81,19200807,24.0,—,7,27.5,0,28.5,0
660,81,19200808,8.0,748.3,0,—,7,—,7
661,81,19200808,14.0,748,0,—,7,—,7
662,81,19200808,24.0,—,7,26.5,0,28.3,0
663,81,19200809,8.0,748.5,0,—,7,—,7
664,81,19200809,14.0,748.3,0,—,7,—,7
665,81,19200809,24.0,—,7,26,0,28,0
666,81,19200810,8.0,748.3,0,—,7,—,7
667,81,19200810,14.0,748,0,—,7,—,7
668,81,19200810,24.0,—,7,26.5,0,29,0
669,81,19200811,8.0,747.6,0,—,7,—,7
670,81,19200811,14.0,747,0,—,7,—,7
671,81,19200811,24.0,—,7,28,0,30,0
672,81,19200812,8.0,746.4,0,—,7,—,7
673,81,19200812,14.0,746,0,—,7,—,7
674,81,19200812,24.0,—,7,28,0,29,0
675,81,19200813,8.0,749.6,0,—,7,—,7
676,81,19200813,14.0,748,0,—,7,—,7
677,81,19200813,24.0,—,7,27,0,30,0
678,81,19200814,8.0,748.5,0,—,7,—,7
679,81,19200814,14.0,748,0,—,7,—,7
680,81,19200814,24.0,—,7,27,0,30,0
681,81,19200815,8.0,748,0,—,7,—,7
682,81,19200815,14.0,747.5,0,—,7,—,7
683,81,19200815,24.0,—,7,27,0,30,0
684,81,19200816,8.0,747.5,0,—,7,—,7
685,81,19200816,14.0,747,0,—,7,—,7
686,81,19200816,24.0,—,7,27,0,29,0
687,81,19200817,8.0,749.6,0,—,7,—,7
688,81,19200817,14.0,748,0,—,7,—,7
689,81,19200817,24.0,—,7,28,0,30.3,0
690,81,19200818,8.0,749.2,0,—,7,—,7
691,81,19200818,14.0,748,0,—,7,—,7
692,81,19200818,24.0,—,7,29,0,30.3,0
693,81,19200819,8.0,750,0,—,7,—,7
694,81,19200819,14.0,749.6,0,—,7,—,7
695,81,19200819,24.0,—,7,29,0,31,0
696,81,19200820,8.0,749.6,0,—,7,—,7
697,81,19200820,14.0,748,0,—,7,—,7
698,81,19200820,24.0,—,7,28,0,29.3,0
699,81,19200821,8.0,747.2,0,—,7,—,7
700,81,19200821,14.0,747,0,—,7,—,7
701,81,19200821,24.0,—,7,27,0,29,0
702,81,19200822,8.0,746.8,0,—,7,—,7
703,81,19200822,14.0,746.5,0,—,7,—,7
704,81,19200822,24.0,—,7,27,0,28,0
705,81,19200823,8.0,749.2,0,—,7,—,7
706,81,19200823,14.0,748.9,0,—,7,—,7
707,81,19200823,24.0,—,7,28,0,30,0
708,81,19200824,8.0,750,0,—,7,—,7
709,81,19200824,14.0,749.5,0,—,7,—,7
710,81,19200824,24.0,—,7,28,0,30,0
711,81,19200825,8.0,750.6,0,—,7,—,7
712,81,19200825,14.0,749,0,—,7,—,7
713,81,19200825,24.0,—,7,28.5,0,30.3,0
714,81,19200826,8.0,749,0,—,7,—,7
715,81,19200826,14.0,748.7,0,—,7,—,7
716,81,19200826,24.0,—,7,27,0,29.3,0
717,81,19200827,8.0,749,0,—,7,—,7
718,81,19200827,14.0,748.5,0,—,7,—,7
719,81,19200827,24.0,—,7,26,0,28.5,0
720,81,19200828,8.0,749,0,—,7,—,7
721,81,19200828,14.0,748,0,—,7,—,7
722,81,19200828,24.0,—,7,26,0,30,0
723,81,19200829,8.0,748,0,—,7,—,7
724,81,19200829,14.0,747,0,—,7,—,7
725,81,19200829,24.0,—,7,26,0,28,0
726,81,19200830,8.0,748.1,0,—,7,—,7
727,81,19200830,14.0,747.6,0,—,7,—,7
728,81,19200830,24.0,—,7,27,0,30,0
729,81,19200831,8.0,748.3,0,—,7,—,7
730,81,19200831,14.0,747.5,0,—,7,—,7
731,81,19200831,24.0,—,7,27,0,29,0
732,81,19200901,8.0,748.8,0,—,7,—,7
733,81,19200901,14.0,747.2,0,—,7,—,7
734,81,19200901,24.0,—,7,27,0,29.3,0
735,81,19200902,8.0,748.6,0,—,7,—,7
736,81,19200902,14.0,748,0,—,7,—,7
737,81,19200902,24.0,—,7,28,0,30,0
738,81,19200903,8.0,748,0,—,7,—,7
739,81,19200903,14.0,747.5,0,—,7,—,7
740,81,19200903,24.0,—,7,27.3,0,29.3,0
741,81,19200904,8.0,747.7,0,—,7,—,7
742,81,19200904,14.0,747.5,0,—,7,—,7
743,81,19200904,24.0,—,7,27.5,0,30.3,0
744,81,19200905,8.0,748,0,—,7,—,7
745,81,19200905,14.0,747.3,0,—,7,—,7
746,81,19200905,24.0,—,7,27,0,30,0
747,81,19200906,8.0,748.2,0,—,7,—,7
748,81,19200906,14.0,747.7,0,—,7,—,7
749,81,19200906,24.0,—,7,27,0,29.3,0
750,81,19200907,8.0,749,0,—,7,—,7
751,81,19200907,14.0,747.6,0,—,7,—,7
752,81,19200907,24.0,—,7,26,0,27,0
753,81,19200908,8.0,747.5,0,—,7,—,7
754,81,19200908,14.0,747.2,0,—,7,—,7
755,81,19200908,24.0,—,7,26,0,28,0
756,81,19200909,8.0,747.6,0,—,7,—,7
757,81,19200909,14.0,747.3,0,—,7,—,7
758,81,19200909,24.0,—,7,26,0,28,0
759,81,19200910,8.0,749.2,0,—,7,—,7
760,81,19200910,14.0,748.3,0,—,7,—,7
761,81,19200910,24.0,—,7,27.8,0,29.5,0
762,81,19200911,8.0,749,0,—,7,—,7
763,81,19200911,14.0,748.5,0,—,7,—,7
764,81,19200911,24.0,—,7,28,0,30,0
765,81,19200912,8.0,748,0,—,7,—,7
766,81,19200912,14.0,747.7,0,—,7,—,7
767,81,19200912,24.0,—,7,28.3,0,30,0
768,81,19200913,8.0,748.2,0,—,7,—,7
769,81,19200913,14.0,746.58,0,—,7,—,7
770,81,19200913,24.0,—,7,27,0,28.3,0
771,81,19200914,8.0,748.1,0,—,7,—,7
772,81,19200914,14.0,747.7,0,—,7,—,7
773,81,19200914,24.0,—,7,27,0,29.5,0
774,81,19200915,8.0,747.4,0,—,7,—,7
775,81,19200915,14.0,747,0,—,7,—,7
776,81,19200915,24.0,—,7,27,0,27,0
777,81,19200916,8.0,747,0,—,7,—,7
778,81,19200916,14.0,746.2,0,—,7,—,7
779,81,19200916,24.0,—,7,27,0,30,0
780,81,19200917,8.0,747.5,0,—,7,—,7
781,81,19200917,14.0,746.8,0,—,7,—,7
782,81,19200917,24.0,—,7,28,0,29,0
783,81,19200918,8.0,748,0,—,7,—,7
784,81,19200918,14.0,747.2,0,—,7,—,7
785,81,19200918,24.0,—,7,28,0,29.8,0
786,81,19200919,8.0,747,0,—,7,—,7
787,81,19200919,14.0,746.5,0,—,7,—,7
788,81,19200919,24.0,—,7,27,0,28,0
789,81,19200920,8.0,746.7,0,—,7,—,7
790,81,19200920,14.0,746.2,0,—,7,—,7
791,81,19200920,24.0,—,7,27,0,28,0
792,81,19200921,8.0,747.41,0,—,7,—,7
793,81,19200921,14.0,746.1,0,—,7,—,7
794,81,19200921,24.0,—,7,26.8,0,28.3,0
795,81,19200922,8.0,747,0,—,7,—,7
796,81,19200922,14.0,747,0,—,7,—,7
797,81,19200922,24.0,—,7,27,0,29.5,0
798,81,19200923,8.0,747,0,—,7,—,7
799,81,19200923,14.0,745.6,0,—,7,—,7
800,81,19200923,24.0,—,7,27,0,28,0
801,81,19200924,8.0,744.8,0,—,7,—,7
802,81,19200924,14.0,745.2,0,—,7,—,7
803,81,19200924,24.0,—,7,27,0,28,0
804,81,19200925,8.0,747.2,0,—,7,—,7
805,81,19200925,14.0,746.5,0,—,7,—,7
806,81,19200925,24.0,—,7,28,0,30.5,0
807,81,19200926,8.0,747.1,0,—,7,—,7
808,81,19200926,14.0,746.6,0,—,7,—,7
809,81,19200926,24.0,—,7,28,0,30,0
810,81,19200927,8.0,747,0,—,7,—,7
811,81,19200927,14.0,746.7,0,—,7,—,7
812,81,19200927,24.0,—,7,27,0,29,0
813,81,19200928,8.0,747,0,—,7,—,7
814,81,19200928,14.0,746.5,0,—,7,—,7
815,81,19200928,24.0,—,7,28,0,30,0
816,81,19200929,8.0,747.5,0,—,7,—,7
817,81,19200929,14.0,747,0,—,7,—,7
818,81,19200929,24.0,—,7,28,0,30,0
819,81,19200930,8.0,748.5,0,—,7,—,7
820,81,19200930,14.0,748.2,0,—,7,—,7
821,81,19200930,24.0,—,7,29,0,31,0
822,81,19201001,8.0,747.2,0,—,7,—,7
823,81,19201001,14.0,747.6,0,—,7,—,7
824,81,19201001,24.0,—,7,26,0,28,0
825,81,19201002,8.0,748,0,—,7,—,7
826,81,19201002,14.0,747.7,0,—,7,—,7
827,81,19201002,24.0,—,7,27.5,0,31,0
828,81,19201003,8.0,749,0,—,7,—,7
829,81,19201003,14.0,748.5,0,—,7,—,7
830,81,19201003,24.0,—,7,28,0,31,0
831,81,19201004,8.0,749.5,0,—,7,—,7
832,81,19201004,14.0,748,0,—,7,—,7
833,81,19201004,24.0,—,7,29,0,32,0
834,81,19201005,8.0,749.7,0,—,7,—,7
835,81,19201005,14.0,748.2,0,—,7,—,7
836,81,19201005,24.0,—,7,29,0,31,0
837,81,19201006,8.0,746.8,0,—,7,—,7
838,81,19201006,14.0,746.5,0,—,7,—,7
839,81,19201006,24.0,—,7,28.3,0,30,0
840,81,19201007,8.0,746,0,—,7,—,7
841,81,19201007,14.0,746.3,0,—,7,—,7
842,81,19201007,24.0,—,7,29.3,0,31,0
843,81,19201008,8.0,746.5,0,—,7,—,7
844,81,19201008,14.0,746.3,0,—,7,—,7
845,81,19201008,24.0,—,7,28.8,0,30.8,0
846,81,19201009,8.0,748.5,0,—,7,—,7
847,81,19201009,14.0,747,0,—,7,—,7
848,81,19201009,24.0,—,7,27.5,0,30,0
849,81,19201010,8.0,748.2,0,—,7,—,7
850,81,19201010,14.0,747.6,0,—,7,—,7
851,81,19201010,24.0,—,7,28,0,30,0
852,81,19201011,8.0,748,0,—,7,—,7
853,81,19201011,14.0,747.5,0,—,7,—,7
854,81,19201011,24.0,—,7,28.5,0,31,0
855,81,19201012,8.0,747.6,0,—,7,—,7
856,81,19201012,14.0,747,0,—,7,—,7
857,81,19201012,24.0,—,7,28,0,30,0
858,81,19201013,8.0,746,0,—,7,—,7
859,81,19201013,14.0,745.9,0,—,7,—,7
860,81,19201013,24.0,—,7,27.8,0,29.5,0
861,81,19201014,8.0,746.5,0,—,7,—,7
862,81,19201014,14.0,745,0,—,7,—,7
863,81,19201014,24.0,—,7,28.3,0,30.3,0
864,81,19201015,8.0,746,0,—,7,—,7
865,81,19201015,14.0,745.6,0,—,7,—,7
866,81,19201015,24.0,—,7,28.5,0,30.5,0
867,81,19201016,8.0,747,0,—,7,—,7
868,81,19201016,14.0,746,0,—,7,—,7
869,81,19201016,24.0,—,7,27,0,28,0
870,81,19201017,8.0,746.8,0,—,7,—,7
871,81,19201017,14.0,746.3,0,—,7,—,7
872,81,19201017,24.0,—,7,28,0,30,0
873,81,19201018,8.0,746.5,0,—,7,—,7
874,81,19201018,14.0,746,0,—,7,—,7
875,81,19201018,24.0,—,7,28.3,0,31,0
876,81,19201019,8.0,746,0,—,7,—,7
877,81,19201019,14.0,745.6,0,—,7,—,7
878,81,19201019,24.0,—,7,28.3,0,30.5,0
879,81,19201020,8.0,744.5,0,—,7,—,7
880,81,19201020,14.0,745,0,—,7,—,7
881,81,19201020,24.0,—,7,27,0,28,0
882,81,19201021,8.0,746,0,—,7,—,7
883,81,19201021,14.0,745.5,0,—,7,—,7
884,81,19201021,24.0,—,7,27,0,28.5,0
885,81,19201022,8.0,745,0,—,7,—,7
886,81,19201022,14.0,744.4,0,—,7,—,7
887,81,19201022,24.0,—,7,26,0,28.5,0
888,81,19201023,8.0,745,0,—,7,—,7
889,81,19201023,14.0,743,0,—,7,—,7
890,81,19201023,24.0,—,7,27,0,28,0
891,81,19201024,8.0,745,0,—,7,—,7
892,81,19201024,14.0,744,0,—,7,—,7
893,81,19201024,24.0,—,7,27,0,28,0
894,81,19201025,8.0,745.9,0,—,7,—,7
895,81,19201025,14.0,744.7,0,—,7,—,7
896,81,19201025,24.0,—,7,27.5,0,28,0
897,81,19201026,8.0,745.5,0,—,7,—,7
898,81,19201026,14.0,745,0,—,7,—,7
899,81,19201026,24.0,—,7,27,0,28.5,0
900,81,19201027,8.0,746,0,—,7,—,7
901,81,19201027,14.0,745,0,—,7,—,7
902,81,19201027,24.0,—,7,26.5,0,27,0
903,81,19201028,8.0,746.5,0,—,7,—,7
904,81,19201028,14.0,744.5,0,—,7,—,7
905,81,19201028,24.0,—,7,26,0,27.5,0
906,81,19201029,8.0,745.2,0,—,7,—,7
907,81,19201029,14.0,744.5,0,—,7,—,7
908,81,19201029,24.0,—,7,27,0,28,0
909,81,19201030,8.0,746.5,0,—,7,—,7
910,81,19201030,14.0,746,0,—,7,—,7
911,81,19201030,24.0,—,7,27,0,29,0
912,81,19201031,8.0,746,0,—,7,—,7
913,81,19201031,14.0,745.5,0,—,7,—,7
914,81,19201031,24.0,—,7,24,0,24.5,0
915,81,19201101,8.0,746,0,—,7,—,7
916,81,19201101,14.0,744.5,0,—,7,—,7
917,81,19201101,24.0,—,7,24.5,0,27,0
918,81,19201102,8.0,746,0,—,7,—,7
919,81,19201102,14.0,745.5,0,—,7,—,7
920,81,19201102,24.0,—,7,26,0,28.8,0
921,81,19201103,8.0,745,0,—,7,—,7
922,81,19201103,14.0,744.2,0,—,7,—,7
923,81,19201103,24.0,—,7,23,0,24.5,0
924,81,19201104,8.0,746,0,—,7,—,7
925,81,19201104,14.0,745.4,0,—,7,—,7
926,81,19201104,24.0,—,7,25,0,28,0
927,81,19201105,8.0,747,0,—,7,—,7
928,81,19201105,14.0,746.5,0,—,7,—,7
929,81,19201105,24.0,—,7,26,0,28,0
930,81,19201106,8.0,747.5,0,—,7,—,7
931,81,19201106,14.0,746.5,0,—,7,—,7
932,81,19201106,24.0,—,7,26,0,29,0
933,81,19201107,8.0,747.5,0,—,7,—,7
934,81,19201107,14.0,746,0,—,7,—,7
935,81,19201107,24.0,—,7,26.5,0,29.8,0
936,81,19201108,8.0,747,0,—,7,—,7
937,81,19201108,14.0,746.5,0,—,7,—,7
938,81,19201108,24.0,—,7,26,0,29,0
939,81,19201109,8.0,748,0,—,7,—,7
940,81,19201109,14.0,747.5,0,—,7,—,7
941,81,19201109,24.0,—,7,26,0,29,0
942,81,19201110,8.0,747.5,0,—,7,—,7
943,81,19201110,14.0,747,0,—,7,—,7
944,81,19201110,24.0,—,7,26.3,0,28.8,0
945,81,19201111,8.0,747,0,—,7,—,7
946,81,19201111,14.0,746.5,0,—,7,—,7
947,81,19201111,24.0,—,7,27,0,29,0
948,81,19201112,8.0,747.6,0,—,7,—,7
949,81,19201112,14.0,746,0,—,7,—,7
950,81,19201112,24.0,—,7,26.5,0,29.5,0
951,81,19201113,8.0,747.5,0,—,7,—,7
952,81,19201113,14.0,746.6,0,—,7,—,7
953,81,19201113,24.0,—,7,26,0,29.5,0
954,81,19201114,8.0,747.2,0,—,7,—,7
955,81,19201114,14.0,746.8,0,—,7,—,7
956,81,19201114,24.0,—,7,26,0,29,0
957,81,19201115,8.0,747,0,—,7,—,7
958,81,19201115,14.0,746.5,0,—,7,—,7
959,81,19201115,24.0,—,7,26,0,26.8,0
960,81,19201116,8.0,747.1,0,—,7,—,7
961,81,19201116,14.0,746.4,0,—,7,—,7
962,81,19201116,24.0,—,7,27,0,29.8,0
963,81,19201117,8.0,747,0,—,7,—,7
964,81,19201117,14.0,746.5,0,—,7,—,7
965,81,19201117,24.0,—,7,27,0,28.5,0
966,81,19201118,8.0,746.9,0,—,7,—,7
967,81,19201118,14.0,746.5,0,—,7,—,7
968,81,19201118,24.0,—,7,25.5,0,27,0
969,81,19201119,8.0,746.6,0,—,7,—,7
970,81,19201119,14.0,746,0,—,7,—,7
971,81,19201119,24.0,—,7,25.3,0,26.5,0
972,81,19201120,8.0,747,0,—,7,—,7
973,81,19201120,14.0,746,0,—,7,—,7
974,81,19201120,24.0,—,7,25,0,28.8,0
975,81,19201121,8.0,748.5,0,—,7,—,7
976,81,19201121,14.0,747,0,—,7,—,7
977,81,19201121,24.0,—,7,27,0,29,0
978,81,19201122,8.0,748.6,0,—,7,—,7
979,81,19201122,14.0,747,0,—,7,—,7
980,81,19201122,24.0,—,7,27,0,29,0
981,81,19201123,8.0,748.4,0,—,7,—,7
982,81,19201123,14.0,747.2,0,—,7,—,7
983,81,19201123,24.0,—,7,26,0,28.5,0
984,81,19201124,8.0,748.5,0,—,7,—,7
985,81,19201124,14.0,747,0,—,7,—,7
986,81,19201124,24.0,—,7,27,0,29,0
987,81,19201125,8.0,748.9,0,—,7,—,7
988,81,19201125,14.0,747.5,0,—,7,—,7
989,81,19201125,24.0,—,7,27,0,29.3,0
990,81,19201126,8.0,748.3,0,—,7,—,7
991,81,19201126,14.0,747.7,0,—,7,—,7
992,81,19201126,24.0,—,7,28,0,30,0
993,81,19201127,8.0,749.6,0,—,7,—,7
994,81,19201127,14.0,748.6,0,—,7,—,7
995,81,19201127,24.0,—,7,26.5,0,29,0
996,81,19201128,8.0,749.4,0,—,7,—,7
997,81,19201128,14.0,748.5,0,—,7,—,7
998,81,19201128,24.0,—,7,26,0,29,0
999,81,19201129,8.0,749.5,0,—,7,—,7
1000,81,19201129,14.0,749,0,—,7,—,7
1001,81,19201129,24.0,—,7,26,0,29,0
1002,81,19201130,8.0,748.5,0,—,7,—,7
1003,81,19201130,14.0,748,0,—,7,—,7
1004,81,19201130,24.0,—,7,26,0,28,0
1005,81,19201201,8.0,749,0,—,7,—,7
1006,81,19201201,14.0,748.5,0,—,7,—,7
1007,81,19201201,24.0,—,7,26,0,28,0
1008,81,19201202,8.0,748.5,0,—,7,—,7
1009,81,19201202,14.0,748,0,—,7,—,7
1010,81,19201202,24.0,—,7,26,0,28,0
1011,81,19201203,8.0,747.5,0,—,7,—,7
1012,81,19201203,14.0,747,0,—,7,—,7
1013,81,19201203,24.0,—,7,25,0,27,0
1014,81,19201204,8.0,748.5,0,—,7,—,7
1015,81,19201204,14.0,747,0,—,7,—,7
1016,81,19201204,24.0,—,7,25,0,27,0
1017,81,19201205,8.0,746.5,0,—,7,—,7
1018,81,19201205,14.0,746,0,—,7,—,7
1019,81,19201205,24.0,—,7,26,0,29,0
1020,81,19201206,8.0,746,0,—,7,—,7
1021,81,19201206,14.0,745,0,—,7,—,7
1022,81,19201206,24.0,—,7,26,0,29,0
1023,81,19201207,8.0,746.5,0,—,7,—,7
1024,81,19201207,14.0,746,0,—,7,—,7
1025,81,19201207,24.0,—,7,26,0,29,0
1026,81,19201208,8.0,747.5,0,—,7,—,7
1027,81,19201208,14.0,747,0,—,7,—,7
1028,81,19201208,24.0,—,7,25.5,0,28,0
1029,81,19201209,8.0,748,0,—,7,—,7
1030,81,19201209,14.0,747.5,0,—,7,—,7
1031,81,19201209,24.0,—,7,25,0,27,0
1032,81,19201210,8.0,747.6,0,—,7,—,7
1033,81,19201210,14.0,747,0,—,7,—,7
1034,81,19201210,24.0,—,7,26,0,28,0
1035,81,19201211,8.0,747.3,0,—,7,—,7
1036,81,19201211,14.0,747,0,—,7,—,7
1037,81,19201211,24.0,—,7,24,0,27.5,0
1038,81,19201212,8.0,747.6,0,—,7,—,7
1039,81,19201212,14.0,747.1,0,—,7,—,7
1040,81,19201212,24.0,—,7,26,0,27,0
1041,81,19201213,8.0,747.4,0,—,7,—,7
1042,81,19201213,14.0,747,0,—,7,—,7
1043,81,19201213,24.0,—,7,26,0,27.8,0
1044,81,19201214,8.0,747.2,0,—,7,—,7
1045,81,19201214,14.0,746.7,0,—,7,—,7
1046,81,19201214,24.0,—,7,26,0,28,0
1047,81,19201215,8.0,747,0,—,7,—,7
1048,81,19201215,14.0,746.5,0,—,7,—,7
1049,81,19201215,24.0,—,7,25,0,27,0
1050,81,19201216,8.0,746.5,0,—,7,—,7
1051,81,19201216,14.0,746,0,—,7,—,7
1052,81,19201216,24.0,—,7,26,0,28.5,0
1053,81,19201217,8.0,747.5,0,—,7,—,7
1054,81,19201217,14.0,747,0,—,7,—,7
1055,81,19201217,24.0,—,7,25,0,27,0
1056,81,19201218,8.0,747.2,0,—,7,—,7
1057,81,19201218,14.0,747,0,—,7,—,7
1058,81,19201218,24.0,—,7,25.8,0,27.5,0
1059,81,19201219,8.0,747,0,—,7,—,7
1060,81,19201219,14.0,746,0,—,7,—,7
1061,81,19201219,24.0,—,7,24,0,27,0
1062,81,19201220,8.0,747,0,—,7,—,7
1063,81,19201220,14.0,746.5,0,—,7,—,7
1064,81,19201220,24.0,—,7,25,0,27,0
1065,81,19201221,8.0,747,0,—,7,—,7
1066,81,19201221,14.0,746.4,0,—,7,—,7
1067,81,19201221,24.0,—,7,25.5,0,27,0
1068,81,19201222,8.0,747.6,0,—,7,—,7
1069,81,19201222,14.0,747,0,—,7,—,7
1070,81,19201222,24.0,—,7,26,0,27.3,0
1071,81,19201223,8.0,748.6,0,—,7,—,7
1072,81,19201223,14.0,748.2,0,—,7,—,7
1073,81,19201223,24.0,—,7,24,0,26.3,0
1074,81,19201224,8.0,749.5,0,—,7,—,7
1075,81,19201224,14.0,748.1,0,—,7,—,7
1076,81,19201224,24.0,—,7,24,0,25.3,0
1077,81,19201225,8.0,748.6,0,—,7,—,7
1078,81,19201225,14.0,748.2,0,—,7,—,7
1079,81,19201225,24.0,—,7,25,0,27,0
1080,81,19201226,8.0,748.4,0,—,7,—,7
1081,81,19201226,14.0,747,0,—,7,—,7
1082,81,19201226,24.0,—,7,26,0,28,0
1083,81,19201227,8.0,748.7,0,—,7,—,7
1084,81,19201227,14.0,748.2,0,—,7,—,7
1085,81,19201227,24.0,—,7,26,0,28,0
1086,81,19201228,8.0,747,0,—,7,—,7
1087,81,19201228,14.0,747.5,0,—,7,—,7
1088,81,19201228,24.0,—,7,24,0,26.5,0
1089,81,19201229,8.0,748.5,0,—,7,—,7
1090,81,19201229,14.0,747,0,—,7,—,7
1091,81,19201229,24.0,—,7,24,0,27.5,0
1092,81,19201230,8.0,748.5,0,—,7,—,7
1093,81,19201230,14.0,747,0,—,7,—,7
1094,81,19201230,24.0,—,7,25,0,26.5,0
1095,81,19201231,8.0,746.2,0,—,7,—,7
1096,81,19201231,14.0,746.8,0,—,7,—,7
1097,81,19201231,24.0,—,7,26,0,28,0
