,Stn,Datum,Tijd,P,qP,Tn,qTn,Tx,qTx
110,81,19200206,24.0,—,7,23.8,0,25.8,0
111,81,19200207,8.0,746.7,0,—,7,—,7
112,81,19200207,14.0,746.5,0,—,7,—,7
113,81,19200207,24.0,—,7,24,0,27,0
114,81,19200208,8.0,747.3,0,—,7,—,7
115,81,19200208,14.0,746.5,0,—,7,—,7
116,81,19200208,24.0,—,7,24,0,27,0
117,81,19200209,8.0,747.4,0,—,7,—,7
118,81,19200209,14.0,746.8,0,—,7,—,7
119,81,19200209,24.0,—,7,24,0,27,0
120,81,19200210,8.0,748,0,—,7,—,7
121,81,19200210,14.0,747,0,—,7,—,7
122,81,19200210,24.0,—,7,24,0,26,0
123,81,19200211,8.0,747.5,0,—,7,—,7
124,81,19200211,14.0,746.7,0,—,7,—,7
125,81,19200211,24.0,—,7,23,0,25,0
126,81,19200212,8.0,748.5,0,—,7,—,7
127,81,19200212,14.0,747.7,0,—,7,—,7
128,81,19200212,24.0,—,7,24,0,28,0
129,81,19200213,8.0,750,0,—,7,—,7
130,81,19200213,14.0,749.5,0,—,7,—,7
131,81,19200213,24.0,—,7,24.5,0,27,0
132,81,19200214,8.0,750,0,—,7,—,7
133,81,19200214,14.0,748.2,0,—,7,—,7
134,81,19200214,24.0,—,7,23,0,26,0
135,81,19200215,8.0,749,0,—,7,—,7
136,81,19200215,14.0,748,0,—,7,—,7
137,81,19200215,24.0,—,7,24,0,26,0
138,81,19200216,8.0,748,0,—,7,—,7
139,81,19200216,14.0,747.2,0,—,7,—,7
140,81,19200216,24.0,—,7,24.5,0,28,0
141,81,19200217,8.0,747,0,—,7,—,7
142,81,19200217,14.0,746.9,0,—,7,—,7
143,81,19200217,24.0,—,7,24,0,27,0
144,81,19200218,8.0,748,0,—,7,—,7
145,81,19200218,14.0,747.3,0,—,7,—,7
146,81,19200218,24.0,—,7,24.5,0,27,0
147,81,19200219,8.0,747.2,0,—,7,—,7
148,81,19200219,14.0,746.9,0,—,7,—,7
149,81,19200219,24.0,—,7,24,0,27,0
150,81,19200220,8.0,749,0,—,7,—,7
151,81,19200220,14.0,748,0,—,7,—,7
152,81,19200220,24.0,—,7,24,0,27,0
153,81,19200221,8.0,748,0,—,7,—,7
154,81,19200221,14.0,747.6,0,—,7,—,7
155,81,19200221,24.0,—,7,24.5,0,27.3,0
156,81,19200222,8.0,745,0,—,7,—,7
157,81,19200222,14.0,744,0,—,7,—,7
158,81,19200222,24.0,—,7,23,0,24,0
159,81,19200223,8.0,744,0,—,7,—,7
160,81,19200223,14.0,743.6,0,—,7,—,7
161,81,19200223,24.0,—,7,23,0,26,0
162,81,19200224,8.0,746,0,—,7,—,7
163,81,19200224,14.0,745.7,0,—,7,—,7
164,81,19200224,24.0,—,7,24,0,27.5,0
165,81,19200225,8.0,747.2,0,—,7,—,7
166,81,19200225,14.0,747,0,—,7,—,7
167,81,19200225,24.0,—,7,25.5,0,29,0
168,81,19200226,8.0,749,0,—,7,—,7
169,81,19200226,14.0,748.7,0,—,7,—,7
170,81,19200226,24.0,—,7,26,0,29,0
171,81,19200227,8.0,751,0,—,7,—,7
172,81,19200227,14.0,750,0,—,7,—,7
173,81,19200227,24.0,—,7,25,0,27,0
174,81,19200228,8.0,750,0,—,7,—,7
175,81,19200228,14.0,749.7,0,—,7,—,7
176,81,19200228,24.0,—,7,24,0,28,0
177,81,19200229,8.0,748,0,—,7,—,7
178,81,19200229,14.0,747,0,—,7,—,7
179,81,19200229,24.0,—,7,25,0,28,0
180,81,19200301,8.0,746.5,0,—,7,—,7
181,81,19200301,14.0,746.2,0,—,7,—,7
182,81,19200301,24.0,—,7,25,0,27.8,0
183,81,19200302,8.0,748,0,—,7,—,7
184,81,19200302,14.0,747.8,0,—,7,—,7
185,81,19200302,24.0,—,7,26,0,26.5,0
186,81,19200303,8.0,749,0,—,7,—,7
187,81,19200303,14.0,748.3,0,—,7,—,7
188,81,19200303,24.0,—,7,25,0,28.3,0
189,81,19200304,8.0,747,0,—,7,—,7
190,81,19200304,14.0,746.4,0,—,7,—,7
191,81,19200304,24.0,—,7,24.8,0,28,0
192,81,19200305,8.0,746,0,—,7,—,7
193,81,19200305,14.0,745.7,0,—,7,—,7
194,81,19200305,24.0,—,7,25,0,27.3,0
195,81,19200306,8.0,748,0,—,7,—,7
196,81,19200306,14.0,747.8,0,—,7,—,7
197,81,19200306,24.0,—,7,25.5,0,28.3,0
198,81,19200307,8.0,748.5,0,—,7,—,7
199,81,19200307,14.0,747,0,—,7,—,7
200,81,19200307,24.0,—,7,24,0,27,0
201,81,19200308,8.0,747,0,—,7,—,7
202,81,19200308,14.0,746.4,0,—,7,—,7
203,81,19200308,24.0,—,7,23.8,0,26.5,0
204,81,19200309,8.0,751,0,—,7,—,7
205,81,19200309,14.0,750,0,—,7,—,7
206,81,19200309,24.0,—,7,24.5,0,27.5,0
207,81,19200310,8.0,750,0,—,7,—,7
208,81,19200310,14.0,749,0,—,7,—,7
209,81,19200310,24.0,—,7,24,0,27,0
210,81,19200311,8.0,750,0,—,7,—,7
211,81,19200311,14.0,749,0,—,7,—,7
212,81,19200311,24.0,—,7,23,0,26,0
213,81,19200312,8.0,749.5,0,—,7,—,7
214,81,19200312,14.0,749,0,—,7,—,7
215,81,19200312,24.0,—,7,24,0,27.3,0
216,81,19200313,8.0,748.5,0,—,7,—,7
217,81,19200313,14.0,748,0,—,7,—,7
218,81,19200313,24.0,—,7,24,0,26.8,0
219,81,19200314,8.0,749,0,—,7,—,7
220,81,19200314,14.0,748,0,—,7,—,7
221,81,19200314,24.0,—,7,24,0,27,0
222,81,19200315,8.0,749,0,—,7,—,7
223,81,19200315,14.0,748,0,—,7,—,7
224,81,19200315,24.0,—,7,25,0,27,0
225,81,19200316,8.0,750,0,—,7,—,7
226,81,19200316,14.0,749,0,—,7,—,7
227,81,19200316,24.0,—,7,25,0,27.5,0
228,81,19200317,8.0,751,0,—,7,—,7
229,81,19200317,14.0,750,0,—,7,—,7
230,81,19200317,24.0,—,7,24,0,27.5,0
231,81,19200318,8.0,749.5,0,—,7,—,7
232,81,19200318,14.0,748,0,—,7,—,7
233,81,19200318,24.0,—,7,24,0,26,0
234,81,19200319,8.0,747,0,—,7,—,7
235,81,19200319,14.0,746.5,0,—,7,—,7
236,81,19200319,24.0,—,7,23,0,23.8,0
237,81,19200320,8.0,748,0,—,7,—,7
238,81,19200320,14.0,747.7,0,—,7,—,7
239,81,19200320,24.0,—,7,23.5,0,27,0
240,81,19200321,8.0,749,0,—,7,—,7
241,81,19200321,14.0,748,0,—,7,—,7
242,81,19200321,24.0,—,7,25,0,27,0
243,81,19200322,8.0,750,0,—,7,—,7
244,81,19200322,14.0,749.6,0,—,7,—,7
245,81,19200322,24.0,—,7,24.8,0,27,0
246,81,19200323,8.0,749,0,—,7,—,7
247,81,19200323,14.0,748.52,0,—,7,—,7
248,81,19200323,24.0,—,7,24,0,28,0
249,81,19200324,8.0,749,0,—,7,—,7
250,81,19200324,14.0,748,0,—,7,—,7
251,81,19200324,24.0,—,7,25.5,0,27,0
252,81,19200325,8.0,748,0,—,7,—,7
253,81,19200325,14.0,747.8,0,—,7,—,7
254,81,19200325,24.0,—,7,22.3,0,22.5,0
255,81,19200326,8.0,749,0,—,7,—,7
256,81,19200326,14.0,748.8,0,—,7,—,7
257,81,19200326,24.0,—,7,24.5,0,27,0
258,81,19200327,8.0,749,0,—,7,—,7
259,81,19200327,14.0,748.6,0,—,7,—,7
260,81,19200327,24.0,—,7,24,0,27.8,0
261,81,19200328,8.0,749,0,—,7,—,7
262,81,19200328,14.0,748,0,—,7,—,7
263,81,19200328,24.0,—,7,24,0,27,0
264,81,19200329,8.0,750,0,—,7,—,7
265,81,19200329,14.0,749,0,—,7,—,7
266,81,19200329,24.0,—,7,23.8,0,27,0
