,Stn,Datum,Niveau,Rd,qRd
0,81,19390101,1,0,0
1,81,19390102,1,23,0
2,81,19390103,1,24,0
3,81,19390104,1,136,0
4,81,19390105,1,22,0
5,81,19390106,1,220,0
6,81,19390107,1,5,0
7,81,19390108,1,380,0
8,81,19390109,1,105,0
9,81,19390110,1,285,0
10,81,19390111,1,27,0
11,81,19390112,1,23,0
12,81,19390113,1,2,0
13,81,19390114,1,0,0
14,81,19390115,1,0,0
15,81,19390116,1,7,0
16,81,19390117,1,0,0
17,81,19390118,1,0,0
18,81,19390119,1,0,0
19,81,19390120,1,0,0
20,81,19390121,1,0,0
21,81,19390122,1,0,0
22,81,19390123,1,0,0
23,81,19390124,1,35,0
24,81,19390125,1,0,0
25,81,19390126,1,62,0
26,81,19390127,1,2,0
27,81,19390128,1,2,0
28,81,19390129,1,48,0
29,81,19390130,1,66,0
30,81,19390131,1,0,0
31,81,19390201,1,0,0
32,81,19390202,1,0,0
33,81,19390203,1,27,0
34,81,19390204,1,0,0
35,81,19390205,1,0,0
36,81,19390206,1,30,0
37,81,19390207,1,2,0
38,81,19390208,1,1,0
39,81,19390209,1,0,0
40,81,19390210,1,0,0
41,81,19390211,1,3,0
42,81,19390212,1,0,0
43,81,19390213,1,22,0
44,81,19390214,1,0,0
45,81,19390215,1,0,0
46,81,19390216,1,9,0
47,81,19390217,1,0,0
48,81,19390218,1,5,0
49,81,19390219,1,0,0
50,81,19390220,1,33,0
51,81,19390221,1,22,0
52,81,19390222,1,0,0
53,81,19390223,1,0,0
54,81,19390224,1,2,0
55,81,19390225,1,10,0
56,81,19390226,1,0,0
57,81,19390227,1,45,0
58,81,19390228,1,25,0
59,81,19390301,1,45,0
60,81,19390302,1,50,0
61,81,19390303,1,86,0
62,81,19390304,1,0,0
63,81,19390305,1,0,0
64,81,19390306,1,16,0
65,81,19390307,1,5,0
66,81,19390308,1,0,0
67,81,19390309,1,4,0
68,81,19390310,1,5,0
69,81,19390311,1,1,0
70,81,19390312,1,82,0
71,81,19390313,1,0,0
72,81,19390314,1,0,0
73,81,19390315,1,0,0
74,81,19390316,1,10,0
75,81,19390317,1,0,0
76,81,19390318,1,195,0
77,81,19390319,1,0,0
78,81,19390320,1,0,0
79,81,19390321,1,0,0
80,81,19390322,1,30,0
81,81,19390323,1,0,0
82,81,19390324,1,0,0
83,81,19390325,1,0,0
84,81,19390326,1,0,0
85,81,19390327,1,0,0
86,81,19390328,1,0,0
87,81,19390329,1,85,0
88,81,19390330,1,14,0
89,81,19390331,1,45,0
90,81,19390401,1,3,0
91,81,19390402,1,6,0
92,81,19390403,1,5,0
93,81,19390404,1,0,0
94,81,19390405,1,2,0
95,81,19390406,1,0,0
96,81,19390407,1,0,0
97,81,19390408,1,0,0
98,81,19390409,1,20,0
99,81,19390410,1,17,0
100,81,19390411,1,0,0
101,81,19390412,1,0,0
102,81,19390413,1,0,0
103,81,19390414,1,0,0
104,81,19390415,1,0,0
105,81,19390416,1,0,0
106,81,19390417,1,90,0
107,81,19390418,1,6,0
108,81,19390419,1,0,0
109,81,19390420,1,0,0
110,81,19390421,1,0,0
111,81,19390422,1,42,0
112,81,19390423,1,3,0
113,81,19390424,1,90,0
114,81,19390425,1,0,0
115,81,19390426,1,8,0
116,81,19390427,1,—,7
117,81,19390428,1,227,0
118,81,19390429,1,0,0
119,81,19390430,1,0,0
120,81,19390501,1,0,0
121,81,19390502,1,0,0
122,81,19390503,1,0,0
123,81,19390504,1,0,0
124,81,19390505,1,0,0
125,81,19390506,1,0,0
126,81,19390507,1,6,0
127,81,19390508,1,0,0
128,81,19390509,1,182,0
129,81,19390510,1,0,0
130,81,19390511,1,0,0
131,81,19390512,1,0,0
132,81,19390513,1,0,0
133,81,19390514,1,0,0
134,81,19390515,1,0,0
135,81,19390516,1,0,0
136,81,19390517,1,34,0
137,81,19390518,1,0,0
138,81,19390519,1,0,0
139,81,19390520,1,40,0
140,81,19390521,1,11,0
141,81,19390522,1,0,0
142,81,19390523,1,0,0
143,81,19390524,1,0,0
144,81,19390525,1,0,0
145,81,19390526,1,31,0
146,81,19390527,1,16,0
147,81,19390528,1,20,0
148,81,19390529,1,0,0
149,81,19390530,1,0,0
150,81,19390531,1,0,0
151,81,19390601,1,0,0
152,81,19390602,1,20,0
153,81,19390603,1,0,0
154,81,19390604,1,7,0
155,81,19390605,1,22,0
156,81,19390606,1,0,0
157,81,19390607,1,5,0
158,81,19390608,1,0,0
159,81,19390609,1,455,0
160,81,19390610,1,10,0
161,81,19390611,1,0,0
162,81,19390612,1,0,0
163,81,19390613,1,10,0
164,81,19390614,1,1,0
165,81,19390615,1,10,0
166,81,19390616,1,1,0
167,81,19390617,1,0,0
168,81,19390618,1,0,0
169,81,19390619,1,0,0
170,81,19390620,1,64,0
171,81,19390621,1,0,0
172,81,19390622,1,0,0
173,81,19390623,1,0,0
174,81,19390624,1,0,0
175,81,19390625,1,0,0
176,81,19390626,1,5,0
177,81,19390627,1,0,0
178,81,19390628,1,0,0
179,81,19390629,1,0,0
180,81,19390630,1,0,0
181,81,19390701,1,4,0
182,81,19390702,1,0,0
183,81,19390703,1,0,0
184,81,19390704,1,25,0
185,81,19390705,1,35,0
186,81,19390706,1,38,0
187,81,19390707,1,21,0
188,81,19390708,1,0,0
189,81,19390709,1,0,0
190,81,19390710,1,23,0
191,81,19390711,1,50,0
192,81,19390712,1,11,0
193,81,19390713,1,0,0
194,81,19390714,1,90,0
195,81,19390715,1,0,0
196,81,19390716,1,0,0
197,81,19390717,1,0,0
198,81,19390718,1,7,0
199,81,19390719,1,0,0
200,81,19390720,1,200,0
201,81,19390721,1,51,0
202,81,19390722,1,0,0
203,81,19390723,1,0,0
204,81,19390724,1,0,0
205,81,19390725,1,57,0
206,81,19390726,1,5,0
207,81,19390727,1,32,0
208,81,19390728,1,12,0
209,81,19390729,1,0,0
210,81,19390730,1,0,0
211,81,19390731,1,65,0
212,81,19390801,1,90,0
213,81,19390802,1,7,0
214,81,19390803,1,0,0
215,81,19390804,1,0,0
216,81,19390805,1,3,0
217,81,19390806,1,50,0
218,81,19390807,1,5,0
219,81,19390808,1,5,0
220,81,19390809,1,1,0
221,81,19390810,1,0,0
222,81,19390811,1,11,0
223,81,19390812,1,5,0
224,81,19390813,1,38,0
225,81,19390814,1,0,0
226,81,19390815,1,0,0
227,81,19390816,1,0,0
228,81,19390817,1,0,0
229,81,19390818,1,10,0
230,81,19390819,1,0,0
231,81,19390820,1,158,0
232,81,19390821,1,3,0
233,81,19390822,1,1,0
234,81,19390823,1,11,0
235,81,19390824,1,0,0
236,81,19390825,1,33,0
237,81,19390826,1,18,0
238,81,19390827,1,85,0
239,81,19390828,1,2,0
240,81,19390829,1,21,0
241,81,19390830,1,18,0
242,81,19390831,1,18,0
243,81,19390901,1,0,0
244,81,19390902,1,0,0
245,81,19390903,1,10,0
246,81,19390904,1,10,0
247,81,19390905,1,0,0
248,81,19390906,1,58,0
249,81,19390907,1,131,0
250,81,19390908,1,26,0
251,81,19390909,1,10,0
252,81,19390910,1,0,0
253,81,19390911,1,0,0
254,81,19390912,1,0,0
255,81,19390913,1,1,0
256,81,19390914,1,11,0
257,81,19390915,1,1,0
258,81,19390916,1,33,0
259,81,19390917,1,4,0
260,81,19390918,1,65,0
261,81,19390919,1,33,0
262,81,19390920,1,8,0
263,81,19390921,1,54,0
264,81,19390922,1,0,0
265,81,19390923,1,0,0
266,81,19390924,1,5,0
267,81,19390925,1,9,0
268,81,19390926,1,72,0
269,81,19390927,1,36,0
270,81,19390928,1,0,0
271,81,19390929,1,45,0
272,81,19390930,1,0,0
273,81,19391001,1,0,0
274,81,19391002,1,0,0
275,81,19391003,1,0,0
276,81,19391004,1,713,0
277,81,19391005,1,0,0
278,81,19391006,1,0,0
279,81,19391007,1,4,0
280,81,19391008,1,18,0
281,81,19391009,1,55,0
282,81,19391010,1,20,0
283,81,19391011,1,90,0
284,81,19391012,1,20,0
285,81,19391013,1,0,0
286,81,19391014,1,215,0
287,81,19391015,1,31,0
288,81,19391016,1,0,0
289,81,19391017,1,66,0
290,81,19391018,1,34,0
291,81,19391019,1,90,0
292,81,19391020,1,12,0
293,81,19391021,1,0,0
294,81,19391022,1,0,0
295,81,19391023,1,6,0
296,81,19391024,1,0,0
297,81,19391025,1,45,0
298,81,19391026,1,17,0
299,81,19391027,1,4,0
300,81,19391028,1,106,0
301,81,19391029,1,180,0
302,81,19391030,1,0,0
303,81,19391031,1,0,0
304,81,19391101,1,0,0
305,81,19391102,1,20,0
306,81,19391103,1,0,0
307,81,19391104,1,28,0
308,81,19391105,1,0,0
309,81,19391106,1,15,0
310,81,19391107,1,175,0
311,81,19391108,1,270,0
312,81,19391109,1,121,0
313,81,19391110,1,100,0
314,81,19391111,1,12,0
315,81,19391112,1,165,0
316,81,19391113,1,15,0
317,81,19391114,1,0,0
318,81,19391115,1,0,0
319,81,19391116,1,22,0
320,81,19391117,1,400,0
321,81,19391118,1,1140,0
322,81,19391119,1,102,0
323,81,19391120,1,10,0
324,81,19391121,1,0,0
325,81,19391122,1,14,0
326,81,19391123,1,0,0
327,81,19391124,1,155,0
328,81,19391125,1,0,0
329,81,19391126,1,18,0
330,81,19391127,1,15,0
331,81,19391128,1,14,0
332,81,19391129,1,0,0
333,81,19391130,1,2,0
334,81,19391201,1,0,0
335,81,19391202,1,0,0
336,81,19391203,1,21,0
337,81,19391204,1,0,0
338,81,19391205,1,0,0
339,81,19391206,1,0,0
340,81,19391207,1,0,0
341,81,19391208,1,0,0
342,81,19391209,1,0,0
343,81,19391210,1,0,0
344,81,19391211,1,0,0
345,81,19391212,1,0,0
346,81,19391213,1,5,0
347,81,19391214,1,0,0
348,81,19391215,1,0,0
349,81,19391216,1,0,0
350,81,19391217,1,0,0
351,81,19391218,1,0,0
352,81,19391219,1,25,0
353,81,19391220,1,0,0
354,81,19391221,1,0,0
355,81,19391222,1,0,0
356,81,19391223,1,0,0
357,81,19391224,1,40,0
358,81,19391225,1,0,0
359,81,19391226,1,0,0
360,81,19391227,1,0,0
361,81,19391228,1,0,0
362,81,19391229,1,0,0
363,81,19391230,1,32,0
364,81,19391231,1,0,0
365,83,19390101,1,0,0
366,83,19390102,1,0,0
367,83,19390103,1,30,0
368,83,19390104,1,150,0
369,83,19390105,1,10,0
370,83,19390106,1,260,0
371,83,19390107,1,0,0
372,83,19390108,1,400,0
373,83,19390109,1,125,0
374,83,19390110,1,386,0
375,83,19390111,1,30,0
376,83,19390112,1,25,0
377,83,19390113,1,0,0
378,83,19390114,1,0,0
379,83,19390115,1,0,0
380,83,19390116,1,0,0
381,83,19390117,1,0,0
382,83,19390118,1,0,0
383,83,19390119,1,0,0
384,83,19390120,1,0,0
385,83,19390121,1,0,0
386,83,19390122,1,0,0
387,83,19390123,1,0,0
388,83,19390124,1,0,0
389,83,19390125,1,0,0
390,83,19390126,1,45,0
391,83,19390127,1,0,0
392,83,19390128,1,0,0
393,83,19390129,1,45,0
394,83,19390130,1,76,0
395,83,19390131,1,0,0
396,83,19390201,1,0,0
397,83,19390202,1,0,0
398,83,19390203,1,25,0
399,83,19390204,1,0,0
400,83,19390205,1,0,0
401,83,19390206,1,30,0
402,83,19390207,1,0,0
403,83,19390208,1,0,0
404,83,19390209,1,0,0
405,83,19390210,1,0,0
406,83,19390211,1,0,0
407,83,19390212,1,0,0
408,83,19390213,1,0,0
409,83,19390214,1,0,0
410,83,19390215,1,0,0
411,83,19390216,1,10,0
412,83,19390217,1,0,0
413,83,19390218,1,0,0
414,83,19390219,1,0,0
415,83,19390220,1,20,0
416,83,19390221,1,20,0
417,83,19390222,1,0,0
418,83,19390223,1,0,0
419,83,19390224,1,0,0
420,83,19390225,1,10,0
421,83,19390226,1,0,0
422,83,19390227,1,20,0
423,83,19390228,1,25,0
424,83,19390301,1,40,0
425,83,19390302,1,60,0
426,83,19390303,1,86,0
427,83,19390304,1,0,0
428,83,19390305,1,0,0
429,83,19390306,1,3,0
430,83,19390307,1,0,0
431,83,19390308,1,0,0
432,83,19390309,1,0,0
433,83,19390310,1,5,0
434,83,19390311,1,10,0
435,83,19390312,1,72,0
436,83,19390313,1,0,0
437,83,19390314,1,0,0
438,83,19390315,1,0,0
439,83,19390316,1,0,0
440,83,19390317,1,0,0
441,83,19390318,1,132,0
442,83,19390319,1,0,0
443,83,19390320,1,0,0
444,83,19390321,1,0,0
445,83,19390322,1,0,0
446,83,19390323,1,0,0
447,83,19390324,1,0,0
448,83,19390325,1,0,0
449,83,19390326,1,0,0
450,83,19390327,1,0,0
451,83,19390328,1,0,0
452,83,19390329,1,80,0
