,Stn,  "Datum", "Tijd", "DD",¢,   "FK",   "FF",  "FF1",  "FF2",¢.1,           "WW",¢.2,    "N",¢.3,    "T",¢.4,    "U",¢.5,   "EE",¢.6,   "Tw",¢.7,    "P",   "Pt",  "Pt1",¢.8,   "Rd",                     "Dr",¢.9,   "EV",¢.10,  "Trn",  "Tin",   "Tn",¢.11,  "Trx",  "Tix",   "Tx",¢.12
0,78989,19460101,730, "OZO" ,0, //////,      6, //////, //////,0, //////////////,7,      7,0,    247,0,     81,0,    190,0,    223,0, //////,  76040, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
1,78989,19460101,1330, "OZO" ,0, //////,     10, //////, //////,0, //////////////,7,      9,0,    272,0,     66,0,    178,0,    223,0, //////,  75980, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
2,78989,19460101,1930, "ONO" ,0, //////,      7, //////, //////,0, //////////////,7,      6,0,    247,0,     79,0,    185,0,    220,0, //////,  75930, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
3,78989,19460101,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    234,0, //////, //////,    289,0
4,78989,19460102,730, "OZO" ,0, //////,      4, //////, //////,0, //////////////,7,      3,0,    239,0,     85,0,    189,0,    220,0, //////,  76130, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
5,78989,19460102,1330, "O"   ,0, //////,      7, //////, //////,0, //////////////,7,      7,0,    263,0,     75,0,    193,0,    229,0, //////,  76050, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
6,78989,19460102,1930, "O"   ,0, //////,      9, //////, //////,0, //////////////,7,      3,0,    248,0,     81,0,    190,0,    223,0, //////,  76090, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
7,78989,19460102,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    232,0, //////, //////,    280,0
8,78989,19460103,730, "OZO" ,0, //////,      8, //////, //////,0, //////////////,7,      7,0,    248,0,     81,0,    191,0,    224,0, //////,  76190, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
9,78989,19460103,1330, "OZO" ,0, //////,      7, //////, //////,0, //////////////,7,      8,0,    271,0,     65,0,    176,0,    222,0, //////,  76160, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
