,Stn,  "Datum", "Tijd", "DD",¢,   "FK",   "FF",  "FF1",  "FF2",¢.1,           "WW",¢.2,    "N",¢.3,    "T",¢.4,    "U",¢.5,   "EE",¢.6,   "Tw",¢.7,    "P",   "Pt",  "Pt1",¢.8,   "Rd",                     "Dr",¢.9,   "EV",¢.10,  "Trn",  "Tin",   "Tn",¢.11,  "Trx",  "Tix",   "Tx",¢.12
0,78989,19100101,800, "ONO" ,0,      0, //////, //////, //////,0, //////////////,7,      6,0,    230,0,     81,0, //////,7,    208,0, //////,  76450, //////,0,     50, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
1,78989,19100101,1400, "NO"  ,0,      0, //////, //////, //////,0, //////////////,7,      5,0,    268,0,     72,0, //////,7,    232,0, //////,  76400, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
2,78989,19100101,1800, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
3,78989,19100101,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    242,0, //////, //////,    278,0
4,78989,19100102,800, "ONO" ,0,      1, //////, //////, //////,0, //////////////,7,      5,0,    258,0,     70,0, //////,7,    220,0, //////,  76400, //////,0,    126, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
5,78989,19100102,1400, "O"   ,0,      0, //////, //////, //////,0, //////////////,7,      5,0,    274,0,     77,0, //////,7,    244,0, //////,  76350, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
6,78989,19100102,1800, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
7,78989,19100102,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    250,0, //////, //////,    280,0
8,78989,19100103,800, "O"   ,0,      1, //////, //////, //////,0, //////////////,7,      7,0,    240,0,     80,0, //////,7,    216,0, //////,  76450, //////,0,    170, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
9,78989,19100103,1400, "O"   ,0,      1, //////, //////, //////,0, //////////////,7,      5,0,    270,0,     77,0, //////,7,    240,0, //////,  76400, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
10,78989,19100103,1800, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
11,78989,19100103,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    244,0, //////, //////,    280,0
12,78989,19100104,800, "O"   ,0,      1, //////, //////, //////,0, //////////////,7,      7,0,    228,0,     86,0, //////,7,    212,0, //////,  76500, //////,0,     94, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
13,78989,19100104,1400, "O"   ,0,      0, //////, //////, //////,0, //////////////,7,      5,0,    274,0,     74,0, //////,7,    240,0, //////,  76450, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
14,78989,19100104,1800, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
15,78989,19100104,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    218,0, //////, //////,    284,0
16,78989,19100105,800, "ONO" ,0,      1, //////, //////, //////,0, //////////////,7,      3,0,    254,0,     73,0, //////,7,    220,0, //////,  76450, //////,0,     13, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
17,78989,19100105,1400, "O"   ,0,      1, //////, //////, //////,0, //////////////,7,      4,0,    266,0,     74,0, //////,7,    232,0, //////,  76420, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
