,Stn,  "Datum", "Tijd", "DD",¢,   "FK",   "FF",  "FF1",  "FF2",¢.1,           "WW",¢.2,    "N",¢.3,    "T",¢.4,    "U",¢.5,   "EE",¢.6,   "Tw",¢.7,    "P",   "Pt",  "Pt1",¢.8,   "Rd",                     "Dr",¢.9,   "EV",¢.10,  "Trn",  "Tin",   "Tn",¢.11,  "Trx",  "Tix",   "Tx",¢.12
0,78989,19280101,730, "O"   ,0, //////, //////, //////,      3,0, //////////////,7,      4,0,    242,0,     90,0,    202,0,    230,0, //////, //////,   2996,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
1,78989,19280101,1300, "O"   ,0, //////, //////, //////,      4,0, //////////////,7,      2,0,    280,0,     70,0,    197,0,    240,0, //////, //////,   2992,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
2,78989,19280101,1745, "ZO"  ,0, //////, //////, //////,      4,0, //////////////,7,      1,0,    252,0,     74,0,    177,0,    220,0, //////, //////,   2991,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
3,78989,19280101,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    205,0, //////, //////,    298,0
4,78989,19280102,730, "NO"  ,0, //////, //////, //////,      3,0, //////////////,7,     10,0,    235,0,     92,0,    199,0,    226,0, //////, //////,   2999,0,    190, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
5,78989,19280102,1300, "O"   ,0, //////, //////, //////,      4,0, //////////////,7,      9,0,    260,0,     81,0,    202,0,    236,0, //////, //////,   2993,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
6,78989,19280102,1745, "NO"  ,0, //////, //////, //////,      2,0, //////////////,7,      5,0,    250,0,     79,0,    185,0,    224,0, //////, //////,   2991,0,     15, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
7,78989,19280102,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    205,0, //////, //////,    275,0
8,78989,19280103,730, "Z"   ,0, //////, //////, //////,      1,0, //////////////,7,      5,0,    231,0,     91,0,    192,0,    221,0, //////, //////,   2999,0,     80, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
9,78989,19280103,1300, "NO"  ,0, //////, //////, //////,      4,0, //////////////,7,      4,0,    261,0,     72,0,    180,0,    225,0, //////, //////,   2994,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
10,78989,19280103,1745, "NO"  ,0, //////, //////, //////,      2,0, //////////////,7,      6,0,    242,0,     82,0,    183,0,    220,0, //////, //////,   2991,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
11,78989,19280103,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    218,0, //////, //////,    288,0
12,78989,19280104,730, "N"   ,0, //////, //////, //////,      2,0, //////////////,7,      9,0,    227,0,     94,0,    192,0,    220,0, //////, //////,   3000,0,    150, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
13,78989,19280104,1300, "NO"  ,0, //////, //////, //////,      4,0, //////////////,7,     10,0,    241,0,     86,0,    191,0,    224,0, //////, //////,   2998,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
14,78989,19280104,1745, "W"   ,0, //////, //////, //////,      2,0, //////////////,7,      6,0,    238,0,     97,0,    212,0,    234,0, //////, //////,   2996,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
15,78989,19280104,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    200,0, //////, //////,    230,0
16,78989,19280105,730, "ZO"  ,0, //////, //////, //////,      2,0, //////////////,7,     10,0,    227,0,     98,0,    201,0,    225,0, //////, //////,   3003,0,    185, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
17,78989,19280105,1300, "NO"  ,0, //////, //////, //////,      4,0, //////////////,7,      5,0,    267,0,     69,0,    179,0,    226,0, //////, //////,   2998,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
18,78989,19280105,1745, "NO"  ,0, //////, //////, //////,      3,0, //////////////,7,      8,0,    254,0,     71,0,    172,0,    218,0, //////, //////,   2997,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
19,78989,19280105,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    215,0, //////, //////,    273,0
20,78989,19280106,730, "ONO" ,0, //////, //////, //////,      6,0, //////////////,7,      6,0,    259,0,     74,0,    184,0,    226,0, //////, //////,   3003,0,     15, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
21,78989,19280106,1300, "O"   ,0, //////, //////, //////,      7,0, //////////////,7,      5,0,    273,0,     70,0,    190,0,    234,0, //////, //////,   3001,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
22,78989,19280106,1745, "O"   ,0, //////, //////, //////,      4,0, //////////////,7,      6,0,    254,0,     75,0,    181,0,    223,0, //////, //////,   2998,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
23,78989,19280106,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    226,0, //////, //////,    276,0
24,78989,19280107,730, "O"   ,0, //////, //////, //////,      1,0, //////////////,7,      8,0,    237,0,     89,0,    193,0,    224,0, //////, //////,   3000,0,     23, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
25,78989,19280107,1300, "NO"  ,0, //////, //////, //////,      5,0, //////////////,7,      8,0,    268,0,     70,0,    184,0,    229,0, //////, //////,   2998,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
26,78989,19280107,1745, "O"   ,0, //////, //////, //////,      5,0, //////////////,7,      8,0,    238,0,     80,0,    175,0,    214,0, //////, //////,   2996,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
27,78989,19280107,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    215,0, //////, //////,    275,0
28,78989,19280108,730, "O"   ,0, //////, //////, //////,      1,0, //////////////,7,      7,0,    232,0,     96,0,    204,0,    228,0, //////, //////,   2994,0,     53, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
29,78989,19280108,1300, "O"   ,0, //////, //////, //////,      3,0, //////////////,7,      4,0,    275,0,     74,0,    200,0,    240,0, //////, //////,   2990,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
30,78989,19280108,1745, "O"   ,0, //////, //////, //////,      2,0, //////////////,7,      5,0,    240,0,     90,0,    199,0,    228,0, //////, //////,   2988,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
31,78989,19280108,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    204,0, //////, //////,    274,0
32,78989,19280109,730, "N"   ,0, //////, //////, //////,      1,0, //////////////,7,      6,0,    234,0,     95,0,    203,0,    228,0, //////, //////,   2995,0,    137, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
33,78989,19280109,1300, "ZO"  ,0, //////, //////, //////,      4,0, //////////////,7,      8,0,    256,0,     85,0,    208,0,    238,0, //////, //////,   2991,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
34,78989,19280109,1745, "O"   ,0, //////, //////, //////,      3,0, //////////////,7,      2,0,    256,0,     76,0,    185,0,    226,0, //////, //////,   2990,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
35,78989,19280109,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    204,0, //////, //////,    278,0
36,78989,19280110,730, "O"   ,0, //////, //////, //////,      2,0, //////////////,7,      5,0,    256,0,     85,0,    208,0,    238,0, //////, //////,   2994,0,     10, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
37,78989,19280110,1300, "OZO" ,0, //////, //////, //////,      4,0, //////////////,7,      7,0,    264,0,     82,0,    211,0,    242,0, //////, //////,   2991,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
38,78989,19280110,1745, "NO"  ,0, //////, //////, //////,      3,0, //////////////,7,      9,0,    244,0,     90,0,    204,0,    232,0, //////, //////,   2990,0,    218, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
