,Stn,  "Datum", "Tijd", "DD",¢,   "FK",   "FF",  "FF1",  "FF2",¢.1,           "WW",¢.2,    "N",¢.3,    "T",¢.4,    "U",¢.5,   "EE",¢.6,   "Tw",¢.7,    "P",   "Pt",  "Pt1",¢.8,   "Rd",                     "Dr",¢.9,   "EV",¢.10,  "Trn",  "Tin",   "Tn",¢.11,  "Trx",  "Tix",   "Tx",¢.12
0,78989,19320101,730, "O"   ,0, //////, //////, //////,      4,0, //////////////,7,      4,0,    260,0,     76,0,    190,0,    230,0, //////,  76022, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
1,78989,19320101,1300, "O"   ,0, //////, //////, //////,      6,0, //////////////,7,      2,0,    290,0,     71,0,    211,0,    250,0, //////,  75921, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
2,78989,19320101,1745, "O"   ,0, //////, //////, //////,      4,0, //////////////,7,      4,0,    258,0,     78,0,    192,0,    230,0, //////,  75794, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
3,78989,19320101,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    230,0, //////, //////,    290,0
4,78989,19320102,730, "O"   ,0, //////, //////, //////,      4,0, //////////////,7,      2,0,    262,0,     77,0,    195,0,    233,0, //////,  76099, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
5,78989,19320102,1300, "O"   ,0, //////, //////, //////,      5,0, //////////////,7,      1,0,    296,0,     70,0,    215,0,    254,0, //////,  75972, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
6,78989,19320102,1745, "O"   ,0, //////, //////, //////,      4,0, //////////////,7,      3,0,    260,0,     76,0,    190,0,    230,0, //////,  75845, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
7,78989,19320102,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    232,0, //////, //////,    298,0
8,78989,19320103,730, "O"   ,0, //////, //////, //////,      4,0, //////////////,7,      2,0,    260,0,     77,0,    192,0,    231,0, //////,  76022, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
9,78989,19320103,1300, "O"   ,0, //////, //////, //////,      5,0, //////////////,7,      1,0,    290,0,     71,0,    211,0,    250,0, //////,  75921, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
10,78989,19320103,1745, "O"   ,0, //////, //////, //////,      4,0, //////////////,7,      4,0,    260,0,     76,0,    190,0,    230,0, //////,  75819, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
