,Stn,  "Datum", "Tijd", "DD",¢,   "FK",   "FF",  "FF1",  "FF2",¢.1,           "WW",¢.2,    "N",¢.3,    "T",¢.4,    "U",¢.5,   "EE",¢.6,   "Tw",¢.7,    "P",   "Pt",  "Pt1",¢.8,   "Rd",                     "Dr",¢.9,   "EV",¢.10,  "Trn",  "Tin",   "Tn",¢.11,  "Trx",  "Tix",   "Tx",¢.12
0,78989,19420101,800, "O"   ,0, //////,      4, //////, //////,0, //////////////,7,      5,0,    270,0,     81,0,    218,0,    245,0, //////,  76200, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
1,78989,19420101,1400, "OZO" ,0, //////,      7, //////, //////,0, //////////////,7,      3,0,    290,0,     72,0,    216,0,    249,0, //////,  76150, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
2,78989,19420101,1800, "NO"  ,0, //////,      5, //////, //////,0, //////////////,7,      3,0,    273,0,     80,0,    217,0,    245,0, //////,  76090, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
3,78989,19420101,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    251,0, //////, //////,    301,0
4,78989,19420102,800, "OZO" ,0, //////,      5, //////, //////,0, //////////////,7,      8,0,    262,0,     80,0,    204,0,    235,0, //////,  76220, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
5,78989,19420102,1400, "OZO" ,0, //////,      8, //////, //////,0, //////////////,7,      6,0,    290,0,     64,0,    193,0,    237,0, //////,  76150, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
6,78989,19420102,1800, "O"   ,0, //////,      8, //////, //////,0, //////////////,7,      2,0,    262,0,     78,0,    200,0,    235,0, //////,  76070, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
7,78989,19420102,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    250,0, //////, //////,    301,0
8,78989,19420103,800, "OZO" ,0, //////,      5, //////, //////,0, //////////////,7,      5,0,    263,0,     79,0,    203,0,    235,0, //////,  76210, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
9,78989,19420103,1400, "OZO" ,0, //////,      8, //////, //////,0, //////////////,7,      5,0,    290,0,     64,0,    193,0,    237,0, //////,  76140, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
