,Stn,  "Datum", "Tijd", "DD",¢,   "FK",   "FF",  "FF1",  "FF2",¢.1,           "WW",¢.2,    "N",¢.3,    "T",¢.4,    "U",¢.5,   "EE",¢.6,   "Tw",¢.7,    "P",   "Pt",  "Pt1",¢.8,   "Rd",                     "Dr",¢.9,   "EV",¢.10,  "Trn",  "Tin",   "Tn",¢.11,  "Trx",  "Tix",   "Tx",¢.12
0,78989,19330101,800, "O"   ,0, //////, //////,      6, //////,0, //////////////,7,      8,0,    256,0,     89,0,    216,0,    242,0, //////,  76127, //////,0,     60, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
1,78989,19330101,1300, "O"   ,0, //////, //////,     12, //////,0, //////////////,7,      6,0,    277,0,     82,0,    227,0,    254,0, //////,  76040, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
2,78989,19330101,1730, "ONO" ,0, //////, //////,     11, //////,0, //////////////,7,      1,0,    266,0,     80,0,    208,0,    241,0, //////,  75990, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
3,78989,19330101,1800, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
4,78989,19330101,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    223,0, //////, //////,    294,0
5,78989,19330102,800, "O"   ,0, //////, //////,     11, //////,0, //////////////,7,      4,0,    264,0,     82,0,    211,0,    242,0, //////,  76119, //////,0,     16, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
6,78989,19330102,1300, "O"   ,0, //////, //////,     20, //////,0, //////////////,7,      3,0,    291,0,     66,0,    198,0,    244,0, //////,  76022, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
7,78989,19330102,1730, "ONO" ,0, //////, //////,     13, //////,0, //////////////,7,      7,0,    262,0,     85,0,    216,0,    244,0, //////,  75980, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
8,78989,19330102,1800, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
9,78989,19330102,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    236,0, //////, //////,    303,0
10,78989,19330103,800, "ONO" ,0, //////, //////,     16, //////,0, //////////////,7,      5,0,    262,0,     81,0,    204,0,    238,0, //////,  76107, //////,0,     29, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
11,78989,19330103,1300, "ONO" ,0, //////, //////,     17, //////,0, //////////////,7,      5,0,    288,0,     70,0,    208,0,    248,0, //////,  75972, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
12,78989,19330103,1730, "ONO" ,0, //////, //////,     13, //////,0, //////////////,7,      1,0,    266,0,     77,0,    200,0,    237,0, //////,  75845, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
13,78989,19330103,1800, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
14,78989,19330103,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    233,0, //////, //////,    298,0
