1786
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
30 CFFF **** FFFF CFFR FCRR CCFF CCCC FFFF FFFF RCRR FCFF CCCC
31 FFFF **** FFFF **** CFRF **** CCRR FFFF **** CFFF **** FFFF
1788
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFCS FFFF FFFF FFFC FFCC FFFF FFFC FFFF FFCR FFFF FFCR SRCC
 2 FFFF FFFC FFFF FFFF RCCR FFFF FFFF FFFF FFFF FFFF FFFF FFFF
 3 FFFS FFCR FFFF FFCR RFCC FFFF FFFF FFFF FFFF FFFF FFFF FFFF
 4 FFFF CFFF FFFF RRRR RRCC FFCR FRCR FFFF FFFF CRCC FFFF FFFF
 5 FFFF FFFF FFFF CRRR FFRR FFFF RCFF FFRF FFFF FFFF FFFF FSSF
 6 FFFF FFFC FFFC CCCC FFFF FFFF RFFF FFFF FFFC FFFF FFFF FFFF 
 7 FFFF FFFF FFFC FFFF FFFF FFFF FFFF FFFF CRRC CCRC FFCR CCCC
 8 CSSR FFFC FFFF CRRR FFFC FFFF FFFF FFFF CCCC RCCF FFCR RRRR
 9 SCFF FFFF SFFF FFFF CRRR FRRC RRFF FFFF FFFF FFFF FFFF RRRR
10 FFFC FFCC SFSS FFCR RRRR FFRF FRFF FFFF FFFF FFFF FFFF RFFF
11 FFFF CRFF FFFF FFFF RRRR FFFF FFFF FFFF FFFF RRCC CRRF FFFF
12 FFFF FFFR FFFC FCRC FRRR FFFF FFRR FFFF FFFF FFFF FFFF FFFF 
13 FFCC FFFC FFFC CFFF FFFF FFFF FCRR FFFF FFFF FFFF FFFF FFFF
14 FFFF SFSS FFFF FCRR FFFF FFFF FFFF FFFF FFFF RCFF CRRF FFFF
15 CCCC FFCC FFFF RRRC FFFF FFFF RCFF FFFF FFFF FRFF FFFF FFFF
16 SRRR SRRR FFFF FRRR FFCC CCFF FFFF CCRR CCRR FFFF FFFF FFFF
17 FFFF FFFF FFFC FFCC RRRR FCFC FFRF RRCC FFFF FFFF FFFF SSSS
18 FFFC FFFF FFFC RCCC RRRR CRCR FFRF CCRC FFFF CRCR CCRC FFFF
19 CSRR FFFF RCRR FFFC CRRC CCCC FFFF CRCF FFRC FFFF CFFF SSCC
20 CRCF FFFF FFFF FCCF CCRR FRRF FFFF FFFF FFFF FCRR CCCC FFFF
21 FFFF FFFF FFFF FFFF FFFF FFRF FFFF FFFF FFFF RRRR FCRR FFFF
22 CCSS CSCC FFCC SRCR CCCC FFFF RRCC FFFF CCCC FFFF FFFF FFCS
23 SFFF CCFF RRRR RCCC RCRR FFCR CCRR FFRR FFFF FFFF FFFR FFFF
24 FFCC FFFF FFSS FCCC CRRR FFFF CRRF FFFF FFFF FFFF RCRF FFFF
25 SCCC FFFF FFFF FCRR FFFF RCCC FFFF FCRR FFCF FFFF FFFF FFFC
26 FFFF FFFF FFFF CCCR FCRF FFFF FRFF CFFF FFFF RFCR CCCR FFCC
27 CCCS FFFC FFFF CCCC FFCR FFCC RRCR FFFF FFFF FFFF RRRR FFCC
28 FFFF CFFF FFCC CRCR FFRF FRRR RCRC FFFF FFFF FFFF CFCC SSRR
29 RFFF FFFF FFFF FFFF FFFF RRCC CRFF FFFF FFFF FFFF RRFF FFFF
30 FFCF **** FFFF FFFF FFFC FFFF FFFF RRFF RCCR FFFF FFFF CCCC
31 FFFF **** FFCC **** FCRR **** FFFF RFFF **** FFFF **** CCFF
1789
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF FFFF RCFF CHSR CFFF FFFF FFFF CCCC FCCR FFFF FFFF CCFF
 2 CFFC FFFF FFCC FCFC FCCC FFFF FFFF RRCC RRCC FFFF FFFF SCFF
 3 CSSR SFFF FCRR FCCC CFFF FFFF CCFF CCCR RCFF FFCC CCRH SCFF
 4 RCFF FFCC FFFF FFFF FFCC FFFF RCCR CCCC FFFC CRRR FCCF FFCC
 5 SFFF FFFF FFCC FCRR CRRF FFCR RRRR CCCR FFFF CCCR FFCC CFCC
 6 FFFF FFCC FCCR FFRR FFFF FFFF RCCF FFFF FFCC CRRC CCCC RCCC
 7 CFFS FFFF RCFF RCRR FCCC CCRR CCFF FFFF FFFF CFFF CCFC CCCR
 8 CFFC FCCS FFFF CFFF RRCC RFFR FFFF FFCF FFFF FFFF CCFF FFFF
 9 CFFF CFFF CFCC CFFF FFFF FFFF FFCC FFCC CCFF FCCC CCCC FFFF
10 FFCC FFFC FFFF RRCF FCCF RRRR FFFF FFFF FFFC FFFF CCCF FFFF
11 SCFF FFFF FFFC FCFF CFFF RRRR FFFF CCCF FFFF FCRC FFFF FCRR
12 FFFF CCCC CCRC FFFF FCCF RCCC CRCC CFCF CFCC CCRF RRCC SHFF
13 FCSR CCSS CFCF FFFF FFCC CRCC RFCC FFFF RCFR FFFC CCRR FFFF
14 FFFF CCCC FFFF FFFC RCCC CCFR FFFF FFRC FFFF RRRR CFFF FFFF
15 FFFF FFFF FFFF FFFF FFFF FFFF FFCF CCRC CRRR HRCC FFCC HCSC
16 FFFF SSSS CRFF FFFF RRFF FFFF FFCC CRFC FFCC FFFF CCCC RCCC
17 SSSF SCFF FFFF CFFF FFRF FFFF FFFF CCCF CCCC FFFF CFFC CCCC
18 FFFC FFFF FCCC FFFF FCRC FFFF FFFF FFFF CCFF FCRR FFFF CCCF
19 FCSS SFCF RCFF FCFF FFCR FFFF FFFF CCCC FFFF CCFF CFCF FFFF
20 CCCR SSSS FFFF FFRR CRFF RFFF CFFF FFFF FFFF FFFF FFCC FFFC
