1786
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
15 FFCC FFFF RCCR FFFF FFFF FFFF FFFF FFFF FFFF FFFF RSCC FFFF
16 FFFF FFFF CCCC CCFF FFFF FFFF FFFF FFFC CCRC FFFF CCFF CCCC 
17 FFFF FFFF FFFF FFFF FFCC FFFF FFFC RCCC FCRF FFFF FFFF RCCF
18 FFFF FFFF FFFF FFFF FFFC FFCF FFFF FFFF FFFF FFFF FFFF CCCR
19 FFFF CCCS FFFF FFFF CCCC CRRC FFCC FFFF FFFF FFFF FFFF RRRR
20 CFCF RCRR FFFF FFFF FFFF FFFF RRRC CCCR RCCC FCRR CCCC RRRR
21 CRCC CCCF CCRR FCCC CFCF FFFF CFFF RCCR FFFF RCFF RFFF RFFF
22 RCRR FFFF RCFF CCCC FFFF FFFF FFFF CCCC FFFF FFFF FFFF RFFF
23 RRRR CCSR CCCF CCCC CCCC FFFF FFFF CCFF FFFF FFCF FFFC FFFF
24 CCCC FFFF FFFF CFFC RCCR FFFF FFFF CFRC FFFF FFCR CCFC FFFF
25 FFFF FFFF FFFF RRCC RRCR FFFF FFFF FFFF CCCC RRCR CCCF FFFF
26 FFFF FFFF FFFF FFFF RRRR CCRR CCRC CRCF FFFF RRRR FFFF CCCF
27 FFFF FCSF FFFF FFFF CCCC CCFF CCCC FFFC CRCC RRRC CCFF CCCC
28 FCCF FFFF FFFF FFCR CCRR FFFF FFCF FFFF FFFF FFFF CCCC FFFF
29 FFCS **** CCRR CCCF RCCC FFFF FFFF RFFF RCCF FCCC RCCC FFFF
30 SCCF **** FFFF FFFF CCFF FFFF FFFF FFFF CFFF RRCC FFFF FSSS
31 FFFF **** CSRR **** RCCF **** FFFC FFFF **** CCCC **** CSCS
1795
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 SCCF SSFF FFFF FFFF FFFF FFFF FFFC CCCC RCRC FFFF SCCC FFFC
 2 FFFF SCCC FFFF FFFF CRCR FCCF CFFF CCCC RRRR CFFF FFFC RCFF
 3 FFFF RRRF SCCC RCFF RCRR FCCF FFFF CRRR FFFF FFFF FFFF FFFC
 4 RCFF FCCC CFFC FFFF FFFF FFFF FFFF RCCC FFFF CFFF FFFC FFFF
 5 FFFF FFFF FFFF FFFC FFFF FFFF CFFF FFFF FFFF CCRR FFCF FFFF
 6 FFFF SFFC FFFF CCCR FFFC FFFC FFRC FFFF FFFF RCFF FFCF FFFF
 7 RRCF SCCC FFCC RCRR FFCC FFFF FFFF FFFF CRRC RCRC FFFF FFCC
 8 FFFF CCCC RFCF RRCF CFFC FFFF FFFC FFFC RCRC RRRR FFFF RRRR
 9 CSSC SRCS FFFF FFFF FFFF FFFF FFFF CCFF FFFF FFCC RRRR CFFF
10 CCCF CCCF FFFF FFFF FFFC FFRR FFFF CFRC FFFF FFCC FFFF CCRR
11 FFFF FFFF FFFF FFFF RRRC CFFF FFFF CCCC FFRF RRCC FFCR FFFF
12 CFFF CCCC CCCC FFFF CCFF FFFF RFCC RRRR FFFF FFFF FFFC FFCR
13 CSSF SCCC SSCF CRRR CCCR FFFF CCRC RRCC CRRC FFFF FFFF CRRF
14 FFCC CCFF SCFF FFFF FFFF CFFF FFFF CCFF FFFF FFFF FFFF SSCC
15 SCCS FFFF FFFF FFFF FFCR FFFF FFFF FFFF FFFF RRRR FFFF FFFF
16 FFFF FFFF FFCC FFCR RCFF CCRR FFFF FFFF FFCR FFFF FFCC FFFF
17 FFCS CSSS FFFC CRCF FFCC FFFF FFFF FFFF RCRC FRFF RRCF FFFC
18 FCCS CFCF FFCR FCRR CCFF FFFF CFCF FFFF CFFF FFFF FFFF SCFF
19 SCCF FFFF FFFF RCCF FCCC FFFF FFFF FFFF CFFF FFCC FFFF FFFF
20 CCFS CFCC FFFF RCCF CRFF FFFF FCRR CRRR FFRF CRRC FFFF SSSS
21 CCRC CFFF FFCC FFFF CCRR FRFF RCFF CFFF FFCR FFFF FFFC FFFF
22 RCCF CCCC CCCC FFFF RCCC CCFF RRCF FFFF FFFF FFFC SRRC FFFF
23 CCCC CCCC CCCC FCCF RRRR FFFF FFFF FFFF FCCF RRRR CCCF FFFC
24 CCCC SRCF FFFF CCRR RRRF CRCC CCCC FFCC CFCF CFFF FFFF CCCC
25 SSCC SCFF CFCR RRRR FFFF RCRR RCFF FFFF FFFF FFFF CFFF CCCF
26 CCCC FFFF CCRS CCCF FFFF FFFF CFCF FFFF FFFF FFFF FFFF SRCR
27 FFFF FFFF SCCC FRRR FFFF FFRF CCCR FFFF CCRR FFFF FFFF FFFF
28 FFFF FFFF SSRR CCCF FFFF FRFF RFFF FFFF RRFF FFFF FFFF FFFC
29 FFCR **** CFFF FCCF CRRR FFFF FFFF FFFF CFFF FFFF CCRR FFFF 
30 CFCF **** CFCC FFFF RCCR FFFF FCRR FFFF FFFF FFFF RCFF SRRC
31 FFFF **** RFFF **** RCFF **** RRRR CFCR **** FCRC **** CCCR
1796
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF CCCC CCCC FFFF FFFF FCCF FFFF FFRF FFFF FCCC SFFF CFFF
 2 FFCC CCCC CCCC CCRC FFFF FFCF FFFF FFFF CCRR CFCC FFFF FFFF
 3 RCRF SSSS SSCC FFFF CCFF FFFF CCCC FFFF RRRC CRRR FFFF FFFF
 4 FFFF CFFF CFFF FFFF CFFF FFFF RCFF FFFF CFFF RCCF FFCF FFFF
 5 FFFC FFFF FFFF FFFF FFFF FCFC FFFF FFFF CFFF CCCR FFFF FFFF
 6 CRRS SSCC FFFF FFFF FFFF CCFF FFFF FFFF FFFF RCCF CRRF CCCR
 7 SCFF CCCC CCCC FFFF CCCR FFFF FFFF FFFF FFFF FFFF FFFF SSSC
 8 FFFF FFFF CCCF FFFF RRRR FFFF FFCC FCCF FFFF FFFF FFCR FFFF
 9 FFFF FFFF FFFC FCCC RCFF FFFF FFFF FFFF CCRF FFFF RCCC FFFF
10 FFFC FCSR CFCF CRCC CCFF RCCC FFFF FFFF FFFF FCFF CCFF CCCC
11 FCCS RCFF FFFF FFFF FRRR RCRC CRRC FFFF FFFF FFFF CCCC CFCC
12 CFFF CCFF FFFF FFRF RRFF RCRC CCFF FFFF RCRR FFFF FFFF FFFF
13 FFFF CFFC FFFF FFFF FFFC FFFF CRCC CFFF FFFF FFFF FFFF FFCS
14 SRRR FFSC FFCC CRRR FCCC CRCR CCCC FFFF RCRC FFFF CFFC CRSC
15 CCFF FFFF RCCC CCCC CCCC CCCC RCRR FFFF CCFF FFCC CCRR FFFF
16 CCRC FFFF RRRS CCFF FFFF RCCC RRCC FFFF FFFF CCRR FFFF FCCS
17 CCSS CCCC CCFF FFFF FFCR CCFF CFFF FFFF FFCR CFFF FFCR SCFF
18 FFFF CCCS CCSS FFFF RCRC FFFF FFFF FFFF FCCF FFFF CCCF SSSS
19 CCCC FFFF FFFF FFFF FRRR FFFF RFFF FFFF FFFF FCCC FFFF SSRC
20 SSSS FFFF FFFF FFFF FRRF FCFF FFRC FFFF FFFF RRRR FCRR FFFF
21 SFFF CCFF FCCC FFFF FFCC FFFF CFFF FFFF FFFF RCCC CCCC CFFC
22 CSCC CCSS CCFC FFFF CCCC FFRC FFFF FFFF CCRF CCCC CRRR CCFF
23 CCCF FFFF CFFC FFFF CCCR RCCC FCCC CFFF FFFF FFFF FFFF FFFF
24 CFCF FCCF RCCC FCCF CFCF CCFF FFFF CFFF FFFF CCCC FCCC FFFS
25 CSCC FFFF CFFF FFFF FCCC FFFF CFFC FFCR FFFF CCCF SSSC CFFF
26 CCFF CCCC FFFF FFFF CCCR CFFC RCCC CCCF FFFF FCCC FFFF CCCC
27 CSCF CRCF FFFF FFCC RCRC FFFF RCFF CCFF FFFF FFFF FFFF CFFF
28 CSCF FFFF CCCR RCCC RFFC CCCR FFFF FFFF RRRR FFFF FFFF FFCC
29 FFFF RCRR FCCF CCCF CFFC CFFF RFFF FFFF RCFF FFCR FFFF FCFF
30 FFFF **** CCSS FFFF CRRR RCFF CCRR FFFF FFFF FFFF CFFF FCSS
31 FFFF **** CCCC **** FCFF **** FFFF FFFF **** FCCR **** FFFF
1797
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF CCCC FFFF FFFF CCRC FFFF FFFF CCRR FFFF CCRR FFFF FFFF
 2 SFFF RFFF FFCC FFFR RRCC FFFF FFFF CCCC FFFF FFFF FFFF FFCC
 3 FCFF FFFF CFCF FFFF FFCC FFCC FFFF RCCR FFFF RRRR FFFF FCCF
 4 FFFC FFFF RCCF FFFF RCFF FFCC FFFF CCFF FFFF FFFF CFFR RCFF
 5 FFFF FFFF RCFF FFFF CFCR RFFF FFFF RCRC FFFF FFFF RRRR FFFF
 6 CFFF RRCC FFFF RCCC RFFF FFFF FFFF RRRR RCFF FFCF FFFF FFFF
 7 FFFF FFFF FFFC CCSS RRFF RFFF FFCC RRRC RCCC FRCF SFFF FCCC
 8 FFFF FFFF RCRC RCCR FFFF FFFF CFRF RRRR FFFF FRRR FFFF FCFC
 9 FFFF FFCC FFFF FFFF FFFF FFFF CRCF FFCC FFFF FCFC CFFF SSSS
10 FFFF CCRR FFFF FFFF FCCF FFFF CCCC FFFF FFFF RRRR FFFF FFFF
11 FFSS RRRR SSCC FCFC FFFF FFFF CCFC FFFF FFFF CCCC CSRC FFFC
12 CFFF CFFF FFFF FFFC FCRC CFFF FFFC FCCC RCCF FCCF RCRR FFCC
13 FFFF FCSS CFCC SSSS FFFF FFCC FFFF RCCF FFFF FFFF FFFF FCFC
14 CCSR CRSS CCRR SCFF FFFF RFFF FFRF FFFF FFFF FCCC FFCC FFCR
15 FFCC SSSS CCFF FFFF FFFF FFRC CCCC FFFF RCRR CCCF CFCC SSSS
16 SCCC FFFF CFRR FFCF FCCR CCRC FFFF FFFF FFFF CCFF FFFF CFFF
17 CFFF CCRR CCRR FFFF FFFF CCFF FFFF FFFF FFFF FFFF CCCC FCCS
18 SSCF CCCC FFFF FCCR CRRC RRRR FFFF RCFF FFFC FFFF CFFF CFFF
19 FFFF FFFF FFCC SSRC FFFF CCFF FFFF RCCC RFFF FFFF FCCS FFFF
20 CFCC RCFF CFFF CRRC CRRR FFFF FFFF RRRC FFFF FFCC FFFF FCCS
21 SSCC FFCC CCFF FFCC CFCC FFFF FFFF CCCC FFFF FFCC FFFF SFFF
22 SCCC SRCF CCRR FFFF RCFF FFFC FFFF RCCR FFFF RRRR CRCR FFCC
23 CFFF FFFC CFFF FFCR CCCC RRRC RCFF RCFF FFFF FFFF RRRR FFFF
24 CFFF CCCF FCCR CCCR CRRC CRRF CFFC RRFF FFFF FCRR FFFF FFFC
25 CFFF SSCF FFFF RCRF RRFC FFFF FCRR FFFC FCCF FFFF FFFC CCCR
26 CCCC FFFF FFFC FFFF FFFC FFFF CFFF CRCR CRRR CCFF RFFF CCCC
27 FFFC SCCC RRCF FFFF FCRR FFFF FFRC RCCR FFFF FFFF FFFF FFFF
28 RFFC SCFF FCCF FFFF RFFF FFFF RCRR FFFF FFFF CRCF FFFF FFFF
29 FCCR **** FFFF FFCC FFFF FFFF CFFF FFFF FFFF CCCF FFFF FFFF
30 CFFF **** FFCC RRCC FFCC FFFF FFFF RCFF CFCF FFFF FFFF FFFF
31 FCSS **** RCCR **** CCCC **** FFFF FCRF **** FFFF **** FFFF
1798
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 SSRR FCFF FCCC CRRC FFRC FFFF FFFF FCCF FFFF FFFF FCCS FCFC
 2 CFFF FFFF SSCF RRRR CCCC FFRF FFFF FFFF FFFF FFFF SCFF SSSS
 3 FFFF FFFC CCFF SSSC CFFC FCRR FFRC FFFF FFFC FFFF FFRR FFFC
 4 FFCC FCFC FFFF CCCC CFCC CCCC FFFF FFFC RCCF RFCC FFFC FCSC
 5 SSSS FCFF FFFF CCFF FFRR RCCC FFCC RRRF CRFF CCRC FSFF FFFF
 6 SCCC CFFF FFFF FFFF FRRR FCCC FFFF FFFF FFFF RRRR FFCF CSSF
 7 FFFF SFFF FFFF CFCC FFFF RRRR FFFF FFFF RCCR RRRR FFFC FFFF
 8 CCCS FFFF CCFF RCFF CFFF CRRF CFRC FFFF CCFF CCCR CFCR CCSS
 9 FFFC FFFF CCCC FFFF FRFF FRFF FFFF FFFF FFFF FFFF FFFF SSSS
10 FFFF FFFC CCCC FFCR FFRF FFFF FFFC FFFF FFFF FFFF FFFF CFFF
11 CCFF CCCS SRRC CCRC RCFF FFFF RRCC FFFF FFFF FFCC FFFC CSSF
12 FFFF SSSS SFFF RRCR FFFF FFFF CFRR RRRF FFFF CFFF CFFF FFFF
13 CFFF CFFC FFFF FFFC CCCC CFFF FFFF FFFF CFFF FCCC FFFC CCCR
14 FCCF SSSS CCFF CCRC CCCC FFFF FFFF CCCC FFFF CCCF FFFC FFFF
15 CCCC FFFF CCRR FFFF CCCC FFFC FFFF RCFF CFFF FFFF CCCC FFFF
16 RCFF FFFF FFFF FFCS CCFF FFFF FCCF FFFF FFFF FFFF FFFF FFFF 
17 FFFF FCCF FFFF SSFF FFFF FFFF RCFF FFFF FFFF FFFF FCRR FFFF
18 FFFF FFFF FFCF FFFF FFFF FFFF RRRC FFFF FFCC FFFF RRRR FFFF
19 FFFC FFFC FCRR FFFF FFFF FFFF RRRC FFFF RFCC CCCC RSFR SSSC
20 FFFC CSSR FFFF FFRR FFFF FFFF FFFF CCCC CFCC RCCR SSSS FFFF
21 FFFF CCCR FSSS RCRC FFFF RRRR FFFF CFCR RFRC RRCC CSSF FFFF
22 FCRR RCFF SCCF CRRF FFFF CFFF FFFF FFCC FFFF FFFF FFFF CFCC
23 SCFF FFFC FFFC CRRF FFRC FFFF FFFF FFFC FFFF CFCR CCCC CCCC
24 FFFC SCCC CCRR FFFF FFFC FFFF FFFF RCFF FFFC FFFF FFFF CFCF
25 FCSF SSSC CFRF FFFF RRRR RCFR RCCC FFFF RRRR FFFF FFFF FFFF
26 FSSS CFFF CFCF CRCC FFFF CFFF CCFF RCFF FFFF FFFF FFFF CFCC
27 SSSS FFFF FFFF FFFF FFFF FFFF CCFF FFFF FFFF FFFF FFFF CFFF
28 CFFF FFFF FFFF FFFF RRRR FFFF FFFF RCCC CCCC FCRR FFCC FFFC
29 CFFF **** FFFC FFFF RRCR FRFF FFFF FFFF FFFF FFFF FFFF SRRC
30 CFCF **** CFFF FFFF RRCC FFFF FFRR FFFF FFFF FCFF FFCC CFFF
31 FFFF **** FFFF **** RFFF **** FFCR FFFF **** CFFF **** CFFF
1799
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 CCSS FFFF FFFC CFFF RCRC RRRR FCCF FFFF RRRC FFFF FSFF FFFC
 2 CFFF CCCS CCCC CRRR FCFF CCCC CFFF FRRC FFFF FFFF FFFF SFFF
 3 SSSC FFFF CCFF CSCS FRRC FFFF FFFF RRCC FFFC CCFF CCFF FCRR
 4 FFFF FFFF CFCC CFFF FFFF FFFF FFFF CFFF RCCR CCCF FFFF FFFF
 5 FFFF FFFF FFFF FFFF FCCF FFFF FFRC CFFF RCRR RCFF FFFF CSSS
 6 SCFF FFFF FFFC FFFC FFCR FFCC FFFF FFFF RRRR FFFF CFFF RCCC
 7 FFFF FFFF SCFF FFFF CRRC RCCC FFFF FFCR RCCR FCCC FFFF RRRF
 8 CCCC CCRR FFFF CFFC RFFF RRRR FFCR FFFF CCCC CRRF FCRR CFFF
 9 SSCF RRCF CCRR FRRC FFFF RFFF RCFF FFFF CCCC FFFF CCCF FFFF
10 FFFC FFFF FFCC CFFF RRFF RFFF FFFF FFFF RRCC RRRR FFFF FFCS
11 CFFF FFFF SFFF FFFF FFCR FFFF FFFF RFFF FFFF CCCC FFFF CCFF
12 FFCC CFFF FFFF FFFF SRCF RCCF CRRC FFFF CFFF CCCF CRRC FFFC
13 CCSS CCRF FCCS FFFF FFFF FRFC RCFF FFFF CFFF RFFF FFFF CCCF
14 RCCC FFCS SFCF FFFF FFFC CRCC FFFF FFFF CCCR CCCR CCCC FFFC
15 FFFF SCFF FFSS FFFF FFFF RCFF FRCC FFRF FFFF CFFF CCFF FFFF
16 FFFF FFFF CFFC FFFF RCRR CFFF RFFF FFFF FFFF FFFR FFFF CCSS
17 CCFF SSSS FFFC FCFF CRCC FFFF FFFF CCRR FFFF FFFF CFCC SSFF
18 FFFF CCFF CSSS RCFF CCCF FFCF FFRC RCCC CFFC FFFF CFFR CFFC
19 CSCC FFCC FFFF FFFF FFFF FFFF CFFC RCCF CCCC FFFF FFFF SRCF
20 CCCC SFCC CCRR FFFF FFCF FFFC CCCC FCCC FFFF CCCC FFFF FFFF
21 SSCF CCCC CRRR FFFF FFCF RCFF FFFF FFFF FCCF FFFC FFFF CSSF
22 CFFF RCFF CCCC FFCF CRRR CFFF FFFF FFFF CRRF FFFC FCCC FFFF
23 CCFF FFFF SFFF FFCR RCFF FFFF FFFF FFFF FFFF FFFF FFFF CCCC
24 CCCC FFFF FFFF SCCF FFFF FFFF FFFF FFFF FFFR FFFF FFCR SCFF
25 FFFF FFFF FFFF FFFF RFFF FFCC CFCC FFFF FFCC CCCC FFCF FFFF
26 CRRR FFFF FFFF FFFF RFFF FFRR CCRF FFFF CFCF RFRF FFCC FFFF
27 RRCC SSSS RRRR FRRR FFFF FRRC CCRR FFFF FFCC CCCF FFFF FFFC
28 FFFF FFFF SCFF CFFF FFFF FFFF RRRC FFFF CFFF RCRR FFCC CCCR
29 FFCS **** SCFF FCFF FFFC FCCC RCFF FCRR RFFF FFFF RFFF CCCC
30 FCSR **** CCSC FFCC FFFC RCFF CFFF FFFF FFFF FFFF FFFF RRCR
31 CFFF **** CCCR **** CRRR **** CFFR FFFF **** FFFF **** FFFC 
1800
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF SSSC SSCF FFFF CFFC CCCC FFFF CRCR FCCF FFFF CCCC CCFF
 2 FFFF FFFF FFFF FCFF RRRR RFFF FFFF CCCC RCFF FCCC RRRF FFFF
 3 CCFF CCCC CFFF FFFF FFFF FFFF FFFF CCCR FFFF FFFF FFFF FFFF
 4 CCFF RRCS FFFC RCRR FFFF FFFF FFFF RFFF FFRF FFFF FFFF FCCF
 5 FFFC CFCC FFFF RRRR FFFF FFFF FFFF FFFF FFFF FFCC CFCC SSSS
 6 FFFF CFCC FFFF RFFF FFFF FFFF FFFF FFFF FFFF RFFF CCRF SSCC
 7 CCCF SCFF FFFF RFFF RRRR RCFF FFCC FFFC FFFF FFFF FFFF FFFF
 8 FFFF FFFC FFFF FFFF RCFF FFRF FCRC RFFF FFFC FFFF CCCC FFCC
 9 FFFF SSCF SSSS FFFF FFFF FFFF FFFF CRRR CFFF FFFC FFFF FFFF
10 FFFF FFFF FFFF CFCC FFFF FFFF FFFF RRRC FFFF FFFF FFFF FFFC
11 CCCC FFFC CRCF CFFF CCCF FFFC FFFF CFFF FFFF FFFF CFFC CFFC
12 CFFF SFFF FFFF FCRR FFCC CFRF FFFF FFFF FFFF FFFC SCCC RRRR
13 CSCC FFFF CFFF RRCC CCCC CFFF FCCF RFFF FFCF RRRR RRRC CFCF
14 FFCR CSSS FFFF CCCF CFRR FFFF FFCC FFFF CRCF FFFF FCCF FFFF
15 FFFF CFFF FCCC CCCF FRRF FFFF FFCF FFFF FFFF FCCC FFFF FFFF
16 FFCC FFFF CFFC FFFF FFFF FFFF FFFF FFFF FFCR RRRR FCCC FFFF
17 CCCR FFFF FFCC FFFF FFFF FFFF FFFF CRCC RFFF FFCC RRCC FFFF
18 RCFF FFFF CRCR FFFF RRRC CCFF FFFF CCFF FFFF RRRR RRRF FFFC
19 FSFF FFFF CFFF FFFF CCFF FFFF FFFF FFFF FFFF RFFC FFFF CFCC
20 FFCR FFFF CFFC FFFF CRRR FFFF FRRR FFFF FFCC RFFF CCCC CCCR
21 FFCC FCCF FFCS FFCR FFFF FFCC CFFF FFFF RRFR FFFC SRRR FFFF
22 FFCF FFFF SSSS CFFC FFFF RRCC FFFF FFFC RRFF CCCC FFCC FCCF
23 FFFF CFCF SCCC SFFC CCCC CCFF FFFF FFFF RCRC RRRR SSSF FFFF
24 SCCC CFFC FSCC CFFF CCCC CFFF FFFF FFFF CFFC FCFF FFFC CFFF
25 SSSS FFFF FFFF FRCC RCFF FFFF FFRC FFFF CCCC FFFF FCCF CFCC
26 FFFF FFFF FFFF FFFC CRRR FCRF FFFF FFFF RRCR FCCF FFCC CCRF
27 SFCC FFFF FFFF RRCC CCFF FFRR FFFF FRRF RCCR FFFF CFCC CCRR 
28 SSFF FCCC FFFF FFFF FFFF FCCC CFFF FFCC RRRC FFFF CFFF RRRR
29 FFFF **** CCRR FCCC FFFF FFFF FFFF CFFF FFFF FFFC FFFC RFFF
30 FFFF **** RCFF RRRR FFFF FFFF FFFF FFFC FFFF FFFC FFFF FFCS
31 FFCC **** FFFF **** CCRR **** FFRC RRFC **** CCCC **** FFCF
1801
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFCF FFFF CFFF FFFF FFFF FFRR FFFF CFRF CFFC FFFF FCCC FFFF
 2 FFCF FFFC RRCF FFFF RFFC CFFF FFFC FCRF CFFF CFFR CFFF CCCS
 3 FFFF SCFF FFFC FFFF RRRR FFFF FFCF FFFF CFFC CCRR FFFF RRRR
 4 SSSS FFFC FFFF FFCR RCFF FCRR FFFF FFFF RCCC FFFF FFFF RCCC
 5 SSCF SCCC FFFF CCRR CCFC RRRF RFFF RCCF FFFF FFFF FCCC CCCC
 6 FFFF FFFF CFSS CCCC RCRR FFFF FFFF FFFF FFCF FFFF RCFF RCRF
 7 CCRR RCFF SSCC CCCC CFFC FFFF FFFF FFFC CFFF CFFF FFFF FFFF
 8 RRFF FFFF SCCC CCRR CRRR FFRF FFFR FFFF FFFF FFFF FFFF FFFF
 9 FFFF SSCF FFFF RCRR FFFF CFFF FFFF FCRR FFCC FFFF FFFF FFFR
10 CFRR FCCC FFCR SRRR CCCC FFFF FFFF CCRR CCRF FFFF FFFF RRRR
11 FFCC SSSS RRRF CFFF FFFC FFFF FFFC CCFF FFFF FFFF RRRR FFFF
12 FFFF FFFF RCFF FFFF CCRC FFFF FFFF FFRF FFFF CCCC RCCC FFFF
13 FCCC FFCS RRRC FFCC CCCC FFFF FFRR CFRR FFFF CCCC CCFF FCCC
14 FFCC SFFF CCCR FFCC CCFR FFFF CFFF FFFF FFFF RRCF FFFF CCCC
15 RRRF FFFF CCCC FFFF FFFF RFFR FFFC FFFF CCCC FFFF FFCR FFFF
16 FFFF FFFF FFFF FFCC FFRR CFRR FFRF CRCR CCFC FFFF RCCC FFFF
17 FFFF FFCR FFCC RFFF FFFF RFFF CFFF FFFF CFFF FFRR FFFR FFFF
18 FFFF RRRR CCCR FFFF FFRR CFFC FFFF FFFF FFFF FFFF RRRR FFFF
19 SCRR CFFF RRRR FFCC CFFF CFFF RRRR FFFF FFFF FFFF FFFF FFFF
20 SSSS CFFF RRRR CCCC FFFF CFFF RFRR FFCF FFFF FFFF FFFF FFFF
21 FFFF FFFF RRRR FFFF FFRC FFFF FCCC FFFF CFFF FFFF FFFC CFFF
22 FFFF FFFF RRCR CFFC FCRC CCFF RCRR FFCF FFFF FFFF CCCC FFFC
23 FFFF FFFF CCCR FCFR RCFF FFFF CRFF RCFR CFFF FFFF FFFF RRRR
24 FFFF CFFF CFCC RRCC FFFF FFCR FFFF FFFF FFFF FFFF RRRR FFFF
25 FFFC CFFF SSCC FRRC CCCC FFFF RCRR RCFF FFFF FFFF FFFF CFFF
26 CFFF FFFF CSFF CFFF CCFF FFRF RRRR FFFF FRRC FCCF FFFF FFFC
27 FFFF CFFF FFFF FFFF FFFF RFFF FFFF FFFF FFFF FFFF FFFF RRRC
28 FFCC FFFF FFFF FFFF RFCC FFFF FFFF FFFF FFFF FFFF FFFF CCCC
29 RRFF **** CRCR CFFF FCRR FFFF FFFF CCRR FFFF FFFF RFFC SCFF
30 FFFC **** RRRR FFFF FFFF FFFF FFFF FFFF FFFF FFFF CFCC FFCC
31 FFFF **** RCCF **** FFFF **** CCCC CRCR **** FFFF **** CFCC
1802
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF FFCR SCRR RRRC FFFF CFFF FFCR FFFF FFFF FFFF RCFF RRCC
 2 CCFF FFFF RCRC FFFF CFCF FFFF FFFF CRRR FFFF FFFF FFCR FFFF
 3 FFFC SSFF FFFF CFCC FFFF RRRR FFRR RCFF FFCR FFFF SRRR FFFF
 4 RRHR FFFF CCCF FFFF RCFF FFFF FFFF FFFF CFFF FFFF FFFF FFFF
 5 FFFF FFFF FFFF FFFF FFFF FFFF FFCR FFFF FFFF FFFF FFFF CCRR
 6 FFFF FFFF RCRF FFFF CCCR FFFF RCCR CFCC FFCF FFFF FFFF CFFF
 7 RCFF SRCC FFFF CRFF CCFF FFFC CCFF RFCC FFCC FFFF CFFF FFCC
 8 FFFF FFFF FFCF FFFF CFFF RCFF CCFF FFFF CFFF FFFF FFFF FFFC
 9 CRRR FFSC FFCR FFFC FFCF FFFF CCFF FFCF CFCR FFFF FFFF SCFF
10 RRFF FCFF SSSF RCFF FFFF FCFF FFFF FFFF RCRF FFFF FFFF FFFF
11 FFFF FFCC FFFF FFFF RCFF FFFC FCRF FFFF FFFF FFFF FFFF CSSC
12 FCFF CCFS FFFF FFFF CRRR RRCF FFFF FRCR FFFF FFFC FFFF CFFF
13 FFFF CRCC SRSC FCCR CCCC CFFC FFCF RCCC FFFF FFFF CFFC FFFF
14 SCFF CFFF FFFF FFFF CRRC CFFF FFFF CFFF FRFR RFRR CFFF CCRF
15 CFFC FFFF FFFF FFFC CCCC CFFF FFFF CRRR FFFF CCCC FFFF FFFF
16 FCCF FFFF FFCC SCFF FFFC FFFF FFFF CCFF FFCC CRCR FFCR FFFF
17 FFFF FCRF CFFF FFCC RRRR FFFF CFCC CCFR CCRF CFCR CFFF FFFF
18 CFSC FFFF FFFF RCCC RRCR FFFF CRFF FFCC CFFF CRCF FFCC FCCC
19 FCFF FFFF FFFC CFFF CCCC FFFF CRRC RCCC CFFF FFFF FFFC CCFC
20 FFFF CFCF CRSS FFFF CFFF RRFF CFFF FFCR CFCF FFCR FFFF FFCF
21 CRRR FFFF CSFF FFFF FFCC FFFF FFFF CFFF CCFF RRRF FFCF RRFF
22 FFFF SSSS FFFF FFFF RCFC CCCC FFFF FFFF RRCC CCCC FFCR RRRC
23 FFCS CFFF FFFF FFFF RRRR CCCR CCFF FFCR RCCR FFFF FFFF CRRF
24 FFFF FFCC FFCC FFFF FCCC CCRR CRRC FFFF RRRF CCCC FFFF FCFF
25 FFCF SSSS CFFF FCFF RRCR CCRC RFFF FCCR FFFF FFFF FFFF FFFF
26 FFFF RRRR FFFF FFFF CCCC CFFC FFFF CCFF FFCC FFCR CCCR CCCC
27 CFFF SSSS CCCF FFFF CFFF CFFF CCFF CFCF CCFF RRRC FFCF FFCF
28 FFFC SSSS CFFF FFFF CFCR CFCR CFCF CCCR FFFF CFFF FFFF CFCC
29 CCRF **** FFFC FFFC RRRC RCFF CCFF RRCC FFFF FFFC FFFF RRCC
30 FFFF **** SSCC RCCC CFFC FFFF CCCC CFFF FFFF FFFF FFCF CSSS
31 FFFF **** CCCC **** RRCC **** FCFF FFFF **** FCRR **** SFFF
1803
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
