date,p0,p1,datestring
1786-05-12,1011.4,1010.6,1786_May_12
1786-05-13,1008.2,1010.9,1786_May_13
1786-05-14,1010.7,1009.5,1786_May_14
1786-05-15,1012.6,1016.0,1786_May_15
1786-05-16,1008.0,1004.3,1786_May_16
1786-05-17,1003.0,1005.2,1786_May_17
1786-05-18,1005.0,1006.2,1786_May_18
1786-05-19,1008.6,1014.1,1786_May_19
1786-05-20,1017.9,1017.5,1786_May_20
1786-05-21,1018.2,1015.7,1786_May_21
1786-05-22,1016.3,1016.0,1786_May_22
1786-05-23,1016.5,1015.9,1786_May_23
1786-05-24,1014.6,9999.9,1786_May_24
1786-05-25,9999.9,1014.9,1786_May_25
1786-05-26,1018.6,1020.5,1786_May_26
1786-05-27,1019.8,1020.2,1786_May_27
1786-05-28,1019.6,1017.4,1786_May_28
1786-05-29,1016.9,1019.1,1786_May_29
1786-05-30,1020.4,1019.9,1786_May_30
1786-05-31,1018.2,1017.3,1786_May_31
1786-06-01,1016.5,1015.0,1786_June_1
1786-06-02,1015.5,9999.9,1786_June_2
1786-06-03,1008.7,1002.3,1786_June_3
1786-06-04,1002.0,9999.9,1786_June_4
1786-06-05,1008.6,1004.8,1786_June_5
1786-06-06,1003.8,999.3,1786_June_6
1786-06-07,999.0,998.9,1786_June_7
1786-06-08,999.0,999.1,1786_June_8
1786-06-09,1004.1,1011.2,1786_June_9
1786-06-10,1011.8,1007.2,1786_June_10
1786-06-11,1004.9,998.5,1786_June_11
1786-06-12,997.3,1001.6,1786_June_12
1786-06-13,1004.1,1004.0,1786_June_13
1786-06-14,1007.3,1010.0,1786_June_14
1786-06-15,1013.2,1015.3,1786_June_15
1786-06-16,1017.2,1011.9,1786_June_16
1786-06-17,1009.4,1006.4,1786_June_17
1786-06-18,1005.4,1003.2,1786_June_18
1786-06-19,1003.8,999.2,1786_June_19
1786-06-20,1002.3,1003.9,1786_June_20
1786-06-21,1004.2,1004.1,1786_June_21
1786-06-22,1005.3,1007.0,1786_June_22
1786-06-23,1006.7,1005.7,1786_June_23
1786-06-24,1005.4,1002.8,1786_June_24
1786-06-25,1002.6,1001.9,1786_June_25
1786-06-26,1002.7,1005.1,1786_June_26
1786-06-27,1003.7,1004.7,1786_June_27
1786-06-28,1007.6,1008.0,1786_June_28
1786-06-29,1008.4,1006.5,1786_June_29
1786-06-30,1008.7,1012.7,1786_June_30
,9999.9,9999.9,1786_June_31
1786-07-01,1017.3,1013.2,1786_July_1
1786-07-02,1011.2,1005.5,1786_July_2
1786-07-03,1007.4,1007.8,1786_July_3
1786-07-04,1007.6,1004.4,1786_July_4
1786-07-05,1007.0,1007.3,1786_July_5
1786-07-06,1008.7,1009.4,1786_July_6
1786-07-07,1009.3,1008.9,1786_July_7
1786-07-08,1005.6,9999.9,1786_July_8
1786-07-09,1008.6,1007.4,1786_July_9
1786-07-10,1008.8,1009.1,1786_July_10
1786-07-11,1008.9,1004.9,1786_July_11
1786-07-12,1003.0,1006.6,1786_July_12
1786-07-13,9999.9,1011.4,1786_July_13
1786-07-14,1011.8,1006.4,1786_July_14
1786-07-15,1005.3,1004.0,1786_July_15
1786-07-16,1005.5,1000.5,1786_July_16
1786-07-17,1004.0,1010.8,1786_July_17
1786-07-18,1010.5,1004.2,1786_July_18
1786-07-19,1003.2,1004.2,1786_July_19
1786-07-20,1006.5,9999.9,1786_July_20
1786-07-21,1008.6,1008.8,1786_July_21
1786-07-22,1008.3,1006.1,1786_July_22
1786-07-23,1004.3,1004.3,1786_July_23
1786-07-24,1005.0,1006.9,1786_July_24
1786-07-25,1010.3,1009.9,1786_July_25
1786-07-26,1009.1,1006.3,1786_July_26
1786-07-27,1005.0,1006.3,1786_July_27
1786-07-28,1010.2,1010.8,1786_July_28
1786-07-29,1010.6,1012.9,1786_July_29
1786-07-30,1014.2,9999.9,1786_July_30
1786-07-31,1017.9,1017.0,1786_July_31
1786-08-01,1016.4,1014.6,1786_August_1
1786-08-02,1011.6,1008.6,1786_August_2
1786-08-03,1010.1,1009.2,1786_August_3
1786-08-04,1010.6,1009.5,1786_August_4
1786-08-05,1010.5,1009.2,1786_August_5
1786-08-06,1009.5,1011.6,1786_August_6
1786-08-07,1016.4,1014.8,1786_August_7
1786-08-08,1014.7,1011.7,1786_August_8
1786-08-09,1010.3,1005.9,1786_August_9
1786-08-10,1006.7,1008.2,1786_August_10
1786-08-11,1007.8,1002.2,1786_August_11
1786-08-12,996.9,1006.2,1786_August_12
1786-08-13,1008.1,1007.3,1786_August_13
1786-08-14,1007.1,1007.8,1786_August_14
1786-08-15,1010.6,1010.4,1786_August_15
1786-08-16,1014.2,1013.6,1786_August_16
1786-08-17,1013.2,1012.1,1786_August_17
1786-08-18,1012.0,1013.6,1786_August_18
1786-08-19,1016.5,1013.9,1786_August_19
1786-08-20,1014.5,1011.3,1786_August_20
1786-08-21,1012.1,1009.1,1786_August_21
1786-08-22,1006.0,1011.1,1786_August_22
1786-08-23,1010.6,1005.6,1786_August_23
1786-08-24,1011.2,1015.9,1786_August_24
1786-08-25,1017.7,1014.1,1786_August_25
1786-08-26,1011.1,1007.0,1786_August_26
1786-08-27,1006.6,1017.0,1786_August_27
1786-08-28,1021.6,1019.7,1786_August_28
1786-08-29,1011.7,1009.7,1786_August_29
1786-08-30,1014.7,1015.8,1786_August_30
1786-08-31,1015.7,1014.3,1786_August_31
1786-09-01,1012.6,1015.4,1786_September_1
1786-09-02,1014.7,1010.7,1786_September_2
1786-09-03,1010.3,1003.8,1786_September_3
1786-09-04,1010.0,1017.2,1786_September_4
1786-09-05,1014.2,1007.1,1786_September_5
1786-09-06,1007.3,1009.5,1786_September_6
1786-09-07,1011.2,1020.7,1786_September_7
1786-09-08,1023.3,9999.9,1786_September_8
1786-09-09,1014.2,1007.4,1786_September_9
1786-09-10,998.0,993.6,1786_September_10
1786-09-11,993.1,998.5,1786_September_11
1786-09-12,1001.4,1004.9,1786_September_12
1786-09-13,1008.1,1013.0,1786_September_13
1786-09-14,1014.3,1015.6,1786_September_14
1786-09-15,1015.4,1012.8,1786_September_15
1786-09-16,1018.4,1019.2,1786_September_16
1786-09-17,1019.6,1016.9,1786_September_17
1786-09-18,1016.8,1012.9,1786_September_18
1786-09-19,1010.5,1002.3,1786_September_19
1786-09-20,1000.3,1003.6,1786_September_20
1786-09-21,1006.1,1012.2,1786_September_21
1786-09-22,1015.3,1012.9,1786_September_22
1786-09-23,1011.0,1010.2,1786_September_23
1786-09-24,1014.7,1016.7,1786_September_24
1786-09-25,1016.4,1008.3,1786_September_25
1786-09-26,1008.0,1009.0,1786_September_26
1786-09-27,1012.5,1011.2,1786_September_27
1786-09-28,1010.3,1009.2,1786_September_28
1786-09-29,1012.2,1013.4,1786_September_29
1786-09-30,1013.4,1012.1,1786_September_30
,9999.9,9999.9,1786_September_31
1786-10-01,1013.5,1010.5,1786_October_1
1786-10-02,1011.1,1009.0,1786_October_2
1786-10-03,1013.8,1014.8,1786_October_3
1786-10-04,1015.0,1010.4,1786_October_4
1786-10-05,1007.9,998.0,1786_October_5
1786-10-06,991.0,988.7,1786_October_6
1786-10-07,996.4,1003.1,1786_October_7
1786-10-08,1004.7,9999.9,1786_October_8
1786-10-09,1001.0,9999.9,1786_October_9
1786-10-10,1007.8,1008.0,1786_October_10
1786-10-11,1009.2,1006.0,1786_October_11
1786-10-12,1003.0,999.2,1786_October_12
1786-10-13,1007.2,1009.3,1786_October_13
1786-10-14,1013.9,1011.6,1786_October_14
1786-10-15,1008.9,1008.1,1786_October_15
1786-10-16,1009.0,1003.5,1786_October_16
1786-10-17,998.6,1005.0,1786_October_17
1786-10-18,1012.2,1019.6,1786_October_18
1786-10-19,1025.3,1022.5,1786_October_19
1786-10-20,1020.8,1014.1,1786_October_20
1786-10-21,1013.4,1008.2,1786_October_21
1786-10-22,1003.8,1002.7,1786_October_22
1786-10-23,1008.3,1011.1,1786_October_23
1786-10-24,1015.3,1026.4,1786_October_24
1786-10-25,1026.8,1013.4,1786_October_25
1786-10-26,1011.3,999.7,1786_October_26
1786-10-27,998.8,1001.8,1786_October_27
1786-10-28,1005.5,1001.5,1786_October_28
1786-10-29,1001.8,1010.5,1786_October_29
1786-10-30,1013.9,1009.9,1786_October_30
1786-10-31,1012.0,1010.1,1786_October_31
1786-11-01,1011.1,1016.7,1786_November_1
1786-11-02,1024.0,1021.6,1786_November_2
1786-11-03,1013.0,1000.2,1786_November_3
1786-11-04,1003.6,1007.6,1786_November_4
1786-11-05,1008.7,1001.2,1786_November_5
1786-11-06,1011.9,1011.5,1786_November_6
1786-11-07,1010.2,9999.9,1786_November_7
1786-11-08,9999.9,9999.9,1786_November_8
1786-11-09,9999.9,999.6,1786_November_9
1786-11-10,998.1,995.1,1786_November_10
1786-11-11,1003.7,1013.1,1786_November_11
1786-11-12,1013.8,1005.3,1786_November_12
1786-11-13,1008.9,1016.6,1786_November_13
1786-11-14,1017.1,1010.9,1786_November_14
1786-11-15,1006.1,1004.3,1786_November_15
1786-11-16,1014.3,1021.2,1786_November_16
1786-11-17,1016.7,1006.3,1786_November_17
1786-11-18,1019.9,1015.4,1786_November_18
1786-11-19,1018.5,1016.7,1786_November_19
1786-11-20,1013.6,997.0,1786_November_20
1786-11-21,1010.0,1016.0,1786_November_21
1786-11-22,1019.0,1009.1,1786_November_22
1786-11-23,1007.6,1007.1,1786_November_23
1786-11-24,1009.1,1013.8,1786_November_24
1786-11-25,1016.5,1022.2,1786_November_25
1786-11-26,1028.0,1020.5,1786_November_26
1786-11-27,1011.6,998.1,1786_November_27
1786-11-28,1015.4,1021.5,1786_November_28
1786-11-29,1022.9,1013.1,1786_November_29
1786-11-30,1003.7,1000.1,1786_November_30
,9999.9,9999.9,1786_November_31
1786-12-01,1007.5,1006.5,1786_December_1
1786-12-02,1015.0,1012.9,1786_December_2
1786-12-03,1012.8,1029.5,1786_December_3
1786-12-04,1035.1,1017.8,1786_December_4
1786-12-05,1000.3,1012.1,1786_December_5
1786-12-06,1020.6,1019.7,1786_December_6
1786-12-07,1017.9,1015.6,1786_December_7
1786-12-08,1018.1,1020.3,1786_December_8
1786-12-09,1018.7,9999.9,1786_December_9
1786-12-10,986.2,1013.1,1786_December_10
1786-12-11,1026.6,1037.9,1786_December_11
1786-12-12,9999.9,9999.9,1786_December_12
1786-12-13,1026.3,1020.2,1786_December_13
1786-12-14,1001.2,1007.1,1786_December_14
1786-12-15,1011.8,1012.5,1786_December_15
1786-12-16,1016.6,1014.9,1786_December_16
1786-12-17,1011.4,9999.9,1786_December_17
1786-12-18,1008.2,1013.3,1786_December_18
1786-12-19,1014.4,1007.0,1786_December_19
1786-12-20,1008.7,1016.2,1786_December_20
1786-12-21,1017.8,1012.7,1786_December_21
1786-12-22,1014.1,1010.4,1786_December_22
1786-12-23,1006.2,1003.0,1786_December_23
1786-12-24,1002.4,1015.3,1786_December_24
1786-12-25,1023.8,1012.5,1786_December_25
1786-12-26,1021.4,1020.4,1786_December_26
1786-12-27,1019.7,1013.7,1786_December_27
1786-12-28,1013.6,1024.1,1786_December_28
1786-12-29,1032.1,1033.8,1786_December_29
1786-12-30,1034.7,9999.9,1786_December_30
1786-12-31,1021.0,1018.3,1786_December_31
1787-01-01,1015.2,1015.6,1787_January_1
1787-01-02,1026.5,1018.0,1787_January_2
1787-01-03,1008.5,997.1,1787_January_3
1787-01-04,1004.0,995.7,1787_January_4
1787-01-05,992.0,1013.2,1787_January_5
1787-01-06,1024.8,1029.1,1787_January_6
1787-01-07,1034.8,1009.6,1787_January_7
1787-01-08,1014.8,1017.9,1787_January_8
1787-01-09,1015.2,1010.0,1787_January_9
1787-01-10,1004.6,1007.5,1787_January_10
1787-01-11,1006.5,1003.1,1787_January_11
1787-01-12,1002.5,1011.4,1787_January_12
1787-01-13,1019.1,1025.4,1787_January_13
1787-01-14,1016.8,1014.7,1787_January_14
1787-01-15,1002.0,1000.9,1787_January_15
1787-01-16,1010.0,995.8,1787_January_16
1787-01-17,1001.7,996.4,1787_January_17
1787-01-18,1007.3,1017.5,1787_January_18
1787-01-19,1031.3,1032.7,1787_January_19
1787-01-20,1022.0,1016.1,1787_January_20
1787-01-21,1014.7,1018.0,1787_January_21
1787-01-22,1022.2,1034.1,1787_January_22
1787-01-23,1037.0,1017.8,1787_January_23
1787-01-24,1015.7,1015.6,1787_January_24
1787-01-25,1027.1,1027.3,1787_January_25
1787-01-26,1008.5,1006.5,1787_January_26
1787-01-27,1012.5,1018.4,1787_January_27
1787-01-28,1028.3,1028.9,1787_January_28
1787-01-29,1023.2,1001.4,1787_January_29
1787-01-30,1001.9,1006.0,1787_January_30
1787-01-31,1014.0,1025.4,1787_January_31
1787-02-01,1028.7,1025.5,1787_February_1
1787-02-02,1027.5,1021.6,1787_February_2
1787-02-03,1013.6,1000.0,1787_February_3
1787-02-04,1003.9,1027.6,1787_February_4
1787-02-05,1032.7,1015.3,1787_February_5
