,Stn,Datum,Tijd,P,qP,T,qT
96,44,19380218,8.0,762.7873999999999,0,24.444444444444443,0
97,44,19380218,15.0,761.2379999999999,0,26.666666666666668,0
98,44,19380219,8.0,762.2794,0,24.444444444444443,0
99,44,19380219,15.0,760.9331999999999,0,27.22222222222222,0
100,44,19380220,8.0,762.1777999999999,0,25.27777777777778,0
101,44,19380220,15.0,760.6537999999999,0,27.5,0
102,44,19380221,8.0,761.8729999999999,0,25.555555555555557,0
103,44,19380221,15.0,760.4252,0,27.22222222222222,0
104,44,19380222,8.0,762.635,0,25.555555555555557,0
105,44,19380222,15.0,761.4158,0,27.22222222222222,0
106,44,19380223,8.0,762.7112,0,25.0,0
107,44,19380223,15.0,760.6791999999999,0,27.22222222222222,0
108,44,19380224,8.0,762.127,0,25.0,0
109,44,19380224,15.0,760.5014,0,26.666666666666668,0
110,44,19380225,8.0,762.127,0,25.555555555555557,0
111,44,19380225,15.0,760.4252,0,27.22222222222222,0
112,44,19380226,8.0,761.8475999999999,0,25.833333333333332,0
113,44,19380226,15.0,760.1712,0,27.22222222222222,0
114,44,19380227,8.0,762.3556,0,25.833333333333332,0
115,44,19380227,15.0,760.3489999999999,0,27.77777777777778,0
116,44,19380228,8.0,762.5333999999999,0,26.38888888888889,0
117,44,19380228,15.0,760.603,0,27.77777777777778,0
118,44,19380301,8.0,762.0762,0,26.11111111111111,0
119,44,19380301,15.0,760.857,0,27.77777777777778,0
120,44,19380302,8.0,762.8381999999999,0,26.11111111111111,0
121,44,19380302,15.0,760.9078,0,27.5,0
122,44,19380303,8.0,762.381,0,25.555555555555557,0
123,44,19380303,15.0,760.6791999999999,0,27.22222222222222,0
124,44,19380304,8.0,761.9492,0,25.0,0
125,44,19380304,15.0,760.1966,0,26.944444444444443,0
126,44,19380305,8.0,761.4412,0,25.0,0
127,44,19380305,15.0,759.4091999999999,0,27.22222222222222,0
128,44,19380306,8.0,761.8729999999999,0,25.555555555555557,0
129,44,19380306,15.0,759.9426,0,26.944444444444443,0
130,44,19380307,8.0,762.1777999999999,0,25.27777777777778,0
131,44,19380307,15.0,760.9585999999999,0,26.944444444444443,0
132,44,19380308,8.0,762.7112,0,25.0,0
133,44,19380308,15.0,761.1618,0,27.22222222222222,0
134,44,19380309,8.0,763.2192,0,25.0,0
135,44,19380309,15.0,761.2379999999999,0,26.666666666666668,0
136,44,19380310,8.0,761.6189999999999,0,25.555555555555557,0
137,44,19380310,15.0,759.8664,0,25.555555555555557,0
138,44,19380311,8.0,761.1618,0,25.27777777777778,0
139,44,19380311,15.0,759.4091999999999,0,27.22222222222222,0
140,44,19380312,8.0,761.6698,0,25.27777777777778,0
141,44,19380312,15.0,759.9426,0,26.944444444444443,0
142,44,19380313,8.0,762.2031999999999,0,25.0,0
143,44,19380313,15.0,760.1458,0,27.5,0
144,44,19380314,8.0,762.889,0,25.555555555555557,0
145,44,19380314,15.0,761.6698,0,27.22222222222222,0
146,44,19380315,8.0,762.635,0,25.555555555555557,0
147,44,19380315,15.0,760.857,0,27.77777777777778,0
148,44,19380316,8.0,762.1016,0,25.833333333333332,0
149,44,19380316,15.0,760.3235999999999,0,28.055555555555557,0
150,44,19380317,8.0,761.3396,0,25.833333333333332,0
151,44,19380317,15.0,760.1712,0,27.22222222222222,0
152,44,19380318,8.0,761.8222,0,26.11111111111111,0
153,44,19380318,15.0,760.3489999999999,0,27.77777777777778,0
154,44,19380319,8.0,761.8475999999999,0,25.833333333333332,0
155,44,19380319,15.0,760.1458,0,27.5,0
156,44,19380320,8.0,761.8475999999999,0,25.833333333333332,0
157,44,19380320,15.0,760.0949999999999,0,27.77777777777778,0
158,44,19380321,8.0,761.8222,0,26.11111111111111,0
159,44,19380321,15.0,760.3997999999999,0,27.5,0
160,44,19380322,8.0,761.365,0,25.555555555555557,0
161,44,19380322,15.0,759.8918,0,27.5,0
162,44,19380323,8.0,761.5935999999999,0,25.833333333333332,0
163,44,19380323,15.0,760.0949999999999,0,27.77777777777778,0
164,44,19380324,8.0,761.8222,0,26.11111111111111,0
165,44,19380324,15.0,759.6378,0,27.5,0
166,44,19380325,8.0,761.3396,0,25.833333333333332,0
167,44,19380325,15.0,759.6632,0,27.22222222222222,0
168,44,19380326,8.0,761.5935999999999,0,25.833333333333332,0
169,44,19380326,15.0,759.8918,0,27.5,0
170,44,19380327,8.0,761.8222,0,26.11111111111111,0
171,44,19380327,15.0,760.0949999999999,0,27.77777777777778,0
172,44,19380328,8.0,761.7714,0,26.38888888888889,0
173,44,19380328,15.0,760.4252,0,27.22222222222222,0
174,44,19380329,8.0,762.5333999999999,0,26.38888888888889,0
175,44,19380329,15.0,761.2379999999999,0,28.61111111111111,0
176,44,19380330,8.0,763.524,0,26.666666666666668,0
177,44,19380330,15.0,761.0602,0,28.055555555555557,0
178,44,19380331,8.0,762.3302,0,26.11111111111111,0
179,44,19380331,15.0,760.3235999999999,0,28.055555555555557,0
180,44,19380401,8.0,761.8222,0,26.11111111111111,0
181,44,19380401,15.0,760.3997999999999,0,27.5,0
182,44,19380402,8.0,762.1016,0,25.833333333333332,0
183,44,19380402,15.0,760.603,0,27.77777777777778,0
184,44,19380403,8.0,762.0254,0,26.38888888888889,0
185,44,19380403,15.0,760.3235999999999,0,28.055555555555557,0
186,44,19380404,8.0,761.8222,0,26.11111111111111,0
187,44,19380404,15.0,759.841,0,27.77777777777778,0
188,44,19380405,8.0,761.5681999999999,0,26.11111111111111,0
189,44,19380405,15.0,759.8918,0,27.5,0
190,44,19380406,8.0,762.0762,0,26.11111111111111,0
191,44,19380406,15.0,760.3235999999999,0,28.055555555555557,0
192,44,19380407,8.0,761.492,0,26.666666666666668,0
193,44,19380407,15.0,759.5362,0,28.333333333333332,0
194,44,19380408,8.0,762.0,0,26.666666666666668,0
195,44,19380408,15.0,760.0441999999999,0,28.333333333333332,0
196,44,19380409,8.0,761.2379999999999,0,26.666666666666668,0
197,44,19380409,15.0,759.2822,0,28.333333333333332,0
198,44,19380410,8.0,761.9492,0,26.944444444444443,0
199,44,19380410,15.0,759.7393999999999,0,28.61111111111111,0
200,44,19380411,8.0,762.6858,0,27.22222222222222,0
201,44,19380411,15.0,760.73,0,28.88888888888889,0
202,44,19380412,8.0,762.4572,0,26.944444444444443,0
203,44,19380412,15.0,760.476,0,28.88888888888889,0
204,44,19380413,8.0,761.1872,0,26.944444444444443,0
205,44,19380413,15.0,758.7742,0,28.333333333333332,0
206,44,19380414,8.0,761.0093999999999,0,26.666666666666668,0
207,44,19380414,15.0,758.7234,0,28.61111111111111,0
208,44,19380415,8.0,761.4412,0,26.944444444444443,0
209,44,19380415,15.0,759.2314,0,28.61111111111111,0
210,44,19380416,8.0,761.3141999999999,0,26.11111111111111,0
211,44,19380416,15.0,759.2822,0,28.333333333333332,0
212,44,19380417,8.0,761.492,0,26.666666666666668,0
213,44,19380417,15.0,759.8156,0,28.055555555555557,0
214,44,19380418,8.0,761.7714,0,26.38888888888889,0
215,44,19380418,15.0,760.0695999999999,0,28.055555555555557,0
216,44,19380419,8.0,762.0762,0,26.11111111111111,0
217,44,19380419,15.0,760.3235999999999,0,28.055555555555557,0
218,44,19380420,8.0,761.0348,0,26.38888888888889,0
219,44,19380420,15.0,759.0536,0,28.055555555555557,0
