,Stn,Datum,Tijd,P,qP,T,qT
0,44,19280101,8.0,758.5,0,28.0,0
1,44,19280101,15.0,756.0,0,27.0,0
2,44,19280102,8.0,758.5,0,26.5,0
3,44,19280102,15.0,756.0,0,27.0,0
4,44,19280103,8.0,758.5,0,26.5,0
5,44,19280103,15.0,756.0,0,28.0,0
6,44,19280104,8.0,758.5,0,26.5,0
7,44,19280104,15.0,757.5,0,28.0,0
8,44,19280105,8.0,758.5,0,26.5,0
9,44,19280105,15.0,757.5,0,27.5,0
10,44,19280106,8.0,758.5,0,27.0,0
11,44,19280106,15.0,756.5,0,28.0,0
12,44,19280107,8.0,758.5,0,26.5,0
13,44,19280107,15.0,757.0,0,28.0,0
14,44,19280108,8.0,758.5,0,26.5,0
15,44,19280108,15.0,757.0,0,28.0,0
16,44,19280109,8.0,757.5,0,27.0,0
17,44,19280109,15.0,756.0,0,28.5,0
18,44,19280110,8.0,757.5,0,26.5,0
19,44,19280110,15.0,756.0,0,28.0,0
20,44,19280111,8.0,758.5,0,26.5,0
21,44,19280111,15.0,756.0,0,28.0,0
22,44,19280112,8.0,758.0,0,27.0,0
23,44,19280112,15.0,756.0,0,28.0,0
24,44,19280113,8.0,758.0,0,27.0,0
25,44,19280113,15.0,756.5,0,28.0,0
26,44,19280114,8.0,758.5,0,27.0,0
27,44,19280114,15.0,756.5,0,28.0,0
28,44,19280115,8.0,758.5,0,27.0,0
29,44,19280115,15.0,756.5,0,28.0,0
30,44,19280116,8.0,758.0,0,26.5,0
31,44,19280116,15.0,756.5,0,28.0,0
32,44,19280117,8.0,757.0,0,27.0,0
33,44,19280117,15.0,756.5,0,28.0,0
34,44,19280118,8.0,757.5,0,27.0,0
35,44,19280118,15.0,755.5,0,28.5,0
36,44,19280119,8.0,757.0,0,27.0,0
37,44,19280119,15.0,755.5,0,28.5,0
38,44,19280120,8.0,757.5,0,27.5,0
39,44,19280120,15.0,755.5,0,28.0,0
40,44,19280121,8.0,758.0,0,26.0,0
41,44,19280121,15.0,756.0,0,28.0,0
42,44,19280122,8.0,757.0,0,27.0,0
43,44,19280122,15.0,756.0,0,28.0,0
44,44,19280123,8.0,757.0,0,27.0,0
45,44,19280123,15.0,755.5,0,29.0,0
46,44,19280124,8.0,757.0,0,26.5,0
47,44,19280124,15.0,755.0,0,28.0,0
48,44,19280125,8.0,758.0,0,26.5,0
49,44,19280125,15.0,755.5,0,28.0,0
50,44,19280126,8.0,757.5,0,26.5,0
51,44,19280126,15.0,756.5,0,27.5,0
52,44,19280127,8.0,757.5,0,26.5,0
53,44,19280127,15.0,756.0,0,27.5,0
54,44,19280128,8.0,758.0,0,26.5,0
55,44,19280128,15.0,756.5,0,28.0,0
56,44,19280129,8.0,757.5,0,26.5,0
57,44,19280129,15.0,756.5,0,28.0,0
58,44,19280130,8.0,757.0,0,27.0,0
59,44,19280130,15.0,755.0,0,28.5,0
60,44,19280131,8.0,757.0,0,27.0,0
61,44,19280131,15.0,755.5,0,29.0,0
62,44,19280201,8.0,757.5,0,27.0,0
63,44,19280201,15.0,755.0,0,28.5,0
64,44,19280202,8.0,757.0,0,27.5,0
65,44,19280202,15.0,755.0,0,29.0,0
66,44,19280203,8.0,757.5,0,26.5,0
67,44,19280203,15.0,755.0,0,28.0,0
68,44,19280204,8.0,758.0,0,26.5,0
69,44,19280204,15.0,756.0,0,28.0,0
70,44,19280205,8.0,757.5,0,27.0,0
71,44,19280205,15.0,756.0,0,28.0,0
72,44,19280206,8.0,757.0,0,27.0,0
73,44,19280206,15.0,756.0,0,28.0,0
74,44,19280207,8.0,757.0,0,27.0,0
75,44,19280207,15.0,755.0,0,28.5,0
76,44,19280208,8.0,757.5,0,27.0,0
77,44,19280208,15.0,755.5,0,28.5,0
78,44,19280209,8.0,758.0,0,27.0,0
79,44,19280209,15.0,756.0,0,28.0,0
80,44,19280210,8.0,758.0,0,27.0,0
81,44,19280210,15.0,756.5,0,28.0,0
82,44,19280211,8.0,758.5,0,27.0,0
83,44,19280211,15.0,756.5,0,27.5,0
84,44,19280212,8.0,758.5,0,27.0,0
85,44,19280212,15.0,756.5,0,27.5,0
86,44,19280213,8.0,758.5,0,27.0,0
87,44,19280213,15.0,756.5,0,27.5,0
88,44,19280214,8.0,758.5,0,27.0,0
89,44,19280214,15.0,756.5,0,28.0,0
90,44,19280215,8.0,758.5,0,27.0,0
91,44,19280215,15.0,756.0,0,28.5,0
92,44,19280216,8.0,758.5,0,27.0,0
93,44,19280216,15.0,756.0,0,28.0,0
94,44,19280217,8.0,758.5,0,27.0,0
95,44,19280217,15.0,756.5,0,28.0,0
96,44,19280218,8.0,757.5,0,27.0,0
97,44,19280218,15.0,756.0,0,28.0,0
98,44,19280219,8.0,757.5,0,27.0,0
99,44,19280219,15.0,756.0,0,28.0,0
100,44,19280220,8.0,758.5,0,26.5,0
101,44,19280220,15.0,757.0,0,28.0,0
102,44,19280221,8.0,758.5,0,26.5,0
103,44,19280221,15.0,757.0,0,28.0,0
104,44,19280222,8.0,758.5,0,26.5,0
105,44,19280222,15.0,756.5,0,28.0,0
106,44,19280223,8.0,758.5,0,27.0,0
