SEF	1.0
ID	Oranjestad_Aruba
Name	Oranjestad Aruba
Source	KNMI_Caribisch
Lat	12.52
Lon	-70.04
Alt	5
Link	
Vbl	rr
Stat	sum
Units	mm
Meta	Data policy=open
Year	Month	Day	Hour	Minute	Period	Precipitation	Meta
1920	01	02	00	00	day	0.0	qc=0
1920	01	03	00	00	day	0.0	qc=0
1920	01	04	00	00	day	0.0	qc=0
1920	01	05	00	00	day	0.0	qc=0
1920	01	06	00	00	day	0.0	qc=0
1920	01	07	00	00	day	0.0	qc=0
1920	01	08	00	00	day	0.0	qc=0
1920	01	09	00	00	day	0.0	qc=0
1920	01	10	00	00	day	0.0	qc=0
1920	01	11	00	00	day	16.0	qc=0
1920	01	12	00	00	day	0.0	qc=0
1920	01	13	00	00	day	0.0	qc=0
1920	01	14	00	00	day	0.0	qc=0
1920	01	15	00	00	day	0.0	qc=0
1920	01	16	00	00	day	12.0	qc=0
1920	01	17	00	00	day	0.0	qc=0
1920	01	18	00	00	day	0.0	qc=0
1920	01	19	00	00	day	0.0	qc=0
1920	01	20	00	00	day	0.0	qc=0
1920	01	21	00	00	day	0.0	qc=0
1920	01	22	00	00	day	0.0	qc=0
1920	01	23	00	00	day	0.0	qc=0
1920	01	24	00	00	day	29.0	qc=0
1920	01	25	00	00	day	0.0	qc=0
1920	01	26	00	00	day	0.0	qc=0
1920	01	27	00	00	day	0.0	qc=0
1920	01	28	00	00	day	0.0	qc=0
1920	01	29	00	00	day	0.0	qc=0
1920	01	30	00	00	day	0.0	qc=0
1920	01	31	00	00	day	0.0	qc=0
1920	02	01	00	00	day	0.0	qc=0
1920	02	02	00	00	day	0.0	qc=0
1920	02	03	00	00	day	0.0	qc=0
1920	02	04	00	00	day	0.0	qc=0
1920	02	05	00	00	day	0.0	qc=0
1920	02	06	00	00	day	0.0	qc=0
1920	02	07	00	00	day	0.0	qc=0
1920	02	08	00	00	day	0.0	qc=0
1920	02	09	00	00	day	0.0	qc=0
1920	02	10	00	00	day	0.0	qc=0
1920	02	11	00	00	day	0.0	qc=0
1920	02	12	00	00	day	0.0	qc=0
1920	02	13	00	00	day	0.0	qc=0
1920	02	14	00	00	day	0.0	qc=0
1920	02	15	00	00	day	0.0	qc=0
1920	02	16	00	00	day	0.0	qc=0
1920	02	17	00	00	day	0.0	qc=0
1920	02	18	00	00	day	0.0	qc=0
1920	02	19	00	00	day	0.0	qc=0
1920	02	20	00	00	day	0.0	qc=0
1920	02	21	00	00	day	0.0	qc=0
1920	02	22	00	00	day	0.0	qc=0
1920	02	23	00	00	day	0.0	qc=0
