"Stn",  "Datum", "Tijd", "DD","¢",   "FK",   "FF",  "FF1",  "FF2","¢",           "WW","¢",    "N","¢",    "T","¢",    "U","¢",   "EE","¢",   "Tw","¢",    "P",   "Pt",  "Pt1","¢",   "Rd",                     "Dr","¢",   "EV","¢",  "Trn",  "Tin",   "Tn","¢",  "Trx",  "Tix",   "Tx","¢"
78989, 19280101, 0730, "O"   , 00, //////, //////, //////,      3, 00, //////////////, 07,      4, 00,    242, 00,     90, 00,    202, 00,    230, 00, //////, //////,   2996, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19280101, 1300, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      2, 00,    280, 00,     70, 00,    197, 00,    240, 00, //////, //////,   2992, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19280101, 1745, "ZO"  , 00, //////, //////, //////,      4, 00, //////////////, 07,      1, 00,    252, 00,     74, 00,    177, 00,    220, 00, //////, //////,   2991, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19280101, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    205, 00, //////, //////,    298, 00
78989, 19280102, 0730, "NO"  , 00, //////, //////, //////,      3, 00, //////////////, 07,     10, 00,    235, 00,     92, 00,    199, 00,    226, 00, //////, //////,   2999, 00,    190, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19280102, 1300, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      9, 00,    260, 00,     81, 00,    202, 00,    236, 00, //////, //////,   2993, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19280102, 1745, "NO"  , 00, //////, //////, //////,      2, 00, //////////////, 07,      5, 00,    250, 00,     79, 00,    185, 00,    224, 00, //////, //////,   2991, 00,     15, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19280102, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    205, 00, //////, //////,    275, 00
78989, 19280103, 0730, "Z"   , 00, //////, //////, //////,      1, 00, //////////////, 07,      5, 00,    231, 00,     91, 00,    192, 00,    221, 00, //////, //////,   2999, 00,     80, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19280103, 1300, "NO"  , 00, //////, //////, //////,      4, 00, //////////////, 07,      4, 00,    261, 00,     72, 00,    180, 00,    225, 00, //////, //////,   2994, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
