"Stn",  "Datum", "Tijd", "DD","¢",   "FK",   "FF",  "FF1",  "FF2","¢",           "WW","¢",    "N","¢",    "T","¢",    "U","¢",   "EE","¢",   "Tw","¢",    "P",   "Pt",  "Pt1","¢",   "Rd",                     "Dr","¢",   "EV","¢",  "Trn",  "Tin",   "Tn","¢",  "Trx",  "Tix",   "Tx","¢"
78989, 19160101, 0800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      6, 00,    282, 00,     70, 00,    200, 00,    242, 00, //////,  76400, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160101, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      5, 00,    294, 00,     80, 00,    208, 00,    250, 00, //////,  76340, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160101, 1800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      6, 00,    280, 00,     70, 00,    197, 00,    240, 00, //////,  76200, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160101, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    250, 00, //////, //////,    300, 00
78989, 19160102, 0800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      5, 00,    282, 00,     71, 00,    204, 00,    244, 00, //////,  76350, //////, 00,      5, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160102, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      4, 00,    296, 00,     72, 00,    223, 00,    258, 00, //////,  76290, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160102, 1800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    280, 00,     70, 00,    197, 00,    240, 00, //////,  76200, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160102, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    248, 00, //////, //////,    298, 00
78989, 19160103, 0800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    274, 00,     71, 00,    193, 00,    236, 00, //////,  76400, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160103, 1400, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    280, 00,     72, 00,    205, 00,    244, 00, //////,  76340, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160103, 1800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      7, 00,    266, 00,     74, 00,    190, 00,    232, 00, //////,  76250, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160103, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    248, 00, //////, //////,    298, 00
78989, 19160104, 0800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,     10, 00,    238, 00,     83, 00,    182, 00,    218, 00, //////,  76350, //////, 00,     90, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160104, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      8, 00,    270, 00,     72, 00,    192, 00,    234, 00, //////,  76300, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160104, 1800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      7, 00,    260, 00,     75, 00,    187, 00,    228, 00, //////,  76190, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160104, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    225, 00, //////, //////,    280, 00
78989, 19160105, 0800, "ONO" , 00,      3, //////, //////, //////, 00, //////////////, 07,      7, 00,    262, 00,     60, 00,    153, 00,    210, 00, //////,  76350, //////, 00,    100, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160105, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      7, 00,    280, 00,     70, 00,    197, 00,    240, 00, //////,  76400, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160105, 1800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      7, 00,    266, 00,     72, 00,    187, 00,    230, 00, //////,  76300, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160105, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    220, 00, //////, //////,    275, 00
78989, 19160106, 0800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      8, 00,    260, 00,     73, 00,    183, 00,    226, 00, //////,  76400, //////, 00,     16, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160106, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      5, 00,    282, 00,     70, 00,    197, 00,    240, 00, //////,  76350, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160106, 1800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      7, 00,    262, 00,     75, 00,    189, 00,    230, 00, //////,  76250, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160106, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    235, 00, //////, //////,    285, 00
78989, 19160107, 0800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      6, 00,    270, 00,     74, 00,    196, 00,    236, 00, //////,  76290, //////, 00,     12, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19160107, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      5, 00,    280, 00,     67, 00,    189, 00,    236, 00, //////,  76250, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
