"Stn",  "Datum", "Tijd", "DD","¢",   "FK",   "FF",  "FF1",  "FF2","¢",           "WW","¢",    "N","¢",    "T","¢",    "U","¢",   "EE","¢",   "Tw","¢",    "P",   "Pt",  "Pt1","¢",   "Rd",                     "Dr","¢",   "EV","¢",  "Trn",  "Tin",   "Tn","¢",  "Trx",  "Tix",   "Tx","¢"
78989, 19190101, 0800, "NO"  , 00,      1, //////, //////, //////, 00, //////////////, 07,      6, 00,    241, 00,     85, 00,    189, 00,    223, 00, //////,  76100, //////, 00,    137, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190101, 1400, "ONO" , 00,      1, //////, //////, //////, 00, //////////////, 07,      5, 00,    268, 00,     75, 00,    195, 00,    235, 00, //////,  76000, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190101, 1800, //////, 07, //////, //////, //////, //////, 07, //////////////, 07,      6, 00,    250, 00,     80, 00,    189, 00,    226, 00, //////,  75910, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190101, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    230, 00, //////, //////,    255, 00
78989, 19190102, 0800, "N"   , 00,      1, //////, //////, //////, 00, //////////////, 07,      7, 00,    252, 00,     88, 00,    209, 00,    237, 00, //////,  76000, //////, 00,     47, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190102, 1400, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,     10, 00,    233, 00,     85, 00,    180, 00,    215, 00, //////,  75860, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190102, 1800, "NO"  , 00,      2, //////, //////, //////, 00, //////////////, 07,      7, 00,    212, 00,     90, 00,    168, 00,    201, 00, //////,  75800, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190102, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    226, 00, //////, //////,    280, 00
78989, 19190103, 0800, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      2, 00,    262, 00,     78, 00,    197, 00,    234, 00, //////,  76020, //////, 00,     94, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190103, 1400, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      4, 00,    270, 00,     77, 00,    203, 00,    240, 00, //////,  75900, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190103, 1800, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      2, 00,    256, 00,     79, 00,    193, 00,    230, 00, //////,  75780, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190103, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    226, 00, //////, //////,    265, 00
78989, 19190104, 0800, "O"   , 00,      1, //////, //////, //////, 00, //////////////, 07,      4, 00,    266, 00,     80, 00,    206, 00,    240, 00, //////,  76130, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190104, 1400, "ONO" , 00,      3, //////, //////, //////, 00, //////////////, 07,      3, 00,    282, 00,     73, 00,    208, 00,    246, 00, //////,  76050, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190104, 1800, "ONO" , 00,      1, //////, //////, //////, 00, //////////////, 07,      5, 00,    267, 00,     74, 00,    192, 00,    233, 00, //////,  75930, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190104, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    235, 00, //////, //////,    280, 00
78989, 19190105, 0800, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      4, 00,    272, 00,     71, 00,    192, 00,    235, 00, //////,  76080, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190105, 1400, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      4, 00,    288, 00,     72, 00,    212, 00,    250, 00, //////,  75950, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190105, 1800, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      5, 00,    270, 00,     72, 00,    190, 00,    233, 00, //////,  75840, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190105, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    246, 00, //////, //////,    292, 00
78989, 19190106, 0800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      4, 00,    270, 00,     71, 00,    188, 00,    232, 00, //////,  76290, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190106, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      3, 00,    288, 00,     73, 00,    216, 00,    252, 00, //////,  76190, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190106, 1800, "ONO" , 00,      2, //////, //////, //////, 00, //////////////, 07,      2, 00,    271, 00,     69, 00,    184, 00,    230, 00, //////,  76150, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190106, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    236, 00, //////, //////,    290, 00
78989, 19190107, 0800, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      4, 00,    256, 00,     78, 00,    189, 00,    228, 00, //////,  76280, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190107, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      1, 00,    278, 00,     67, 00,    187, 00,    234, 00, //////,  76140, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190107, 1800, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      3, 00,    250, 00,     79, 00,    185, 00,    224, 00, //////,  76000, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190107, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    235, 00, //////, //////,    290, 00
78989, 19190108, 0800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      2, 00,    266, 00,     72, 00,    187, 00,    230, 00, //////,  76150, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190108, 1400, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    278, 00,     71, 00,    198, 00,    240, 00, //////,  76050, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190108, 1800, "ONO" , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    259, 00,     76, 00,    187, 00,    228, 00, //////,  75860, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190108, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    236, 00, //////, //////,    282, 00
78989, 19190109, 0800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    262, 00,     78, 00,    197, 00,    234, 00, //////,  76120, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190109, 1400, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    274, 00,     75, 00,    205, 00,    242, 00, //////,  76010, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190109, 1800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    260, 00,     76, 00,    189, 00,    229, 00, //////,  75920, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190109, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    240, 00, //////, //////,    280, 00
78989, 19190110, 0800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      3, 00,    266, 00,     80, 00,    206, 00,    240, 00, //////,  76100, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190110, 1400, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    282, 00,     73, 00,    208, 00,    246, 00, //////,  76030, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190110, 1800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    265, 00,     76, 00,    195, 00,    234, 00, //////,  75880, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190110, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    245, 00, //////, //////,    284, 00
78989, 19190111, 0800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    268, 00,     80, 00,    208, 00,    242, 00, //////,  76120, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190111, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      4, 00,    281, 00,     79, 00,    223, 00,    253, 00, //////,  75950, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190111, 1800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    264, 00,     81, 00,    207, 00,    240, 00, //////,  75840, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190111, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    246, 00, //////, //////,    286, 00
78989, 19190112, 0800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      3, 00,    261, 00,     83, 00,    209, 00,    240, 00, //////,  76160, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190112, 1400, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    282, 00,     78, 00,    222, 00,    253, 00, //////,  76060, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190112, 1800, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      4, 00,    258, 00,     81, 00,    199, 00,    234, 00, //////,  76000, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190112, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    245, 00, //////, //////,    284, 00
78989, 19190113, 0800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      1, 00,    256, 00,     78, 00,    189, 00,    228, 00, //////,  76260, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190113, 1400, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      3, 00,    276, 00,     76, 00,    207, 00,    244, 00, //////,  76120, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19190113, 1800, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    260, 00,     71, 00,    176, 00,    222, 00, //////,  76000, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
