"Stn",  "Datum", "Tijd", "DD","¢",   "FK",   "FF",  "FF1",  "FF2","¢",           "WW","¢",    "N","¢",    "T","¢",    "U","¢",   "EE","¢",   "Tw","¢",    "P",   "Pt",  "Pt1","¢",   "Rd",                     "Dr","¢",   "EV","¢",  "Trn",  "Tin",   "Tn","¢",  "Trx",  "Tix",   "Tx","¢"
78989, 19240101, 0630, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,     10, 00,    248, 00,     82, 00,    190, 00,    226, 00, //////,  76226, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240101, 1300, "OZO" , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    285, 00,     89, 00,    171, 00,    228, 00, //////,  76200, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240101, 1730, "OZO" , 00,      3, //////, //////, //////, 00, //////////////, 07,      8, 00,    258, 00,     78, 00,    192, 00,    230, 00, //////,  76149, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240101, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,      0, ////////////////////////, 00, //////, 07, //////, //////,    242, 00, //////, //////,    292, 00
78989, 19240102, 0630, "NO"  , 00,      2, //////, //////, //////, 00, //////////////, 07,      6, 00,    230, 00,     93, 00,    194, 00,    222, 00, //////,  76251, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240102, 1300, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      7, 00,    278, 00,     69, 00,    191, 00,    236, 00, //////,  76226, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240102, 1730, "NO"  , 00,      3, //////, //////, //////, 00, //////////////, 07,     10, 00,    246, 00,     87, 00,    199, 00,    230, 00, //////,  76149, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240102, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,    533, ////////////////////////, 00, //////, 07, //////, //////,    225, 00, //////, //////,    289, 00
78989, 19240103, 0630, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      4, 00,    232, 00,     90, 00,    191, 00,    221, 00, //////,  76226, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240103, 1300, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    278, 00,     64, 00,    177, 00,    229, 00, //////,  76200, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240103, 1730, "NO"  , 00,      3, //////, //////, //////, 00, //////////////, 07,      6, 00,    252, 00,     80, 00,    190, 00,    227, 00, //////,  76124, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240103, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,    457, ////////////////////////, 00, //////, 07, //////, //////,    219, 00, //////, //////,    286, 00
78989, 19240104, 0630, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      4, 00,    220, 00,     93, 00,    182, 00,    212, 00, //////,  76175, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240104, 1300, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      6, 00,    255, 00,     65, 00,    157, 00,    210, 00, //////,  76175, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240104, 1730, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      5, 00,    230, 00,     85, 00,    176, 00,    212, 00, //////,  76048, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240104, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,    480, ////////////////////////, 00, //////, 07, //////, //////,    210, 00, //////, //////,    275, 00
78989, 19240105, 0630, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      7, 00,    223, 00,     92, 00,    184, 00,    214, 00, //////,  76099, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240105, 1300, "OZO" , 00,      5, //////, //////, //////, 00, //////////////, 07,      4, 00,    274, 00,     60, 00,    163, 00,    220, 00, //////,  76048, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240105, 1730, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      5, 00,    254, 00,     75, 00,    179, 00,    222, 00, //////,  75997, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240105, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,    100, ////////////////////////, 00, //////, 07, //////, //////,    218, 00, //////, //////,    281, 00
78989, 19240106, 0630, "O"   , 00,      2, //////, //////, //////, 00, //////////////, 07,      5, 00,    240, 00,     87, 00,    193, 00,    225, 00, //////,  76124, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240106, 1300, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      6, 00,    278, 00,     70, 00,    195, 00,    238, 00, //////,  76099, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240106, 1730, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    262, 00,     78, 00,    197, 00,    234, 00, //////,  75997, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240106, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,      0, ////////////////////////, 00, //////, 07, //////, //////,    229, 00, //////, //////,    283, 00
78989, 19240107, 0630, "OZO" , 00,      2, //////, //////, //////, 00, //////////////, 07,      7, 00,    250, 00,     84, 00,    197, 00,    230, 00, //////,  76124, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240107, 1300, "ZO"  , 00,      4, //////, //////, //////, 00, //////////////, 07,      4, 00,    287, 00,     67, 00,    197, 00,    242, 00, //////,  76073, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240107, 1730, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    264, 00,     78, 00,    199, 00,    236, 00, //////,  76022, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240107, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,      0, ////////////////////////, 00, //////, 07, //////, //////,    244, 00, //////, //////,    294, 00
78989, 19240108, 0630, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      4, 00,    250, 00,     84, 00,    200, 00,    232, 00, //////,  76200, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240108, 1300, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    280, 00,     70, 00,    197, 00,    240, 00, //////,  76149, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240108, 1730, "OZO" , 00,      3, //////, //////, //////, 00, //////////////, 07,      8, 00,    260, 00,     82, 00,    206, 00,    238, 00, //////,  76075, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240108, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,      0, ////////////////////////, 00, //////, 07, //////, //////,    244, 00, //////, //////,    294, 00
78989, 19240109, 0630, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      5, 00,    247, 00,     79, 00,    182, 00,    221, 00, //////,  76276, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240109, 1300, "O"   , 00,      6, //////, //////, //////, 00, //////////////, 07,      4, 00,    286, 00,     59, 00,    171, 00,    228, 00, //////,  76175, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240109, 1730, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      9, 00,    252, 00,     84, 00,    199, 00,    232, 00, //////,  76099, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240109, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,      0, ////////////////////////, 00, //////, 07, //////, //////,    239, 00, //////, //////,    292, 00
78989, 19240110, 0630, "OZO" , 00,      3, //////, //////, //////, 00, //////////////, 07,      4, 00,    247, 00,     84, 00,    195, 00,    228, 00, //////,  76175, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240110, 1300, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    286, 00,     61, 00,    178, 00,    232, 00, //////,  76124, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240110, 1730, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      4, 00,    262, 00,     77, 00,    193, 00,    232, 00, //////,  76048, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240110, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,      0, ////////////////////////, 00, //////, 07, //////, //////,    242, 00, //////, //////,    286, 00
78989, 19240111, 0630, "O"   , 00,      3, //////, //////, //////, 00, //////////////, 07,      5, 00,    248, 00,     83, 00,    194, 00,    228, 00, //////,  76124, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240111, 1300, "OZO" , 00,      5, //////, //////, //////, 00, //////////////, 07,     10, 00,    274, 00,     67, 00,    182, 00,    230, 00, //////,  76048, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240111, 1730, "O"   , 00,      4, //////, //////, //////, 00, //////////////, 07,      5, 00,    262, 00,     73, 00,    185, 00,    228, 00, //////,  76048, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19240111, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07,      0, ////////////////////////, 00, //////, 07, //////, //////,    242, 00, //////, //////,    292, 00
