,Stn,Datum,Tijd,F,qF
0,78989,18980101,1.0,—,7
1,78989,18980101,2.0,—,7
2,78989,18980101,3.0,—,7
3,78989,18980101,4.0,—,7
4,78989,18980101,5.0,—,7
5,78989,18980101,6.0,—,7
6,78989,18980101,7.0,—,7
7,78989,18980101,8.0,—,7
8,78989,18980101,9.0,—,7
9,78989,18980101,10.0,—,7
10,78989,18980101,11.0,—,7
11,78989,18980101,12.0,—,7
12,78989,18980101,13.0,—,7
13,78989,18980101,14.0,—,7
14,78989,18980101,15.0,—,7
15,78989,18980101,16.0,—,7
16,78989,18980101,17.0,—,7
17,78989,18980101,18.0,—,7
18,78989,18980101,19.0,—,7
19,78989,18980101,20.0,—,7
20,78989,18980101,21.0,—,7
21,78989,18980101,22.0,—,7
22,78989,18980101,23.0,—,7
23,78989,18980101,24.0,—,7
24,78989,18980102,1.0,—,7
25,78989,18980102,2.0,—,7
26,78989,18980102,3.0,—,7
27,78989,18980102,4.0,—,7
28,78989,18980102,5.0,—,7
29,78989,18980102,6.0,—,7
30,78989,18980102,7.0,—,7
31,78989,18980102,8.0,—,7
32,78989,18980102,9.0,—,7
33,78989,18980102,10.0,—,7
34,78989,18980102,11.0,—,7
35,78989,18980102,12.0,—,7
36,78989,18980102,13.0,—,7
37,78989,18980102,14.0,—,7
38,78989,18980102,15.0,—,7
39,78989,18980102,16.0,—,7
40,78989,18980102,17.0,—,7
41,78989,18980102,18.0,—,7
42,78989,18980102,19.0,—,7
43,78989,18980102,20.0,—,7
44,78989,18980102,21.0,—,7
45,78989,18980102,22.0,—,7
46,78989,18980102,23.0,—,7
47,78989,18980102,24.0,—,7
48,78989,18980103,1.0,—,7
49,78989,18980103,2.0,—,7
50,78989,18980103,3.0,—,7
51,78989,18980103,4.0,—,7
52,78989,18980103,5.0,—,7
53,78989,18980103,6.0,—,7
54,78989,18980103,7.0,—,7
55,78989,18980103,8.0,—,7
56,78989,18980103,9.0,—,7
57,78989,18980103,10.0,—,7
58,78989,18980103,11.0,—,7
59,78989,18980103,12.0,—,7
60,78989,18980103,13.0,—,7
61,78989,18980103,14.0,—,7
62,78989,18980103,15.0,—,7
63,78989,18980103,16.0,—,7
64,78989,18980103,17.0,—,7
65,78989,18980103,18.0,—,7
66,78989,18980103,19.0,—,7
67,78989,18980103,20.0,—,7
68,78989,18980103,21.0,—,7
69,78989,18980103,22.0,—,7
70,78989,18980103,23.0,—,7
71,78989,18980103,24.0,—,7
72,78989,18980104,1.0,—,7
73,78989,18980104,2.0,—,7
74,78989,18980104,3.0,—,7
75,78989,18980104,4.0,—,7
76,78989,18980104,5.0,—,7
77,78989,18980104,6.0,—,7
78,78989,18980104,7.0,—,7
79,78989,18980104,8.0,—,7
80,78989,18980104,9.0,—,7
81,78989,18980104,10.0,—,7
82,78989,18980104,11.0,—,7
83,78989,18980104,12.0,—,7
84,78989,18980104,13.0,—,7
85,78989,18980104,14.0,—,7
86,78989,18980104,15.0,—,7
87,78989,18980104,16.0,—,7
88,78989,18980104,17.0,—,7
89,78989,18980104,18.0,—,7
90,78989,18980104,19.0,—,7
91,78989,18980104,20.0,—,7
92,78989,18980104,21.0,—,7
93,78989,18980104,22.0,—,7
94,78989,18980104,23.0,—,7
95,78989,18980104,24.0,—,7
96,78989,18980105,1.0,—,7
97,78989,18980105,2.0,—,7
98,78989,18980105,3.0,—,7
99,78989,18980105,4.0,—,7
100,78989,18980105,5.0,—,7
101,78989,18980105,6.0,—,7
102,78989,18980105,7.0,—,7
103,78989,18980105,8.0,—,7
104,78989,18980105,9.0,—,7
105,78989,18980105,10.0,—,7
106,78989,18980105,11.0,—,7
107,78989,18980105,12.0,—,7
108,78989,18980105,13.0,—,7
109,78989,18980105,14.0,—,7
110,78989,18980105,15.0,—,7
111,78989,18980105,16.0,—,7
112,78989,18980105,17.0,—,7
113,78989,18980105,18.0,—,7
114,78989,18980105,19.0,—,7
115,78989,18980105,20.0,—,7
116,78989,18980105,21.0,—,7
117,78989,18980105,22.0,—,7
118,78989,18980105,23.0,—,7
119,78989,18980105,24.0,—,7
120,78989,18980106,1.0,—,7
121,78989,18980106,2.0,—,7
122,78989,18980106,3.0,—,7
123,78989,18980106,4.0,—,7
124,78989,18980106,5.0,—,7
125,78989,18980106,6.0,—,7
126,78989,18980106,7.0,—,7
127,78989,18980106,8.0,—,7
128,78989,18980106,9.0,—,7
129,78989,18980106,10.0,—,7
130,78989,18980106,11.0,—,7
131,78989,18980106,12.0,—,7
132,78989,18980106,13.0,—,7
133,78989,18980106,14.0,—,7
134,78989,18980106,15.0,—,7
135,78989,18980106,16.0,—,7
136,78989,18980106,17.0,—,7
137,78989,18980106,18.0,—,7
138,78989,18980106,19.0,—,7
139,78989,18980106,20.0,—,7
140,78989,18980106,21.0,—,7
141,78989,18980106,22.0,—,7
142,78989,18980106,23.0,—,7
143,78989,18980106,24.0,—,7
144,78989,18980107,1.0,—,7
145,78989,18980107,2.0,—,7
146,78989,18980107,3.0,—,7
147,78989,18980107,4.0,—,7
148,78989,18980107,5.0,—,7
149,78989,18980107,6.0,—,7
150,78989,18980107,7.0,—,7
151,78989,18980107,8.0,—,7
152,78989,18980107,9.0,—,7
153,78989,18980107,10.0,—,7
154,78989,18980107,11.0,—,7
155,78989,18980107,12.0,—,7
156,78989,18980107,13.0,—,7
157,78989,18980107,14.0,—,7
158,78989,18980107,15.0,—,7
159,78989,18980107,16.0,—,7
160,78989,18980107,17.0,—,7
161,78989,18980107,18.0,—,7
162,78989,18980107,19.0,—,7
163,78989,18980107,20.0,—,7
164,78989,18980107,21.0,—,7
165,78989,18980107,22.0,—,7
166,78989,18980107,23.0,—,7
167,78989,18980107,24.0,—,7
168,78989,18980108,1.0,—,7
169,78989,18980108,2.0,—,7
170,78989,18980108,3.0,—,7
171,78989,18980108,4.0,—,7
172,78989,18980108,5.0,—,7
173,78989,18980108,6.0,—,7
174,78989,18980108,7.0,—,7
175,78989,18980108,8.0,—,7
176,78989,18980108,9.0,—,7
177,78989,18980108,10.0,—,7
178,78989,18980108,11.0,—,7
179,78989,18980108,12.0,—,7
180,78989,18980108,13.0,—,7
181,78989,18980108,14.0,—,7
182,78989,18980108,15.0,—,7
183,78989,18980108,16.0,—,7
184,78989,18980108,17.0,—,7
185,78989,18980108,18.0,—,7
186,78989,18980108,19.0,—,7
187,78989,18980108,20.0,—,7
188,78989,18980108,21.0,—,7
189,78989,18980108,22.0,—,7
190,78989,18980108,23.0,—,7
191,78989,18980108,24.0,—,7
192,78989,18980109,1.0,—,7
193,78989,18980109,2.0,—,7
194,78989,18980109,3.0,—,7
195,78989,18980109,4.0,—,7
196,78989,18980109,5.0,—,7
197,78989,18980109,6.0,—,7
198,78989,18980109,7.0,—,7
199,78989,18980109,8.0,—,7
200,78989,18980109,9.0,—,7
201,78989,18980109,10.0,—,7
202,78989,18980109,11.0,—,7
203,78989,18980109,12.0,—,7
204,78989,18980109,13.0,—,7
205,78989,18980109,14.0,—,7
206,78989,18980109,15.0,—,7
207,78989,18980109,16.0,—,7
208,78989,18980109,17.0,—,7
209,78989,18980109,18.0,—,7
210,78989,18980109,19.0,—,7
211,78989,18980109,20.0,—,7
212,78989,18980109,21.0,—,7
213,78989,18980109,22.0,—,7
214,78989,18980109,23.0,—,7
215,78989,18980109,24.0,—,7
216,78989,18980110,1.0,—,7
217,78989,18980110,2.0,—,7
218,78989,18980110,3.0,—,7
219,78989,18980110,4.0,—,7
220,78989,18980110,5.0,—,7
221,78989,18980110,6.0,—,7
222,78989,18980110,7.0,—,7
223,78989,18980110,8.0,—,7
224,78989,18980110,9.0,—,7
225,78989,18980110,10.0,—,7
226,78989,18980110,11.0,—,7
227,78989,18980110,12.0,—,7
228,78989,18980110,13.0,—,7
229,78989,18980110,14.0,—,7
230,78989,18980110,15.0,—,7
231,78989,18980110,16.0,—,7
232,78989,18980110,17.0,—,7
233,78989,18980110,18.0,—,7
234,78989,18980110,19.0,—,7
235,78989,18980110,20.0,—,7
236,78989,18980110,21.0,—,7
237,78989,18980110,22.0,—,7
238,78989,18980110,23.0,—,7
239,78989,18980110,24.0,—,7
240,78989,18980111,1.0,—,7
241,78989,18980111,2.0,—,7
242,78989,18980111,3.0,—,7
243,78989,18980111,4.0,—,7
