,Stn,Datum,Tijd,F,qF
0,78989,19010101,1.0,14,0
1,78989,19010101,2.0,8,0
2,78989,19010101,3.0,10,0
3,78989,19010101,4.0,10,0
4,78989,19010101,5.0,6,0
5,78989,19010101,6.0,7,0
6,78989,19010101,7.0,11,0
7,78989,19010101,8.0,13,0
8,78989,19010101,9.0,17,0
9,78989,19010101,10.0,16,0
10,78989,19010101,11.0,16,0
11,78989,19010101,12.0,16,0
12,78989,19010101,13.0,15,0
13,78989,19010101,14.0,14,0
14,78989,19010101,15.0,15,0
15,78989,19010101,16.0,9,0
16,78989,19010101,17.0,10,0
17,78989,19010101,18.0,7,0
18,78989,19010101,19.0,5,0
19,78989,19010101,20.0,6,0
20,78989,19010101,21.0,6,0
21,78989,19010101,22.0,8,0
22,78989,19010101,23.0,7,0
23,78989,19010101,24.0,6,0
24,78989,19010102,1.0,6,0
25,78989,19010102,2.0,5,0
26,78989,19010102,3.0,5,0
27,78989,19010102,4.0,7,0
28,78989,19010102,5.0,5,0
29,78989,19010102,6.0,6,0
30,78989,19010102,7.0,5,0
31,78989,19010102,8.0,8,0
32,78989,19010102,9.0,12,0
33,78989,19010102,10.0,11,0
34,78989,19010102,11.0,12,0
35,78989,19010102,12.0,12,0
36,78989,19010102,13.0,10,0
37,78989,19010102,14.0,10,0
38,78989,19010102,15.0,10,0
39,78989,19010102,16.0,11,0
40,78989,19010102,17.0,11,0
41,78989,19010102,18.0,8,0
42,78989,19010102,19.0,8,0
43,78989,19010102,20.0,6,0
44,78989,19010102,21.0,6,0
45,78989,19010102,22.0,7,0
46,78989,19010102,23.0,7,0
47,78989,19010102,24.0,9,0
48,78989,19010103,1.0,6,0
49,78989,19010103,2.0,7,0
50,78989,19010103,3.0,4,0
51,78989,19010103,4.0,5,0
52,78989,19010103,5.0,4,0
53,78989,19010103,6.0,7,0
54,78989,19010103,7.0,7,0
55,78989,19010103,8.0,7,0
56,78989,19010103,9.0,7,0
57,78989,19010103,10.0,10,0
58,78989,19010103,11.0,10,0
59,78989,19010103,12.0,11,0
60,78989,19010103,13.0,9,0
61,78989,19010103,14.0,11,0
62,78989,19010103,15.0,11,0
63,78989,19010103,16.0,13,0
64,78989,19010103,17.0,13,0
65,78989,19010103,18.0,9,0
66,78989,19010103,19.0,10,0
67,78989,19010103,20.0,8,0
68,78989,19010103,21.0,11,0
69,78989,19010103,22.0,10,0
70,78989,19010103,23.0,10,0
71,78989,19010103,24.0,8,0
72,78989,19010104,1.0,9,0
73,78989,19010104,2.0,8,0
74,78989,19010104,3.0,8,0
75,78989,19010104,4.0,5,0
76,78989,19010104,5.0,6,0
77,78989,19010104,6.0,7,0
78,78989,19010104,7.0,8,0
79,78989,19010104,8.0,9,0
80,78989,19010104,9.0,11,0
81,78989,19010104,10.0,12,0
82,78989,19010104,11.0,13,0
83,78989,19010104,12.0,13,0
84,78989,19010104,13.0,14,0
85,78989,19010104,14.0,13,0
86,78989,19010104,15.0,13,0
87,78989,19010104,16.0,13,0
88,78989,19010104,17.0,10,0
89,78989,19010104,18.0,8,0
90,78989,19010104,19.0,7,0
91,78989,19010104,20.0,7,0
92,78989,19010104,21.0,7,0
93,78989,19010104,22.0,6,0
94,78989,19010104,23.0,6,0
95,78989,19010104,24.0,8,0
96,78989,19010105,1.0,8,0
97,78989,19010105,2.0,7,0
98,78989,19010105,3.0,7,0
99,78989,19010105,4.0,6,0
100,78989,19010105,5.0,5,0
101,78989,19010105,6.0,6,0
102,78989,19010105,7.0,6,0
103,78989,19010105,8.0,10,0
104,78989,19010105,9.0,13,0
105,78989,19010105,10.0,14,0
106,78989,19010105,11.0,14,0
107,78989,19010105,12.0,13,0
108,78989,19010105,13.0,13,0
109,78989,19010105,14.0,12,0
110,78989,19010105,15.0,11,0
111,78989,19010105,16.0,10,0
112,78989,19010105,17.0,10,0
113,78989,19010105,18.0,10,0
114,78989,19010105,19.0,7,0
115,78989,19010105,20.0,11,0
116,78989,19010105,21.0,11,0
117,78989,19010105,22.0,12,0
118,78989,19010105,23.0,10,0
119,78989,19010105,24.0,10,0
120,78989,19010106,1.0,8,0
121,78989,19010106,2.0,7,0
122,78989,19010106,3.0,7,0
123,78989,19010106,4.0,8,0
124,78989,19010106,5.0,9,0
125,78989,19010106,6.0,7,0
126,78989,19010106,7.0,6,0
127,78989,19010106,8.0,10,0
128,78989,19010106,9.0,13,0
129,78989,19010106,10.0,13,0
130,78989,19010106,11.0,14,0
131,78989,19010106,12.0,14,0
132,78989,19010106,13.0,14,0
133,78989,19010106,14.0,14,0
134,78989,19010106,15.0,14,0
135,78989,19010106,16.0,13,0
136,78989,19010106,17.0,11,0
137,78989,19010106,18.0,12,0
138,78989,19010106,19.0,11,0
139,78989,19010106,20.0,11,0
140,78989,19010106,21.0,9,0
141,78989,19010106,22.0,7,0
142,78989,19010106,23.0,7,0
143,78989,19010106,24.0,8,0
144,78989,19010107,1.0,6,0
145,78989,19010107,2.0,6,0
146,78989,19010107,3.0,6,0
147,78989,19010107,4.0,6,0
148,78989,19010107,5.0,7,0
149,78989,19010107,6.0,8,0
150,78989,19010107,7.0,8,0
151,78989,19010107,8.0,8,0
152,78989,19010107,9.0,10,0
153,78989,19010107,10.0,11,0
154,78989,19010107,11.0,12,0
155,78989,19010107,12.0,14,0
156,78989,19010107,13.0,13,0
157,78989,19010107,14.0,15,0
158,78989,19010107,15.0,13,0
159,78989,19010107,16.0,11,0
160,78989,19010107,17.0,10,0
161,78989,19010107,18.0,10,0
162,78989,19010107,19.0,9,0
163,78989,19010107,20.0,9,0
164,78989,19010107,21.0,9,0
165,78989,19010107,22.0,7,0
166,78989,19010107,23.0,7,0
167,78989,19010107,24.0,5,0
168,78989,19010108,1.0,5,0
169,78989,19010108,2.0,5,0
170,78989,19010108,3.0,6,0
171,78989,19010108,4.0,7,0
172,78989,19010108,5.0,7,0
173,78989,19010108,6.0,6,0
174,78989,19010108,7.0,6,0
175,78989,19010108,8.0,9,0
176,78989,19010108,9.0,13,0
177,78989,19010108,10.0,12,0
178,78989,19010108,11.0,13,0
179,78989,19010108,12.0,11,0
180,78989,19010108,13.0,11,0
181,78989,19010108,14.0,10,0
182,78989,19010108,15.0,11,0
183,78989,19010108,16.0,12,0
184,78989,19010108,17.0,12,0
185,78989,19010108,18.0,9,0
186,78989,19010108,19.0,9,0
187,78989,19010108,20.0,9,0
188,78989,19010108,21.0,9,0
189,78989,19010108,22.0,10,0
190,78989,19010108,23.0,8,0
191,78989,19010108,24.0,9,0
192,78989,19010109,1.0,8,0
193,78989,19010109,2.0,8,0
194,78989,19010109,3.0,8,0
195,78989,19010109,4.0,6,0
196,78989,19010109,5.0,8,0
197,78989,19010109,6.0,7,0
198,78989,19010109,7.0,7,0
199,78989,19010109,8.0,10,0
200,78989,19010109,9.0,14,0
201,78989,19010109,10.0,14,0
202,78989,19010109,11.0,15,0
203,78989,19010109,12.0,14,0
204,78989,19010109,13.0,14,0
205,78989,19010109,14.0,13,0
206,78989,19010109,15.0,13,0
207,78989,19010109,16.0,12,0
208,78989,19010109,17.0,14,0
209,78989,19010109,18.0,12,0
210,78989,19010109,19.0,12,0
211,78989,19010109,20.0,12,0
212,78989,19010109,21.0,12,0
213,78989,19010109,22.0,12,0
214,78989,19010109,23.0,12,0
215,78989,19010109,24.0,12,0
216,78989,19010110,1.0,9,0
217,78989,19010110,2.0,10,0
218,78989,19010110,3.0,10,0
219,78989,19010110,4.0,10,0
220,78989,19010110,5.0,8,0
221,78989,19010110,6.0,9,0
222,78989,19010110,7.0,9,0
223,78989,19010110,8.0,11,0
224,78989,19010110,9.0,14,0
225,78989,19010110,10.0,16,0
226,78989,19010110,11.0,16,0
227,78989,19010110,12.0,15,0
228,78989,19010110,13.0,16,0
229,78989,19010110,14.0,16,0
230,78989,19010110,15.0,15,0
231,78989,19010110,16.0,17,0
232,78989,19010110,17.0,15,0
233,78989,19010110,18.0,11,0
234,78989,19010110,19.0,12,0
235,78989,19010110,20.0,11,0
236,78989,19010110,21.0,12,0
237,78989,19010110,22.0,11,0
238,78989,19010110,23.0,11,0
239,78989,19010110,24.0,10,0
