,Stn,Datum,Tijd,F,qF
163,78989,18990107,20.0,8,0
164,78989,18990107,21.0,9,0
165,78989,18990107,22.0,11,0
166,78989,18990107,23.0,8,0
167,78989,18990107,24.0,9,0
168,78989,18990108,1.0,10,0
169,78989,18990108,2.0,11,0
170,78989,18990108,3.0,9,0
171,78989,18990108,4.0,9,0
172,78989,18990108,5.0,9,0
173,78989,18990108,6.0,11,0
174,78989,18990108,7.0,11,0
175,78989,18990108,8.0,13,0
176,78989,18990108,9.0,13,0
177,78989,18990108,10.0,17,0
178,78989,18990108,11.0,13,0
179,78989,18990108,12.0,15,0
180,78989,18990108,13.0,15,0
181,78989,18990108,14.0,14,0
182,78989,18990108,15.0,15,0
183,78989,18990108,16.0,13,0
184,78989,18990108,17.0,13,0
185,78989,18990108,18.0,11,0
186,78989,18990108,19.0,9,0
187,78989,18990108,20.0,12,0
188,78989,18990108,21.0,12,0
189,78989,18990108,22.0,10,0
190,78989,18990108,23.0,10,0
191,78989,18990108,24.0,11,0
192,78989,18990109,1.0,9,0
193,78989,18990109,2.0,9,0
194,78989,18990109,3.0,7,0
195,78989,18990109,4.0,8,0
196,78989,18990109,5.0,9,0
197,78989,18990109,6.0,9,0
198,78989,18990109,7.0,9,0
199,78989,18990109,8.0,13,0
200,78989,18990109,9.0,15,0
201,78989,18990109,10.0,16,0
202,78989,18990109,11.0,15,0
203,78989,18990109,12.0,16,0
204,78989,18990109,13.0,16,0
205,78989,18990109,14.0,16,0
206,78989,18990109,15.0,16,0
207,78989,18990109,16.0,15,0
208,78989,18990109,17.0,14,0
209,78989,18990109,18.0,11,0
210,78989,18990109,19.0,12,0
211,78989,18990109,20.0,11,0
212,78989,18990109,21.0,12,0
213,78989,18990109,22.0,12,0
214,78989,18990109,23.0,10,0
215,78989,18990109,24.0,11,0
216,78989,18990110,1.0,9,0
217,78989,18990110,2.0,10,0
218,78989,18990110,3.0,10,0
219,78989,18990110,4.0,11,0
220,78989,18990110,5.0,11,0
221,78989,18990110,6.0,8,0
222,78989,18990110,7.0,12,0
223,78989,18990110,8.0,11,0
224,78989,18990110,9.0,15,0
225,78989,18990110,10.0,17,0
226,78989,18990110,11.0,18,0
227,78989,18990110,12.0,17,0
228,78989,18990110,13.0,16,0
229,78989,18990110,14.0,16,0
230,78989,18990110,15.0,15,0
231,78989,18990110,16.0,14,0
232,78989,18990110,17.0,12,0
233,78989,18990110,18.0,11,0
234,78989,18990110,19.0,11,0
