,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,PT 19,TT 8,TT 14,TT 18,TT 19,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,dampdruk 19,RH 8,RH 14,RH 18,RH 19,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,DD 19,FF 19,8,14,18,19,Rd 8,Rd 8.1,Unnamed: 33_level_1
111,19050419.0,626.0,615.0,613.0,,268.0,291.0,258.0,,299.0,223.0,199.0,185.0,195.0,,76.0,62.0,79.0,,NE,3.0,ENE,7.0,NE,4.0,,,7.0,6.0,5.0,,,,
112,19050420.0,613.0,603.0,611.0,,274.0,294.0,260.0,,299.0,227.0,195.0,192.0,185.0,,72.0,63.0,74.0,,E,4.0,N,6.0,E,3.0,,,8.0,7.0,2.0,,,,
113,19050421.0,610.0,603.0,601.0,,256.0,301.0,264.0,,301.0,224.0,212.0,198.0,201.0,,87.0,62.0,79.0,,S,2.0,E,6.0,E,5.0,,,8.0,4.0,2.0,,,,
114,19050422.0,628.0,617.0,604.0,,261.0,258.0,248.0,,291.0,227.0,227.0,225.0,215.0,,90.0,91.0,92.0,,SE,3.0,E,3.0,SE,5.0,,,10.0,10.0,10.0,,10.0,,
115,19050423.0,629.0,625.0,620.0,,252.0,291.0,276.0,,291.0,232.0,228.0,198.0,197.0,,96.0,66.0,72.0,,SE,2.0,E,6.0,E,5.0,,,10.0,8.0,8.0,,310.0,,
116,19050424.0,633.0,616.0,625.0,,243.0,271.0,220.0,,295.0,223.0,214.0,217.0,196.0,,95.0,81.0,95.0,,SE,3.0,E,6.0,E,5.0,,,10.0,10.0,10.0,,25.0,,
117,19050425.0,629.0,618.0,625.0,,235.0,247.0,252.0,,291.0,185.0,203.0,221.0,214.0,,94.0,96.0,90.0,,NE,4.0,SE,5.0,S,3.0,,,10.0,8.0,5.0,,770.0,,
118,19050426.0,629.0,616.0,612.0,,243.0,273.0,249.0,,253.0,227.0,212.0,227.0,218.0,,94.0,84.0,93.0,,SE,4.0,E,5.0,E,4.0,,,10.0,8.0,6.0,,30.0,,
119,19050427.0,625.0,614.0,613.0,,252.0,272.0,249.0,,282.0,235.0,216.0,206.0,207.0,,91.0,77.0,88.0,,S,2.0,E,6.0,NE,6.0,,,7.0,7.0,10.0,,55.0,,
120,19050428.0,625.0,610.0,612.0,,245.0,282.0,258.0,,290.0,234.0,219.0,218.0,215.0,,96.0,77.0,87.0,,S,3.0,E,6.0,NE,6.0,,,10.0,8.0,10.0,,320.0,,
121,19050429.0,628.0,615.0,617.0,,268.0,283.0,263.0,,282.0,240.0,222.0,203.0,212.0,,85.0,71.0,83.0,,E,4.0,E,7.0,NE,4.0,,,8.0,6.0,10.0,,13.0,,
122,19050430.0,623.0,608.0,605.0,,254.0,292.0,267.0,,292.0,236.0,215.0,230.0,217.0,,90.0,76.0,83.0,,S,3.0,E,5.0,E,5.0,,,6.0,5.0,10.0,,135.0,,
123,,762.5,761.6533333333333,761.1266666666667,,25.610000000000003,28.253333333333337,25.836666666666666,,29.626666666666665,22.913333333333334,21.44,20.59,20.759999999999998,,87.66666666666667,72.93333333333334,84.13333333333334,,,3.2666666666666666,,5.4,,4.366666666666666,,,8.333333333333334,7.7,7.266666666666667,,366.3,,
124,19050501.0,620.0,610.0,601.0,,259.0,293.0,269.0,,295.0,237.0,220.0,213.0,218.0,,89.0,70.0,83.0,,S,4.0,E,5.0,NE,5.0,,,4.0,5.0,5.0,,37.0,,
125,19050502.0,624.0,603.0,605.0,,266.0,289.0,265.0,,305.0,238.0,230.0,215.0,220.0,,89.0,73.0,85.0,,S,3.0,E,5.0,ESE,2.0,,,5.0,7.0,8.0,,,,
126,19050503.0,621.0,605.0,601.0,,271.0,293.0,270.0,,297.0,241.0,217.0,215.0,217.0,,81.0,71.0,82.0,,S,6.0,S,6.0,E,5.0,,,2.0,6.0,5.0,,50.0,,
127,19050504.0,618.0,603.0,596.0,,258.0,293.0,266.0,,294.0,237.0,221.0,203.0,200.0,,90.0,67.0,77.0,,S,2.0,E,6.0,E,5.0,,,4.0,4.0,3.0,,10.0,,
128,19050505.0,613.0,599.0,596.0,,261.0,303.0,268.0,,303.0,229.0,219.0,177.0,184.0,,87.0,55.0,70.0,,SE,4.0,E,6.0,SE,6.0,,,6.0,2.0,0.0,,,,
129,19050506.0,621.0,613.0,611.0,,252.0,319.0,259.0,,307.0,239.0,212.0,207.0,208.0,,89.0,59.0,84.0,,S,4.0,S,4.0,S,1.0,,,2.0,0.0,10.0,,,,
130,19050507.0,620.0,621.0,617.0,,265.0,262.0,255.0,,322.0,233.0,216.0,232.0,209.0,,84.0,92.0,86.0,,S,3.0,S,3.0,E,7.0,,,0.0,8.0,10.0,,40.0,,
131,19050508.0,624.0,617.0,606.0,,266.0,294.0,266.0,,304.0,236.0,222.0,203.0,224.0,,85.0,66.0,86.0,,SE,4.0,E,7.0,E,6.0,,,4.0,6.0,10.0,,670.0,,
132,19050509.0,626.0,617.0,611.0,,246.0,268.0,261.0,,308.0,236.0,212.0,221.0,213.0,,92.0,90.0,85.0,,SE,3.0,SE,4.0,S,4.0,,,10.0,6.0,10.0,,,,
133,19050510.0,627.0,617.0,611.0,,253.0,279.0,263.0,,269.0,235.0,214.0,216.0,212.0,,90.0,77.0,83.0,,S,2.0,E,6.0,SE,3.0,,,7.0,5.0,8.0,,355.0,,
134,19050511.0,627.0,619.0,617.0,,249.0,264.0,266.0,,292.0,239.0,214.0,229.0,230.0,,92.0,89.0,89.0,,S,3.0,S,2.0,E,2.0,,,6.0,6.0,6.0,,45.0,,
135,19050512.0,629.0,614.0,612.0,,247.0,298.0,264.0,,282.0,241.0,217.0,206.0,209.0,,94.0,66.0,82.0,,S,3.0,E,5.0,E,7.0,,,10.0,5.0,6.0,,120.0,,
136,19050513.0,624.0,611.0,611.0,,259.0,293.0,265.0,,299.0,229.0,218.0,203.0,201.0,,88.0,67.0,78.0,,S,5.0,E,7.0,E,7.0,,,2.0,2.0,2.0,,25.0,,
137,19050514.0,612.0,625.0,625.0,,248.0,277.0,252.0,,298.0,238.0,217.0,193.0,218.0,,93.0,70.0,92.0,,S,2.0,S,3.0,S,1.0,,,8.0,7.0,8.0,,40.0,,
138,19050515.0,643.0,635.0,627.0,,242.0,263.0,252.0,,279.0,230.0,209.0,202.0,209.0,,93.0,79.0,88.0,,NE,4.0,E,5.0,E,4.0,,,10.0,8.0,5.0,,65.0,,
139,19050516.0,643.0,619.0,618.0,,245.0,313.0,261.0,,265.0,231.0,207.0,201.0,223.0,,91.0,59.0,89.0,,E,4.0,S,5.0,NNE,4.0,,,5.0,4.0,4.0,,,,
140,19050517.0,627.0,615.0,616.0,,250.0,273.0,265.0,,321.0,224.0,218.0,242.0,216.0,,93.0,90.0,84.0,,S,3.0,S,4.0,E,5.0,,,7.0,5.0,0.0,,17.0,,
141,19050518.0,617.0,612.0,607.0,,251.0,262.0,261.0,,298.0,235.0,209.0,222.0,219.0,,88.0,88.0,87.0,,S,3.0,SE,5.0,NE,6.0,,,7.0,10.0,10.0,,20.0,,
142,19050519.0,611.0,616.0,610.0,,246.0,284.0,263.0,,288.0,232.0,209.0,219.0,219.0,,91.0,76.0,86.0,,S,7.0,SE,7.0,ESE,6.0,,,10.0,8.0,7.0,,365.0,,
143,19050520.0,618.0,612.0,607.0,,254.0,266.0,258.0,,294.0,240.0,219.0,248.0,225.0,,91.0,96.0,91.0,,S,4.0,SE,3.0,SE,4.0,,,7.0,6.0,5.0,,72.0,,
144,19050521.0,620.0,618.0,616.0,,241.0,282.0,246.0,,294.0,237.0,215.0,202.0,212.0,,97.0,96.0,92.0,,SE,3.0,S,2.0,S,1.0,,,10.0,10.0,10.0,,235.0,,
145,19050522.0,626.0,613.0,604.0,,256.0,285.0,268.0,,291.0,232.0,224.0,208.0,199.0,,92.0,72.0,76.0,,ESE,3.0,E,7.0,SE,5.0,,,8.0,7.0,5.0,,180.0,,
146,19050523.0,625.0,615.0,606.0,,248.0,273.0,270.0,,293.0,232.0,223.0,231.0,209.0,,96.0,86.0,79.0,,SE,3.0,SE,4.0,SE,5.0,,,7.0,5.0,4.0,,100.0,,
147,19050524.0,623.0,611.0,608.0,,234.0,255.0,253.0,,283.0,228.0,205.0,234.0,208.0,,96.0,96.0,87.0,,S,3.0,SE,2.0,SE,2.0,,,10.0,10.0,6.0,,65.0,,
148,19050525.0,620.0,614.0,610.0,,240.0,273.0,250.0,,287.0,235.0,214.0,225.0,210.0,,97.0,83.0,89.0,,SE,2.0,E,6.0,SSW,2.0,,,10.0,7.0,10.0,,140.0,,
149,19050526.0,625.0,615.0,615.0,,244.0,282.0,253.0,,286.0,232.0,217.0,222.0,228.0,,96.0,78.0,95.0,,S,4.0,ESE,5.0,E,3.0,,,6.0,5.0,7.0,,125.0,,
150,19050527.0,627.0,623.0,619.0,,239.0,257.0,251.0,,297.0,235.0,215.0,215.0,209.0,,97.0,88.0,88.0,,SE,0.0,ESE,2.0,SE,3.0,,,10.0,10.0,6.0,,200.0,,
151,19050528.0,625.0,617.0,613.0,,250.0,251.0,248.0,,262.0,236.0,220.0,218.0,211.0,,93.0,93.0,91.0,,S,4.0,SE,5.0,SE,3.0,,,7.0,9.0,5.0,,35.0,,
152,19050529.0,629.0,617.0,608.0,,255.0,282.0,242.0,,278.0,233.0,222.0,220.0,211.0,,92.0,77.0,94.0,,SE,5.0,E,6.0,WSW,3.0,,,6.0,5.0,5.0,,185.0,,
153,19050530.0,620.0,616.0,605.0,,263.0,265.0,261.0,,293.0,227.0,212.0,230.0,213.0,,83.0,89.0,85.0,,SE,4.0,S,2.0,SSE,4.0,,,0.0,9.0,8.0,,130.0,,
154,19050531.0,618.0,607.0,603.0,,247.0,264.0,265.0,,291.0,241.0,217.0,227.0,212.0,,94.0,96.0,82.0,,SE,5.0,SSE,2.0,NNE,5.0,,,6.0,10.0,6.0,,24.0,,
155,,762.3322580645162,761.4483870967742,761.0064516129032,,25.17741935483871,27.919354838709676,25.98709677419355,,29.274193548387096,23.44516129032258,21.625806451612902,21.60967741935484,21.27741935483871,,91.06451612903226,79.16129032258064,85.3225806451613,,,3.5161290322580645,,4.548387096774194,,4.064516129032258,,,6.32258064516129,6.354838709677419,6.258064516129032,,335.0,,
156,19050601.0,621.0,606.0,612.0,,233.0,285.0,233.0,,285.0,225.0,205.0,208.0,201.0,,96.0,72.0,95.0,,SE,0.0,S,4.0,S,0.0,,,10.0,2.0,10.0,,420.0,,
157,19050602.0,622.0,603.0,613.0,,254.0,293.0,272.0,,291.0,218.0,207.0,203.0,230.0,,86.0,67.0,86.0,,S,5.0,NE,7.0,S,5.0,,,0.0,4.0,2.0,,47.0,,
158,19050603.0,617.0,611.0,602.0,,265.0,275.0,258.0,,303.0,239.0,220.0,214.0,215.0,,85.0,79.0,87.0,,SE,5.0,SE,5.0,SE,5.0,,,3.0,7.0,10.0,,2.0,,
159,19050604.0,616.0,610.0,607.0,,240.0,276.0,258.0,,298.0,234.0,216.0,213.0,205.0,,97.0,78.0,83.0,,S,0.0,SE,1.0,NW,5.0,,,10.0,5.0,8.0,,180.0,,
160,19050605.0,621.0,606.0,601.0,,230.0,275.0,259.0,,285.0,228.0,203.0,218.0,204.0,,97.0,80.0,82.0,,S,2.0,SE,4.0,SE,4.0,,,10.0,6.0,5.0,,920.0,,
161,19050606.0,612.0,601.0,599.0,,262.0,292.0,260.0,,282.0,230.0,222.0,224.0,237.0,,88.0,74.0,95.0,,SE,4.0,SE,0.0,SE,2.0,,,5.0,8.0,5.0,,110.0,,
162,19050607.0,616.0,601.0,596.0,,264.0,286.0,270.0,,298.0,244.0,215.0,207.0,213.0,,84.0,71.0,80.0,,S,2.0,E,6.0,E,5.0,,,4.0,8.0,5.0,,15.0,,
163,19050608.0,609.0,606.0,605.0,,258.0,268.0,253.0,,316.0,236.0,217.0,214.0,216.0,,88.0,82.0,90.0,,S,5.0,SE,3.0,SE,3.0,,,5.0,8.0,6.0,,5.0,,
164,19050609.0,620.0,615.0,618.0,,242.0,260.0,224.0,,284.0,204.0,215.0,233.0,180.0,,96.0,93.0,90.0,,S,2.0,S,2.0,SE,4.0,,,10.0,10.0,10.0,,90.0,,
165,19050610.0,620.0,618.0,614.0,,239.0,243.0,248.0,,289.0,219.0,215.0,220.0,221.0,,97.0,97.0,95.0,,S,0.0,SE,2.0,S,0.0,,,7.0,10.0,10.0,,200.0,,
166,19050611.0,621.0,614.0,616.0,,232.0,240.0,243.0,,288.0,230.0,208.0,206.0,214.0,,98.0,93.0,95.0,,S,0.0,S,4.0,SE,2.0,,,10.0,10.0,8.0,,285.0,,
167,19050612.0,618.0,606.0,606.0,,246.0,275.0,265.0,,259.0,226.0,209.0,214.0,201.0,,91.0,79.0,78.0,,S,5.0,NNE,5.0,E,5.0,,,0.0,7.0,6.0,,225.0,,
168,19050613.0,624.0,622.0,624.0,,247.0,264.0,231.0,,286.0,221.0,208.0,221.0,197.0,,90.0,86.0,94.0,,SE,4.0,E,3.0,SE,6.0,,,5.0,8.0,8.0,,80.0,,
169,19050614.0,646.0,637.0,623.0,,236.0,260.0,253.0,,292.0,220.0,200.0,233.0,197.0,,92.0,93.0,82.0,,SE,4.0,SE,2.0,SE,4.0,,,6.0,10.0,0.0,,180.0,,
170,19050615.0,640.0,627.0,623.0,,241.0,256.0,262.0,,270.0,224.0,215.0,210.0,218.0,,97.0,86.0,86.0,,S,0.0,SE,2.0,S,3.0,,,10.0,8.0,4.0,,40.0,,
171,19050616.0,629.0,622.0,621.0,,243.0,273.0,259.0,,289.0,227.0,216.0,217.0,214.0,,96.0,80.0,86.0,,S,3.0,E,5.0,S,4.0,,,5.0,5.0,5.0,,85.0,,
172,19050617.0,627.0,613.0,616.0,,258.0,268.0,263.0,,290.0,228.0,211.0,216.0,208.0,,85.0,83.0,82.0,,S,5.0,E,6.0,SE,5.0,,,0.0,5.0,5.0,,,,
173,19050618.0,618.0,620.0,615.0,,255.0,259.0,256.0,,302.0,223.0,205.0,224.0,208.0,,85.0,90.0,85.0,,S,7.0,SE,3.0,SE,3.0,,,0.0,6.0,7.0,,,,
174,19050619.0,627.0,624.0,621.0,,256.0,281.0,261.0,,305.0,212.0,229.0,229.0,225.0,,87.0,81.0,90.0,,SE,5.0,E,4.0,E,2.0,,,0.0,5.0,2.0,,130.0,,
175,19050620.0,631.0,627.0,627.0,,257.0,286.0,248.0,,302.0,225.0,217.0,215.0,229.0,,89.0,74.0,98.0,,SE,4.0,S,3.0,S,2.0,,,5.0,5.0,8.0,,60.0,,
176,19050621.0,635.0,632.0,624.0,,263.0,303.0,271.0,,303.0,235.0,215.0,203.0,211.0,,85.0,63.0,79.0,,S,5.0,SE,1.0,SE,4.0,,,4.0,4.0,5.0,,,,
177,19050622.0,641.0,630.0,625.0,,261.0,267.0,270.0,,313.0,233.0,207.0,217.0,199.0,,82.0,83.0,76.0,,S,6.0,S,3.0,E,5.0,,,0.0,5.0,0.0,,15.0,,
178,19050623.0,640.0,625.0,621.0,,243.0,295.0,264.0,,301.0,229.0,203.0,230.0,203.0,,90.0,75.0,79.0,,S,4.0,E,5.0,ENE,6.0,,,8.0,6.0,1.0,,110.0,,
179,19050624.0,632.0,625.0,621.0,,252.0,254.0,261.0,,304.0,230.0,216.0,225.0,219.0,,91.0,93.0,87.0,,S,2.0,S,3.0,S,4.0,,,2.0,7.0,7.0,,,,
180,19050625.0,627.0,615.0,614.0,,242.0,284.0,264.0,,302.0,224.0,219.0,221.0,219.0,,97.0,77.0,85.0,,S,5.0,SE,7.0,S,3.0,,,10.0,5.0,4.0,,195.0,,
181,19050626.0,623.0,620.0,619.0,,255.0,303.0,276.0,,293.0,229.0,207.0,187.0,193.0,,85.0,59.0,70.0,,SE,6.0,SE,5.0,ENE,7.0,,,0.0,5.0,7.0,,45.0,,
182,19050627.0,631.0,635.0,632.0,,253.0,256.0,247.0,,320.0,219.0,200.0,208.0,206.0,,84.0,85.0,89.0,,S,2.0,SE,6.0,S,5.0,,,6.0,10.0,10.0,,25.0,,
183,19050628.0,638.0,621.0,621.0,,250.0,265.0,255.0,,297.0,232.0,210.0,206.0,207.0,,89.0,80.0,85.0,,SE,4.0,S,4.0,SE,4.0,,,8.0,5.0,7.0,,420.0,,
184,19050629.0,627.0,621.0,625.0,,257.0,251.0,223.0,,285.0,207.0,209.0,217.0,173.0,,85.0,92.0,87.0,,S,5.0,SE,4.0,E,7.0,,,0.0,5.0,10.0,,125.0,,
185,19050630.0,628.0,612.0,613.0,,245.0,284.0,248.0,,286.0,217.0,213.0,210.0,213.0,,93.0,73.0,92.0,,S,4.0,SE,6.0,ESE,4.0,,,5.0,8.0,5.0,,530.0,,
186,,762.59,761.75,761.58,,24.93,27.256666666666668,25.516666666666666,,29.393333333333334,22.56,21.173333333333332,21.543333333333333,20.919999999999998,,90.16666666666667,80.6,86.26666666666667,,,3.5,,3.8333333333333335,,3.933333333333333,,,4.933333333333334,6.566666666666666,6.0,,453.9,,
187,19050701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,19050702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,19050703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,19050704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,19050705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,19050706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,19050707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,19050708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,19050709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,19050710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,19050711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,19050712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,19050713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,19050714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,19050715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,19050716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,19050717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,19050718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,19050719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,19050720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,19050721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,19050722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,19050723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,19050724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,19050725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,19050726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,19050727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,19050728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,19050729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,19050730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,19050731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
219,19050801.0,627.0,620.0,620.0,,256.0,313.0,270.0,,317.0,230.0,189.0,165.0,198.0,,78.0,49.0,75.0,,S,6.0,S,6.0,SE,2.0,,,0.0,5.0,1.0,,,,
220,19050802.0,626.0,630.0,628.0,,252.0,308.0,268.0,,316.0,224.0,192.0,174.0,205.0,,81.0,52.0,78.0,,S,5.0,SE,3.0,E,5.0,,,0.0,5.0,4.0,,3.0,,
221,19050803.0,633.0,627.0,621.0,,248.0,254.0,268.0,,319.0,210.0,211.0,198.0,208.0,,91.0,82.0,80.0,,S,2.0,S,4.0,E,1.0,,,0.0,8.0,2.0,,,,
222,19050804.0,629.0,623.0,611.0,,246.0,259.0,274.0,,297.0,226.0,212.0,210.0,197.0,,92.0,85.0,72.0,,WSW,2.0,NNE,4.0,N,2.0,,,8.0,7.0,2.0,,95.0,,
223,19050805.0,624.0,617.0,614.0,,255.0,290.0,244.0,,290.0,229.0,209.0,215.0,212.0,,86.0,72.0,93.0,,S,2.0,ENE,4.0,SE,0.0,,,1.0,6.0,6.0,,6.0,,
224,19050806.0,628.0,617.0,609.0,,244.0,308.0,297.0,,314.0,224.0,200.0,210.0,181.0,,88.0,63.0,59.0,,S,4.0,SSW,5.0,S,0.0,,,5.0,4.0,3.0,,170.0,,
225,19050807.0,627.0,614.0,616.0,,257.0,310.0,278.0,,314.0,233.0,206.0,213.0,191.0,,84.0,63.0,69.0,,S,4.0,S,3.0,SE,5.0,,,0.0,5.0,4.0,,30.0,,
226,19050808.0,635.0,623.0,618.0,,263.0,278.0,277.0,,316.0,237.0,202.0,210.0,195.0,,79.0,76.0,71.0,,S,4.0,SE,4.0,S,3.0,,,1.0,7.0,4.0,,9.0,,
227,19050809.0,633.0,620.0,615.0,,260.0,318.0,278.0,,314.0,230.0,215.0,197.0,212.0,,86.0,56.0,77.0,,S,4.0,E,3.0,E,5.0,,,3.0,4.0,0.0,,5.0,,
228,19050810.0,631.0,616.0,617.0,,262.0,310.0,273.0,,320.0,228.0,208.0,204.0,211.0,,82.0,61.0,78.0,,S,5.0,S,4.0,SE,4.0,,,1.0,5.0,0.0,,,,
229,19050811.0,628.0,620.0,618.0,,257.0,309.0,277.0,,317.0,227.0,204.0,199.0,209.0,,83.0,59.0,76.0,,S,4.0,S,1.0,E,5.0,,,2.0,5.0,0.0,,50.0,,
230,19050812.0,632.0,624.0,619.0,,266.0,268.0,270.0,,328.0,233.0,216.0,199.0,192.0,,83.0,76.0,72.0,,SE,5.0,E,6.0,E,4.0,,,4.0,8.0,2.0,,,,
231,19050813.0,637.0,618.0,619.0,,262.0,319.0,282.0,,315.0,236.0,212.0,211.0,228.0,,84.0,60.0,80.0,,S,3.0,S,4.0,SE,4.0,,,0.0,5.0,6.0,,65.0,,
232,19050814.0,644.0,626.0,625.0,,254.0,316.0,269.0,,326.0,226.0,206.0,191.0,216.0,,85.0,55.0,82.0,,SE,5.0,S,4.0,SE,4.0,,,2.0,5.0,5.0,,,,
233,19050815.0,631.0,622.0,618.0,,267.0,301.0,278.0,,319.0,229.0,219.0,202.0,214.0,,84.0,63.0,77.0,,S,3.0,NE,6.0,NE,4.0,,,3.0,5.0,5.0,,10.0,,
234,19050816.0,624.0,611.0,611.0,,258.0,319.0,241.0,,309.0,224.0,215.0,199.0,206.0,,87.0,56.0,92.0,,S,4.0,S,5.0,SE,6.0,,,4.0,5.0,8.0,,9.0,,
235,19050817.0,630.0,614.0,615.0,,256.0,316.0,276.0,,322.0,228.0,208.0,221.0,207.0,,85.0,64.0,76.0,,S,5.0,S,2.0,E,6.0,,,6.0,5.0,3.0,,50.0,,
236,19050818.0,622.0,608.0,605.0,,254.0,306.0,276.0,,324.0,212.0,207.0,191.0,213.0,,86.0,58.0,78.0,,S,3.0,NE,5.0,NE,4.0,,,0.0,2.0,3.0,,,,
237,19050819.0,607.0,597.0,595.0,,256.0,322.0,272.0,,312.0,222.0,195.0,175.0,214.0,,80.0,49.0,80.0,,SE,4.0,S,5.0,S,3.0,,,2.0,4.0,2.0,,,,
238,19050820.0,617.0,601.0,601.0,,266.0,323.0,280.0,,327.0,242.0,202.0,178.0,203.0,,78.0,50.0,72.0,,S,6.0,S,4.0,E,6.0,,,1.0,5.0,5.0,,,,
239,19050821.0,625.0,618.0,611.0,,259.0,297.0,276.0,,329.0,241.0,220.0,198.0,204.0,,89.0,64.0,74.0,,SE,4.0,E,6.0,SE,5.0,,,6.0,6.0,8.0,,8.0,,
240,19050822.0,619.0,615.0,607.0,,267.0,276.0,246.0,,338.0,241.0,213.0,213.0,224.0,,82.0,78.0,97.0,,S,5.0,E,5.0,S,1.0,,,4.0,9.0,7.0,,,,
241,19050823.0,620.0,612.0,603.0,,250.0,314.0,287.0,,314.0,230.0,204.0,188.0,217.0,,87.0,55.0,74.0,,S,6.0,S,6.0,E,4.0,,,3.0,4.0,1.0,,85.0,,
242,19050824.0,625.0,619.0,617.0,,261.0,295.0,249.0,,325.0,229.0,221.0,196.0,205.0,,88.0,64.0,88.0,,S,5.0,S,5.0,SE,1.0,,,6.0,6.0,7.0,,,,
243,19050825.0,637.0,618.0,616.0,,266.0,323.0,236.0,,303.0,225.0,222.0,169.0,200.0,,85.0,47.0,92.0,,S,5.0,SE,5.0,SW,1.0,,,3.0,5.0,6.0,,,,
244,19050826.0,634.0,622.0,620.0,,250.0,313.0,276.0,,325.0,230.0,208.0,173.0,213.0,,88.0,51.0,78.0,,SE,5.0,SE,5.0,SE,4.0,,,2.0,6.0,2.0,,14.0,,
245,19050827.0,630.0,620.0,620.0,,256.0,306.0,278.0,,318.0,226.0,197.0,224.0,212.0,,81.0,68.0,77.0,,S,6.0,SE,5.0,E,5.0,,,0.0,3.0,2.0,,48.0,,
246,19050828.0,633.0,620.0,624.0,,254.0,321.0,276.0,,323.0,232.0,196.0,170.0,213.0,,82.0,48.0,78.0,,SE,4.0,SW,2.0,W,2.0,,,2.0,6.0,2.0,,2.0,,
247,19050829.0,640.0,624.0,624.0,,255.0,304.0,277.0,,322.0,219.0,209.0,200.0,184.0,,86.0,62.0,67.0,,W,1.0,SW,1.0,E,1.0,,,2.0,5.0,1.0,,,,
248,19050830.0,627.0,620.0,620.0,,269.0,310.0,275.0,,318.0,231.0,220.0,183.0,196.0,,83.0,54.0,72.0,,NE,3.0,NNE,2.0,NE,3.0,,,4.0,6.0,0.0,,,,
249,19050831.0,631.0,618.0,613.0,,261.0,320.0,280.0,,328.0,241.0,209.0,172.0,225.0,,83.0,49.0,80.0,,E,4.0,E,3.0,NE,5.0,,,5.0,5.0,0.0,,,,
250,,762.858064516129,761.7870967741935,761.516129032258,,25.764516129032256,30.406451612903226,27.109677419354842,,31.803225806451614,22.887096774193548,20.796774193548387,19.509677419354837,20.661290322580648,,84.38709677419355,60.935483870967744,77.87096774193549,,,4.129032258064516,,4.096774193548387,,3.3870967741935485,,,2.5806451612903225,5.354838709677419,3.2580645161290325,,65.9,,
251,19050901.0,624.0,613.0,613.0,,265.0,284.0,275.0,,321.0,221.0,222.0,223.0,212.0,,86.0,77.0,78.0,,NE,2.0,NNE,3.0,NE,0.0,,,2.0,6.0,4.0,,,,
