,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,PT 19,TT 8,TT 14,TT 18,TT 19,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,dampdruk 19,RH 8,RH 14,RH 18,RH 19,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,DD 19,FF 19,8,14,18,19,Rd 8,Rd 8.1,Unnamed: 33_level_1
25,19050126.0,629.0,625.0,,621.0,262.0,271.0,,258.0,,,204.0,207.0,,192.0,81.0,78.0,,78.0,E,3.0,E,5.0,,,E,5.0,5.0,10.0,,6.0,45.0,,
26,19050127.0,634.0,621.0,,618.0,248.0,278.0,,253.0,,,207.0,208.0,,189.0,89.0,75.0,,79.0,ESE,4.0,E,6.0,,,E,4.0,5.0,10.0,,5.0,15.0,,
27,19050128.0,624.0,621.0,,615.0,235.0,233.0,,228.0,,,201.0,200.0,,186.0,93.0,94.0,,91.0,SE,5.0,ENE,6.0,,,SE,6.0,10.0,10.0,,10.0,206.0,,
28,19050129.0,621.0,619.0,,616.0,243.0,279.0,,266.0,,,203.0,196.0,,192.0,90.0,70.0,,74.0,S,3.0,SE,6.0,,,NE,5.0,8.0,7.0,,5.0,,,
29,19050130.0,638.0,630.0,,623.0,249.0,293.0,,253.0,,,205.0,195.0,,195.0,88.0,64.0,,81.0,E,4.0,S,6.0,,,ENE,6.0,3.0,5.0,,5.0,,,
30,19050131.0,632.0,628.0,,621.0,238.0,237.0,,228.0,,,193.0,206.0,,190.0,88.0,95.0,,92.0,S,0.0,SW,2.0,,,S,2.0,4.0,10.0,,10.0,155.0,,
31,,762.641935483871,762.1225806451613,,761.5870967741936,25.170967741935485,28.05483870967742,,25.387096774193548,,,20.65483870967742,20.683870967741935,,20.009677419354837,87.03225806451613,73.74193548387096,,83.45161290322581,,4.354838709677419,,5.967741935483871,,,,4.709677419354839,6.709677419354839,7.258064516129032,,5.935483870967742,120.4,,
32,19050201.0,623.0,616.0,,618.0,229.0,278.0,,234.0,278.0,211.0,196.0,206.0,,197.0,95.0,74.0,,92.0,S,1.0,NNE,6.0,,,S,4.0,10.0,7.0,,10.0,75.0,,
33,19050202.0,616.0,616.0,,610.0,248.0,281.0,,246.0,287.0,222.0,188.0,210.0,,205.0,81.0,74.0,,89.0,ESE,4.0,E,7.0,,,ESE,4.0,5.0,8.0,,8.0,95.0,,
34,19050203.0,625.0,618.0,,609.0,240.0,286.0,,258.0,286.0,226.0,208.0,213.0,,205.0,94.0,73.0,,83.0,SSE,3.0,E,7.0,,,E,6.0,10.0,8.0,,4.0,50.0,,
35,19050204.0,620.0,616.0,,605.0,254.0,289.0,,259.0,293.0,246.0,219.0,197.0,,201.0,91.0,87.0,,81.0,ESE,4.0,E,7.0,,,ESE,6.0,10.0,8.0,,8.0,10.0,,
36,19050205.0,619.0,615.0,,622.0,248.0,284.0,,253.0,294.0,232.0,302.0,217.0,,197.0,87.0,75.0,,82.0,SSE,3.0,E,6.0,,,E,6.0,10.0,8.0,,4.0,,,
37,19050206.0,631.0,622.0,,612.0,259.0,286.0,,238.0,294.0,237.0,189.0,211.0,,189.0,76.0,72.0,,86.0,E,5.0,E,7.0,,,S,3.0,5.0,6.0,,10.0,13.0,,
38,19050207.0,628.0,624.0,,618.0,257.0,272.0,,254.0,292.0,227.0,194.0,194.0,,181.0,79.0,72.0,,73.0,NE,5.0,NE,7.0,,,NE,6.0,7.0,10.0,,4.0,,,
39,19050208.0,626.0,624.0,,617.0,252.0,285.0,,257.0,285.0,228.0,184.0,166.0,,187.0,77.0,58.0,,76.0,ESE,4.0,SE,6.0,,,NE,6.0,3.0,8.0,,10.0,,,
40,19050209.0,624.0,624.0,,613.0,240.0,286.0,,257.0,292.0,226.0,193.0,178.0,,187.0,87.0,61.0,,76.0,S,2.0,N,7.0,,,NE,4.0,6.0,6.0,,4.0,63.0,,
41,19050210.0,625.0,619.0,,608.0,241.0,274.0,,250.0,298.0,227.0,208.0,213.0,,198.0,93.0,78.0,,84.0,SE,4.0,NE,8.0,,,E,5.0,10.0,8.0,,4.0,45.0,,
42,19050211.0,627.0,623.0,,609.0,259.0,276.0,,260.0,290.0,235.0,202.0,193.0,,192.0,82.0,70.0,,77.0,E,4.0,NNE,6.0,,,NE,6.0,10.0,10.0,,10.0,50.0,,
43,19050212.0,625.0,623.0,,617.0,257.0,286.0,,258.0,286.0,235.0,209.0,201.0,,193.0,83.0,69.0,,78.0,E,4.0,E,7.0,,,ENE,6.0,10.0,6.0,,8.0,80.0,,
44,19050213.0,628.0,625.0,,616.0,248.0,263.0,,256.0,289.0,228.0,213.0,208.0,,195.0,92.0,82.0,,80.0,E,5.0,E,7.0,,,E,4.0,8.0,10.0,,6.0,30.0,,
45,19050214.0,629.0,629.0,,618.0,246.0,282.0,,259.0,296.0,236.0,210.0,201.0,,191.0,92.0,70.0,,77.0,SE,2.0,ENE,7.0,,,E,5.0,10.0,6.0,,6.0,40.0,,
46,19050215.0,639.0,632.0,,624.0,251.0,294.0,,253.0,294.0,215.0,188.0,169.0,,178.0,80.0,56.0,,75.0,E,4.0,E,7.0,,,E,4.0,3.0,6.0,,0.0,15.0,,
47,19050216.0,631.0,623.0,,615.0,257.0,288.0,,251.0,302.0,217.0,190.0,182.0,,179.0,78.0,62.0,,76.0,E,4.0,NE,6.0,,,E,4.0,5.0,5.0,,0.0,,,
