,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
25,19360126.0,614.0,595.0,599.0,247.0,299.0,268.0,288.0,231.0,221.0,217.0,218.0,96.0,69.0,83.0,E,1.0,E,2.0,NNE,1.0,10.0,7.0,8.0,255.0,,
26,19360127.0,622.0,612.0,599.0,248.0,293.0,265.0,309.0,223.0,215.0,215.0,220.0,92.0,71.0,85.0,Calm,0.0,ENE,1.0,NE,1.0,7.0,6.0,7.0,0.0,,
27,19360128.0,625.0,608.0,608.0,256.0,299.0,260.0,304.0,231.0,222.0,205.0,204.0,91.0,65.0,82.0,ENE,1.0,ENE,2.0,ENE,1.0,6.0,8.0,5.0,0.0,,
28,19360129.0,625.0,616.0,609.0,247.0,302.0,262.0,308.0,215.0,212.0,185.0,208.0,92.0,58.0,82.0,ENE,1.0,ENE,1.0,ENE,1.0,4.0,7.0,3.0,0.0,,
29,19360130.0,632.0,617.0,608.0,241.0,294.0,257.0,312.0,208.0,204.0,187.0,196.0,91.0,62.0,80.0,ENE,1.0,ENE,2.0,NE,1.0,3.0,6.0,2.0,5.0,,
30,19360131.0,616.0,607.0,603.0,247.0,293.0,263.0,304.0,227.0,221.0,219.0,214.0,96.0,72.0,84.0,Calm,0.0,NNE,2.0,ENE,1.0,8.0,9.0,10.0,11.0,,
31,,761.8129032258064,760.8612903225807,760.2741935483871,24.6,28.335483870967742,25.458064516129035,29.461290322580645,22.151612903225807,20.961290322580645,20.587096774193547,20.470967741935485,91.38709677419355,72.45161290322581,84.74193548387096,,0.8709677419354839,,1.5483870967741935,,0.967741935483871,6.612903225806452,7.548387096774194,6.580645161290323,223.1,,
32,19360201.0,626.0,615.0,607.0,260.0,304.0,257.0,306.0,240.0,217.0,204.0,215.0,87.0,63.0,88.0,E,1.0,ENE,2.0,NE,1.0,7.0,6.0,3.0,8.0,,
33,19360202.0,617.0,602.0,599.0,255.0,299.0,266.0,313.0,218.0,213.0,193.0,190.0,88.0,62.0,74.0,ENE,1.0,NE,3.0,ENE,2.0,2.0,7.0,1.0,0.0,,
34,19360203.0,614.0,605.0,605.0,252.0,307.0,261.0,312.0,209.0,201.0,165.0,188.0,84.0,50.0,75.0,ENE,2.0,ENE,1.0,ENE,1.0,5.0,2.0,2.0,0.0,,
35,19360204.0,617.0,605.0,603.0,255.0,300.0,262.0,317.0,226.0,207.0,185.0,195.0,83.0,59.0,77.0,ESE,2.0,NE,2.0,ENE,1.0,7.0,3.0,1.0,0.0,,
36,19360205.0,614.0,612.0,610.0,245.0,298.0,263.0,319.0,204.0,203.0,196.0,188.0,89.0,63.0,74.0,ENE,1.0,NE,1.0,E,1.0,1.0,3.0,1.0,0.0,,
