,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,RH 21,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 27_level_1
25,19410126.0,623.0,607.0,597.0,249.0,304.0,273.0,304.0,235.0,224.0,212.0,203.0,96.0,66.0,,75.0,Calm,0.0,ENE,2.0,E,1.0,9.0,6.0,5.0,0.0,,
26,19410127.0,615.0,602.0,590.0,263.0,293.0,269.0,316.0,226.0,219.0,227.0,220.0,86.0,75.0,,83.0,E,1.0,ENE,1.0,ENE,1.0,1.0,8.0,3.0,0.0,,
27,19410128.0,602.0,589.0,586.0,244.0,250.0,259.0,320.0,232.0,217.0,222.0,218.0,96.0,94.0,,88.0,ENE,1.0,ENE,1.0,ENE,1.0,10.0,10.0,9.0,4.0,,
28,19410129.0,589.0,587.0,584.0,259.0,291.0,269.0,294.0,236.0,216.0,229.0,220.0,87.0,77.0,,83.0,E,1.0,ENE,3.0,ENE,2.0,8.0,8.0,10.0,355.0,,
29,19410130.0,607.0,601.0,599.0,248.0,242.0,247.0,303.0,238.0,223.0,215.0,206.0,96.0,96.0,,89.0,ENE,1.0,Calm,0.0,E,1.0,10.0,10.0,10.0,64.0,,
30,19410131.0,609.0,601.0,601.0,239.0,289.0,265.0,257.0,221.0,215.0,230.0,216.0,97.0,78.0,,84.0,ENE,1.0,ENE,1.0,ENE,1.0,9.0,9.0,9.0,294.0,,
31,,762.1516129032258,760.9064516129032,760.6322580645161,25.35483870967742,28.48709677419355,26.361290322580647,30.238709677419354,23.074193548387097,21.54516129032258,21.52258064516129,20.848387096774193,89.80645161290323,75.06451612903226,,81.7741935483871,,0.9032258064516129,,1.2580645161290323,,0.9354838709677419,6.580645161290323,7.67741935483871,6.290322580645161,186.2,,
32,19410201.0,616.0,601.0,602.0,258.0,292.0,265.0,303.0,236.0,219.0,218.0,210.0,89.0,72.0,,82.0,ENE,1.0,ENE,1.0,ENE,1.0,3.0,8.0,7.0,0.0,,
33,19410202.0,613.0,604.0,604.0,264.0,303.0,267.0,303.0,239.0,223.0,201.0,203.0,87.0,62.0,,78.0,ENE,2.0,E,2.0,ENE,1.0,3.0,1.0,1.0,0.0,,
34,19410203.0,620.0,606.0,604.0,265.0,305.0,272.0,308.0,231.0,218.0,226.0,222.0,85.0,70.0,,83.0,ENE,1.0,NE,2.0,ENE,1.0,2.0,6.0,2.0,0.0,,
35,19410204.0,616.0,606.0,602.0,261.0,308.0,274.0,313.0,240.0,227.0,206.0,215.0,90.0,62.0,,79.0,E,1.0,ENE,1.0,ENE,1.0,3.0,6.0,7.0,46.0,,
36,19410205.0,619.0,607.0,604.0,265.0,302.0,268.0,313.0,239.0,220.0,211.0,201.0,85.0,66.0,,77.0,ENE,1.0,ENE,3.0,ENE,1.0,9.0,4.0,2.0,1.0,,
37,19410206.0,625.0,614.0,614.0,258.0,303.0,268.0,307.0,235.0,219.0,201.0,201.0,89.0,62.0,,77.0,ENE,1.0,ENE,1.0,ENE,1.0,9.0,7.0,1.0,0.0,,
38,19410207.0,627.0,615.0,611.0,254.0,286.0,264.0,312.0,236.0,223.0,199.0,203.0,93.0,68.0,,79.0,ENE,1.0,ENE,2.0,ENE,1.0,8.0,9.0,9.0,0.0,,
39,19410208.0,623.0,610.0,607.0,263.0,292.0,265.0,299.0,236.0,214.0,200.0,197.0,84.0,66.0,,77.0,E,1.0,ENE,1.0,ENE,1.0,8.0,7.0,5.0,0.0,,
40,19410209.0,621.0,616.0,607.0,258.0,303.0,270.0,301.0,229.0,215.0,217.0,211.0,87.0,67.0,,80.0,ENE,1.0,ENE,2.0,ENE,1.0,1.0,7.0,7.0,0.0,,
41,19410210.0,629.0,619.0,616.0,269.0,295.0,262.0,309.0,242.0,214.0,206.0,208.0,81.0,67.0,,82.0,ENE,1.0,ENE,2.0,ENE,2.0,8.0,8.0,3.0,0.0,,
42,19410211.0,628.0,622.0,615.0,258.0,295.0,264.0,306.0,234.0,217.0,206.0,203.0,88.0,67.0,,79.0,ENE,1.0,E,3.0,ENE,1.0,2.0,5.0,9.0,5.0,,
43,19410212.0,629.0,614.0,610.0,245.0,314.0,268.0,303.0,215.0,217.0,184.0,193.0,95.0,54.0,,74.0,NE,1.0,NE,1.0,ENE,1.0,1.0,3.0,2.0,4.0,,
44,19410213.0,622.0,616.0,613.0,252.0,305.0,268.0,318.0,217.0,214.0,199.0,203.0,90.0,62.0,,78.0,ENE,1.0,E,2.0,ENE,1.0,1.0,3.0,7.0,0.0,,
45,19410214.0,626.0,622.0,615.0,269.0,299.0,267.0,317.0,235.0,210.0,197.0,196.0,80.0,63.0,,75.0,ENE,2.0,ENE,3.0,ENE,1.0,2.0,8.0,2.0,8.0,,
46,19410215.0,628.0,619.0,611.0,248.0,268.0,253.0,312.0,236.0,213.0,210.0,206.0,92.0,80.0,,86.0,E,1.0,ENE,2.0,ENE,1.0,9.0,9.0,8.0,0.0,,
47,19410216.0,618.0,606.0,603.0,244.0,275.0,249.0,297.0,235.0,219.0,224.0,224.0,97.0,82.0,,96.0,Calm,0.0,ENE,1.0,Calm,0.0,10.0,9.0,9.0,37.0,,
48,19410217.0,616.0,604.0,602.0,242.0,258.0,258.0,289.0,231.0,219.0,207.0,223.0,97.0,92.0,,90.0,Calm,0.0,Calm,0.0,ENE,1.0,10.0,10.0,9.0,194.0,,
49,19410218.0,617.0,609.0,602.0,264.0,303.0,269.0,286.0,239.0,223.0,225.0,214.0,87.0,70.0,,81.0,ENE,1.0,ENE,3.0,ENE,2.0,8.0,7.0,2.0,124.0,,
50,19410219.0,622.0,612.0,613.0,258.0,299.0,272.0,307.0,241.0,225.0,215.0,208.0,91.0,68.0,,77.0,ENE,1.0,ENE,2.0,ENE,2.0,4.0,8.0,9.0,10.0,,
51,19410220.0,621.0,612.0,603.0,263.0,294.0,269.0,309.0,246.0,231.0,216.0,214.0,91.0,71.0,,81.0,ENE,1.0,ENE,1.0,ENE,1.0,10.0,9.0,4.0,0.0,,
52,19410221.0,618.0,603.0,600.0,254.0,300.0,268.0,302.0,236.0,223.0,203.0,205.0,93.0,64.0,,78.0,ENE,1.0,ENE,1.0,ENE,1.0,10.0,9.0,5.0,15.0,,
53,19410222.0,611.0,592.0,597.0,258.0,304.0,271.0,307.0,232.0,227.0,218.0,209.0,92.0,67.0,,78.0,ENE,1.0,ENE,1.0,NE,1.0,6.0,7.0,1.0,4.0,,
54,19410223.0,616.0,608.0,603.0,253.0,295.0,269.0,319.0,226.0,210.0,214.0,202.0,88.0,69.0,,77.0,ENE,1.0,ENE,2.0,ENE,1.0,10.0,9.0,1.0,0.0,,
55,19410224.0,618.0,612.0,606.0,258.0,307.0,269.0,310.0,233.0,215.0,198.0,194.0,87.0,61.0,,74.0,ENE,1.0,ENE,3.0,NE,1.0,9.0,2.0,1.0,0.0,,
56,19410225.0,615.0,608.0,604.0,258.0,301.0,271.0,313.0,221.0,215.0,192.0,191.0,87.0,61.0,,72.0,E,1.0,NE,1.0,NE,1.0,1.0,6.0,1.0,0.0,,
57,19410226.0,619.0,611.0,610.0,259.0,311.0,273.0,310.0,221.0,206.0,182.0,190.0,83.0,54.0,,70.0,NE,1.0,ENE,3.0,ENE,1.0,7.0,4.0,1.0,0.0,,
58,19410227.0,624.0,612.0,613.0,231.0,298.0,268.0,318.0,210.0,203.0,194.0,187.0,96.0,62.0,,72.0,Calm,0.0,NNE,3.0,ENE,1.0,10.0,7.0,5.0,4.0,,
59,19410228.0,627.0,615.0,610.0,244.0,317.0,268.0,312.0,207.0,200.0,190.0,184.0,88.0,55.0,,70.0,ENE,1.0,ENE,2.0,ENE,1.0,1.0,2.0,1.0,0.0,,
60,,762.0857142857143,761.0535714285714,760.7178571428572,25.617857142857144,29.757142857142856,26.675,30.725,23.135714285714286,21.710714285714285,20.567857142857143,20.41785714285714,89.0,66.57142857142857,,78.64285714285714,,0.9642857142857143,,1.8214285714285714,,1.0714285714285714,5.892857142857143,6.428571428571429,4.321428571428571,45.2,,
61,19410301.0,625.0,613.0,612.0,242.0,322.0,276.0,319.0,204.0,198.0,211.0,204.0,88.0,59.0,,74.0,ENE,1.0,ENE,2.0,ENE,1.0,1.0,7.0,1.0,0.0,,
62,19410302.0,628.0,616.0,620.0,261.0,319.0,278.0,325.0,225.0,227.0,209.0,206.0,90.0,59.0,,74.0,ENE,1.0,NNE,2.0,ENE,1.0,1.0,6.0,1.0,0.0,,
63,19410303.0,633.0,626.0,623.0,254.0,315.0,273.0,333.0,214.0,211.0,201.0,201.0,88.0,58.0,,75.0,E,1.0,ENE,1.0,ENE,1.0,1.0,6.0,1.0,0.0,,
64,19410304.0,634.0,620.0,619.0,252.0,319.0,275.0,322.0,229.0,212.0,179.0,194.0,89.0,51.0,,71.0,ENE,1.0,ENE,1.0,ENE,1.0,1.0,1.0,1.0,0.0,,
65,19410305.0,623.0,618.0,601.0,247.0,299.0,266.0,327.0,199.0,199.0,174.0,189.0,86.0,55.0,,73.0,ENE,1.0,E,2.0,E,1.0,1.0,9.0,7.0,0.0,,
66,19410306.0,618.0,609.0,594.0,254.0,309.0,267.0,316.0,204.0,189.0,185.0,192.0,79.0,55.0,,74.0,E,1.0,ENE,2.0,ENE,1.0,1.0,7.0,1.0,0.0,,
67,19410307.0,616.0,606.0,603.0,254.0,318.0,264.0,320.0,216.0,194.0,180.0,179.0,80.0,52.0,,70.0,E,1.0,NNE,1.0,ENE,1.0,1.0,2.0,1.0,0.0,,
68,19410308.0,623.0,616.0,610.0,244.0,273.0,264.0,324.0,197.0,204.0,200.0,192.0,90.0,74.0,,75.0,ENE,1.0,ENE,1.0,ENE,1.0,2.0,9.0,1.0,0.0,,
69,19410309.0,621.0,614.0,613.0,253.0,310.0,269.0,304.0,202.0,200.0,200.0,189.0,84.0,60.0,,72.0,ENE,1.0,NE,2.0,ENE,1.0,4.0,8.0,6.0,0.0,,
70,19410310.0,630.0,619.0,616.0,264.0,308.0,269.0,319.0,233.0,199.0,188.0,189.0,78.0,56.0,,72.0,ENE,1.0,E,1.0,ENE,1.0,8.0,9.0,7.0,0.0,,
71,19410311.0,627.0,619.0,613.0,264.0,314.0,271.0,316.0,222.0,213.0,174.0,174.0,83.0,51.0,,66.0,ENE,1.0,ENE,2.0,ENE,1.0,1.0,3.0,1.0,0.0,,
72,19410312.0,623.0,614.0,611.0,232.0,307.0,267.0,323.0,184.0,185.0,186.0,190.0,88.0,56.0,,73.0,ENE,1.0,NE,1.0,ENE,1.0,5.0,8.0,2.0,0.0,,
73,19410313.0,619.0,612.0,603.0,257.0,276.0,266.0,312.0,216.0,207.0,215.0,206.0,85.0,79.0,,80.0,ENE,1.0,ENE,1.0,ENE,1.0,8.0,9.0,9.0,0.0,,
