,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19150101.0,632.0,624.0,615.0,260.0,282.0,262.0,289.0,242.0,223.0,240.0,222.0,90.0,85.0,88.0,E,1.0,N,2.0,E,1.0,3.0,4.0,4.0,180.0,,
1,19150102.0,608.0,613.0,616.0,256.0,299.0,256.0,299.0,229.0,216.0,230.0,206.0,89.0,73.0,85.0,E,1.0,NE,2.0,ENE,1.0,2.0,2.0,4.0,35.0,,
2,19150103.0,626.0,610.0,616.0,261.0,285.0,263.0,303.0,238.0,215.0,254.0,229.0,85.0,88.0,90.0,NE,2.0,ENE,2.0,NE,1.0,2.0,3.0,1.0,1.0,,
3,19150104.0,627.0,604.0,606.0,251.0,274.0,262.0,291.0,231.0,209.0,235.0,228.0,88.0,87.0,90.0,ENE,2.0,NE,2.0,NNE,1.0,3.0,4.0,2.0,135.0,,
4,19150105.0,626.0,613.0,606.0,259.0,283.0,259.0,283.0,234.0,218.0,240.0,224.0,88.0,84.0,90.0,ENE,1.0,NE,3.0,NE,2.0,1.0,4.0,1.0,,,
5,19150106.0,628.0,612.0,606.0,248.0,287.0,263.0,291.0,228.0,211.0,237.0,229.0,91.0,81.0,90.0,NE,1.0,NE,1.0,NE,1.0,6.0,2.0,2.0,,,
6,19150107.0,626.0,615.0,615.0,252.0,274.0,259.0,284.0,237.0,222.0,231.0,224.0,93.0,85.0,90.0,NE,1.0,NE,1.0,NE,1.0,2.0,4.0,2.0,12.0,,
7,19150108.0,628.0,613.0,606.0,259.0,296.0,262.0,281.0,229.0,212.0,240.0,232.0,85.0,78.0,92.0,NE,1.0,N,3.0,ENE,1.0,1.0,2.0,2.0,12.0,,
8,19150109.0,628.0,613.0,606.0,253.0,289.0,264.0,289.0,230.0,220.0,236.0,235.0,92.0,80.0,92.0,NNE,1.0,N,2.0,NNE,1.0,6.0,3.0,2.0,,,
9,19150110.0,626.0,613.0,606.0,244.0,292.0,265.0,292.0,239.0,212.0,245.0,243.0,93.0,81.0,94.0,ESE,1.0,E,1.0,NE,1.0,2.0,2.0,2.0,58.0,,
10,19150111.0,616.0,603.0,604.0,252.0,298.0,266.0,293.0,232.0,218.0,241.0,240.0,92.0,77.0,93.0,ENE,1.0,ENE,2.0,NE,2.0,2.0,2.0,2.0,4.0,,
11,19150112.0,616.0,603.0,606.0,256.0,305.0,265.0,310.0,231.0,216.0,241.0,236.0,89.0,74.0,92.0,ENE,1.0,NE,3.0,NE,2.0,1.0,1.0,1.0,,,
12,19150113.0,626.0,612.0,606.0,262.0,289.0,258.0,299.0,237.0,218.0,247.0,223.0,86.0,83.0,90.0,NE,1.0,NNE,2.0,NE,1.0,1.0,2.0,1.0,,,
13,19150114.0,628.0,613.0,606.0,245.0,297.0,260.0,292.0,210.0,203.0,246.0,233.0,89.0,79.0,93.0,NE,1.0,NNE,1.0,NNE,1.0,1.0,1.0,1.0,,,
14,19150115.0,618.0,604.0,606.0,245.0,297.0,256.0,302.0,205.0,200.0,221.0,216.0,87.0,71.0,89.0,NNE,1.0,ENE,3.0,NNE,1.0,1.0,2.0,1.0,,,
15,19150116.0,626.0,613.0,604.0,251.0,291.0,270.0,296.0,226.0,213.0,250.0,244.0,90.0,83.0,92.0,NE,1.0,NE,1.0,ENE,1.0,4.0,1.0,1.0,,,
16,19150117.0,626.0,615.0,607.0,252.0,258.0,251.0,298.0,237.0,222.0,235.0,227.0,93.0,95.0,96.0,NE,1.0,NNE,1.0,NNE,1.0,4.0,4.0,6.0,,,
17,19150118.0,616.0,606.0,606.0,248.0,264.0,260.0,274.0,238.0,221.0,237.0,229.0,95.0,93.0,92.0,ENE,1.0,ENE,2.0,NE,1.0,6.0,4.0,2.0,295.0,,
18,19150119.0,616.0,606.0,606.0,247.0,274.0,250.0,274.0,237.0,219.0,233.0,230.0,95.0,86.0,97.0,NE,1.0,N,1.0,NNE,1.0,8.0,3.0,4.0,415.0,,
19,19150120.0,616.0,603.0,597.0,252.0,268.0,250.0,278.0,237.0,226.0,232.0,223.0,95.0,89.0,95.0,ENE,1.0,NNE,1.0,N,1.0,2.0,4.0,3.0,249.0,,
20,19150121.0,616.0,604.0,595.0,248.0,292.0,265.0,277.0,238.0,223.0,234.0,228.0,96.0,78.0,89.0,NNE,1.0,N,3.0,NE,1.0,1.0,2.0,2.0,45.0,,
21,19150122.0,617.0,604.0,595.0,238.0,289.0,262.0,294.0,238.0,212.0,228.0,228.0,97.0,77.0,90.0,ESE,1.0,N,4.0,ENE,1.0,8.0,2.0,1.0,84.0,,
22,19150123.0,616.0,604.0,595.0,262.0,292.0,251.0,292.0,242.0,210.0,236.0,223.0,83.0,81.0,94.0,NE,2.0,N,2.0,NNE,1.0,1.0,2.0,3.0,15.0,,
23,19150124.0,617.0,604.0,606.0,260.0,287.0,261.0,292.0,225.0,211.0,237.0,229.0,85.0,76.0,91.0,NNE,1.0,NNE,1.0,N,1.0,2.0,1.0,2.0,4.0,,
24,19150125.0,617.0,604.0,604.0,253.0,302.0,269.0,292.0,228.0,210.0,243.0,238.0,88.0,93.0,90.0,ESE,1.0,ENE,3.0,NE,2.0,1.0,2.0,1.0,3.0,,
25,19150126.0,616.0,607.0,607.0,256.0,257.0,241.0,307.0,236.0,216.0,229.0,215.0,89.0,85.0,97.0,E,2.0,N,1.0,NNE,3.0,1.0,4.0,4.0,,,
26,19150127.0,628.0,613.0,606.0,241.0,287.0,255.0,260.0,236.0,212.0,248.0,226.0,95.0,85.0,93.0,E,1.0,NE,4.0,NE,1.0,8.0,6.0,3.0,110.0,,
27,19150128.0,626.0,615.0,615.0,258.0,260.0,258.0,290.0,243.0,229.0,231.0,229.0,93.0,93.0,93.0,NE,1.0,NE,2.0,NNE,1.0,4.0,4.0,2.0,19.0,,
28,19150129.0,626.0,613.0,606.0,246.0,288.0,268.0,273.0,236.0,220.0,235.0,235.0,96.0,80.0,90.0,ENE,1.0,ENE,2.0,N,2.0,3.0,3.0,2.0,70.0,,
29,19150130.0,628.0,615.0,615.0,238.0,261.0,254.0,291.0,233.0,210.0,227.0,225.0,96.0,90.0,93.0,E,2.0,E,2.0,NE,1.0,10.0,3.0,2.0,222.0,,
30,19150131.0,628.0,615.0,608.0,244.0,266.0,234.0,271.0,239.0,217.0,238.0,208.0,96.0,92.0,97.0,N,1.0,N,2.0,ENE,2.0,4.0,2.0,4.0,10.0,,
31,,762.2387096774194,760.9870967741936,760.6387096774193,25.151612903225807,28.33225806451613,25.86774193548387,28.893548387096775,23.293548387096774,21.561290322580646,23.732258064516127,22.76451612903226,90.93548387096774,83.29032258064517,91.83870967741936,,1.1612903225806452,,2.0,,1.2580645161290323,3.2580645161290325,2.7419354838709675,2.2580645161290325,197.8,,
32,19150201.0,638.0,625.0,615.0,234.0,266.0,259.0,301.0,224.0,203.0,240.0,222.0,95.0,93.0,90.0,ENE,1.0,NNE,2.0,NE,2.0,2.0,2.0,2.0,161.0,,
33,19150202.0,628.0,613.0,615.0,238.0,294.0,264.0,274.0,233.0,208.0,239.0,231.0,95.0,79.0,90.0,E,2.0,ENE,1.0,NE,2.0,8.0,4.0,2.0,241.0,,
34,19150203.0,638.0,626.0,616.0,238.0,240.0,248.0,295.0,233.0,210.0,218.0,221.0,96.0,98.0,95.0,NE,2.0,ENE,2.0,NE,2.0,3.0,4.0,4.0,67.0,,
35,19150204.0,628.0,613.0,606.0,236.0,285.0,260.0,275.0,231.0,209.0,239.0,237.0,96.0,82.0,95.0,NE,1.0,NNE,2.0,NE,2.0,2.0,2.0,2.0,161.0,,
36,19150205.0,617.0,606.0,607.0,248.0,267.0,241.0,292.0,238.0,217.0,246.0,215.0,93.0,94.0,97.0,ENE,2.0,NNE,1.0,NE,1.0,1.0,3.0,8.0,85.0,,
37,19150206.0,617.0,606.0,607.0,242.0,267.0,241.0,292.0,232.0,215.0,239.0,215.0,96.0,92.0,97.0,E,1.0,NNE,2.0,NNE,1.0,4.0,4.0,2.0,123.0,,
38,19150207.0,617.0,603.0,593.0,235.0,317.0,278.0,292.0,225.0,206.0,240.0,239.0,96.0,69.0,86.0,NE,1.0,SSW,1.0,NNE,1.0,1.0,1.0,1.0,18.0,,
39,19150208.0,617.0,604.0,596.0,245.0,294.0,251.0,319.0,230.0,219.0,235.0,229.0,96.0,77.0,97.0,N,1.0,N,2.0,NE,1.0,3.0,2.0,8.0,677.0,,
40,19150209.0,617.0,606.0,595.0,239.0,268.0,262.0,298.0,224.0,209.0,247.0,238.0,95.0,94.0,94.0,NE,1.0,N,1.0,N,1.0,1.0,2.0,2.0,482.0,,
41,19150210.0,617.0,603.0,593.0,248.0,296.0,269.0,291.0,233.0,221.0,247.0,238.0,95.0,80.0,90.0,NE,1.0,ENE,2.0,NE,2.0,1.0,2.0,2.0,84.0,,
42,19150211.0,617.0,603.0,593.0,247.0,298.0,267.0,308.0,222.0,210.0,246.0,235.0,91.0,79.0,90.0,ENE,1.0,ENE,3.0,NE,2.0,1.0,2.0,1.0,10.0,,
43,19150212.0,616.0,607.0,596.0,252.0,252.0,251.0,297.0,237.0,224.0,216.0,229.0,94.0,91.0,97.0,NE,1.0,E,2.0,NE,1.0,1.0,4.0,6.0,141.0,,
44,19150213.0,617.0,604.0,595.0,252.0,284.0,265.0,264.0,232.0,212.0,237.0,234.0,89.0,82.0,91.0,NE,1.0,NNE,3.0,ENE,2.0,2.0,2.0,2.0,427.0,,
45,19150214.0,616.0,604.0,595.0,248.0,294.0,262.0,294.0,238.0,221.0,235.0,230.0,95.0,77.0,91.0,NNE,1.0,NNE,1.0,NE,3.0,3.0,3.0,2.0,42.0,,
46,19150215.0,626.0,611.0,604.0,253.0,311.0,268.0,301.0,243.0,226.0,240.0,239.0,94.0,71.0,91.0,NE,1.0,NE,2.0,ENE,2.0,4.0,4.0,2.0,15.0,,
47,19150216.0,626.0,612.0,604.0,254.0,294.0,269.0,309.0,234.0,223.0,235.0,220.0,93.0,77.0,83.0,NE,2.0,E,2.0,ESE,2.0,1.0,5.0,8.0,61.0,,
48,19150217.0,628.0,613.0,607.0,246.0,280.0,244.0,300.0,226.0,214.0,235.0,219.0,93.0,84.0,97.0,E,1.0,NNE,1.0,ENE,1.0,3.0,6.0,2.0,19.0,,
49,19150218.0,628.0,616.0,607.0,247.0,250.0,258.0,305.0,232.0,219.0,225.0,229.0,94.0,96.0,93.0,ENE,1.0,E,1.0,ENE,2.0,2.0,6.0,4.0,135.0,,
50,19150219.0,628.0,613.0,604.0,245.0,296.0,267.0,271.0,235.0,219.0,247.0,235.0,96.0,80.0,90.0,NNE,1.0,ENE,3.0,ENE,2.0,2.0,2.0,2.0,94.0,,
51,19150220.0,616.0,603.0,593.0,259.0,293.0,266.0,298.0,239.0,218.0,242.0,238.0,88.0,80.0,92.0,NE,2.0,NE,4.0,NE,2.0,2.0,2.0,1.0,1.0,,
52,19150221.0,616.0,604.0,593.0,263.0,287.0,269.0,302.0,243.0,223.0,239.0,240.0,88.0,82.0,91.0,NE,1.0,NNE,3.0,ENE,2.0,1.0,2.0,2.0,9.0,,
53,19150222.0,616.0,603.0,594.0,262.0,298.0,269.0,293.0,247.0,228.0,246.0,244.0,90.0,79.0,93.0,NNE,2.0,ENE,3.0,NNE,2.0,4.0,1.0,2.0,3.0,,
54,19150223.0,626.0,613.0,606.0,260.0,293.0,265.0,303.0,250.0,239.0,234.0,226.0,96.0,77.0,88.0,NNE,2.0,N,3.0,NE,2.0,3.0,2.0,4.0,3.0,,
55,19150224.0,626.0,613.0,606.0,259.0,284.0,265.0,289.0,249.0,226.0,229.0,226.0,91.0,80.0,88.0,N,1.0,NNE,2.0,NE,1.0,6.0,2.0,6.0,,,
56,19150225.0,637.0,626.0,616.0,239.0,270.0,258.0,290.0,229.0,209.0,235.0,230.0,95.0,89.0,93.0,ENE,1.0,NNE,1.0,NNE,1.0,1.0,3.0,3.0,140.0,,
57,19150226.0,628.0,613.0,606.0,250.0,292.0,265.0,272.0,240.0,220.0,234.0,230.0,93.0,78.0,89.0,NE,1.0,NE,3.0,NE,2.0,2.0,2.0,1.0,77.0,,
