,81201 Paramaribo,luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19520101.0,150.0,120.0,122.0,243.0,313.0,271.0,305.0,226.0,210.0,211.0,217.0,93.0,62.0,81.0,Calm,0.0,NE,4.0,NE,1.0,2.0,3.0,3.0,0.0,,
1,19520102.0,135.0,122.0,115.0,245.0,292.0,273.0,321.0,236.0,211.0,236.0,213.0,92.0,78.0,79.0,Calm,0.0,Calm,0.0,ENE,2.0,5.0,9.0,8.0,48.0,,
2,19520103.0,143.0,131.0,126.0,261.0,254.0,242.0,305.0,247.0,225.0,223.0,213.0,90.0,93.0,95.0,Calm,0.0,SE,1.0,Calm,0.0,8.0,10.0,10.0,7.0,,
3,19520104.0,139.0,129.0,120.0,240.0,293.0,253.0,274.0,225.0,197.0,238.0,218.0,89.0,78.0,91.0,Calm,0.0,N,1.0,Calm,0.0,3.0,9.0,10.0,135.0,,
4,19520105.0,146.0,129.0,122.0,238.0,292.0,243.0,297.0,228.0,202.0,232.0,214.0,92.0,77.0,95.0,Calm,0.0,NE,3.0,Calm,0.0,3.0,7.0,5.0,11.0,,
5,19520106.0,158.0,136.0,134.0,241.0,292.0,236.0,304.0,220.0,202.0,224.0,205.0,90.0,74.0,95.0,Calm,0.0,NNE,2.0,Calm,0.0,6.0,8.0,9.0,22.0,,
6,19520107.0,159.0,142.0,135.0,241.0,285.0,262.0,308.0,221.0,205.0,228.0,220.0,91.0,79.0,87.0,Calm,0.0,Calm,0.0,ENE,2.0,2.0,9.0,5.0,263.0,,
7,19520108.0,174.0,164.0,146.0,250.0,272.0,258.0,306.0,238.0,214.0,208.0,195.0,91.0,77.0,79.0,Calm,0.0,NE,3.0,ENE,2.0,4.0,9.0,9.0,45.0,,
8,19520109.0,174.0,164.0,152.0,248.0,296.0,267.0,310.0,228.0,205.0,205.0,197.0,88.0,66.0,76.0,Calm,0.0,ENE,3.0,NE,2.0,2.0,8.0,5.0,3.0,,
9,19520110.0,168.0,151.0,143.0,233.0,293.0,269.0,308.0,215.0,192.0,203.0,206.0,90.0,67.0,78.0,Calm,0.0,NE,3.0,NE,3.0,3.0,9.0,9.0,0.0,,
10,19520111.0,164.0,163.0,146.0,237.0,241.0,255.0,298.0,234.0,205.0,212.0,218.0,94.0,95.0,90.0,Calm,0.0,NE,1.0,Calm,0.0,9.0,10.0,8.0,50.0,,
11,19520112.0,170.0,160.0,147.0,239.0,254.0,258.0,268.0,230.0,205.0,217.0,221.0,93.0,90.0,90.0,Calm,0.0,NE,1.0,Calm,0.0,10.0,9.0,7.0,131.0,,
