,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
0,19010101.0,624.0,617.0,617.0,259.0,246.0,13.0,285.0,255.0,30.0,246.0,234.0,12.0,284.0,232.0,222.0,224.0,207.0,90.0,77.0,90.0,N,6.0,NNW,6.0,NE,3.0,9.0,8.0,0.0,,,
1,19010102.0,627.0,623.0,617.0,221.0,215.0,6.0,283.0,254.0,29.0,237.0,225.0,12.0,286.0,192.0,187.0,223.0,195.0,95.0,78.0,90.0,NE,4.0,NNW,6.0,SW,2.0,8.0,7.0,8.0,,,
2,19010103.0,625.0,614.0,617.0,224.0,217.0,7.0,297.0,256.0,41.0,241.0,231.0,10.0,290.0,182.0,189.0,219.0,204.0,94.0,70.0,91.0,SW,1.0,NE,7.0,E,3.0,2.0,7.0,0.0,,,
3,19010104.0,627.0,611.0,621.0,200.0,197.0,3.0,282.0,255.0,27.0,243.0,234.0,9.0,298.0,175.0,169.0,226.0,209.0,97.0,79.0,92.0,SW,2.0,N,7.0,SW,3.0,6.0,7.0,0.0,,,
4,19010105.0,629.0,609.0,611.0,198.0,192.0,6.0,300.0,261.0,39.0,246.0,234.0,12.0,289.0,169.0,162.0,227.0,207.0,94.0,72.0,90.0,,0.0,N,6.0,NE,5.0,8.0,7.0,0.0,,,
5,19010106.0,628.0,614.0,617.0,224.0,217.0,7.0,284.0,255.0,29.0,255.0,243.0,12.0,303.0,196.0,189.0,225.0,218.0,94.0,78.0,90.0,SE,2.0,NNE,6.0,NE,4.0,4.0,9.0,0.0,,,
6,19010107.0,630.0,614.0,611.0,236.0,226.0,10.0,296.0,255.0,41.0,256.0,242.0,14.0,294.0,207.0,198.0,217.0,216.0,91.0,70.0,89.0,NE,3.0,NE,7.0,NE,5.0,6.0,8.0,0.0,,,
7,19010108.0,630.0,615.0,613.0,231.0,220.0,11.0,299.0,257.0,42.0,252.0,240.0,12.0,300.0,208.0,190.0,219.0,214.0,90.0,70.0,91.0,SE,2.0,E,7.0,NE,5.0,7.0,8.0,0.0,,,
8,19010109.0,618.0,604.0,613.0,250.0,235.0,15.0,295.0,255.0,40.0,251.0,237.0,14.0,303.0,212.0,206.0,218.0,209.0,87.0,70.0,88.0,ENE,5.0,NE,7.0,ENE,4.0,8.0,7.0,0.0,,,
9,19010110.0,621.0,616.0,618.0,236.0,224.0,12.0,277.0,254.0,23.0,250.0,245.0,5.0,299.0,199.0,194.0,227.0,225.0,90.0,82.0,96.0,NE,3.0,NNE,6.0,NE,4.0,9.0,10.0,10.0,,,
10,19010111.0,620.0,606.0,611.0,252.0,236.0,16.0,277.0,253.0,24.0,255.0,238.0,17.0,280.0,236.0,207.0,225.0,209.0,87.0,81.0,86.0,NE,6.0,SE,5.0,ENE,5.0,8.0,10.0,0.0,66.0,,
11,19010112.0,618.0,605.0,605.0,259.0,246.0,13.0,284.0,255.0,29.0,257.0,244.0,13.0,280.0,244.0,222.0,225.0,219.0,90.0,78.0,90.0,NE,5.0,N,6.0,ENE,4.0,10.0,9.0,10.0,,,
12,19010113.0,621.0,612.0,610.0,253.0,242.0,11.0,237.0,227.0,10.0,241.0,235.0,6.0,285.0,226.0,218.0,199.0,212.0,91.0,91.0,95.0,ENE,2.0,NE,5.0,NE,3.0,9.0,10.0,10.0,,,
13,19010114.0,623.0,612.0,606.0,248.0,229.0,19.0,270.0,252.0,18.0,253.0,236.0,17.0,292.0,223.0,196.0,227.0,206.0,84.0,86.0,86.0,ENE,2.0,ENE,5.0,NE,3.0,10.0,9.0,10.0,286.0,,
14,19010115.0,621.0,608.0,608.0,245.0,235.0,10.0,280.0,256.0,24.0,254.0,242.0,12.0,281.0,235.0,209.0,229.0,217.0,92.0,82.0,90.0,NE,2.0,NNE,6.0,NE,5.0,9.0,10.0,0.0,26.0,,
15,19010116.0,629.0,606.0,609.0,230.0,225.0,5.0,293.0,255.0,38.0,259.0,244.0,15.0,284.0,228.0,200.0,219.0,218.0,96.0,72.0,88.0,SE,4.0,NE,7.0,E,5.0,10.0,8.0,0.0,77.0,,
16,19010117.0,627.0,617.0,618.0,255.0,237.0,18.0,270.0,253.0,17.0,247.0,232.0,15.0,293.0,230.0,207.0,229.0,202.0,85.0,86.0,87.0,ENE,6.0,N,7.0,NE,3.0,8.0,10.0,0.0,,,
17,19010118.0,639.0,626.0,626.0,242.0,232.0,10.0,287.0,255.0,32.0,251.0,240.0,11.0,285.0,235.0,205.0,223.0,215.0,91.0,76.0,91.0,SE,4.0,NE,6.0,NE,5.0,8.0,7.0,5.0,,,
18,19010119.0,642.0,629.0,623.0,252.0,238.0,14.0,250.0,237.0,13.0,256.0,242.0,14.0,288.0,232.0,211.0,210.0,216.0,88.0,89.0,89.0,NE,3.0,NW,5.0,NE,4.0,9.0,10.0,0.0,,,
19,19010120.0,622.0,610.0,613.0,249.0,237.0,12.0,285.0,255.0,30.0,252.0,234.0,18.0,279.0,247.0,211.0,224.0,203.0,90.0,77.0,85.0,NE,5.0,NE,6.0,SE,3.0,9.0,8.0,1.0,10.0,,
20,19010121.0,618.0,604.0,598.0,257.0,245.0,12.0,281.0,249.0,32.0,257.0,242.0,15.0,290.0,246.0,221.0,214.0,215.0,90.0,76.0,88.0,NE,4.0,NE,4.0,NE,3.0,9.0,8.0,10.0,,,
21,19010122.0,615.0,603.0,602.0,252.0,235.0,17.0,259.0,247.0,12.0,236.0,227.0,9.0,285.0,232.0,205.0,224.0,200.0,86.0,90.0,92.0,NE,4.0,N,3.0,NE,2.0,8.0,10.0,10.0,17.0,,
22,19010123.0,619.0,600.0,598.0,240.0,232.0,8.0,282.0,261.0,21.0,254.0,242.0,12.0,266.0,227.0,206.0,238.0,217.0,93.0,84.0,90.0,SE,3.0,NE,5.0,ENE,5.0,7.0,8.0,0.0,194.0,,
23,19010124.0,620.0,611.0,606.0,245.0,233.0,12.0,264.0,248.0,16.0,244.0,237.0,7.0,290.0,222.0,205.0,223.0,214.0,90.0,87.0,94.0,ENE,2.0,ENE,5.0,NE,3.0,5.0,10.0,10.0,30.0,,
24,19010125.0,627.0,605.0,607.0,231.0,225.0,6.0,287.0,258.0,29.0,247.0,235.0,12.0,283.0,218.0,199.0,225.0,208.0,95.0,77.0,90.0,SSE,5.0,NE,7.0,ENE,4.0,10.0,7.0,0.0,33.0,,
25,19010126.0,617.0,601.0,603.0,251.0,237.0,14.0,286.0,254.0,32.0,250.0,236.0,14.0,293.0,214.0,209.0,221.0,208.0,88.0,76.0,88.0,NNE,4.0,NNW,6.0,NE,2.0,7.0,6.0,4.0,12.0,,
26,19010127.0,611.0,599.0,595.0,242.0,231.0,11.0,279.0,254.0,25.0,254.0,242.0,12.0,288.0,223.0,204.0,226.0,217.0,91.0,81.0,90.0,ENE,1.0,NNW,5.0,NE,2.0,7.0,9.0,0.0,,,
27,19010128.0,609.0,595.0,595.0,259.0,247.0,12.0,295.0,264.0,31.0,253.0,240.0,13.0,289.0,235.0,224.0,237.0,214.0,90.0,77.0,90.0,ENE,5.0,N,7.0,NE,3.0,8.0,8.0,0.0,1.0,,
28,19010129.0,624.0,620.0,620.0,251.0,244.0,7.0,288.0,257.0,31.0,258.0,237.0,21.0,304.0,233.0,223.0,226.0,205.0,94.0,77.0,83.0,NE,3.0,N,7.0,NE,4.0,9.0,8.0,0.0,17.0,,
29,19010130.0,630.0,617.0,618.0,227.0,218.0,9.0,295.0,262.0,33.0,261.0,245.0,16.0,299.0,202.0,189.0,232.0,219.0,92.0,76.0,87.0,NE,2.0,NNE,6.0,SE,3.0,8.0,7.0,0.0,,,
30,,762.37,761.0766666666667,761.0866666666667,24.063333333333333,22.976666666666667,1.0866666666666667,,25.363333333333333,2.7933333333333334,,23.783333333333335,1.27,28.93333333333333,21.866666666666667,20.256666666666668,22.336666666666666,21.12666666666667,90.83333333333333,78.83333333333333,89.53333333333333,,3.3333333333333335,,5.933333333333334,,3.6333333333333333,7.833333333333333,8.333333333333334,2.933333333333333,76.9,,
31,19010131.0,620.0,603.0,605.0,226.0,216.0,10.0,290.0,257.0,33.0,256.0,242.0,14.0,295.0,199.0,186.0,225.0,216.0,92.0,76.0,89.0,SW,3.0,NE,6.0,SE,4.0,7.0,8.0,6.0,,,
32,19010201.0,615.0,603.0,607.0,244.0,235.0,9.0,287.0,255.0,32.0,255.0,242.0,13.0,292.0,208.0,210.0,223.0,217.0,92.0,76.0,90.0,S,3.0,N,7.0,NE,3.0,7.0,6.0,4.0,378.0,,
33,19010202.0,614.0,603.0,607.0,224.0,214.0,10.0,306.0,264.0,42.0,252.0,241.0,11.0,296.0,191.0,183.0,230.0,216.0,91.0,70.0,91.0,SW,2.0,N,6.0,ENE,5.0,7.0,6.0,0.0,,,
34,19010203.0,621.0,621.0,621.0,246.0,234.0,12.0,295.0,263.0,32.0,243.0,234.0,9.0,306.0,212.0,207.0,235.0,209.0,90.0,77.0,92.0,ENE,4.0,NNE,7.0,NE,3.0,7.0,6.0,0.0,,,
35,19010204.0,633.0,623.0,619.0,235.0,227.0,8.0,266.0,258.0,8.0,235.0,228.0,7.0,305.0,207.0,201.0,242.0,203.0,93.0,93.0,94.0,NE,2.0,NNE,5.0,ENE,4.0,8.0,10.0,10.0,,,
36,19010205.0,635.0,615.0,617.0,240.0,235.0,5.0,296.0,264.0,32.0,254.0,242.0,12.0,283.0,229.0,212.0,236.0,217.0,96.0,77.0,90.0,ENE,2.0,N,7.0,NE,5.0,10.0,8.0,2.0,185.0,,
37,19010206.0,630.0,617.0,617.0,235.0,226.0,9.0,292.0,261.0,31.0,250.0,241.0,9.0,297.0,214.0,199.0,232.0,241.0,92.0,77.0,93.0,NE,2.0,ENE,7.0,NE,4.0,9.0,8.0,3.0,62.0,,
38,19010207.0,629.0,617.0,619.0,230.0,221.0,9.0,291.0,257.0,34.0,254.0,242.0,12.0,296.0,221.0,192.0,224.0,217.0,92.0,75.0,90.0,ENE,2.0,N,6.0,NE,4.0,2.0,8.0,2.0,,,
39,19010208.0,638.0,616.0,620.0,241.0,232.0,9.0,281.0,255.0,26.0,253.0,244.0,9.0,296.0,227.0,206.0,227.0,222.0,92.0,80.0,93.0,SE,3.0,N,7.0,NE,5.0,10.0,10.0,8.0,138.0,,
40,19010209.0,629.0,615.0,617.0,264.0,247.0,17.0,287.0,254.0,33.0,259.0,245.0,14.0,285.0,241.0,221.0,221.0,220.0,86.0,75.0,89.0,SE,5.0,NE,7.0,ENE,6.0,8.0,9.0,10.0,28.0,,
41,19010210.0,639.0,626.0,622.0,261.0,246.0,15.0,297.0,256.0,41.0,256.0,242.0,14.0,293.0,240.0,221.0,219.0,216.0,88.0,70.0,89.0,NE,5.0,NE,5.0,SE,5.0,7.0,8.0,0.0,,,
42,19010211.0,642.0,628.0,623.0,259.0,245.0,14.0,293.0,261.0,32.0,253.0,242.0,11.0,300.0,237.0,220.0,232.0,218.0,89.0,76.0,91.0,N,5.0,NE,6.0,ENE,5.0,7.0,8.0,2.0,,,
