,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 3,FF 3,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 28_level_1
115,19170423.0,609.0,597.0,586.0,254.0,265.0,260.0,300.0,234.0,225.0,226.0,221.0,93.0,88.0,89.0,WSW,1.0,,,SW,1.0,WNW,2.0,2.0,2.0,1.0,28,,
116,19170424.0,609.0,,,247.0,278.0,265.0,295.0,227.0,214.0,226.0,212.0,92.0,81.0,82.0,SW,1.0,,,SW,1.0,SW,1.0,4.0,6.0,1.0,141,,
117,19170425.0,,,,258.0,289.0,241.0,298.0,233.0,225.0,232.0,215.0,91.0,78.0,97.0,SW,1.0,,,SW,3.0,SW,1.0,4.0,4.0,5.0,35,,
118,19170426.0,,,,252.0,294.0,269.0,301.0,210.0,209.0,244.0,224.0,88.0,80.0,85.0,SW,1.0,,,SW,2.0,SW,1.0,2.0,2.0,3.0,235,,
119,19170427.0,,,,257.0,275.0,261.0,303.0,211.0,215.0,241.0,223.0,88.0,88.0,89.0,SSW,1.0,,,SSW,2.0,WSW,2.0,3.0,4.0,3.0,1,,
120,19170428.0,,,,259.0,302.0,269.0,306.0,213.0,228.0,213.0,216.0,92.0,67.0,82.0,SSW,1.0,,,WNW,3.0,NW,2.0,3.0,1.0,1.0,215,,
121,19170429.0,,,,257.0,272.0,263.0,305.0,207.0,223.0,226.0,212.0,91.0,84.0,83.0,WNW,1.0,,,NW,1.0,WNW,1.0,2.0,3.0,2.0,0,,
122,19170430.0,,,,,,,,,,,,,,,,,,,,,,,,,,65,,
123,,761.6875,760.4695652173913,759.4652173913043,25.317241379310346,28.386206896551727,26.048275862068966,29.572413793103447,22.382758620689653,21.23793103448276,23.306896551724137,22.162068965517243,88.58620689655173,81.13793103448276,88.48275862068965,,1.2758620689655173,,,,2.0689655172413794,,1.5517241379310345,2.689655172413793,2.413793103448276,1.5862068965517242,122.4,,
124,19170501.0,,,,261.0,307.0,267.0,,215.0,207.0,204.0,269.0,82.0,62.0,80.0,WSW,2.0,,,NNW,3.0,N,2.0,1.0,2.0,2.0,5,,
125,19170502.0,,,,273.0,274.0,264.0,320.0,230.0,213.0,229.0,221.0,79.0,84.0,86.0,NW,2.0,,,WNW,2.0,WNW,3.0,1.0,3.0,2.0,0,,
126,19170503.0,,,,260.0,270.0,253.0,307.0,220.0,223.0,225.0,214.0,90.0,85.0,90.0,WNW,2.0,,,N,3.0,WNW,2.0,4.0,4.0,4.0,45,,
127,19170504.0,,,,251.0,255.0,256.0,301.0,198.0,225.0,239.0,210.0,95.0,98.0,86.0,WNW,1.0,,,SW,1.0,NW,2.0,2.0,4.0,3.0,85,,
128,19170505.0,,,,264.0,295.0,266.0,315.0,225.0,221.0,208.0,200.0,86.0,67.0,77.0,WNW,2.0,,,SE,2.0,SE,3.0,2.0,2.0,1.0,34,,
129,19170506.0,,,,266.0,297.0,262.0,315.0,216.0,216.0,221.0,231.0,83.0,71.0,91.0,NNE,2.0,,,E,4.0,SW,1.0,3.0,3.0,1.0,4,,
130,19170507.0,,,,268.0,295.0,265.0,318.0,228.0,208.0,200.0,197.0,80.0,65.0,77.0,NNW,1.0,,,NW,3.0,SE,4.0,3.0,3.0,4.0,0,,
131,19170508.0,,,,246.0,295.0,263.0,296.0,179.0,212.0,202.0,192.0,92.0,65.0,76.0,SSW,2.0,,,SSE,4.0,SE,4.0,5.0,5.0,5.0,37,,
132,19170509.0,,,,274.0,261.0,235.0,318.0,246.0,217.0,243.0,210.0,80.0,97.0,97.0,SSW,2.0,,,SE,3.0,S,1.0,4.0,8.0,6.0,1,,
133,19170510.0,,,,242.0,289.0,265.0,284.0,193.0,215.0,226.0,214.0,96.0,76.0,83.0,NE,1.0,,,SW,2.0,SE,2.0,8.0,4.0,5.0,204,,
134,19170511.0,,,,274.0,268.0,263.0,325.0,242.0,219.0,235.0,213.0,81.0,90.0,85.0,SSE,1.0,,,WNW,1.0,WNW,2.0,4.0,6.0,4.0,75,,
135,19170512.0,,,,257.0,283.0,270.0,304.0,208.0,221.0,221.0,211.0,90.0,77.0,80.0,NNW,1.0,,,SE,1.0,SE,2.0,4.0,5.0,3.0,44,,
136,19170513.0,,,,257.0,307.0,262.0,304.0,210.0,207.0,208.0,231.0,85.0,63.0,91.0,ESE,2.0,,,ESE,1.0,SE,1.0,4.0,5.0,5.0,10,,
137,19170514.0,,,,250.0,270.0,263.0,321.0,203.0,206.0,223.0,230.0,87.0,84.0,90.0,E,1.0,,,SE,1.0,SE,0.0,5.0,5.0,5.0,95,,
138,19170515.0,,,,253.0,286.0,258.0,307.0,203.0,226.0,213.0,232.0,94.0,73.0,94.0,ENE,0.0,,,ENE,2.0,WNW,0.0,5.0,6.0,6.0,45,,
139,19170516.0,,,,249.0,251.0,265.0,291.0,209.0,218.0,221.0,212.0,93.0,93.0,82.0,SSW,1.0,,,NE,1.0,SE,2.0,5.0,6.0,4.0,7,,
140,19170517.0,,,,234.0,248.0,234.0,281.0,184.0,193.0,219.0,203.0,90.0,94.0,95.0,E,1.0,,,ENE,0.0,ENE,1.0,4.0,8.0,6.0,81,,
141,19170518.0,,,,235.0,292.0,265.0,288.0,185.0,208.0,224.0,241.0,96.0,74.0,93.0,E,1.0,,,NNE,4.0,SE,2.0,7.0,5.0,4.0,416,,
142,19170519.0,,,,251.0,302.0,265.0,295.0,208.0,215.0,272.0,206.0,91.0,85.0,80.0,SE,2.0,,,E,2.0,WNW,2.0,4.0,3.0,3.0,1,,
143,19170520.0,,,,245.0,290.0,241.0,302.0,195.0,213.0,207.0,215.0,93.0,69.0,97.0,W,1.0,,,SW,2.0,NNW,1.0,3.0,4.0,6.0,0,,
144,19170521.0,,,,251.0,297.0,273.0,294.0,207.0,202.0,253.0,236.0,85.0,82.0,87.0,ENE,1.0,,,SSE,3.0,NW,2.0,1.0,5.0,6.0,13,,
145,19170522.0,,,,245.0,280.0,267.0,297.0,195.0,209.0,253.0,211.0,92.0,90.0,81.0,NW,1.0,,,NNW,2.0,WSW,1.0,4.0,5.0,3.0,0,,
146,19170523.0,,,,233.0,260.0,245.0,280.0,183.0,209.0,229.0,213.0,98.0,92.0,93.0,SW,0.0,,,SE,2.0,SE,0.0,7.0,9.0,10.0,88,,
147,19170524.0,,,,247.0,271.0,264.0,290.0,201.0,202.0,258.0,211.0,87.0,97.0,82.0,SE,1.0,,,SE,0.0,SSE,1.0,2.0,6.0,5.0,166,,
148,19170525.0,,,,257.0,266.0,263.0,301.0,209.0,213.0,250.0,217.0,87.0,97.0,85.0,SSE,1.0,,,NW,0.0,NW,1.0,4.0,7.0,5.0,47,,
149,19170526.0,,,,241.0,267.0,260.0,289.0,191.0,215.0,250.0,194.0,97.0,96.0,78.0,N,1.0,,,NNW,3.0,SSE,3.0,7.0,5.0,5.0,40,,
150,19170527.0,,,,252.0,304.0,265.0,267.0,201.0,220.0,206.0,241.0,93.0,64.0,93.0,SE,2.0,,,SSW,5.0,NNW,2.0,4.0,4.0,3.0,1,,
151,19170528.0,,,,267.0,297.0,267.0,314.0,221.0,219.0,275.0,239.0,84.0,89.0,92.0,S,1.0,,,NW,3.0,WNW,1.0,4.0,3.0,4.0,65,,
152,19170529.0,,,,251.0,295.0,263.0,300.0,207.0,211.0,276.0,232.0,89.0,90.0,91.0,NW,1.0,,,NW,4.0,SE,2.0,2.0,2.0,2.0,1,,
153,19170530.0,,,,233.0,280.0,282.0,295.0,187.0,207.0,263.0,260.0,97.0,94.0,92.0,SE,1.0,,,S,1.0,SW,1.0,6.0,4.0,4.0,113,,
154,19170531.0,,,,258.0,259.0,260.0,300.0,214.0,227.0,240.0,196.0,92.0,97.0,79.0,NW,1.0,,,S,3.0,SE,2.0,6.0,7.0,7.0,16,,
155,,,,,25.306451612903224,28.1,26.1,30.063333333333333,20.68709677419355,21.34516129032258,23.203225806451613,21.941935483870967,89.16129032258064,82.58064516129032,86.54838709677419,,1.2580645161290323,,,,2.193548387096774,,1.7096774193548387,4.032258064516129,4.774193548387097,4.290322580645161,173.9,,
156,19170601.0,,,,241.0,287.0,261.0,292.0,191.0,206.0,281.0,243.0,92.0,97.0,97.0,SE,1.0,,,SE,1.0,SW,2.0,5.0,6.0,7.0,95,,
157,19170602.0,,,,265.0,308.0,272.0,307.0,207.0,230.0,315.0,257.0,95.0,96.0,96.0,S,2.0,,,SE,1.0,ESE,1.0,4.0,5.0,3.0,21,,
158,19170603.0,,,,250.0,306.0,260.0,308.0,207.0,216.0,317.0,244.0,92.0,97.0,97.0,SE,2.0,,,SSE,2.0,SE,2.0,3.0,4.0,3.0,0,,
159,19170604.0,,,,262.0,291.0,271.0,319.0,212.0,232.0,290.0,258.0,92.0,97.0,97.0,SSE,2.0,,,ESE,3.0,SE,2.0,2.0,5.0,3.0,17,,
160,19170605.0,,,,266.0,297.0,269.0,311.0,220.0,244.0,298.0,257.0,84.0,96.0,98.0,NNW,1.0,,,NW,3.0,NNW,2.0,1.0,5.0,2.0,2,,
161,19170606.0,,,,267.0,308.0,260.0,317.0,221.0,246.0,299.0,244.0,94.0,91.0,97.0,NNW,2.0,,,NW,3.0,NNW,4.0,2.0,4.0,3.0,0,,
162,19170607.0,,,,270.0,303.0,275.0,317.0,226.0,248.0,261.0,268.0,93.0,81.0,98.0,SSW,2.0,,,SSE,5.0,SE,2.0,2.0,2.0,2.0,0,,
163,19170608.0,,,,255.0,298.0,269.0,309.0,211.0,226.0,255.0,212.0,93.0,82.0,84.0,NW,1.0,,,NNW,2.0,N,0.0,0.0,5.0,1.0,0,,
164,19170609.0,,,,246.0,313.0,272.0,298.0,196.0,212.0,253.0,261.0,92.0,74.0,98.0,NNW,1.0,,,NNE,1.0,E,0.0,1.0,4.0,3.0,9,,
165,19170610.0,,,,247.0,314.0,303.0,313.0,196.0,219.0,244.0,250.0,95.0,72.0,78.0,NW,2.0,,,S,2.0,SSW,1.0,4.0,5.0,4.0,8,,
166,19170611.0,,,,272.0,275.0,257.0,316.0,223.0,242.0,204.0,215.0,90.0,75.0,88.0,NW,3.0,,,N,0.0,NE,3.0,4.0,8.0,7.0,3,,
167,19170612.0,,,,239.0,290.0,265.0,275.0,197.0,211.0,225.0,220.0,96.0,76.0,85.0,S,1.0,,,SE,1.0,ESE,2.0,6.0,4.0,3.0,73,,
168,19170613.0,,,,254.0,307.0,265.0,306.0,204.0,221.0,270.0,220.0,92.0,82.0,85.0,ESE,2.0,,,SE,4.0,SE,6.0,3.0,5.0,6.0,3,,
169,19170614.0,,,,242.0,305.0,274.0,307.0,192.0,205.0,259.0,205.0,91.0,80.0,75.0,NNE,1.0,,,NNE,1.0,NE,1.0,5.0,7.0,5.0,307,,
170,19170615.0,,,,255.0,260.0,269.0,316.0,206.0,213.0,213.0,220.0,88.0,85.0,83.0,SSW,1.0,,,SE,0.0,SE,6.0,4.0,7.0,9.0,2,,
171,19170616.0,,,,258.0,257.0,239.0,280.0,213.0,205.0,225.0,207.0,83.0,92.0,94.0,NNE,2.0,,,E,1.0,SE,0.0,4.0,6.0,9.0,47,,
172,19170617.0,,,,257.0,262.0,259.0,303.0,207.0,221.0,202.0,224.0,90.0,80.0,90.0,SSE,3.0,,,N,2.0,ESE,0.0,8.0,6.0,4.0,101,,
173,19170618.0,,,,264.0,245.0,264.0,308.0,245.0,215.0,213.0,269.0,84.0,93.0,82.0,S,2.0,,,E,2.0,SE,1.0,3.0,8.0,6.0,13,,
174,19170619.0,,,,246.0,295.0,267.0,293.0,199.0,216.0,224.0,225.0,94.0,73.0,86.0,SSE,1.0,,,SSE,6.0,NW,3.0,2.0,4.0,3.0,117,,
175,19170620.0,,,,251.0,274.0,275.0,299.0,199.0,215.0,248.0,200.0,91.0,91.0,74.0,NW,2.0,,,E,2.0,N,4.0,5.0,5.0,6.0,1,,
176,19170621.0,,,,250.0,308.0,265.0,298.0,206.0,218.0,244.0,220.0,93.0,74.0,85.0,N,3.0,,,NE,1.0,E,3.0,6.0,7.0,6.0,2,,
177,19170622.0,,,,240.0,292.0,268.0,308.0,190.0,206.0,234.0,224.0,93.0,78.0,86.0,SE,1.0,,,E,5.0,SE,2.0,4.0,5.0,5.0,204,,
178,19170623.0,,,,247.0,264.0,260.0,292.0,200.0,212.0,209.0,194.0,92.0,82.0,78.0,SE,1.0,,,E,3.0,NNE,2.0,1.0,8.0,4.0,2,,
179,19170624.0,,,,245.0,269.0,247.0,294.0,196.0,203.0,200.0,221.0,89.0,76.0,96.0,SE,2.0,,,SSE,2.0,N,1.0,5.0,4.0,6.0,18,,
180,19170625.0,,,,231.0,274.0,252.0,278.0,187.0,207.0,221.0,199.0,98.0,81.0,84.0,NNW,1.0,,,NNW,3.0,N,2.0,8.0,6.0,3.0,26,,
181,19170626.0,,,,258.0,300.0,269.0,304.0,212.0,195.0,227.0,224.0,79.0,72.0,85.0,N,1.0,,,NW,2.0,NNW,1.0,0.0,3.0,2.0,2,,
182,19170627.0,,,,258.0,231.0,239.0,309.0,211.0,211.0,203.0,200.0,85.0,96.0,91.0,NW,3.0,,,NW,1.0,NNW,2.0,3.0,8.0,7.0,4,,
183,19170628.0,,,,244.0,296.0,285.0,258.0,197.0,214.0,223.0,234.0,94.0,72.0,81.0,NW,1.0,,,NW,1.0,NNW,2.0,3.0,4.0,4.0,195,,
184,19170629.0,,,,257.0,283.0,284.0,306.0,211.0,211.0,240.0,225.0,86.0,84.0,78.0,N,4.0,,,NW,2.0,NW,1.0,0.0,6.0,5.0,100,,
185,19170630.0,,,,253.0,252.0,240.0,304.0,203.0,220.0,224.0,210.0,92.0,94.0,95.0,WSW,0.0,,,NNE,1.0,SE,2.0,5.0,8.0,7.0,26,,
186,,,,,25.3,28.546666666666663,26.51666666666667,30.15,20.616666666666667,21.8,24.403333333333332,22.833333333333336,90.73333333333333,83.96666666666667,88.03333333333333,,1.7,,,,2.1,,2.0,3.433333333333333,5.466666666666667,4.6,139.8,,
187,19170701.0,,,,263.0,285.0,269.0,292.0,205.0,215.0,220.0,240.0,85.0,76.0,91.0,NNW,2.0,,,NW,2.0,ENE,1.0,2.0,2.0,5.0,373,,
188,19170702.0,,,,250.0,306.0,291.0,288.0,202.0,210.0,247.0,235.0,89.0,85.0,78.0,S,2.0,,,SE,2.0,NNW,1.0,2.0,5.0,8.0,0,,
189,19170703.0,,,,260.0,308.0,289.0,306.0,217.0,211.0,256.0,232.0,85.0,79.0,78.0,NNW,4.0,,,NNW,0.0,NNW,1.0,4.0,7.0,5.0,78,,
190,19170704.0,,,,236.0,273.0,277.0,308.0,187.0,205.0,231.0,211.0,95.0,86.0,77.0,ESE,2.0,,,ESE,1.0,SE,2.0,6.0,8.0,7.0,8,,
191,19170705.0,,,,240.0,291.0,280.0,292.0,196.0,216.0,235.0,219.0,97.0,78.0,78.0,SE,2.0,,,E,2.0,ENE,2.0,6.0,6.0,5.0,92,,
192,19170706.0,,,,236.0,252.0,257.0,291.0,192.0,209.0,228.0,227.0,96.0,96.0,93.0,E,4.0,,,NE,4.0,NE,2.0,9.0,8.0,5.0,21,,
193,19170707.0,,,,232.0,254.0,253.0,282.0,182.0,202.0,235.0,228.0,96.0,97.0,95.0,SE,4.0,,,NNW,4.0,ENE,3.0,10.0,9.0,8.0,331,,
194,19170708.0,,,,258.0,272.0,268.0,283.0,229.0,190.0,177.0,203.0,77.0,66.0,78.0,NE,2.0,,,NNE,3.0,ENE,5.0,4.0,4.0,5.0,368,,
195,19170709.0,,,,252.0,296.0,273.0,293.0,209.0,199.0,211.0,219.0,84.0,68.0,81.0,NNW,2.0,,,SE,4.0,SW,4.0,1.0,5.0,5.0,23,,
196,19170710.0,,,,233.0,302.0,252.0,296.0,184.0,201.0,218.0,209.0,95.0,68.0,88.0,SW,1.0,,,NNW,1.0,N,0.0,7.0,5.0,5.0,1,,
197,19170711.0,,,,232.0,267.0,261.0,302.0,183.0,206.0,207.0,221.0,97.0,80.0,88.0,N,0.0,,,NNW,3.0,N,0.0,8.0,6.0,5.0,0,,
198,19170712.0,,,,246.0,298.0,235.0,297.0,198.0,209.0,235.0,206.0,91.0,75.0,96.0,NE,2.0,,,ENE,1.0,S,0.0,5.0,4.0,7.0,77,,
199,19170713.0,,,,239.0,245.0,262.0,298.0,195.0,217.0,213.0,232.0,98.0,93.0,92.0,S,0.0,,,SSE,0.0,S,0.0,7.0,8.0,4.0,126,,
200,19170714.0,,,,233.0,292.0,268.0,285.0,185.0,209.0,234.0,249.0,98.0,78.0,95.0,SSE,1.0,,,ESE,1.0,SE,1.0,7.0,6.0,7.0,51,,
201,19170715.0,,,,243.0,270.0,298.0,292.0,194.0,222.0,203.0,184.0,98.0,77.0,59.0,NNW,2.0,,,NW,2.0,SSE,2.0,2.0,2.0,2.0,44,,
202,19170716.0,,,,238.0,289.0,273.0,298.0,194.0,208.0,260.0,252.0,95.0,88.0,94.0,ESE,1.0,,,ENE,1.0,E,1.0,6.0,5.0,7.0,1,,
203,19170717.0,,,,238.0,257.0,233.0,289.0,189.0,208.0,206.0,201.0,95.0,84.0,95.0,ESE,1.0,,,NE,8.0,SSE,2.0,5.0,8.0,8.0,138,,
204,19170718.0,,,,250.0,302.0,288.0,291.0,210.0,210.0,228.0,226.0,89.0,71.0,77.0,SE,1.0,,,ESE,6.0,SE,2.0,4.0,6.0,3.0,289,,
205,19170719.0,,,,266.0,252.0,258.0,312.0,219.0,225.0,228.0,235.0,87.0,96.0,95.0,ESE,3.0,,,SE,1.0,SE,1.0,2.0,8.0,6.0,35,,
206,19170720.0,,,,260.0,315.0,301.0,302.0,226.0,221.0,242.0,227.0,89.0,70.0,71.0,SE,2.0,,,S,3.0,SE,2.0,0.0,6.0,6.0,392,,
207,19170721.0,,,,262.0,318.0,298.0,315.0,218.0,218.0,240.0,230.0,86.0,68.0,74.0,S,4.0,,,ESE,3.0,SSE,2.0,2.0,5.0,7.0,1,,
208,19170722.0,,,,260.0,270.0,271.0,318.0,216.0,215.0,186.0,229.0,86.0,70.0,86.0,SSE,3.0,,,SSE,2.0,S,1.0,0.0,5.0,4.0,31,,
209,19170723.0,,,,248.0,273.0,261.0,271.0,200.0,213.0,223.0,241.0,92.0,83.0,96.0,SE,0.0,,,SE,5.0,SW,3.0,6.0,7.0,7.0,1,,
210,19170724.0,,,,254.0,315.0,287.0,303.0,204.0,217.0,231.0,227.0,90.0,67.0,78.0,SSE,3.0,,,ESE,3.0,SSE,4.0,4.0,4.0,2.0,256,,
211,19170725.0,,,,260.0,312.0,287.0,315.0,216.0,204.0,211.0,235.0,82.0,62.0,80.0,S,4.0,,,SE,1.0,ESE,2.0,2.0,5.0,5.0,0,,
212,19170726.0,,,,250.0,308.0,298.0,312.0,207.0,210.0,220.0,208.0,89.0,67.0,66.0,ESE,2.0,,,SSE,1.0,SE,1.0,6.0,7.0,7.0,9,,
213,19170727.0,,,,241.0,300.0,270.0,308.0,191.0,206.0,240.0,244.0,92.0,76.0,92.0,SSE,1.0,,,E,3.0,SSE,2.0,7.0,5.0,8.0,0,,
214,19170728.0,,,,253.0,230.0,275.0,303.0,204.0,216.0,217.0,224.0,90.0,99.0,82.0,E,2.0,,,E,2.0,E,2.0,5.0,8.0,5.0,184,,
215,19170729.0,,,,261.0,311.0,276.0,298.0,200.0,211.0,219.0,234.0,84.0,65.0,85.0,SE,1.0,,,SSE,2.0,ESE,5.0,5.0,4.0,3.0,167,,
216,19170730.0,,,,263.0,312.0,276.0,311.0,227.0,222.0,237.0,223.0,85.0,70.0,81.0,ESE,4.0,,,SSE,1.0,S,3.0,3.0,8.0,8.0,0,,
217,19170731.0,,,,261.0,308.0,276.0,312.0,217.0,209.0,243.0,228.0,83.0,73.0,83.0,N,3.0,,,N,0.0,NW,3.0,1.0,7.0,2.0,1,,
218,,,,,24.89677419354839,28.65483870967742,27.293548387096774,29.880645161290325,20.309677419354838,21.07741935483871,22.519354838709678,22.51290322580645,90.16129032258064,77.7741935483871,83.93548387096774,,2.096774193548387,,,,2.3225806451612905,,1.935483870967742,4.451612903225806,5.903225806451613,5.516129032258065,309.8,,
219,19170801.0,,,,251.0,287.0,272.0,308.0,201.0,217.0,207.0,236.0,92.0,70.0,88.0,NNW,2.0,,,ESE,4.0,E,1.0,6.0,6.0,6.0,0,,
220,19170802.0,,,,241.0,305.0,248.0,287.0,191.0,215.0,226.0,221.0,97.0,70.0,95.0,ESE,2.0,,,E,4.0,NE,2.0,8.0,5.0,8.0,100,,
221,19170803.0,,,,227.0,296.0,269.0,305.0,183.0,196.0,232.0,238.0,96.0,75.0,90.0,ESE,3.0,,,ESE,4.0,SSW,3.0,6.0,7.0,7.0,485,,
222,19170804.0,,,,242.0,263.0,258.0,296.0,193.0,205.0,232.0,225.0,91.0,91.0,91.0,N,0.0,,,W,1.0,NNE,3.0,8.0,7.0,8.0,45,,
223,19170805.0,,,,257.0,307.0,269.0,284.0,217.0,209.0,214.0,242.0,85.0,65.0,90.0,NE,2.0,,,SE,4.0,SSE,2.0,7.0,4.0,8.0,106,,
224,19170806.0,,,,242.0,274.0,267.0,307.0,193.0,215.0,246.0,229.0,96.0,90.0,88.0,NE,1.0,,,NNW,6.0,NNW,3.0,4.0,6.0,3.0,86,,
225,19170807.0,,,,262.0,260.0,271.0,304.0,218.0,212.0,233.0,217.0,84.0,93.0,81.0,NNW,2.0,,,E,2.0,ESE,2.0,2.0,6.0,4.0,35,,
226,19170808.0,,,,248.0,311.0,283.0,298.0,200.0,227.0,222.0,229.0,97.0,66.0,80.0,SE,4.0,,,SE,4.0,WNW,4.0,5.0,5.0,1.0,131,,
227,19170809.0,,,,256.0,280.0,272.0,320.0,209.0,226.0,255.0,236.0,93.0,90.0,88.0,NNW,2.0,,,NNW,0.0,N,1.0,7.0,7.0,6.0,1,,
228,19170810.0,,,,249.0,311.0,271.0,300.0,208.0,214.0,255.0,227.0,92.0,80.0,85.0,SSE,2.0,,,E,4.0,ESE,2.0,5.0,6.0,4.0,8,,
229,19170811.0,,,,244.0,309.0,268.0,311.0,195.0,191.0,239.0,249.0,84.0,72.0,95.0,S,4.0,,,NNW,2.0,SE,2.0,4.0,6.0,3.0,315,,
230,19170812.0,,,,269.0,277.0,260.0,309.0,221.0,200.0,233.0,227.0,76.0,84.0,91.0,SSE,2.0,,,NNE,2.0,SSE,1.0,4.0,8.0,8.0,2,,
231,19170813.0,,,,237.0,305.0,279.0,286.0,187.0,199.0,248.0,234.0,91.0,77.0,84.0,ESE,1.0,,,ENE,2.0,SE,2.0,7.0,7.0,8.0,1,,
232,19170814.0,,,,258.0,305.0,291.0,306.0,208.0,215.0,248.0,235.0,87.0,77.0,78.0,SE,4.0,,,E,3.0,NNE,3.0,3.0,5.0,4.0,138,,
233,19170815.0,,,,263.0,309.0,272.0,309.0,237.0,214.0,240.0,226.0,84.0,77.0,84.0,N,3.0,,,SSE,4.0,SSE,4.0,2.0,6.0,4.0,0,,
234,19170816.0,,,,258.0,317.0,291.0,309.0,216.0,203.0,240.0,216.0,82.0,69.0,72.0,SSE,4.0,,,ESE,2.0,NW,3.0,1.0,4.0,4.0,3,,
235,19170817.0,,,,262.0,318.0,302.0,317.0,201.0,212.0,208.0,207.0,84.0,59.0,65.0,S,4.0,,,NNE,4.0,NW,3.0,2.0,5.0,3.0,10,,
236,19170818.0,,,,264.0,303.0,279.0,318.0,215.0,211.0,247.0,240.0,82.0,77.0,86.0,S,4.0,,,ESE,4.0,SSE,3.0,1.0,5.0,4.0,0,,
237,19170819.0,,,,250.0,308.0,287.0,303.0,202.0,216.0,235.0,207.0,92.0,71.0,70.0,WNW,1.0,,,NW,2.0,NNW,2.0,8.0,4.0,5.0,0,,
238,19170820.0,,,,262.0,313.0,242.0,322.0,192.0,222.0,243.0,215.0,88.0,71.0,96.0,ESE,2.0,,,ESE,4.0,NNE,2.0,6.0,5.0,8.0,0,,
239,19170821.0,,,,250.0,311.0,271.0,313.0,206.0,220.0,222.0,237.0,93.0,66.0,89.0,NNE,3.0,,,E,4.0,NW,1.0,4.0,7.0,5.0,343,,
240,19170822.0,,,,256.0,301.0,232.0,311.0,209.0,216.0,229.0,202.0,89.0,72.0,96.0,NNW,3.0,,,N,3.0,ESE,1.0,7.0,4.0,7.0,18,,
241,19170823.0,,,,257.0,301.0,266.0,309.0,211.0,211.0,239.0,224.0,86.0,75.0,86.0,SE,4.0,,,ESE,4.0,ESE,4.0,4.0,7.0,3.0,87,,
242,19170824.0,,,,251.0,282.0,270.0,301.0,208.0,219.0,230.0,223.0,93.0,81.0,84.0,SSE,1.0,,,ESE,2.0,ENE,4.0,8.0,7.0,5.0,39,,
243,19170825.0,,,,248.0,304.0,251.0,301.0,196.0,211.0,238.0,221.0,91.0,73.0,93.0,ESE,1.0,,,E,3.0,NNW,2.0,2.0,5.0,8.0,77,,
244,19170826.0,,,,262.0,297.0,240.0,304.0,214.0,210.0,231.0,216.0,83.0,75.0,97.0,ESE,2.0,,,E,4.0,NW,1.0,8.0,4.0,5.0,2,,
245,19170827.0,,,,243.0,308.0,267.0,297.0,193.0,216.0,204.0,229.0,96.0,61.0,88.0,S,1.0,,,SSE,3.0,SSE,2.0,6.0,7.0,7.0,80,,
246,19170828.0,,,,250.0,309.0,252.0,308.0,218.0,207.0,224.0,220.0,84.0,67.0,93.0,ESE,4.0,,,ESE,3.0,N,0.0,0.0,6.0,7.0,117,,
247,19170829.0,,,,267.0,311.0,276.0,318.0,221.0,209.0,229.0,225.0,80.0,68.0,83.0,NNW,4.0,,,NE,4.0,WNW,3.0,2.0,6.0,1.0,101,,
248,19170830.0,,,,265.0,304.0,272.0,311.0,216.0,222.0,227.0,196.0,86.0,70.0,73.0,N,4.0,,,E,4.0,NE,3.0,2.0,6.0,4.0,0,,
249,19170831.0,,,,261.0,319.0,262.0,304.0,197.0,223.0,228.0,242.0,89.0,65.0,96.0,N,3.0,,,NNE,3.0,N,0.0,3.0,6.0,9.0,220,,
250,,,,,25.329032258064515,30.016129032258068,26.806451612903224,30.567741935483873,20.567741935483873,21.23548387096774,23.238709677419354,22.55161290322581,88.48387096774194,74.09677419354838,86.29032258064517,,2.5483870967741935,,,,3.193548387096774,,2.225806451612903,4.580645161290323,5.774193548387097,5.387096774193548,255,,
251,19170901.0,,,,260.0,306.0,286.0,319.0,196.0,221.0,236.0,238.0,89.0,72.0,82.0,ESE,4.0,,,NNE,4.0,NNW,3.0,5.0,7.0,4.0,59,,
252,19170902.0,,,,268.0,306.0,269.0,316.0,227.0,222.0,236.0,220.0,85.0,72.0,83.0,ESE,4.0,,,NNW,5.0,ESE,4.0,0.0,3.0,3.0,0,,
253,19170903.0,,,,259.0,308.0,280.0,306.0,218.0,220.0,247.0,234.0,89.0,75.0,82.0,ESE,3.0,,,ENE,4.0,N,1.0,2.0,5.0,7.0,0,,
