,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
19,19040120.0,619.0,608.0,609.0,230.0,225.0,5.0,293.0,251.0,42.0,245.0,237.0,8.0,288.0,207.0,200.0,211.0,213.0,96.0,69.0,93.0,,0.0,ENE,6.0,,0.0,0.0,5.0,0.0,,,
20,19040121.0,618.0,608.0,605.0,228.0,222.0,6.0,300.0,246.0,54.0,248.0,239.0,9.0,309.0,206.0,195.0,197.0,215.0,95.0,62.0,92.0,E,3.0,NNE,7.0,ENE,4.0,0.0,5.0,0.0,,,
21,19040122.0,620.0,610.0,613.0,235.0,227.0,8.0,275.0,243.0,32.0,252.0,239.0,13.0,308.0,218.0,201.0,206.0,212.0,93.0,76.0,89.0,,0.0,NNE,6.0,ENE,5.0,8.0,9.0,0.0,,,
22,19040123.0,629.0,615.0,614.0,225.0,222.0,3.0,280.0,239.0,41.0,248.0,232.0,16.0,284.0,221.0,197.0,195.0,202.0,97.0,69.0,87.0,SSE,4.0,ENE,5.0,ESE,4.0,10.0,7.0,10.0,89.0,,
23,19040124.0,620.0,615.0,614.0,250.0,230.0,20.0,280.0,244.0,36.0,244.0,239.0,5.0,282.0,214.0,197.0,205.0,217.0,84.0,72.0,96.0,ESE,2.0,ENE,6.0,ESE,5.0,8.0,7.0,0.0,97.0,,
24,19040125.0,625.0,607.0,613.0,242.0,229.0,13.0,283.0,263.0,20.0,250.0,239.0,11.0,284.0,207.0,200.0,242.0,214.0,89.0,85.0,91.0,ESE,3.0,ESE,5.0,ESE,5.0,3.0,8.0,10.0,,,
25,19040126.0,620.0,610.0,606.0,235.0,229.0,6.0,277.0,265.0,12.0,252.0,234.0,18.0,283.0,221.0,204.0,250.0,203.0,95.0,90.0,85.0,,0.0,SSE,4.0,E,5.0,10.0,10.0,5.0,,,
26,19040127.0,614.0,610.0,609.0,250.0,234.0,16.0,271.0,247.0,24.0,238.0,232.0,6.0,293.0,228.0,204.0,217.0,208.0,87.0,82.0,95.0,NNE,5.0,ESE,4.0,ESE,3.0,6.0,8.0,10.0,89.0,,
27,19040128.0,622.0,617.0,619.0,244.0,237.0,7.0,268.0,249.0,19.0,243.0,232.0,11.0,276.0,235.0,214.0,222.0,205.0,94.0,85.0,91.0,E,3.0,ENE,5.0,ESE,5.0,4.0,10.0,10.0,53.0,,
28,19040129.0,621.0,617.0,612.0,250.0,232.0,18.0,239.0,229.0,10.0,242.0,236.0,6.0,276.0,201.0,200.0,201.0,213.0,85.0,91.0,95.0,E,4.0,E,2.0,N,5.0,6.0,9.0,10.0,,,
29,19040130.0,624.0,616.0,614.0,265.0,239.0,26.0,243.0,231.0,12.0,246.0,235.0,11.0,267.0,243.0,204.0,203.0,209.0,79.0,90.0,91.0,NNE,4.0,ESE,4.0,ESE,3.0,8.0,10.0,10.0,104.0,,
30,19040131.0,625.0,612.0,617.0,234.0,223.0,11.0,268.0,249.0,19.0,245.0,233.0,12.0,266.0,203.0,199.0,222.0,205.0,93.0,85.0,90.0,,0.0,ENE,5.0,E,4.0,5.0,10.0,0.0,41.0,,
31,,761.983870967742,760.916129032258,760.9612903225807,24.196774193548386,23.13225806451613,1.064516129032258,27.622580645161293,24.78709677419355,2.835483870967742,24.71290322580645,23.638709677419353,1.0741935483870968,28.929032258064517,21.85483870967742,20.43548387096774,21.5258064516129,21.058064516129033,91.3225806451613,78.41935483870968,91.03225806451613,,2.4193548387096775,,4.903225806451613,,3.7419354838709675,6.67741935483871,7.935483870967742,6.225806451612903,159.5,,
32,19040201.0,626.0,616.0,625.0,247.0,231.0,16.0,288.0,247.0,41.0,242.0,231.0,11.0,279.0,214.0,200.0,206.0,203.0,87.0,69.0,91.0,E,4.0,NNE,6.0,ESE,4.0,2.0,7.0,10.0,42.0,,
33,19040202.0,630.0,618.0,617.0,242.0,231.0,11.0,275.0,267.0,8.0,254.0,241.0,13.0,315.0,217.0,203.0,255.0,215.0,91.0,94.0,90.0,NNE,5.0,ENE,7.0,NNE,5.0,4.0,8.0,10.0,45.0,,
34,19040203.0,623.0,621.0,619.0,252.0,225.0,27.0,263.0,250.0,13.0,245.0,239.0,6.0,286.0,224.0,186.0,227.0,217.0,78.0,89.0,95.0,ESE,4.0,N,4.0,ENE,5.0,3.0,10.0,10.0,12.0,,
35,19040204.0,637.0,618.0,623.0,251.0,234.0,17.0,285.0,250.0,35.0,233.0,227.0,6.0,278.0,221.0,204.0,214.0,201.0,87.0,74.0,95.0,ESE,4.0,ENE,5.0,NNE,4.0,4.0,3.0,10.0,53.0,,
36,19040205.0,623.0,615.0,614.0,250.0,233.0,17.0,278.0,263.0,15.0,251.0,229.0,22.0,285.0,220.0,202.0,245.0,194.0,86.0,88.0,82.0,ESE,5.0,N,6.0,NNE,5.0,2.0,7.0,10.0,26.0,,
37,19040206.0,625.0,610.0,614.0,248.0,231.0,17.0,282.0,247.0,35.0,246.0,237.0,9.0,287.0,220.0,200.0,210.0,212.0,86.0,73.0,92.0,NNE,4.0,SSE,6.0,ESE,5.0,5.0,8.0,0.0,,,
38,19040207.0,631.0,619.0,617.0,254.0,237.0,17.0,288.0,268.0,20.0,253.0,247.0,6.0,283.0,234.0,207.0,250.0,228.0,86.0,85.0,95.0,E,2.0,NNW,5.0,ESE,4.0,9.0,4.0,10.0,20.0,,
39,19040208.0,623.0,622.0,615.0,265.0,235.0,30.0,274.0,249.0,25.0,230.0,227.0,3.0,291.0,266.0,197.0,219.0,203.0,77.0,81.0,97.0,ENE,5.0,ESE,5.0,E,5.0,8.0,10.0,10.0,,,
40,19040209.0,626.0,604.0,624.0,231.0,225.0,6.0,253.0,243.0,10.0,243.0,233.0,10.0,288.0,207.0,199.0,220.0,207.0,95.0,92.0,91.0,ESE,5.0,ESE,4.0,E,4.0,10.0,10.0,10.0,820.0,,
41,19040210.0,615.0,607.0,606.0,238.0,231.0,7.0,256.0,245.0,11.0,240.0,233.0,7.0,264.0,229.0,206.0,222.0,208.0,94.0,91.0,94.0,ESE,4.0,E,4.0,NNE,4.0,10.0,10.0,10.0,288.0,,
42,19040211.0,619.0,597.0,617.0,262.0,250.0,12.0,281.0,262.0,19.0,243.0,229.0,14.0,267.0,230.0,228.0,241.0,199.0,90.0,85.0,88.0,E,3.0,N,6.0,E,4.0,10.0,6.0,10.0,100.0,,
43,19040212.0,615.0,607.0,612.0,255.0,243.0,12.0,280.0,262.0,18.0,251.0,239.0,12.0,285.0,225.0,218.0,242.0,213.0,90.0,86.0,90.0,N,5.0,E,4.0,NNE,5.0,9.0,8.0,10.0,40.0,,
44,19040213.0,622.0,615.0,613.0,248.0,241.0,7.0,288.0,260.0,28.0,247.0,230.0,17.0,288.0,220.0,219.0,233.0,199.0,94.0,79.0,86.0,N,5.0,N,6.0,ESE,4.0,7.0,5.0,10.0,,,
45,19040214.0,624.0,618.0,614.0,258.0,245.0,13.0,285.0,261.0,24.0,245.0,229.0,16.0,288.0,221.0,221.0,237.0,198.0,90.0,82.0,87.0,ESE,5.0,NNE,6.0,N,5.0,7.0,6.0,10.0,12.0,,
46,19040215.0,620.0,612.0,620.0,254.0,247.0,7.0,279.0,259.0,20.0,247.0,230.0,17.0,287.0,209.0,227.0,236.0,199.0,94.0,84.0,86.0,N,2.0,N,5.0,NNE,5.0,6.0,7.0,10.0,10.0,,
47,19040216.0,617.0,611.0,614.0,258.0,245.0,13.0,268.0,256.0,12.0,248.0,232.0,16.0,279.0,218.0,221.0,237.0,202.0,90.0,90.0,87.0,N,6.0,NNE,5.0,ESE,4.0,5.0,8.0,9.0,,,
48,19040217.0,620.0,621.0,585.0,240.0,232.0,8.0,278.0,266.0,12.0,252.0,229.0,23.0,281.0,198.0,206.0,252.0,193.0,93.0,90.0,81.0,NNE,5.0,N,6.0,,0.0,10.0,5.0,10.0,,,
49,19040218.0,622.0,620.0,610.0,257.0,222.0,35.0,280.0,267.0,13.0,248.0,241.0,7.0,287.0,212.0,177.0,253.0,219.0,73.0,90.0,94.0,E,5.0,NNE,6.0,ENE,5.0,7.0,4.0,10.0,,,
50,19040219.0,626.0,615.0,615.0,268.0,256.0,12.0,281.0,259.0,22.0,260.0,254.0,6.0,283.0,181.0,237.0,235.0,237.0,90.0,83.0,95.0,ENE,6.0,NNE,6.0,N,4.0,7.0,4.0,10.0,,,
