,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 12,PT 18,TT 8,TW 8,verschil,TT 12,TW 12,verschil.1,TT 18,TW 18,verschil.2,Min,Max,dampdruk 8,dampdruk 12,dampdruk 18,RH 8,RH 12,RH 18,DD 8,FF 8,DD 12,FF 12,DD 18,FF 18,8,12,18,Rd 8,Rd 8.1,Unnamed: 32_level_1
0,18970101.0,612.0,607.0,593.0,248.0,,248.0,299.0,,299.0,266.0,,266.0,228.0,,223.0,224.0,228.0,96.0,71.0,88.0,NE,1.0,NE,4.0,ENE,3.0,5.0,7.0,5.0,,,
1,18970102.0,605.0,603.0,591.0,252.0,,252.0,300.0,,300.0,268.0,,268.0,246.0,306.0,220.0,223.0,216.0,93.0,70.0,83.0,ENE,2.0,NE,3.0,ENE,3.0,6.0,8.0,7.0,,,
2,18970103.0,608.0,588.0,599.0,237.0,,237.0,276.0,,276.0,257.0,,257.0,231.0,310.0,199.0,223.0,223.0,91.0,81.0,91.0,,0.0,NE,2.0,NE,3.0,10.0,9.0,9.0,26.0,,
3,18970104.0,597.0,588.0,574.0,260.0,,260.0,306.0,,306.0,274.0,,274.0,234.0,290.0,237.0,236.0,221.0,95.0,72.0,81.0,NE,6.0,NE,6.0,ENE,6.0,6.0,4.0,2.0,104.0,,
4,18970105.0,597.0,593.0,586.0,262.0,,262.0,306.0,,306.0,272.0,,272.0,238.0,317.0,224.0,215.0,210.0,89.0,66.0,78.0,NE,3.0,NE,5.0,NNE,3.0,2.0,4.0,3.0,,,
5,18970106.0,613.0,607.0,599.0,244.0,,244.0,311.0,,311.0,272.0,,272.0,237.0,319.0,215.0,216.0,218.0,95.0,64.0,81.0,ENE,3.0,NNE,3.0,NE,2.0,4.0,5.0,7.0,,,
6,18970107.0,615.0,604.0,593.0,241.0,,241.0,315.0,,315.0,270.0,,270.0,221.0,320.0,215.0,197.0,148.0,97.0,57.0,56.0,NE,1.0,NNE,3.0,NNE,2.0,2.0,3.0,7.0,,,
7,18970108.0,614.0,605.0,599.0,246.0,,246.0,317.0,,317.0,275.0,,275.0,227.0,317.0,205.0,202.0,210.0,89.0,58.0,77.0,NNE,2.0,NE,2.0,NE,2.0,4.0,3.0,7.0,,,
8,18970109.0,621.0,608.0,602.0,235.0,,235.0,310.0,,310.0,275.0,,275.0,212.0,328.0,211.0,202.0,212.0,98.0,60.0,78.0,NE,1.0,E,2.0,ENE,1.0,6.0,7.0,5.0,,,
