,81201 Paramaribo,luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19530101.0,167.0,146.0,148.0,253.0,299.0,264.0,307.0,237.0,210.0,226.0,217.0,88.0,72.0,85.0,E,2.0,Calm,0.0,E,2.0,8.0,5.0,4.0,3.0,,
1,19530102.0,159.0,140.0,128.0,253.0,268.0,263.0,311.0,238.0,210.0,222.0,204.0,88.0,85.0,80.0,E,2.0,SSW,2.0,E,2.0,5.0,9.0,8.0,80.0,,
2,19530103.0,155.0,147.0,138.0,252.0,263.0,247.0,287.0,238.0,207.0,217.0,217.0,87.0,85.0,94.0,E,2.0,ESE,1.0,Calm,0.0,3.0,9.0,8.0,96.0,,
3,19530104.0,159.0,143.0,139.0,247.0,312.0,272.0,295.0,228.0,210.0,209.0,216.0,91.0,62.0,80.0,Calm,0.0,E,3.0,E,3.0,1.0,5.0,2.0,179.0,,
4,19530105.0,163.0,148.0,142.0,260.0,292.0,272.0,315.0,230.0,213.0,230.0,202.0,85.0,76.0,75.0,E,2.0,NE,3.0,E,3.0,1.0,8.0,2.0,1.0,,
5,19530106.0,167.0,152.0,154.0,254.0,305.0,286.0,312.0,249.0,223.0,205.0,193.0,93.0,63.0,66.0,Calm,0.0,NNE,3.0,Calm,0.0,9.0,7.0,9.0,8.0,,
6,19530107.0,160.0,150.0,143.0,235.0,296.0,254.0,309.0,215.0,195.0,219.0,223.0,90.0,71.0,93.0,Calm,0.0,NNE,3.0,Calm,0.0,2.0,3.0,9.0,2.0,,
7,19530108.0,147.0,135.0,126.0,261.0,309.0,272.0,306.0,242.0,190.0,172.0,192.0,76.0,51.0,71.0,E,1.0,NNE,1.0,E,2.0,7.0,1.0,5.0,27.0,,
8,19530109.0,152.0,140.0,134.0,229.0,291.0,275.0,318.0,208.0,182.0,196.0,198.0,88.0,65.0,73.0,Calm,0.0,NNE,1.0,Calm,0.0,3.0,9.0,5.0,0.0,,
9,19530110.0,155.0,146.0,142.0,240.0,309.0,269.0,308.0,211.0,192.0,226.0,198.0,86.0,68.0,76.0,Calm,0.0,NNE,1.0,E,2.0,5.0,7.0,3.0,0.0,,
10,19530111.0,159.0,144.0,140.0,247.0,277.0,252.0,325.0,226.0,202.0,209.0,212.0,87.0,76.0,89.0,E,2.0,E,2.0,Calm,0.0,4.0,9.0,9.0,0.0,,
11,19530112.0,152.0,128.0,131.0,247.0,298.0,248.0,298.0,229.0,208.0,220.0,209.0,90.0,70.0,90.0,Calm,0.0,NE,3.0,Calm,0.0,2.0,7.0,9.0,55.0,,
12,19530113.0,150.0,127.0,124.0,245.0,307.0,270.0,306.0,233.0,203.0,210.0,205.0,89.0,64.0,77.0,Calm,0.0,E,3.0,NE,2.0,4.0,5.0,8.0,60.0,,
13,19530114.0,150.0,132.0,128.0,246.0,304.0,266.0,309.0,236.0,209.0,216.0,204.0,91.0,67.0,79.0,E,2.0,NE,3.0,E,2.0,6.0,8.0,8.0,50.0,,
14,19530115.0,140.0,139.0,127.0,242.0,261.0,258.0,312.0,231.0,211.0,223.0,217.0,94.0,89.0,88.0,Calm,0.0,NE,2.0,Calm,0.0,9.0,9.0,9.0,33.0,,
15,19530116.0,137.0,123.0,118.0,243.0,257.0,247.0,287.0,234.0,214.0,217.0,208.0,95.0,89.0,90.0,Calm,0.0,E,0.0,E,2.0,10.0,9.0,9.0,178.0,,
16,19530117.0,156.0,143.0,148.0,229.0,278.0,253.0,277.0,226.0,191.0,195.0,210.0,92.0,70.0,88.0,Calm,0.0,SE,3.0,Calm,0.0,10.0,8.0,10.0,74.0,,
17,19530118.0,159.0,144.0,136.0,248.0,288.0,263.0,289.0,230.0,213.0,222.0,206.0,92.0,75.0,81.0,Calm,0.0,Calm,0.0,NE,3.0,8.0,7.0,7.0,8.0,,
18,19530119.0,168.0,155.0,144.0,231.0,275.0,257.0,294.0,228.0,194.0,208.0,202.0,92.0,77.0,82.0,Calm,0.0,NE,1.0,Calm,0.0,10.0,10.0,10.0,289.0,,
19,19530120.0,155.0,143.0,142.0,244.0,272.0,245.0,289.0,227.0,210.0,216.0,211.0,92.0,80.0,92.0,Calm,0.0,NE,3.0,NE,1.0,10.0,9.0,10.0,11.0,,
20,19530121.0,162.0,151.0,138.0,243.0,272.0,253.0,275.0,236.0,210.0,232.0,216.0,93.0,87.0,90.0,Calm,0.0,NE,1.0,Calm,0.0,10.0,9.0,10.0,173.0,,
21,19530122.0,166.0,152.0,139.0,242.0,267.0,260.0,283.0,233.0,211.0,219.0,215.0,94.0,84.0,86.0,Calm,0.0,ENE,2.0,NE,2.0,10.0,9.0,10.0,82.0,,
22,19530123.0,162.0,148.0,138.0,238.0,289.0,255.0,282.0,234.0,207.0,224.0,224.0,94.0,76.0,93.0,Calm,0.0,NE,2.0,Calm,0.0,9.0,7.0,10.0,268.0,,
23,19530124.0,158.0,150.0,143.0,252.0,287.0,252.0,295.0,235.0,216.0,229.0,216.0,91.0,78.0,91.0,E,1.0,ESE,1.0,Calm,0.0,1.0,8.0,5.0,60.0,,
24,19530125.0,171.0,154.0,144.0,246.0,301.0,268.0,302.0,234.0,216.0,224.0,224.0,94.0,70.0,86.0,Calm,0.0,N,2.0,NE,2.0,9.0,6.0,7.0,81.0,,
25,19530126.0,160.0,148.0,138.0,247.0,311.0,250.0,307.0,237.0,212.0,235.0,208.0,92.0,70.0,88.0,Calm,0.0,NE,1.0,Calm,0.0,7.0,9.0,9.0,3.0,,
26,19530127.0,148.0,126.0,116.0,247.0,320.0,275.0,314.0,237.0,204.0,228.0,218.0,88.0,64.0,80.0,Calm,0.0,NNE,3.0,NE,2.0,5.0,8.0,9.0,16.0,,
27,19530128.0,134.0,127.0,115.0,247.0,303.0,274.0,328.0,237.0,219.0,230.0,203.0,95.0,71.0,75.0,Calm,0.0,NNE,1.0,NE,2.0,10.0,7.0,9.0,0.0,,
28,19530129.0,142.0,140.0,123.0,249.0,259.0,263.0,317.0,237.0,212.0,232.0,219.0,91.0,93.0,86.0,Calm,0.0,NNW,1.0,Calm,0.0,2.0,9.0,5.0,0.0,,
29,19530130.0,146.0,138.0,126.0,253.0,287.0,273.0,307.0,232.0,218.0,217.0,211.0,91.0,74.0,78.0,Calm,0.0,NE,2.0,NE,2.0,1.0,9.0,8.0,225.0,,
30,19530131.0,150.0,142.0,126.0,250.0,287.0,254.0,307.0,248.0,218.0,217.0,215.0,93.0,74.0,90.0,Calm,0.0,NE,3.0,Calm,0.0,8.0,9.0,9.0,3.0,,
31,,1015.5129032258064,1014.1967741935484,1013.4774193548387,24.580645161290324,28.851612903225806,26.161290322580648,30.229032258064517,23.21290322580645,20.741935483870968,21.758064516129032,21.009677419354837,90.38709677419355,74.06451612903226,83.61290322580645,,0.45161290322580644,,1.8387096774193548,,1.096774193548387,6.096774193548387,7.548387096774194,7.580645161290323,206.5,,
32,19530201.0,114.0,106.0,94.0,248.0,282.0,254.0,296.0,237.0,221.0,214.0,219.0,95.0,75.0,91.0,E,2.0,E,3.0,E,1.0,7.0,10.0,9.0,143.0,,
33,19530202.0,112.0,104.0,85.0,240.0,290.0,270.0,294.0,230.0,205.0,225.0,223.0,92.0,76.0,84.0,Calm,0.0,NNE,1.0,Calm,0.0,7.0,9.0,9.0,219.0,,
34,19530203.0,105.0,96.0,84.0,253.0,312.0,276.0,304.0,236.0,226.0,228.0,211.0,94.0,68.0,77.0,Calm,0.0,NE,3.0,NE,3.0,2.0,5.0,4.0,6.0,,
35,19530204.0,113.0,110.0,96.0,260.0,305.0,276.0,318.0,249.0,223.0,218.0,207.0,90.0,67.0,76.0,E,2.0,NE,3.0,NE,3.0,1.0,4.0,2.0,0.0,,
36,19530205.0,121.0,109.0,101.0,250.0,285.0,269.0,310.0,235.0,222.0,226.0,216.0,94.0,78.0,82.0,Calm,0.0,ENE,1.0,Calm,0.0,2.0,9.0,6.0,0.0,,
37,19530206.0,120.0,104.0,90.0,243.0,305.0,260.0,307.0,235.0,197.0,201.0,219.0,88.0,62.0,88.0,E,3.0,NNE,1.0,NE,3.0,9.0,9.0,8.0,69.0,,
38,19530207.0,113.0,96.0,84.0,266.0,302.0,271.0,313.0,245.0,228.0,216.0,211.0,88.0,67.0,79.0,E,2.0,NE,3.0,NE,3.0,6.0,7.0,6.0,34.0,,
39,19530208.0,110.0,100.0,94.0,245.0,300.0,266.0,306.0,235.0,215.0,214.0,216.0,94.0,66.0,83.0,Calm,0.0,E,3.0,Calm,0.0,8.0,5.0,9.0,25.0,,
40,19530209.0,120.0,117.0,102.0,242.0,267.0,267.0,308.0,238.0,211.0,213.0,219.0,94.0,82.0,84.0,Calm,0.0,NE,1.0,Calm,0.0,10.0,9.0,9.0,98.0,,
41,19530210.0,114.0,105.0,92.0,242.0,292.0,268.0,284.0,235.0,211.0,211.0,205.0,94.0,70.0,78.0,Calm,0.0,ESE,2.0,NE,2.0,9.0,8.0,9.0,111.0,,
42,19530211.0,93.0,112.0,96.0,240.0,242.0,241.0,300.0,236.0,208.0,217.0,208.0,94.0,97.0,93.0,Calm,0.0,E,1.0,Calm,0.0,10.0,10.0,10.0,89.0,,
43,19530212.0,108.0,101.0,88.0,246.0,297.0,271.0,257.0,235.0,216.0,212.0,213.0,94.0,68.0,80.0,Calm,0.0,NE,2.0,NE,2.0,5.0,9.0,8.0,153.0,,
44,19530213.0,114.0,105.0,88.0,242.0,293.0,263.0,300.0,234.0,211.0,219.0,234.0,94.0,72.0,92.0,E,2.0,SSE,1.0,Calm,0.0,10.0,9.0,9.0,165.0,,
45,19530214.0,124.0,114.0,98.0,236.0,291.0,268.0,310.0,234.0,205.0,224.0,216.0,95.0,75.0,83.0,Calm,0.0,NNE,3.0,E,2.0,10.0,9.0,9.0,275.0,,
46,19530215.0,117.0,122.0,100.0,252.0,271.0,267.0,297.0,235.0,224.0,213.0,223.0,94.0,80.0,85.0,Calm,0.0,NNE,3.0,Calm,0.0,8.0,7.0,8.0,6.0,,
47,19530216.0,124.0,114.0,96.0,247.0,299.0,267.0,291.0,238.0,212.0,205.0,197.0,92.0,65.0,76.0,NNE,2.0,NNE,3.0,NE,2.0,3.0,6.0,2.0,50.0,,
48,19530217.0,114.0,112.0,104.0,263.0,303.0,268.0,307.0,250.0,210.0,199.0,203.0,82.0,62.0,78.0,NE,3.0,NE,2.0,NE,2.0,3.0,3.0,2.0,0.0,,
49,19530218.0,122.0,118.0,102.0,248.0,297.0,267.0,307.0,228.0,209.0,192.0,182.0,90.0,62.0,70.0,Calm,0.0,NNE,2.0,Calm,0.0,4.0,6.0,2.0,27.0,,
50,19530219.0,120.0,142.0,104.0,251.0,290.0,247.0,302.0,235.0,209.0,207.0,214.0,88.0,69.0,92.0,Calm,0.0,WNW,2.0,Calm,0.0,9.0,9.0,10.0,0.0,,
51,19530220.0,129.0,121.0,109.0,235.0,292.0,271.0,305.0,231.0,195.0,204.0,213.0,90.0,67.0,80.0,Calm,0.0,NNE,1.0,Calm,0.0,10.0,9.0,10.0,245.0,,
