,81201 Paramaribo,luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19510101.0,168.0,155.0,147.0,254.0,250.0,260.0,317.0,237.0,217.0,220.0,227.0,90.0,93.0,91.0,Calm,0.0,NE,1.0,Calm,0.0,9.0,9.0,9.0,57.0,,
1,19510102.0,167.0,135.0,139.0,259.0,297.0,264.0,305.0,238.0,220.0,227.0,225.0,89.0,73.0,88.0,SE,2.0,NE,3.0,Calm,0.0,1.0,10.0,10.0,21.0,,
2,19510103.0,164.0,134.0,124.0,265.0,310.0,275.0,308.0,237.0,222.0,217.0,210.0,86.0,65.0,77.0,E,2.0,ENE,3.0,NE,2.0,5.0,9.0,10.0,77.0,,
3,19510104.0,154.0,119.0,127.0,259.0,304.0,273.0,318.0,240.0,220.0,231.0,211.0,89.0,72.0,78.0,E,3.0,NE,2.0,ENE,2.0,4.0,9.0,9.0,30.0,,
4,19510105.0,163.0,139.0,132.0,252.0,332.0,276.0,317.0,238.0,209.0,197.0,213.0,88.0,52.0,88.0,ESE,2.0,E,2.0,NE,2.0,8.0,9.0,9.0,6.0,,
5,19510106.0,166.0,142.0,138.0,253.0,308.0,268.0,339.0,238.0,218.0,208.0,212.0,91.0,63.0,81.0,E,3.0,NNE,3.0,ENE,3.0,8.0,9.0,7.0,84.0,,
6,19510107.0,159.0,134.0,126.0,240.0,306.0,274.0,321.0,236.0,210.0,221.0,217.0,95.0,68.0,80.0,SE,2.0,NE,1.0,NE,2.0,10.0,10.0,9.0,12.0,,
7,19510108.0,150.0,126.0,123.0,259.0,312.0,263.0,315.0,240.0,210.0,235.0,234.0,85.0,70.0,92.0,Calm,0.0,NNE,3.0,Calm,0.0,1.0,9.0,5.0,157.0,,
8,19510109.0,163.0,136.0,132.0,265.0,303.0,272.0,320.0,240.0,230.0,219.0,224.0,89.0,68.0,83.0,Calm,0.0,NE,3.0,NE,2.0,6.0,1.0,3.0,1.0,,
9,19510110.0,158.0,138.0,131.0,262.0,302.0,275.0,314.0,244.0,220.0,220.0,206.0,87.0,68.0,76.0,E,2.0,NE,1.0,ENE,2.0,3.0,10.0,8.0,180.0,,
10,19510111.0,163.0,143.0,140.0,265.0,306.0,269.0,325.0,226.0,226.0,213.0,214.0,88.0,65.0,81.0,Calm,0.0,NE,3.0,NE,1.0,2.0,9.0,9.0,40.0,,
11,19510112.0,152.0,136.0,130.0,264.0,288.0,274.0,314.0,233.0,221.0,233.0,213.0,86.0,79.0,78.0,E,2.0,NNE,2.0,ENE,3.0,1.0,8.0,4.0,144.0,,
12,19510113.0,164.0,151.0,146.0,256.0,327.0,273.0,319.0,237.0,222.0,192.0,190.0,91.0,53.0,70.0,Calm,0.0,NNE,4.0,ENE,2.0,7.0,9.0,4.0,1.0,,
13,19510114.0,170.0,148.0,143.0,243.0,309.0,267.0,329.0,218.0,195.0,168.0,186.0,87.0,50.0,72.0,Calm,0.0,NE,3.0,NE,1.0,3.0,5.0,9.0,7.0,,
14,19510115.0,144.0,124.0,120.0,252.0,296.0,269.0,317.0,220.0,197.0,223.0,200.0,83.0,72.0,76.0,E,1.0,NE,2.0,NE,2.0,2.0,9.0,6.0,18.0,,
15,19510116.0,150.0,128.0,127.0,255.0,302.0,271.0,315.0,220.0,207.0,203.0,199.0,85.0,64.0,75.0,E,1.0,NE,4.0,ENE,3.0,2.0,6.0,3.0,49.0,,
