,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19210101.0,599.0,589.0,591.0,241.0,267.0,256.0,282.0,221.0,208.0,194.0,202.0,93.0,75.0,83.0,ENE,1.0,NE,1.0,ENE,1.0,9.0,8.0,7.0,0.0,,
1,19210102.0,609.0,597.0,596.0,252.0,265.0,255.0,267.0,242.0,209.0,210.0,203.0,88.0,82.0,84.0,NE,1.0,NE,3.0,NE,2.0,5.0,9.0,9.0,3.0,,
2,19210103.0,620.0,603.0,598.0,240.0,250.0,244.0,270.0,230.0,208.0,214.0,202.0,94.0,91.0,89.0,Calm,0.0,Calm,0.0,NE,1.0,10.0,10.0,7.0,271.0,,
3,19210104.0,616.0,605.0,598.0,249.0,277.0,262.0,251.0,238.0,199.0,201.0,210.0,85.0,73.0,83.0,E,1.0,NE,2.0,Calm,0.0,2.0,5.0,6.0,249.0,,
4,19210105.0,615.0,598.0,597.0,252.0,287.0,256.0,278.0,239.0,218.0,209.0,224.0,92.0,71.0,92.0,ENE,1.0,NE,2.0,ENE,1.0,5.0,4.0,3.0,4.0,,
5,19210106.0,617.0,608.0,607.0,232.0,275.0,254.0,289.0,212.0,206.0,196.0,196.0,97.0,72.0,82.0,ENE,1.0,E,2.0,NE,1.0,8.0,3.0,9.0,0.0,,
6,19210107.0,616.0,605.0,596.0,252.0,278.0,255.0,290.0,231.0,209.0,210.0,197.0,88.0,76.0,82.0,ENE,1.0,NNE,2.0,NE,2.0,1.0,7.0,4.0,7.0,,
7,19210108.0,612.0,602.0,603.0,231.0,267.0,226.0,283.0,223.0,203.0,225.0,198.0,96.0,86.0,97.0,Calm,0.0,NE,2.0,Calm,0.0,9.0,8.0,9.0,188.0,,
8,19210109.0,609.0,598.0,599.0,233.0,284.0,261.0,274.0,220.0,196.0,199.0,203.0,92.0,69.0,81.0,NE,1.0,SE,2.0,NE,1.0,8.0,7.0,6.0,205.0,,
9,19210110.0,621.0,613.0,613.0,250.0,291.0,257.0,293.0,229.0,222.0,220.0,198.0,94.0,73.0,81.0,ENE,1.0,NE,2.0,ENE,1.0,7.0,4.0,1.0,1.0,,
10,19210111.0,624.0,616.0,,246.0,291.0,,300.0,213.0,209.0,243.0,,91.0,81.0,,NE,1.0,NNE,2.0,,,1.0,2.0,,0.0,,
11,19210112.0,627.0,615.0,613.0,234.0,282.0,254.0,293.0,202.0,201.0,202.0,215.0,94.0,71.0,90.0,NE,1.0,NNE,3.0,Calm,0.0,7.0,5.0,7.0,0.0,,
12,19210113.0,624.0,607.0,606.0,237.0,283.0,263.0,288.0,227.0,206.0,215.0,221.0,95.0,75.0,87.0,Calm,0.0,NE,2.0,NE,1.0,8.0,9.0,8.0,0.0,,
13,19210114.0,626.0,608.0,610.0,241.0,274.0,261.0,295.0,227.0,215.0,211.0,231.0,97.0,78.0,92.0,Calm,0.0,E,1.0,ENE,1.0,5.0,8.0,9.0,146.0,,
14,19210115.0,618.0,606.0,605.0,250.0,289.0,259.0,290.0,231.0,223.0,199.0,220.0,95.0,67.0,89.0,Calm,0.0,E,3.0,ENE,1.0,2.0,2.0,3.0,11.0,,
