,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19390101.0,627.0,615.0,614.0,233.0,252.0,238.0,312.0,221.0,205.0,207.0,212.0,96.0,87.0,97.0,ENE,1.0,ENE,1.0,Calm,0.0,10.0,9.0,10.0,145.0,,
1,19390102.0,621.0,604.0,609.0,241.0,266.0,242.0,264.0,216.0,210.0,230.0,200.0,94.0,89.0,89.0,ENE,1.0,ENE,1.0,ENE,1.0,8.0,9.0,10.0,392.0,,
2,19390103.0,620.0,604.0,605.0,235.0,282.0,257.0,277.0,225.0,204.0,206.0,192.0,95.0,72.0,79.0,E,1.0,ENE,1.0,ENE,1.0,9.0,9.0,9.0,44.0,,
3,19390104.0,619.0,605.0,595.0,258.0,300.0,262.0,300.0,226.0,209.0,189.0,197.0,85.0,60.0,78.0,E,1.0,ENE,1.0,ENE,1.0,2.0,1.0,8.0,0.0,,
4,19390105.0,614.0,598.0,596.0,245.0,297.0,259.0,306.0,201.0,209.0,202.0,199.0,92.0,65.0,80.0,ENE,1.0,ENE,1.0,ENE,1.0,8.0,2.0,6.0,0.0,,
5,19390106.0,609.0,598.0,600.0,243.0,289.0,237.0,300.0,219.0,216.0,209.0,201.0,96.0,71.0,92.0,Calm,0.0,NE,1.0,ENE,1.0,9.0,9.0,10.0,5.0,,
6,19390107.0,612.0,597.0,596.0,235.0,273.0,252.0,308.0,221.0,206.0,223.0,218.0,96.0,83.0,92.0,Calm,0.0,ENE,1.0,Calm,0.0,9.0,9.0,9.0,124.0,,
7,19390108.0,605.0,595.0,591.0,255.0,254.0,245.0,288.0,226.0,220.0,223.0,205.0,91.0,93.0,90.0,NE,1.0,E,1.0,Calm,0.0,7.0,10.0,9.0,35.0,,
8,19390109.0,607.0,595.0,593.0,235.0,277.0,258.0,280.0,222.0,201.0,229.0,209.0,93.0,83.0,85.0,Calm,0.0,Calm,0.0,ENE,1.0,9.0,9.0,7.0,420.0,,
