,81201 Paramaribo,luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19580101.0,107.0,101.0,88.0,251.0,318.0,276.0,305.0,239.0,211.0,189.0,253.0,89.0,54.0,92.0,E,1.0,ESE,3.0,NE,1.0,4.0,7.0,4.0,0.0,,
1,19580102.0,124.0,106.0,95.0,251.0,289.0,275.0,316.0,238.0,225.0,249.0,212.0,95.0,84.0,78.0,E,1.0,Calm,0.0,NE,1.0,6.0,8.0,4.0,0.0,,
2,19580103.0,125.0,103.0,95.0,255.0,305.0,276.0,310.0,236.0,215.0,214.0,215.0,89.0,66.0,79.0,E,1.0,NE,2.0,NE,2.0,5.0,8.0,6.0,40.0,,
3,19580104.0,120.0,108.0,106.0,255.0,266.0,250.0,306.0,243.0,224.0,232.0,228.0,93.0,90.0,97.0,ESE,1.0,Calm,0.0,Calm,0.0,8.0,6.0,10.0,43.0,,
4,19580105.0,127.0,101.0,105.0,251.0,300.0,264.0,314.0,241.0,223.0,213.0,215.0,95.0,67.0,84.0,SE,1.0,ESE,2.0,Calm,0.0,5.0,6.0,10.0,298.0,,
5,19580106.0,122.0,99.0,91.0,262.0,299.0,274.0,311.0,240.0,230.0,217.0,199.0,91.0,69.0,73.0,E,1.0,NE,1.0,NE,1.0,6.0,6.0,5.0,48.0,,
6,19580107.0,126.0,105.0,109.0,255.0,312.0,257.0,311.0,242.0,213.0,209.0,219.0,88.0,62.0,90.0,ESE,1.0,Calm,0.0,Calm,0.0,6.0,7.0,10.0,1.0,,
7,19580108.0,146.0,130.0,131.0,251.0,296.0,276.0,317.0,241.0,221.0,217.0,215.0,93.0,70.0,79.0,ESE,1.0,ENE,3.0,NE,1.0,9.0,7.0,8.0,15.0,,
8,19580109.0,156.0,137.0,128.0,251.0,297.0,271.0,305.0,238.0,229.0,225.0,209.0,97.0,72.0,78.0,Calm,0.0,ENE,3.0,NE,3.0,9.0,8.0,8.0,61.0,,
9,19580110.0,137.0,111.0,105.0,244.0,302.0,269.0,312.0,227.0,217.0,205.0,204.0,96.0,64.0,77.0,Calm,0.0,NNE,2.0,NE,1.0,4.0,7.0,6.0,0.0,,
10,19580111.0,120.0,97.0,109.0,258.0,291.0,261.0,309.0,239.0,211.0,210.0,215.0,85.0,70.0,85.0,Calm,0.0,NE,1.0,NE,1.0,8.0,6.0,8.0,1.0,,
11,19580112.0,127.0,103.0,101.0,250.0,297.0,273.0,291.0,235.0,218.0,204.0,205.0,93.0,66.0,76.0,Calm,0.0,ENE,2.0,NE,1.0,9.0,8.0,3.0,26.0,,
