,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
0,19000101.0,613.0,612.0,610.0,247.0,231.0,16.0,282.0,264.0,18.0,254.0,241.0,13.0,289.0,224.0,200.0,245.0,215.0,87.0,86.0,90.0,SE,4.0,SE,5.0,N,1.0,8.0,7.0,4.0,19.0,,
1,19000102.0,621.0,606.0,607.0,261.0,246.0,15.0,292.0,268.0,24.0,263.0,250.0,13.0,294.0,236.0,221.0,247.0,227.0,88.0,82.0,89.0,E,4.0,E,6.0,N,1.0,10.0,10.0,10.0,64.0,,
2,19000103.0,612.0,598.0,613.0,265.0,251.0,14.0,309.0,267.0,42.0,253.0,244.0,9.0,300.0,221.0,228.0,234.0,222.0,89.0,70.0,93.0,E,5.0,N,6.0,NE,2.0,6.0,6.0,10.0,23.0,,
3,19000104.0,613.0,596.0,602.0,252.0,244.0,8.0,299.0,267.0,32.0,264.0,250.0,14.0,313.0,216.0,222.0,240.0,227.0,93.0,77.0,89.0,NE,3.0,N,6.0,E,3.0,6.0,8.0,9.0,6.0,,
4,19000105.0,618.0,601.0,612.0,257.0,245.0,12.0,311.0,268.0,43.0,261.0,252.0,9.0,307.0,213.0,221.0,235.0,233.0,90.0,70.0,93.0,SE,3.0,N,6.0,N,2.0,6.0,3.0,0.0,,,
5,19000106.0,613.0,596.0,603.0,232.0,223.0,9.0,302.0,267.0,35.0,266.0,247.0,19.0,311.0,192.0,195.0,239.0,220.0,92.0,75.0,85.0,N,3.0,N,6.0,NE,3.0,2.0,4.0,0.0,,,
6,19000107.0,614.0,604.0,614.0,256.0,244.0,12.0,308.0,267.0,41.0,264.0,251.0,13.0,304.0,207.0,220.0,235.0,229.0,90.0,71.0,89.0,SE,5.0,NE,4.0,N,3.0,9.0,7.0,0.0,,,
7,19000108.0,635.0,611.0,617.0,246.0,231.0,15.0,326.0,273.0,53.0,268.0,255.0,13.0,324.0,200.0,201.0,237.0,235.0,87.0,65.0,90.0,SE,5.0,E,6.0,E,6.0,7.0,7.0,9.0,,,
8,19000109.0,627.0,610.0,612.0,248.0,238.0,10.0,276.0,259.0,17.0,262.0,247.0,15.0,326.0,228.0,213.0,238.0,222.0,92.0,87.0,88.0,SE,2.0,NE,7.0,SE,5.0,8.0,9.0,10.0,,,
9,19000110.0,621.0,600.0,604.0,248.0,240.0,8.0,256.0,244.0,12.0,231.0,222.0,9.0,291.0,237.0,223.0,220.0,194.0,96.0,90.0,92.0,SE,1.0,S,4.0,,0.0,10.0,9.0,10.0,52.0,,
10,19000111.0,614.0,591.0,603.0,243.0,237.0,6.0,297.0,265.0,32.0,258.0,247.0,11.0,283.0,221.0,214.0,237.0,217.0,95.0,77.0,88.0,SW,2.0,NE,6.0,N,2.0,9.0,8.0,9.0,609.0,,
11,19000112.0,615.0,595.0,608.0,248.0,238.0,10.0,269.0,256.0,13.0,248.0,237.0,11.0,300.0,220.0,213.0,236.0,211.0,92.0,90.0,91.0,S,3.0,E,2.0,E,3.0,9.0,9.0,10.0,0.0,,
12,19000113.0,608.0,595.0,596.0,246.0,235.0,11.0,260.0,249.0,11.0,256.0,244.0,12.0,293.0,230.0,209.0,227.0,220.0,91.0,91.0,90.0,E,2.0,SE,1.0,NE,3.0,9.0,9.0,9.0,337.0,,
13,19000114.0,600.0,588.0,589.0,243.0,233.0,10.0,275.0,257.0,18.0,261.0,246.0,15.0,308.0,231.0,207.0,234.0,221.0,91.0,80.0,88.0,SE,2.0,E,3.0,ENE,3.0,7.0,9.0,8.0,20.0,,
14,19000115.0,605.0,595.0,594.0,249.0,238.0,11.0,248.0,237.0,11.0,247.0,233.0,14.0,283.0,229.0,212.0,211.0,204.0,91.0,91.0,88.0,,0.0,NE,2.0,N,4.0,9.0,10.0,9.0,52.0,,
15,19000116.0,616.0,590.0,603.0,235.0,227.0,8.0,285.0,262.0,23.0,252.0,240.0,12.0,275.0,228.0,201.0,239.0,214.0,93.0,82.0,90.0,SSE,3.0,NW,5.0,N,1.0,9.0,8.0,10.0,116.0,,
16,19000117.0,608.0,595.0,600.0,230.0,223.0,7.0,280.0,261.0,19.0,258.0,248.0,10.0,287.0,218.0,196.0,240.0,227.0,94.0,85.0,92.0,W,3.0,NE,6.0,W,2.0,6.0,9.0,9.0,19.0,,
17,19000118.0,615.0,603.0,602.0,243.0,231.0,12.0,285.0,262.0,23.0,261.0,250.0,11.0,280.0,230.0,203.0,239.0,229.0,90.0,82.0,91.0,,0.0,N,5.0,NW,4.0,8.0,9.0,10.0,,,
18,19000119.0,613.0,601.0,602.0,252.0,240.0,12.0,290.0,266.0,24.0,251.0,239.0,12.0,286.0,221.0,214.0,244.0,213.0,90.0,82.0,90.0,ESE,3.0,NE,6.0,E,2.0,7.0,9.0,10.0,,,
19,19000120.0,606.0,602.0,602.0,248.0,238.0,10.0,275.0,262.0,13.0,256.0,245.0,11.0,299.0,221.0,213.0,245.0,222.0,92.0,90.0,91.0,SE,4.0,,0.0,W,3.0,6.0,10.0,10.0,41.0,,
20,19000121.0,614.0,605.0,604.0,243.0,234.0,9.0,296.0,268.0,28.0,243.0,233.0,10.0,286.0,233.0,209.0,240.0,207.0,92.0,75.0,91.0,SE,3.0,NE,4.0,NE,2.0,6.0,7.0,10.0,162.0,,
21,19000122.0,612.0,591.0,600.0,230.0,224.0,6.0,271.0,259.0,12.0,263.0,250.0,13.0,296.0,215.0,198.0,241.0,227.0,95.0,90.0,89.0,,0.0,NE,4.0,N,1.0,5.0,9.0,10.0,20.0,,
22,19000123.0,614.0,595.0,593.0,239.0,232.0,7.0,258.0,248.0,10.0,241.0,233.0,8.0,286.0,230.0,207.0,227.0,208.0,94.0,92.0,93.0,S,3.0,E,4.0,N,1.0,10.0,9.0,10.0,80.0,,
23,19000124.0,601.0,592.0,598.0,238.0,231.0,7.0,266.0,253.0,13.0,256.0,247.0,9.0,265.0,229.0,206.0,232.0,226.0,94.0,89.0,93.0,SE,3.0,,0.0,N,2.0,7.0,9.0,10.0,93.0,,
24,19000125.0,606.0,594.0,593.0,231.0,223.0,8.0,250.0,244.0,6.0,251.0,246.0,5.0,282.0,230.0,195.0,223.0,227.0,93.0,95.0,96.0,SE,3.0,NE,4.0,,0.0,10.0,9.0,10.0,222.0,,
25,19000126.0,610.0,587.0,587.0,245.0,235.0,10.0,295.0,268.0,27.0,266.0,251.0,15.0,264.0,228.0,209.0,245.0,228.0,92.0,80.0,88.0,SE,3.0,NE,7.0,NE,6.0,8.0,9.0,3.0,381.0,,
26,19000127.0,601.0,586.0,586.0,257.0,244.0,13.0,289.0,266.0,23.0,276.0,260.0,16.0,295.0,235.0,219.0,244.0,240.0,90.0,83.0,87.0,NE,3.0,NE,6.0,SSE,5.0,9.0,7.0,9.0,47.0,,
27,19000128.0,605.0,600.0,598.0,250.0,239.0,11.0,293.0,269.0,24.0,254.0,241.0,13.0,299.0,224.0,214.0,252.0,215.0,91.0,86.0,90.0,SE,2.0,N,7.0,N,1.0,9.0,8.0,0.0,7.0,,
28,19000129.0,607.0,599.0,599.0,226.0,217.0,9.0,274.0,258.0,16.0,262.0,248.0,14.0,293.0,214.0,188.0,237.0,224.0,92.0,87.0,89.0,,0.0,NE,3.0,N,2.0,9.0,9.0,0.0,,,
29,19000130.0,616.0,602.0,604.0,252.0,242.0,10.0,297.0,269.0,28.0,261.0,248.0,13.0,294.0,226.0,218.0,246.0,225.0,92.0,79.0,90.0,NE,3.0,E,6.0,SE,3.0,8.0,8.0,0.0,,,
30,,761.2433333333333,759.8,760.1833333333334,24.533333333333335,23.513333333333332,1.02,,26.076666666666664,2.3033333333333337,,24.483333333333334,1.2066666666666666,29.376666666666665,22.29,20.96333333333333,23.696666666666665,22.096666666666668,91.6,82.63333333333334,90.1,,2.6666666666666665,,4.566666666666666,,2.533333333333333,7.733333333333333,8.133333333333333,7.266666666666667,237.0,,
31,19000131.0,620.0,605.0,612.0,233.0,225.0,8.0,302.0,269.0,33.0,266.0,254.0,12.0,305.0,202.0,199.0,243.0,234.0,95.0,76.0,90.0,SE,2.0,E,6.0,NE,6.0,7.0,8.0,0.0,27.0,,
32,19000201.0,622.0,606.0,612.0,250.0,240.0,10.0,281.0,263.0,18.0,249.0,238.0,11.0,304.0,232.0,216.0,243.0,212.0,92.0,86.0,91.0,SE,6.0,E,4.0,N,2.0,6.0,9.0,9.0,694.0,,
33,19000202.0,626.0,614.0,609.0,234.0,225.0,9.0,263.0,253.0,10.0,256.0,244.0,12.0,285.0,218.0,197.0,234.0,220.0,92.0,92.0,90.0,NE,5.0,NE,6.0,N,2.0,10.0,10.0,8.0,233.0,,
34,19000203.0,629.0,614.0,613.0,238.0,228.0,10.0,281.0,264.0,17.0,252.0,243.0,9.0,270.0,226.0,200.0,245.0,220.0,91.0,87.0,93.0,,0.0,NE,7.0,NE,3.0,9.0,8.0,0.0,13.0,,
35,19000204.0,625.0,617.0,614.0,240.0,232.0,8.0,292.0,263.0,29.0,259.0,246.0,13.0,289.0,223.0,206.0,236.0,222.0,93.0,78.0,90.0,NE,3.0,NE,6.0,NE,5.0,8.0,6.0,0.0,,,
36,19000205.0,632.0,616.0,612.0,252.0,241.0,11.0,297.0,264.0,33.0,271.0,256.0,15.0,300.0,226.0,216.0,235.0,235.0,91.0,76.0,88.0,SE,4.0,S,5.0,NE,4.0,4.0,7.0,0.0,28.0,,
37,19000206.0,632.0,610.0,611.0,238.0,229.0,9.0,287.0,264.0,23.0,274.0,256.0,18.0,301.0,225.0,202.0,241.0,233.0,92.0,83.0,86.0,NE,3.0,E,6.0,N,4.0,9.0,7.0,0.0,11.0,,
38,19000207.0,625.0,602.0,601.0,230.0,220.0,10.0,294.0,265.0,29.0,272.0,254.0,18.0,296.0,203.0,190.0,239.0,230.0,91.0,79.0,86.0,SE,2.0,NE,5.0,NE,4.0,8.0,7.0,0.0,,,
39,19000208.0,615.0,602.0,605.0,234.0,225.0,9.0,284.0,262.0,22.0,261.0,251.0,10.0,296.0,217.0,197.0,239.0,231.0,92.0,83.0,92.0,SE,3.0,NW,6.0,N,1.0,7.0,8.0,10.0,267.0,,
40,19000209.0,628.0,614.0,612.0,224.0,215.0,9.0,261.0,248.0,13.0,244.0,236.0,8.0,287.0,220.0,185.0,225.0,212.0,92.0,90.0,93.0,E,3.0,E,4.0,S,1.0,10.0,9.0,9.0,190.0,,
41,19000210.0,624.0,609.0,613.0,240.0,233.0,7.0,270.0,253.0,17.0,251.0,242.0,9.0,264.0,220.0,208.0,229.0,219.0,94.0,86.0,93.0,,0.0,NE,5.0,SE,3.0,7.0,8.0,0.0,146.0,,
42,19000211.0,624.0,617.0,619.0,241.0,233.0,8.0,245.0,236.0,9.0,244.0,233.0,11.0,273.0,231.0,208.0,211.0,206.0,93.0,92.0,91.0,SE,3.0,E,2.0,NE,2.0,10.0,10.0,9.0,77.0,,
43,19000212.0,616.0,604.0,611.0,245.0,235.0,10.0,262.0,247.0,15.0,237.0,232.0,5.0,248.0,232.0,209.0,222.0,208.0,92.0,88.0,96.0,NE,2.0,NE,5.0,N,1.0,10.0,9.0,10.0,550.0,,
44,19000213.0,619.0,613.0,617.0,250.0,246.0,4.0,266.0,251.0,15.0,241.0,236.0,5.0,266.0,211.0,228.0,228.0,213.0,97.0,88.0,96.0,S,1.0,N,1.0,N,1.0,8.0,10.0,8.0,462.0,,
45,19000214.0,618.0,612.0,609.0,236.0,233.0,3.0,263.0,254.0,9.0,250.0,243.0,7.0,269.0,216.0,211.0,236.0,222.0,97.0,93.0,94.0,N,1.0,NE,4.0,N,1.0,8.0,8.0,8.0,25.0,,
46,19000215.0,618.0,614.0,612.0,252.0,241.0,11.0,277.0,253.0,24.0,251.0,244.0,7.0,277.0,221.0,216.0,225.0,223.0,91.0,81.0,94.0,SE,3.0,NE,4.0,E,1.0,3.0,9.0,10.0,238.0,,
47,19000216.0,626.0,615.0,612.0,232.0,230.0,2.0,247.0,241.0,6.0,243.0,234.0,9.0,287.0,223.0,208.0,219.0,209.0,98.0,95.0,92.0,,0.0,SE,3.0,NE,3.0,10.0,10.0,9.0,213.0,,
48,19000217.0,623.0,604.0,600.0,251.0,247.0,4.0,307.0,256.0,51.0,264.0,245.0,19.0,253.0,232.0,229.0,212.0,217.0,97.0,65.0,85.0,,0.0,NE,6.0,NE,4.0,8.0,6.0,7.0,,,
49,19000218.0,613.0,609.0,611.0,246.0,233.0,13.0,300.0,248.0,52.0,259.0,238.0,21.0,308.0,240.0,205.0,201.0,206.0,89.0,63.0,83.0,NE,4.0,NE,7.0,E,1.0,8.0,6.0,8.0,,,
50,19000219.0,626.0,619.0,619.0,254.0,246.0,8.0,299.0,251.0,48.0,259.0,238.0,21.0,304.0,219.0,225.0,207.0,206.0,93.0,66.0,83.0,,0.0,S,5.0,NE,2.0,9.0,7.0,8.0,,,
51,19000220.0,632.0,620.0,620.0,256.0,240.0,16.0,297.0,245.0,52.0,253.0,237.0,16.0,302.0,213.0,212.0,196.0,208.0,87.0,63.0,87.0,SE,1.0,NE,5.0,SE,4.0,4.0,3.0,7.0,,,
52,19000221.0,639.0,623.0,622.0,258.0,236.0,22.0,298.0,239.0,59.0,255.0,239.0,16.0,302.0,246.0,203.0,184.0,211.0,82.0,59.0,87.0,SE,2.0,NE,5.0,NE,1.0,6.0,3.0,2.0,,,
53,19000222.0,631.0,622.0,622.0,267.0,235.0,32.0,281.0,240.0,41.0,259.0,235.0,24.0,301.0,223.0,196.0,196.0,201.0,75.0,70.0,81.0,NE,5.0,NE,6.0,NE,4.0,3.0,10.0,9.0,54.0,,
54,19000223.0,632.0,619.0,618.0,249.0,243.0,6.0,292.0,250.0,42.0,263.0,240.0,23.0,283.0,238.0,222.0,209.0,208.0,95.0,69.0,82.0,SE,1.0,NE,5.0,NE,6.0,10.0,3.0,10.0,10.0,,
55,19000224.0,633.0,613.0,613.0,247.0,236.0,11.0,279.0,254.0,25.0,256.0,239.0,17.0,299.0,245.0,210.0,226.0,210.0,91.0,81.0,86.0,,0.0,NE,2.0,NE,6.0,10.0,9.0,10.0,34.0,,
56,19000225.0,623.0,610.0,610.0,243.0,239.0,4.0,289.0,247.0,42.0,257.0,239.0,18.0,293.0,227.0,218.0,205.0,209.0,97.0,69.0,85.0,SE,1.0,NE,5.0,NE,4.0,10.0,6.0,4.0,,,
57,19000226.0,620.0,615.0,613.0,259.0,239.0,20.0,293.0,239.0,54.0,256.0,237.0,19.0,294.0,232.0,208.0,187.0,206.0,84.0,62.0,85.0,NE,2.0,NE,5.0,NE,4.0,4.0,7.0,3.0,5.0,,
58,19000227.0,618.0,617.0,613.0,262.0,236.0,26.0,283.0,250.0,33.0,247.0,232.0,15.0,294.0,216.0,200.0,215.0,202.0,79.0,75.0,87.0,,0.0,NE,5.0,,0.0,3.0,4.0,0.0,,,
59,19000228.0,621.0,609.0,610.0,240.0,232.0,8.0,294.0,249.0,45.0,254.0,237.0,17.0,283.0,210.0,206.0,206.0,207.0,93.0,67.0,86.0,NE,2.0,NE,5.0,SE,2.0,7.0,4.0,3.0,3.0,,
60,19000301.0,620.0,614.0,614.0,266.0,237.0,29.0,298.0,251.0,47.0,252.0,240.0,12.0,303.0,232.0,200.0,208.0,214.0,77.0,66.0,90.0,NE,2.0,NE,5.0,SE,2.0,5.0,3.0,10.0,,,
61,,762.4333333333334,761.26,761.2633333333333,24.556666666666665,23.433333333333334,1.1233333333333333,,25.23,3.0433333333333334,,24.12666666666667,1.3900000000000001,28.78666666666667,22.39666666666667,20.766666666666666,22.006666666666668,21.513333333333332,90.73333333333333,77.6,88.73333333333333,,2.033333333333333,,4.833333333333333,,2.8,7.366666666666666,7.133333333333334,5.7,328.0,,
62,19000302.0,628.0,611.0,618.0,255.0,245.0,10.0,295.0,263.0,32.0,259.0,239.0,20.0,306.0,226.0,222.0,235.0,208.0,92.0,77.0,84.0,,0.0,SE,4.0,SE,2.0,3.0,6.0,3.0,16.0,,
63,19000303.0,624.0,611.0,607.0,267.0,241.0,26.0,280.0,253.0,27.0,253.0,242.0,11.0,298.0,233.0,207.0,223.0,218.0,80.0,79.0,91.0,NE,4.0,NW,5.0,SE,4.0,7.0,8.0,0.0,22.0,,
64,19000304.0,619.0,611.0,608.0,232.0,224.0,8.0,291.0,229.0,62.0,251.0,229.0,22.0,294.0,223.0,196.0,169.0,194.0,93.0,57.0,82.0,NW,2.0,NE,4.0,SE,3.0,0.0,3.0,2.0,23.0,,
65,19000305.0,613.0,607.0,599.0,262.0,240.0,22.0,250.0,245.0,5.0,252.0,239.0,13.0,297.0,216.0,208.0,225.0,212.0,82.0,96.0,89.0,SE,2.0,SE,2.0,,0.0,7.0,10.0,0.0,76.0,,
66,19000306.0,613.0,606.0,603.0,240.0,235.0,5.0,265.0,246.0,19.0,250.0,236.0,14.0,292.0,229.0,212.0,218.0,208.0,96.0,85.0,88.0,SE,1.0,NE,6.0,NE,1.0,9.0,9.0,9.0,29.0,,
67,19000307.0,621.0,611.0,615.0,254.0,244.0,10.0,275.0,261.0,14.0,245.0,233.0,12.0,271.0,231.0,221.0,243.0,205.0,92.0,89.0,90.0,SE,3.0,NE,6.0,NE,5.0,9.0,9.0,10.0,196.0,,
68,19000308.0,634.0,620.0,619.0,245.0,237.0,8.0,273.0,263.0,10.0,257.0,243.0,14.0,287.0,229.0,213.0,248.0,217.0,93.0,92.0,89.0,SE,4.0,NE,5.0,NE,6.0,9.0,9.0,0.0,54.0,,
69,19000309.0,628.0,612.0,610.0,257.0,238.0,19.0,279.0,262.0,17.0,257.0,236.0,21.0,284.0,230.0,207.0,242.0,204.0,85.0,87.0,83.0,E,4.0,N,6.0,NE,4.0,9.0,9.0,0.0,0.0,,
70,19000310.0,626.0,611.0,608.0,266.0,243.0,23.0,277.0,257.0,20.0,254.0,242.0,12.0,289.0,243.0,212.0,233.0,217.0,82.0,84.0,90.0,E,5.0,N,6.0,E,3.0,8.0,8.0,2.0,1.0,,
71,19000311.0,622.0,604.0,602.0,263.0,245.0,18.0,279.0,250.0,29.0,261.0,245.0,16.0,281.0,239.0,217.0,218.0,219.0,85.0,78.0,87.0,E,4.0,NE,4.0,NE,5.0,7.0,9.0,10.0,52.0,,
72,19000312.0,615.0,594.0,599.0,256.0,245.0,11.0,278.0,253.0,25.0,256.0,248.0,8.0,281.0,236.0,222.0,224.0,228.0,91.0,80.0,93.0,SE,5.0,NW,5.0,SE,3.0,7.0,9.0,0.0,40.0,,
73,19000313.0,622.0,602.0,607.0,263.0,250.0,13.0,294.0,265.0,29.0,261.0,249.0,12.0,300.0,234.0,227.0,239.0,227.0,89.0,79.0,90.0,ENE,5.0,NE,6.0,E,3.0,7.0,7.0,10.0,148.0,,
74,19000314.0,628.0,605.0,611.0,249.0,243.0,6.0,274.0,265.0,9.0,262.0,246.0,16.0,298.0,239.0,222.0,252.0,220.0,95.0,93.0,87.0,ESE,4.0,NE,6.0,NE,4.0,10.0,9.0,0.0,99.0,,
75,19000315.0,615.0,606.0,601.0,268.0,256.0,12.0,294.0,264.0,30.0,263.0,244.0,19.0,285.0,243.0,237.0,237.0,215.0,90.0,78.0,85.0,E,6.0,ENE,7.0,NE,5.0,6.0,7.0,4.0,,,
76,19000316.0,619.0,605.0,603.0,268.0,258.0,10.0,283.0,266.0,17.0,258.0,250.0,8.0,296.0,235.0,241.0,248.0,230.0,92.0,87.0,93.0,ENE,5.0,N,6.0,NNE,3.0,5.0,8.0,1.0,81.0,,
77,19000317.0,619.0,602.0,600.0,256.0,244.0,12.0,289.0,263.0,26.0,252.0,242.0,10.0,287.0,208.0,220.0,238.0,218.0,90.0,80.0,92.0,NW,5.0,NNE,6.0,,0.0,8.0,7.0,4.0,,,
78,19000318.0,619.0,606.0,607.0,237.0,225.0,12.0,279.0,251.0,28.0,257.0,244.0,13.0,292.0,230.0,195.0,220.0,219.0,90.0,79.0,90.0,SE,3.0,NE,4.0,S,3.0,9.0,9.0,10.0,380.0,,
79,19000319.0,619.0,608.0,605.0,231.0,229.0,2.0,260.0,254.0,6.0,261.0,251.0,10.0,287.0,230.0,207.0,237.0,231.0,99.0,95.0,92.0,N,2.0,NW,3.0,E,5.0,10.0,9.0,9.0,288.0,,
80,19000320.0,621.0,608.0,607.0,277.0,255.0,22.0,293.0,265.0,28.0,262.0,250.0,12.0,278.0,231.0,229.0,240.0,228.0,83.0,79.0,90.0,NNE,5.0,E,6.0,ESE,6.0,6.0,7.0,0.0,,,
81,19000321.0,618.0,609.0,605.0,258.0,248.0,10.0,298.0,264.0,34.0,267.0,253.0,14.0,298.0,225.0,227.0,235.0,231.0,92.0,75.0,89.0,E,4.0,ENE,6.0,E,5.0,6.0,5.0,9.0,18.0,,
82,19000322.0,622.0,609.0,613.0,253.0,244.0,9.0,262.0,245.0,17.0,253.0,243.0,10.0,298.0,242.0,222.0,221.0,220.0,93.0,90.0,92.0,N,2.0,N,2.0,NE,3.0,9.0,10.0,10.0,258.0,,
