,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,RH 21,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 27_level_1
0,19460101.0,617.0,612.0,606.0,232.0,237.0,237.0,294.0,228.0,196.0,201.0,205.0,93.0,92.0,,94.0,NE,2.0,ENE,2.0,Calm,0.0,10.0,10.0,8.0,41.0,,
1,19460102.0,616.0,610.0,606.0,237.0,279.0,254.0,248.0,224.0,210.0,212.0,200.0,96.0,76.0,,93.0,Calm,0.0,NE,2.0,NE,2.0,9.0,9.0,9.0,362.0,,
2,19460103.0,622.0,615.0,609.0,241.0,304.0,263.0,287.0,204.0,195.0,173.0,192.0,88.0,53.0,,76.0,Calm,0.0,ENE,3.0,NE,1.0,2.0,3.0,3.0,10.0,,
3,19460104.0,622.0,611.0,604.0,227.0,257.0,250.0,304.0,204.0,196.0,206.0,216.0,96.0,84.0,,92.0,Calm,0.0,E,1.0,NE,1.0,3.0,9.0,9.0,0.0,,
4,19460105.0,618.0,604.0,599.0,239.0,296.0,261.0,297.0,221.0,201.0,211.0,188.0,91.0,68.0,,75.0,E,1.0,ENE,2.0,ENE,1.0,5.0,7.0,2.0,21.0,,
5,19460106.0,613.0,598.0,595.0,225.0,287.0,261.0,298.0,201.0,193.0,191.0,199.0,95.0,65.0,,79.0,Calm,0.0,NE,2.0,NE,1.0,2.0,9.0,4.0,0.0,,
6,19460107.0,610.0,614.0,604.0,237.0,284.0,262.0,299.0,218.0,206.0,201.0,212.0,95.0,69.0,,84.0,SE,1.0,NE,1.0,ENE,1.0,9.0,9.0,7.0,2.0,,
7,19460108.0,621.0,609.0,602.0,243.0,280.0,262.0,297.0,229.0,207.0,201.0,218.0,91.0,71.0,,86.0,Calm,0.0,Calm,0.0,N,1.0,6.0,9.0,8.0,0.0,,
8,19460109.0,617.0,615.0,609.0,238.0,237.0,234.0,281.0,225.0,205.0,205.0,208.0,88.0,94.0,,97.0,Calm,0.0,Calm,0.0,Calm,0.0,9.0,10.0,10.0,0.0,,
9,19460110.0,621.0,618.0,608.0,237.0,289.0,267.0,273.0,219.0,210.0,226.0,215.0,96.0,76.0,,83.0,Calm,0.0,NE,1.0,NE,1.0,8.0,8.0,4.0,604.0,,
10,19460111.0,631.0,620.0,617.0,242.0,297.0,269.0,295.0,219.0,213.0,219.0,200.0,95.0,70.0,,76.0,E,1.0,ENE,2.0,NE,2.0,1.0,9.0,1.0,1.0,,
