,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19110101.0,619.0,626.0,612.0,252.0,294.0,264.0,282.0,218.0,205.0,233.0,217.0,86.0,76.0,85.0,ENE,2.0,NNE,2.0,NNE,4.0,4.0,6.0,6.0,2.0,,
1,19110102.0,622.0,614.0,612.0,263.0,276.0,250.0,296.0,239.0,221.0,221.0,222.0,87.0,80.0,94.0,ENE,2.0,NE,3.0,NE,2.0,6.0,8.0,8.0,1.0,,
2,19110103.0,615.0,609.0,610.0,240.0,272.0,249.0,280.0,228.0,210.0,240.0,199.0,95.0,90.0,85.0,NE,3.0,NNE,4.0,ENE,2.0,9.0,8.0,10.0,9.0,,
3,19110104.0,617.0,607.0,608.0,252.0,275.0,249.0,278.0,223.0,216.0,239.0,199.0,91.0,87.0,85.0,ENE,2.0,NE,3.0,NE,2.0,8.0,6.0,8.0,7.0,,
4,19110105.0,620.0,609.0,610.0,232.0,268.0,250.0,280.0,226.0,202.0,230.0,185.0,96.0,88.0,79.0,ENE,2.0,N,3.0,ENE,2.0,10.0,6.0,8.0,2.0,,
5,19110106.0,621.0,611.0,612.0,239.0,278.0,251.0,272.0,209.0,187.0,226.0,213.0,85.0,81.0,90.0,ENE,2.0,NNE,3.0,NNE,1.0,7.0,4.0,9.0,2.0,,
6,19110107.0,628.0,611.0,613.0,246.0,286.0,255.0,284.0,227.0,197.0,240.0,203.0,86.0,83.0,84.0,NNE,1.0,NNE,2.0,NE,1.0,9.0,8.0,8.0,,,
7,19110108.0,628.0,620.0,616.0,232.0,248.0,241.0,288.0,227.0,202.0,217.0,208.0,96.0,93.0,93.0,NE,1.0,NNE,2.0,NE,1.0,10.0,9.0,10.0,100.0,,
8,19110109.0,631.0,616.0,614.0,227.0,289.0,253.0,259.0,225.0,196.0,220.0,220.0,96.0,89.0,92.0,ENE,1.0,NE,2.0,NE,2.0,10.0,8.0,7.0,483.0,,
9,19110110.0,620.0,613.0,615.0,243.0,287.0,256.0,273.0,224.0,203.0,235.0,214.0,90.0,80.0,88.0,ENE,1.0,ENE,3.0,NE,2.0,6.0,6.0,9.0,330.0,,
10,19110111.0,615.0,609.0,604.0,254.0,288.0,260.0,288.0,218.0,207.0,245.0,225.0,86.0,83.0,90.0,ENE,2.0,NE,3.0,ENE,3.0,6.0,6.0,8.0,3.0,,
11,19110112.0,616.0,613.0,609.0,246.0,285.0,256.0,292.0,210.0,201.0,200.0,228.0,87.0,69.0,93.0,NE,1.0,NNE,4.0,NE,2.0,8.0,6.0,8.0,7.0,,
12,19110113.0,616.0,608.0,601.0,239.0,290.0,257.0,290.0,209.0,194.0,240.0,233.0,88.0,80.0,95.0,ENE,2.0,NNE,4.0,NE,2.0,6.0,6.0,8.0,,,
13,19110114.0,614.0,609.0,604.0,252.0,250.0,255.0,292.0,222.0,197.0,218.0,207.0,83.0,93.0,85.0,ENE,2.0,ENE,2.0,NE,2.0,7.0,9.0,9.0,,,
14,19110115.0,616.0,614.0,614.0,239.0,273.0,257.0,293.0,215.0,201.0,238.0,211.0,91.0,88.0,85.0,ENE,1.0,NE,3.0,NE,2.0,9.0,7.0,7.0,28.0,,
15,19110116.0,622.0,620.0,619.0,234.0,247.0,223.0,277.0,228.0,201.0,216.0,193.0,94.0,93.0,96.0,E,1.0,NE,2.0,ENE,2.0,8.0,9.0,10.0,12.0,,
16,19110117.0,628.0,618.0,613.0,230.0,261.0,254.0,277.0,216.0,200.0,227.0,211.0,96.0,90.0,87.0,E,1.0,NE,1.0,ENE,2.0,9.0,8.0,8.0,126.0,,
17,19110118.0,620.0,617.0,610.0,233.0,272.0,255.0,282.0,223.0,201.0,208.0,217.0,95.0,77.0,90.0,ENE,1.0,ENE,3.0,ENE,3.0,9.0,8.0,8.0,310.0,,
18,19110119.0,620.0,614.0,609.0,244.0,268.0,252.0,280.0,227.0,210.0,226.0,211.0,92.0,86.0,88.0,ENE,1.0,ENE,2.0,NE,2.0,7.0,8.0,8.0,45.0,,
