,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 21,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19450101.0,606.0,596.0,598.0,256.0,309.0,269.0,298.0,221.0,212.0,187.0,192.0,87.0,56.0,73.0,E,1.0,E,2.0,NE,1.0,3.0,3.0,8.0,13.0,,
1,19450102.0,617.0,598.0,605.0,243.0,272.0,260.0,312.0,231.0,207.0,222.0,213.0,91.0,83.0,85.0,Calm,0.0,NE,1.0,NE,1.0,9.0,9.0,9.0,26.0,,
2,19450103.0,627.0,606.0,606.0,235.0,277.0,257.0,284.0,226.0,204.0,221.0,215.0,95.0,80.0,88.0,E,1.0,NE,1.0,ENE,1.0,10.0,7.0,10.0,189.0,,
3,19450104.0,622.0,603.0,600.0,239.0,276.0,257.0,287.0,233.0,207.0,189.0,202.0,94.0,69.0,82.0,ENE,1.0,NNE,2.0,NE,1.0,10.0,9.0,9.0,130.0,,
4,19450105.0,628.0,604.0,605.0,227.0,286.0,261.0,282.0,221.0,198.0,190.0,199.0,96.0,65.0,79.0,Calm,0.0,NNE,1.0,NE,1.0,10.0,9.0,1.0,75.0,,
5,19450106.0,617.0,604.0,601.0,247.0,290.0,262.0,287.0,224.0,212.0,217.0,206.0,92.0,73.0,82.0,Calm,0.0,NNE,1.0,NNE,1.0,3.0,7.0,9.0,0.0,,
6,19450107.0,621.0,610.0,596.0,242.0,302.0,264.0,293.0,226.0,219.0,199.0,197.0,97.0,63.0,77.0,Calm,0.0,NNE,3.0,NE,1.0,9.0,5.0,2.0,14.0,,
7,19450108.0,625.0,612.0,605.0,248.0,308.0,267.0,304.0,209.0,207.0,198.0,199.0,89.0,60.0,77.0,NE,1.0,NNE,2.0,NNE,1.0,1.0,1.0,1.0,0.0,,
8,19450109.0,617.0,614.0,609.0,223.0,246.0,230.0,312.0,207.0,191.0,212.0,198.0,96.0,92.0,95.0,ENE,1.0,Calm,0.0,Calm,0.0,10.0,10.0,9.0,12.0,,
9,19450110.0,627.0,617.0,612.0,231.0,288.0,265.0,251.0,209.0,186.0,206.0,203.0,89.0,69.0,79.0,ENE,1.0,NNE,2.0,NE,1.0,9.0,9.0,8.0,144.0,,
10,19450111.0,624.0,618.0,617.0,245.0,282.0,262.0,289.0,229.0,213.0,200.0,206.0,93.0,70.0,82.0,Calm,0.0,N,1.0,Calm,0.0,9.0,9.0,9.0,1.0,,
11,19450112.0,621.0,609.0,606.0,247.0,279.0,257.0,286.0,229.0,217.0,206.0,198.0,94.0,73.0,81.0,Calm,0.0,NNE,1.0,NE,1.0,9.0,9.0,9.0,0.0,,
12,19450113.0,616.0,602.0,598.0,241.0,293.0,267.0,290.0,225.0,212.0,203.0,201.0,95.0,67.0,78.0,Calm,0.0,NNW,2.0,NE,1.0,9.0,8.0,6.0,49.0,,
13,19450114.0,610.0,601.0,599.0,236.0,302.0,267.0,297.0,204.0,209.0,191.0,196.0,96.0,60.0,75.0,Calm,0.0,NW,1.0,Calm,0.0,4.0,3.0,6.0,1.0,,
14,19450115.0,612.0,601.0,601.0,247.0,313.0,273.0,303.0,221.0,208.0,211.0,211.0,90.0,62.0,78.0,Calm,0.0,ENE,2.0,NE,1.0,7.0,8.0,8.0,0.0,,
15,19450116.0,620.0,604.0,605.0,235.0,274.0,246.0,317.0,222.0,201.0,227.0,214.0,93.0,84.0,93.0,Calm,0.0,NNE,2.0,E,1.0,9.0,7.0,10.0,55.0,,
16,19450117.0,631.0,612.0,605.0,228.0,259.0,265.0,282.0,223.0,201.0,222.0,230.0,97.0,90.0,89.0,NE,1.0,E,1.0,Calm,0.0,10.0,9.0,7.0,264.0,,
17,19450118.0,623.0,607.0,607.0,229.0,293.0,265.0,280.0,214.0,202.0,215.0,218.0,97.0,71.0,85.0,Calm,0.0,ENE,1.0,NE,1.0,4.0,6.0,3.0,41.0,,
18,19450119.0,621.0,610.0,609.0,260.0,297.0,267.0,303.0,228.0,215.0,206.0,201.0,86.0,66.0,78.0,ENE,1.0,ENE,3.0,ENE,1.0,1.0,7.0,6.0,120.0,,
19,19450120.0,621.0,605.0,601.0,239.0,292.0,261.0,297.0,229.0,213.0,224.0,217.0,97.0,74.0,86.0,Calm,0.0,NE,3.0,NNE,1.0,10.0,9.0,9.0,114.0,,
20,19450121.0,614.0,603.0,608.0,242.0,242.0,246.0,305.0,236.0,215.0,217.0,218.0,96.0,97.0,95.0,E,1.0,ENE,1.0,Calm,0.0,10.0,10.0,10.0,401.0,,
21,19450122.0,619.0,609.0,600.0,237.0,252.0,252.0,277.0,228.0,206.0,214.0,211.0,95.0,90.0,88.0,NE,1.0,Calm,0.0,ENE,1.0,9.0,10.0,10.0,395.0,,
22,19450123.0,612.0,601.0,596.0,242.0,260.0,261.0,267.0,230.0,217.0,227.0,229.0,97.0,91.0,91.0,Calm,0.0,E,1.0,E,1.0,10.0,10.0,9.0,80.0,,
23,19450124.0,614.0,601.0,596.0,252.0,255.0,259.0,270.0,231.0,214.0,224.0,238.0,90.0,93.0,96.0,ESE,1.0,Calm,0.0,Calm,0.0,9.0,10.0,10.0,113.0,,
24,19450125.0,627.0,594.0,591.0,261.0,292.0,268.0,277.0,234.0,229.0,234.0,220.0,91.0,78.0,84.0,ENE,1.0,ENE,3.0,ENE,1.0,10.0,8.0,9.0,200.0,,
25,19450126.0,619.0,596.0,593.0,254.0,291.0,268.0,294.0,240.0,221.0,222.0,210.0,92.0,74.0,80.0,NE,1.0,NE,3.0,ENE,2.0,9.0,9.0,9.0,10.0,,
26,19450127.0,616.0,605.0,598.0,247.0,291.0,271.0,297.0,234.0,223.0,220.0,207.0,97.0,73.0,78.0,Calm,0.0,ENE,4.0,ENE,2.0,9.0,9.0,4.0,70.0,,
