,Stn,Datum,Tijd,P,qP,T,qT,Tn,qTn,Tx,qTx,U,qU,Ed,qEd,Tw,qTw,D,qD,F,qF,N,qN
52,32,19400114,7.0,761.2,0,25.3,0,—,7,—,7,81,0,19.6,0,22.8,0,65,0,0.3,0,2,0
53,32,19400114,12.0,760.7,0,28.5,0,—,7,—,7,66,0,19.4,0,23.6,0,65,0,0.4,0,4,0
54,32,19400114,17.0,759.2,0,28.3,0,—,7,—,7,66,0,19.1,0,23.4,0,65,0,0.4,0,4,0
55,32,19400114,24.0,—,7,—,7,26.5,0,29.3,0,—,7,—,7,—,7,—,7,—,7,—,7
56,32,19400115,7.0,759.7,0,25.9,0,—,7,—,7,78,0,19.6,0,23,0,65,0,0.2,0,3,0
57,32,19400115,12.0,759.5,0,28.1,0,—,7,—,7,66,0,18.9,0,23.2,0,65,0,0.3,0,4,0
58,32,19400115,17.0,759.2,0,28.1,0,—,7,—,7,66,0,18.9,0,23.2,0,65,0,0.3,0,4,0
59,32,19400115,24.0,—,7,—,7,26.5,0,29.2,0,—,7,—,7,—,7,—,7,—,7,—,7
60,32,19400116,7.0,758.5,0,26.1,0,—,7,—,7,77,0,19.5,0,23,0,65,0,0.2,0,2,0
61,32,19400116,12.0,756.9,0,26.3,0,—,7,—,7,77,0,19.8,0,23.2,0,65,0,0.3,0,3,0
62,32,19400116,17.0,756.7,0,25.9,0,—,7,—,7,77,0,19.3,0,22.8,0,65,0,0.3,0,2,0
63,32,19400116,24.0,—,7,—,7,27.4,0,28.5,0,—,7,—,7,—,7,—,7,—,7,—,7
64,32,19400117,7.0,761,0,25.3,0,—,7,—,7,78,0,18.9,0,22.4,0,65,0,0.3,0,2,0
65,32,19400117,12.0,760.7,0,26.1,0,—,7,—,7,77,0,19.5,0,23,0,65,0,0.4,0,3,0
66,32,19400117,17.0,758.2,0,25.9,0,—,7,—,7,77,0,19.3,0,22.8,0,65,0,0.4,0,3,0
67,32,19400117,24.0,—,7,—,7,26.5,0,28.4,0,—,7,—,7,—,7,—,7,—,7,—,7
68,32,19400118,7.0,758.5,0,26.1,0,—,7,—,7,78,0,19.9,0,23.2,0,65,0,0.3,0,3,0
69,32,19400118,12.0,758.9,0,28.3,0,—,7,—,7,65,0,18.8,0,23.2,0,65,0,0.3,0,3,0
70,32,19400118,17.0,758.2,0,27.7,0,—,7,—,7,74,0,20.5,0,24,0,65,0,0.5,0,4,0
71,32,19400118,24.0,—,7,—,7,27.3,0,28.7,0,—,7,—,7,—,7,—,7,—,7,—,7
72,32,19400119,7.0,759.7,0,25.1,0,—,7,—,7,85,0,20.4,0,23.2,0,65,0,0.4,0,2,0
73,32,19400119,12.0,759.2,0,26.3,0,—,7,—,7,78,0,20.1,0,23.4,0,65,0,0.5,0,4,0
74,32,19400119,17.0,758.9,0,26.1,0,—,7,—,7,87,0,22.1,0,24.4,0,65,0,0.5,0,4,0
75,32,19400119,24.0,—,7,—,7,27,0,29.5,0,—,7,—,7,—,7,—,7,—,7,—,7
76,32,19400120,7.0,759.5,0,27.3,0,—,7,—,7,77,0,21.1,0,24.2,0,65,0,0.3,0,3,0
77,32,19400120,12.0,760,0,29.9,0,—,7,—,7,66,0,20.9,0,24.8,0,45,0,0.4,0,4,0
78,32,19400120,17.0,759.7,0,28.9,0,—,7,—,7,72,0,21.4,0,24.8,0,45,0,0.5,0,3,0
79,32,19400120,24.0,—,7,—,7,28.5,0,31.4,0,—,7,—,7,—,7,—,7,—,7,—,7
80,32,19400121,7.0,759.7,0,25.7,0,—,7,—,7,80,0,19.7,0,23,0,45,0,0.4,0,2,0
81,32,19400121,12.0,760.2,0,27.4,0,—,7,—,7,80,0,21.8,0,24.6,0,45,0,0.5,0,3,0
