,Stn,Datum,P,qP
0,32,19320101,765.0,0
1,32,19320102,765.0,0
2,32,19320103,765.0,0
3,32,19320104,766.5,0
4,32,19320105,766.5,0
5,32,19320106,767.0,0
6,32,19320107,766.5,0
7,32,19320108,766.0,0
8,32,19320109,766.0,0
9,32,19320110,766.0,0
10,32,19320111,768.0,0
11,32,19320112,767.5,0
12,32,19320113,768.0,0
13,32,19320114,767.0,0
14,32,19320115,765.5,0
15,32,19320116,766.0,0
16,32,19320117,765.5,0
17,32,19320118,766.5,0
18,32,19320119,766.5,0
19,32,19320120,767.0,0
20,32,19320121,766.5,0
21,32,19320122,765.5,0
22,32,19320123,765.5,0
23,32,19320124,767.0,0
24,32,19320125,767.0,0
25,32,19320126,768.0,0
26,32,19320127,768.0,0
27,32,19320128,767.0,0
28,32,19320129,766.5,0
29,32,19320130,766.5,0
30,32,19320131,767.0,0
31,32,19320201,768.0,0
32,32,19320202,767.5,0
33,32,19320203,767.0,0
34,32,19320204,768.5,0
35,32,19320205,769.0,0
36,32,19320206,767.5,0
37,32,19320207,767.0,0
38,32,19320208,768.0,0
39,32,19320209,767.5,0
40,32,19320210,767.0,0
41,32,19320211,765.5,0
42,32,19320212,766.5,0
43,32,19320213,766.0,0
44,32,19320214,765.0,0
45,32,19320215,765.5,0
46,32,19320216,766.0,0
47,32,19320217,766.0,0
48,32,19320218,767.0,0
49,32,19320219,767.0,0
50,32,19320220,767.5,0
51,32,19320221,766.5,0
52,32,19320222,767.0,0
53,32,19320223,767.0,0
54,32,19320224,767.5,0
55,32,19320225,767.5,0
56,32,19320226,765.5,0
57,32,19320227,767.0,0
58,32,19320228,765.5,0
59,32,19320229,766.5,0
60,32,19320301,765.0,0
61,32,19320302,764.5,0
62,32,19320303,765.5,0
63,32,19320304,765.0,0
64,32,19320305,764.5,0
65,32,19320306,765.5,0
66,32,19320307,765.5,0
67,32,19320308,766.5,0
68,32,19320309,766.0,0
69,32,19320310,766.0,0
70,32,19320311,767.0,0
71,32,19320312,766.0,0
72,32,19320313,766.0,0
73,32,19320314,765.5,0
74,32,19320315,767.0,0
75,32,19320316,767.0,0
76,32,19320317,766.5,0
77,32,19320318,766.0,0
78,32,19320319,766.0,0
79,32,19320320,767.0,0
80,32,19320321,767.0,0
81,32,19320322,766.5,0
82,32,19320323,767.0,0
83,32,19320324,768.5,0
84,32,19320325,767.0,0
85,32,19320326,767.0,0
86,32,19320327,767.5,0
87,32,19320328,766.0,0
88,32,19320329,767.5,0
89,32,19320330,767.0,0
90,32,19320331,766.0,0
91,32,19320401,766.0,0
92,32,19320402,767.0,0
93,32,19320403,765.5,0
94,32,19320404,765.5,0
95,32,19320405,766.0,0
96,32,19320406,765.0,0
97,32,19320407,764.0,0
98,32,19320408,764.0,0
99,32,19320409,764.0,0
100,32,19320410,764.5,0
101,32,19320411,764.0,0
102,32,19320412,765.0,0
103,32,19320413,765.0,0
104,32,19320414,764.5,0
105,32,19320415,763.5,0
106,32,19320416,765.0,0
107,32,19320417,764.0,0
108,32,19320418,764.5,0
109,32,19320419,763.5,0
110,32,19320420,763.5,0
111,32,19320421,762.0,0
112,32,19320422,761.5,0
113,32,19320423,762.0,0
114,32,19320424,763.0,0
115,32,19320425,764.0,0
116,32,19320426,765.0,0
117,32,19320427,764.5,0
118,32,19320428,764.5,0
119,32,19320429,764.0,0
120,32,19320430,764.0,0
121,32,19320501,763.0,0
122,32,19320502,763.0,0
123,32,19320503,763.5,0
124,32,19320504,764.0,0
125,32,19320505,764.0,0
126,32,19320506,760.0,0
127,32,19320507,763.0,0
128,32,19320508,763.0,0
129,32,19320509,763.5,0
130,32,19320510,763.5,0
131,32,19320511,765.0,0
132,32,19320512,766.5,0
133,32,19320513,766.0,0
134,32,19320514,765.0,0
135,32,19320515,765.0,0
136,32,19320516,764.0,0
137,32,19320517,766.0,0
138,32,19320518,766.5,0
139,32,19320519,766.5,0
140,32,19320520,765.5,0
141,32,19320521,765.0,0
142,32,19320522,765.0,0
143,32,19320523,765.5,0
144,32,19320524,765.5,0
145,32,19320525,766.0,0
146,32,19320526,765.0,0
147,32,19320527,766.0,0
148,32,19320528,766.0,0
149,32,19320529,765.5,0
150,32,19320530,765.0,0
151,32,19320531,765.0,0
152,32,19320601,763.5,0
153,32,19320602,764.5,0
154,32,19320603,765.0,0
155,32,19320604,765.0,0
156,32,19320605,764.5,0
157,32,19320606,764.5,0
158,32,19320607,765.0,0
159,32,19320608,765.0,0
160,32,19320609,765.0,0
161,32,19320610,765.5,0
162,32,19320611,765.5,0
163,32,19320612,765.5,0
164,32,19320613,766.0,0
165,32,19320614,766.0,0
166,32,19320615,767.0,0
167,32,19320616,766.0,0
168,32,19320617,765.0,0
169,32,19320618,765.0,0
170,32,19320619,764.0,0
171,32,19320620,763.0,0
172,32,19320621,764.0,0
173,32,19320622,765.0,0
174,32,19320623,765.0,0
175,32,19320624,765.0,0
176,32,19320625,764.0,0
177,32,19320626,764.0,0
178,32,19320627,764.0,0
179,32,19320628,765.0,0
180,32,19320629,766.0,0
181,32,19320630,765.0,0
182,32,19320701,767.0,0
183,32,19320702,766.0,0
184,32,19320703,767.0,0
185,32,19320704,767.0,0
186,32,19320705,766.0,0
187,32,19320706,766.0,0
188,32,19320707,765.0,0
189,32,19320708,765.5,0
190,32,19320709,766.0,0
191,32,19320710,765.0,0
192,32,19320711,765.5,0
193,32,19320712,766.0,0
194,32,19320713,766.0,0
195,32,19320714,766.5,0
196,32,19320715,765.0,0
197,32,19320716,764.5,0
198,32,19320717,765.0,0
199,32,19320718,765.0,0
200,32,19320719,766.5,0
201,32,19320720,767.0,0
202,32,19320721,766.5,0
203,32,19320722,765.5,0
204,32,19320723,765.0,0
205,32,19320724,765.0,0
206,32,19320725,766.0,0
207,32,19320726,765.0,0
208,32,19320727,764.5,0
209,32,19320728,764.5,0
210,32,19320729,765.0,0
211,32,19320730,765.5,0
212,32,19320731,765.0,0
213,32,19320801,765.0,0
214,32,19320802,765.0,0
215,32,19320803,764.5,0
216,32,19320804,764.0,0
217,32,19320805,764.0,0
218,32,19320806,764.5,0
219,32,19320807,765.0,0
220,32,19320808,765.0,0
221,32,19320809,765.0,0
222,32,19320810,765.0,0
223,32,19320811,765.0,0
224,32,19320812,765.0,0
225,32,19320813,764.0,0
226,32,19320814,764.0,0
227,32,19320815,764.5,0
228,32,19320816,765.0,0
229,32,19320817,764.5,0
230,32,19320818,764.0,0
231,32,19320819,764.0,0
232,32,19320820,764.0,0
233,32,19320821,764.5,0
234,32,19320822,764.5,0
235,32,19320823,765.0,0
236,32,19320824,764.0,0
237,32,19320825,764.0,0
238,32,19320826,765.0,0
239,32,19320827,765.5,0
240,32,19320828,764.0,0
241,32,19320829,764.0,0
242,32,19320830,765.0,0
243,32,19320831,765.0,0
244,32,19320901,764.5,0
245,32,19320902,763.5,0
246,32,19320903,764.0,0
247,32,19320904,764.0,0
248,32,19320905,763.5,0
249,32,19320906,765.0,0
250,32,19320907,765.0,0
251,32,19320908,764.5,0
252,32,19320909,764.5,0
253,32,19320910,764.5,0
254,32,19320911,765.0,0
255,32,19320912,765.0,0
256,32,19320913,765.0,0
257,32,19320914,764.5,0
258,32,19320915,765.5,0
259,32,19320916,765.0,0
260,32,19320917,765.0,0
261,32,19320918,764.0,0
262,32,19320919,764.0,0
263,32,19320920,762.5,0
264,32,19320921,764.0,0
265,32,19320922,764.0,0
266,32,19320923,764.0,0
267,32,19320924,763.0,0
268,32,19320925,763.0,0
269,32,19320926,764.0,0
270,32,19320927,764.0,0
271,32,19320928,764.0,0
272,32,19320929,763.5,0
273,32,19320930,764.5,0
274,32,19321001,763.5,0
275,32,19321002,763.0,0
276,32,19321003,765.0,0
277,32,19321004,765.0,0
278,32,19321005,764.0,0
279,32,19321006,762.5,0
280,32,19321007,764.0,0
281,32,19321008,764.5,0
282,32,19321009,764.0,0
283,32,19321010,764.0,0
284,32,19321011,762.5,0
285,32,19321012,763.0,0
286,32,19321013,766.0,0
287,32,19321014,765.0,0
288,32,19321015,762.5,0
289,32,19321016,763.0,0
290,32,19321017,764.0,0
291,32,19321018,764.0,0
292,32,19321019,763.5,0
293,32,19321020,762.5,0
294,32,19321021,762.0,0
295,32,19321022,763.0,0
296,32,19321023,763.0,0
297,32,19321024,764.5,0
298,32,19321025,764.0,0
299,32,19321026,763.5,0
300,32,19321027,764.5,0
301,32,19321028,764.5,0
302,32,19321029,766.0,0
303,32,19321030,765.0,0
304,32,19321031,765.0,0
305,32,19321101,763.0,0
306,32,19321102,759.0,0
307,32,19321103,760.0,0
308,32,19321104,761.0,0
309,32,19321105,762.0,0
310,32,19321106,762.0,0
311,32,19321107,762.5,0
312,32,19321108,762.5,0
313,32,19321109,762.5,0
314,32,19321110,764.0,0
315,32,19321111,765.0,0
316,32,19321112,765.0,0
317,32,19321113,764.0,0
318,32,19321114,764.0,0
319,32,19321115,764.0,0
320,32,19321116,763.5,0
321,32,19321117,763.5,0
322,32,19321118,763.5,0
323,32,19321119,764.0,0
324,32,19321120,765.0,0
325,32,19321121,765.5,0
326,32,19321122,764.0,0
327,32,19321123,763.5,0
328,32,19321124,764.0,0
329,32,19321125,764.0,0
330,32,19321126,764.5,0
331,32,19321127,764.0,0
332,32,19321128,764.0,0
333,32,19321129,763.5,0
334,32,19321130,763.5,0
335,32,19321201,764.0,0
336,32,19321202,764.5,0
337,32,19321203,764.5,0
338,32,19321204,764.0,0
339,32,19321205,764.5,0
340,32,19321206,764.0,0
341,32,19321207,764.5,0
342,32,19321208,764.0,0
343,32,19321209,764.5,0
344,32,19321210,764.5,0
345,32,19321211,764.5,0
346,32,19321212,764.0,0
347,32,19321213,765.5,0
348,32,19321214,766.5,0
349,32,19321215,767.5,0
350,32,19321216,767.0,0
351,32,19321217,766.0,0
352,32,19321218,764.5,0
353,32,19321219,765.0,0
354,32,19321220,765.0,0
355,32,19321221,766.0,0
356,32,19321222,765.0,0
357,32,19321223,765.0,0
358,32,19321224,765.0,0
359,32,19321225,765.0,0
360,32,19321226,766.0,0
361,32,19321227,766.0,0
362,32,19321228,765.5,0
363,32,19321229,765.0,0
364,32,19321230,765.0,0
365,32,19321231,765.0,0
