,Stn,Datum,P,qP
0,32,19330101,765.0,0
1,32,19330102,765.5,0
2,32,19330103,765.5,0
3,32,19330104,764.5,0
4,32,19330105,765.0,0
5,32,19330106,765.0,0
6,32,19330107,765.0,0
7,32,19330108,765.5,0
8,32,19330109,766.0,0
9,32,19330110,766.0,0
10,32,19330111,766.0,0
11,32,19330112,766.0,0
12,32,19330113,766.0,0
13,32,19330114,765.5,0
14,32,19330115,765.5,0
15,32,19330116,767.0,0
16,32,19330117,767.0,0
17,32,19330118,766.0,0
18,32,19330119,767.0,0
19,32,19330120,767.5,0
20,32,19330121,766.0,0
21,32,19330122,765.5,0
22,32,19330123,765.5,0
23,32,19330124,766.0,0
24,32,19330125,765.5,0
25,32,19330126,765.0,0
26,32,19330127,765.0,0
27,32,19330128,764.0,0
28,32,19330129,765.0,0
29,32,19330130,765.0,0
30,32,19330131,767.0,0
31,32,19330201,767.5,0
32,32,19330202,767.5,0
33,32,19330203,766.5,0
34,32,19330204,765.5,0
35,32,19330205,765.5,0
36,32,19330206,768.0,0
37,32,19330207,768.0,0
38,32,19330208,767.0,0
39,32,19330209,767.5,0
40,32,19330210,767.5,0
41,32,19330211,767.0,0
42,32,19330212,767.0,0
43,32,19330213,767.5,0
44,32,19330214,768.0,0
45,32,19330215,768.0,0
46,32,19330216,767.0,0
47,32,19330217,766.0,0
48,32,19330218,766.0,0
49,32,19330219,765.0,0
50,32,19330220,765.5,0
51,32,19330221,765.0,0
52,32,19330222,765.0,0
53,32,19330223,764.0,0
54,32,19330224,766.0,0
55,32,19330225,767.0,0
56,32,19330226,767.0,0
57,32,19330227,764.0,0
58,32,19330228,764.0,0
59,32,19330301,763.0,0
60,32,19330302,763.0,0
61,32,19330303,763.5,0
62,32,19330304,764.5,0
63,32,19330305,764.0,0
64,32,19330306,766.5,0
65,32,19330307,766.5,0
66,32,19330308,767.0,0
67,32,19330309,767.0,0
68,32,19330310,767.0,0
69,32,19330311,765.5,0
70,32,19330312,765.5,0
71,32,19330313,765.5,0
72,32,19330314,765.0,0
73,32,19330315,766.0,0
74,32,19330316,767.0,0
75,32,19330317,768.0,0
76,32,19330318,767.0,0
77,32,19330319,767.0,0
78,32,19330320,766.0,0
79,32,19330321,766.0,0
80,32,19330322,766.5,0
81,32,19330323,767.5,0
82,32,19330324,766.5,0
83,32,19330325,766.0,0
84,32,19330326,766.0,0
85,32,19330327,766.0,0
86,32,19330328,766.5,0
87,32,19330329,766.5,0
88,32,19330330,766.0,0
89,32,19330331,766.5,0
90,32,19330401,766.5,0
91,32,19330402,766.5,0
92,32,19330403,765.0,0
93,32,19330404,765.5,0
94,32,19330405,766.0,0
95,32,19330406,765.5,0
96,32,19330407,765.5,0
97,32,19330408,765.0,0
98,32,19330409,765.0,0
99,32,19330410,765.0,0
100,32,19330411,765.0,0
101,32,19330412,765.0,0
102,32,19330413,765.0,0
103,32,19330414,765.0,0
104,32,19330415,765.5,0
105,32,19330416,765.5,0
106,32,19330417,765.0,0
107,32,19330418,765.0,0
108,32,19330419,764.0,0
109,32,19330420,764.0,0
110,32,19330421,764.0,0
111,32,19330422,764.0,0
112,32,19330423,764.0,0
113,32,19330424,764.5,0
114,32,19330425,764.5,0
115,32,19330426,765.0,0
116,32,19330427,766.0,0
117,32,19330428,766.0,0
118,32,19330429,764.0,0
119,32,19330430,764.0,0
120,32,19330501,765.0,0
121,32,19330502,764.0,0
122,32,19330503,764.5,0
123,32,19330504,765.5,0
124,32,19330505,766.5,0
125,32,19330506,766.5,0
126,32,19330507,766.5,0
127,32,19330508,766.0,0
128,32,19330509,766.0,0
129,32,19330510,765.0,0
130,32,19330511,766.0,0
131,32,19330512,765.0,0
132,32,19330513,765.0,0
133,32,19330514,765.0,0
134,32,19330515,767.0,0
135,32,19330516,766.0,0
136,32,19330517,765.0,0
137,32,19330518,765.0,0
138,32,19330519,765.5,0
139,32,19330520,764.5,0
140,32,19330521,764.5,0
141,32,19330522,764.0,0
142,32,19330523,763.5,0
143,32,19330524,765.5,0
144,32,19330525,765.5,0
145,32,19330526,764.5,0
