,Stn,Datum,P,qP
227,32,19310816,765.0,0
228,32,19310817,764.5,0
229,32,19310818,766.0,0
230,32,19310819,767.0,0
231,32,19310820,767.0,0
232,32,19310821,766.0,0
233,32,19310822,766.0,0
234,32,19310823,766.0,0
235,32,19310824,767.0,0
236,32,19310825,767.0,0
237,32,19310826,766.5,0
238,32,19310827,767.0,0
239,32,19310828,767.0,0
240,32,19310829,766.5,0
241,32,19310830,766.5,0
242,32,19310831,766.0,0
243,32,19310901,766.0,0
244,32,19310902,765.0,0
245,32,19310903,765.0,0
246,32,19310904,766.0,0
247,32,19310905,766.0,0
248,32,19310906,764.0,0
249,32,19310907,764.0,0
250,32,19310908,764.0,0
251,32,19310909,762.0,0
252,32,19310910,764.0,0
253,32,19310911,763.0,0
254,32,19310912,766.0,0
255,32,19310913,765.0,0
256,32,19310914,766.0,0
257,32,19310915,768.0,0
258,32,19310916,767.0,0
259,32,19310917,764.0,0
260,32,19310918,766.0,0
261,32,19310919,763.0,0
262,32,19310920,765.0,0
263,32,19310921,765.0,0
264,32,19310922,766.0,0
265,32,19310923,766.0,0
266,32,19310924,765.0,0
267,32,19310925,763.0,0
268,32,19310926,766.0,0
269,32,19310927,764.0,0
270,32,19310928,765.0,0
271,32,19310929,763.0,0
272,32,19310930,765.0,0
273,32,19311001,766.0,0
274,32,19311002,764.0,0
275,32,19311003,765.0,0
276,32,19311004,766.0,0
277,32,19311005,766.0,0
278,32,19311006,765.0,0
279,32,19311007,765.0,0
280,32,19311008,764.0,0
281,32,19311009,764.0,0
282,32,19311010,764.0,0
283,32,19311011,765.0,0
284,32,19311012,764.0,0
285,32,19311013,763.0,0
286,32,19311014,764.0,0
287,32,19311015,764.0,0
288,32,19311016,764.0,0
289,32,19311017,764.0,0
290,32,19311018,764.0,0
291,32,19311019,765.0,0
292,32,19311020,765.5,0
293,32,19311021,765.0,0
294,32,19311022,765.0,0
295,32,19311023,765.0,0
296,32,19311024,765.0,0
297,32,19311025,764.0,0
298,32,19311026,764.0,0
299,32,19311027,763.5,0
300,32,19311028,764.0,0
301,32,19311029,764.0,0
302,32,19311030,764.0,0
303,32,19311031,764.0,0
304,32,19311101,764.0,0
305,32,19311102,765.5,0
306,32,19311103,764.0,0
307,32,19311104,765.0,0
308,32,19311105,764.0,0
309,32,19311106,763.5,0
310,32,19311107,764.0,0
311,32,19311108,763.0,0
312,32,19311109,762.0,0
313,32,19311110,762.5,0
314,32,19311111,763.0,0
315,32,19311112,762.5,0
316,32,19311113,763.0,0
317,32,19311114,763.0,0
318,32,19311115,763.5,0
319,32,19311116,763.5,0
320,32,19311117,763.5,0
321,32,19311118,762.5,0
322,32,19311119,762.5,0
323,32,19311120,763.0,0
324,32,19311121,762.5,0
325,32,19311122,763.0,0
326,32,19311123,763.5,0
327,32,19311124,762.5,0
328,32,19311125,763.0,0
329,32,19311126,764.0,0
330,32,19311127,765.0,0
