,Stn,Datum,P,qP
0,32,19340101,764.5,0
1,32,19340102,764.5,0
2,32,19340103,765.0,0
3,32,19340104,765.5,0
4,32,19340105,766.0,0
5,32,19340106,765.5,0
6,32,19340107,765.5,0
7,32,19340108,765.5,0
8,32,19340109,765.5,0
9,32,19340110,765.0,0
10,32,19340111,766.0,0
11,32,19340112,766.0,0
12,32,19340113,764.5,0
13,32,19340114,766.0,0
14,32,19340115,765.0,0
15,32,19340116,764.5,0
16,32,19340117,766.0,0
17,32,19340118,767.0,0
18,32,19340119,765.0,0
19,32,19340120,764.5,0
20,32,19340121,765.5,0
21,32,19340122,765.5,0
22,32,19340123,766.0,0
23,32,19340124,766.0,0
24,32,19340125,766.0,0
25,32,19340126,767.5,0
26,32,19340127,767.5,0
27,32,19340128,766.0,0
28,32,19340129,766.0,0
29,32,19340130,766.5,0
30,32,19340131,766.0,0
31,32,19340201,767.0,0
32,32,19340202,766.5,0
33,32,19340203,766.0,0
34,32,19340204,766.0,0
35,32,19340205,767.0,0
36,32,19340206,767.0,0
37,32,19340207,767.5,0
38,32,19340208,768.0,0
39,32,19340209,767.5,0
40,32,19340210,767.0,0
41,32,19340211,767.0,0
42,32,19340212,767.0,0
43,32,19340213,767.5,0
44,32,19340214,768.0,0
45,32,19340215,767.5,0
46,32,19340216,766.5,0
47,32,19340217,765.5,0
48,32,19340218,766.5,0
49,32,19340219,766.5,0
50,32,19340220,767.0,0
51,32,19340221,767.5,0
52,32,19340222,767.0,0
53,32,19340223,768.5,0
54,32,19340224,767.0,0
55,32,19340225,768.5,0
56,32,19340226,768.5,0
57,32,19340227,769.5,0
58,32,19340228,769.0,0
59,32,19340301,768.5,0
60,32,19340302,768.5,0
61,32,19340303,768.0,0
62,32,19340304,768.0,0
63,32,19340305,768.0,0
64,32,19340306,768.0,0
65,32,19340307,768.5,0
66,32,19340308,768.0,0
67,32,19340309,767.5,0
68,32,19340310,765.5,0
69,32,19340311,767.5,0
70,32,19340312,766.0,0
71,32,19340313,766.0,0
72,32,19340314,765.0,0
73,32,19340315,765.5,0
74,32,19340316,768.0,0
75,32,19340317,768.0,0
76,32,19340318,766.0,0
77,32,19340319,766.0,0
78,32,19340320,766.0,0
