,Stn,Datum,P,qP
0,32,19360101,760,0
1,32,19360102,761,0
2,32,19360103,760.5,0
3,32,19360104,760,0
4,32,19360105,761.5,0
5,32,19360106,760,0
6,32,19360107,761,0
7,32,19360108,760,0
8,32,19360109,760.5,0
9,32,19360110,760.5,0
10,32,19360111,761.5,0
11,32,19360112,761.5,0
12,32,19360113,760.5,0
13,32,19360114,760,0
14,32,19360115,760.5,0
15,32,19360116,760,0
16,32,19360117,760.5,0
17,32,19360118,759.5,0
18,32,19360119,759.5,0
19,32,19360120,760,0
20,32,19360121,761,0
21,32,19360122,758.5,0
22,32,19360123,759,0
23,32,19360124,759,0
24,32,19360125,760,0
25,32,19360126,760,0
26,32,19360127,759.5,0
27,32,19360128,760.5,0
28,32,19360129,761.5,0
29,32,19360130,760.5,0
30,32,19360131,760.5,0
31,32,19360201,760,0
32,32,19360202,760,0
33,32,19360203,760,0
34,32,19360204,759.5,0
35,32,19360205,760.5,0
36,32,19360206,761,0
37,32,19360207,760.5,0
38,32,19360208,762.5,0
39,32,19360209,763,0
40,32,19360210,762.5,0
41,32,19360211,763,0
42,32,19360212,762.5,0
43,32,19360213,762.5,0
44,32,19360214,762,0
45,32,19360215,760.5,0
46,32,19360216,760,0
47,32,19360217,761.5,0
48,32,19360218,760,0
49,32,19360219,762,0
50,32,19360220,762.5,0
51,32,19360221,762.5,0
52,32,19360222,763,0
53,32,19360223,763,0
54,32,19360224,763,0
55,32,19360225,762,0
56,32,19360226,762,0
57,32,19360227,761,0
58,32,19360228,762,0
59,32,19360229,762,0
60,32,19360301,762,0
61,32,19360302,760,0
62,32,19360303,760.5,0
63,32,19360304,760,0
64,32,19360305,760.5,0
65,32,19360306,760,0
66,32,19360307,762.5,0
67,32,19360308,760,0
68,32,19360309,760.5,0
69,32,19360310,761,0
70,32,19360311,760,0
71,32,19360312,763,0
72,32,19360313,762.5,0
73,32,19360314,762,0
74,32,19360315,760,0
75,32,19360316,760,0
76,32,19360317,759,0
77,32,19360318,759,0
78,32,19360319,759,0
79,32,19360320,759,0
80,32,19360321,759,0
81,32,19360322,759,0
82,32,19360323,759,0
83,32,19360324,759,0
84,32,19360325,759,0
85,32,19360326,759,0
86,32,19360327,759,0
87,32,19360328,—,7
88,32,19360329,—,7
89,32,19360330,—,7
90,32,19360331,—,7
91,32,19360401,—,7
92,32,19360402,—,7
93,32,19360403,—,7
94,32,19360404,—,7
95,32,19360405,—,7
96,32,19360406,—,7
97,32,19360407,—,7
98,32,19360408,—,7
99,32,19360409,—,7
100,32,19360410,—,7
101,32,19360411,—,7
