,Stn,Datum,P,qP
0,32,19300101,765.0,0
1,32,19300102,766.0,0
2,32,19300103,764.5,0
3,32,19300104,766.0,0
4,32,19300105,766.5,0
5,32,19300106,766.5,0
6,32,19300107,765.0,0
7,32,19300108,765.0,0
8,32,19300109,766.0,0
9,32,19300110,766.5,0
10,32,19300111,766.0,0
11,32,19300112,767.0,0
12,32,19300113,764.5,0
13,32,19300114,765.0,0
14,32,19300115,765.0,0
15,32,19300116,766.0,0
16,32,19300117,766.5,0
17,32,19300118,766.5,0
18,32,19300119,766.5,0
19,32,19300120,765.0,0
20,32,19300121,767.0,0
21,32,19300122,765.5,0
22,32,19300123,765.5,0
23,32,19300124,766.0,0
24,32,19300125,766.5,0
25,32,19300126,767.5,0
26,32,19300127,766.0,0
27,32,19300128,766.0,0
28,32,19300129,765.0,0
29,32,19300130,765.5,0
30,32,19300131,765.0,0
31,32,19300201,764.5,0
32,32,19300202,766.0,0
33,32,19300203,767.0,0
34,32,19300204,767.5,0
35,32,19300205,766.0,0
36,32,19300206,766.0,0
37,32,19300207,765.0,0
38,32,19300208,765.0,0
39,32,19300209,765.5,0
40,32,19300210,766.5,0
41,32,19300211,767.0,0
42,32,19300212,767.0,0
43,32,19300213,766.0,0
44,32,19300214,766.5,0
45,32,19300215,767.5,0
46,32,19300216,765.0,0
47,32,19300217,765.5,0
48,32,19300218,765.5,0
49,32,19300219,766.0,0
50,32,19300220,767.0,0
51,32,19300221,764.5,0
52,32,19300222,766.0,0
53,32,19300223,766.0,0
54,32,19300224,766.5,0
55,32,19300225,765.0,0
56,32,19300226,767.0,0
57,32,19300227,766.0,0
58,32,19300228,767.0,0
59,32,19300301,765.0,0
60,32,19300302,766.0,0
61,32,19300303,766.0,0
62,32,19300304,765.0,0
63,32,19300305,765.5,0
64,32,19300306,764.0,0
65,32,19300307,766.0,0
66,32,19300308,765.0,0
67,32,19300309,766.0,0
68,32,19300310,766.5,0
69,32,19300311,765.0,0
70,32,19300312,765.0,0
71,32,19300313,764.5,0
72,32,19300314,765.0,0
73,32,19300315,765.5,0
74,32,19300316,766.0,0
75,32,19300317,766.0,0
76,32,19300318,767.0,0
77,32,19300319,766.0,0
78,32,19300320,765.0,0
79,32,19300321,765.0,0
80,32,19300322,764.5,0
81,32,19300323,765.5,0
82,32,19300324,764.5,0
83,32,19300325,764.0,0
84,32,19300326,765.0,0
85,32,19300327,767.0,0
86,32,19300328,767.0,0
87,32,19300329,765.0,0
88,32,19300330,765.5,0
89,32,19300331,767.5,0
90,32,19300401,766.0,0
91,32,19300402,767.0,0
92,32,19300403,766.0,0
93,32,19300404,765.5,0
94,32,19300405,765.5,0
95,32,19300406,765.0,0
96,32,19300407,765.0,0
97,32,19300408,766.0,0
98,32,19300409,764.0,0
99,32,19300410,764.5,0
100,32,19300411,766.0,0
101,32,19300412,766.5,0
102,32,19300413,766.0,0
103,32,19300414,765.0,0
104,32,19300415,765.0,0
105,32,19300416,764.5,0
106,32,19300417,764.0,0
107,32,19300418,765.0,0
108,32,19300419,765.5,0
109,32,19300420,765.0,0
110,32,19300421,766.0,0
111,32,19300422,766.0,0
112,32,19300423,766.5,0
113,32,19300424,765.0,0
114,32,19300425,764.0,0
115,32,19300426,764.5,0
116,32,19300427,766.0,0
117,32,19300428,767.0,0
118,32,19300429,766.5,0
