,Stn,Datum,Tijd,P,qP,T,qT,Tn,qTn,Tx,qTx,U,qU,Ed,qEd,Tw,qTw,D,qD,F,qF,N,qN
0,32,19380101,7.0,—,7,26.5,0,—,7,—,7,80,0,20.6,0,24,0,65,0,3.8,0,—,7
1,32,19380101,12.0,—,7,29.3,0,—,7,—,7,—,7,—,7,27,0,65,0,5,0,—,7
2,32,19380101,17.0,—,7,27.9,0,—,7,—,7,87,0,24.2,0,26.2,0,65,0,3.8,0,—,7
3,32,19380101,24.0,—,7,—,7,25,0,28.5,0,—,7,—,7,—,7,—,7,—,7,—,7
4,32,19380102,7.0,—,7,25.3,0,—,7,—,7,91,0,21.8,0,24.2,0,65,0,3.4,0,—,7
5,32,19380102,12.0,—,7,29.7,0,—,7,—,7,—,7,—,7,28.6,0,90,0,4.2,0,—,7
6,32,19380102,17.0,—,7,27.7,0,—,7,—,7,90,0,24.8,0,26.4,0,90,0,3.4,0,—,7
7,32,19380102,24.0,—,7,—,7,25.5,0,29,0,—,7,—,7,—,7,—,7,—,7,—,7
8,32,19380103,7.0,—,7,25.1,0,—,7,—,7,89,0,21.1,0,23.8,0,90,0,1.8,0,—,7
9,32,19380103,12.0,—,7,29.5,0,—,7,—,7,—,7,—,7,27.1,0,90,0,3.6,0,—,7
10,32,19380103,17.0,—,7,27.7,0,—,7,—,7,90,0,24.8,0,26.4,0,65,0,3,0,—,7
11,32,19380103,24.0,—,7,—,7,25,0,31,0,—,7,—,7,—,7,—,7,—,7,—,7
12,32,19380104,7.0,—,7,25.3,0,—,7,—,7,90,0,21.4,0,24,0,65,0,3,0,—,7
13,32,19380104,12.0,—,7,27.5,0,—,7,—,7,90,0,24.5,0,26.2,0,65,0,2.9,0,—,7
14,32,19380104,17.0,—,7,25.7,0,—,7,—,7,96,0,23.5,0,25.2,0,65,0,2.8,0,—,7
15,32,19380104,24.0,—,7,—,7,24,0,29,0,—,7,—,7,—,7,—,7,—,7,—,7
16,32,19380105,7.0,—,7,25.2,0,—,7,—,7,88,0,21.1,0,23.8,0,65,0,1.8,0,—,7
17,32,19380105,12.0,—,7,28.9,0,—,7,—,7,—,7,—,7,27.4,0,65,0,3.4,0,—,7
18,32,19380105,17.0,—,7,27.7,0,—,7,—,7,89,0,24.6,0,26.3,0,65,0,2.6,0,—,7
19,32,19380105,24.0,—,7,—,7,24.5,0,30,0,—,7,—,7,—,7,—,7,—,7,—,7
20,32,19380106,7.0,—,7,24.7,0,—,7,—,7,92,0,21.4,0,23.8,0,65,0,2,0,—,7
21,32,19380106,12.0,—,7,28.5,0,—,7,—,7,85,0,24.7,0,26.6,0,65,0,3.6,0,—,7
22,32,19380106,17.0,—,7,27.1,0,—,7,—,7,80,0,21.5,0,24.6,0,65,0,3.2,0,—,7
23,32,19380106,24.0,—,7,—,7,24.5,0,29.5,0,—,7,—,7,—,7,—,7,—,7,—,7
24,32,19380107,7.0,—,7,24.8,0,—,7,—,7,88,0,20.5,0,23.4,0,65,0,2.4,0,—,7
25,32,19380107,12.0,—,7,28.4,0,—,7,—,7,85,0,24.3,0,26.4,0,65,0,3.7,0,—,7
26,32,19380107,17.0,—,7,26.9,0,—,7,—,7,83,0,21.8,0,24.7,0,65,0,3.7,0,—,7
27,32,19380107,24.0,—,7,—,7,24.5,0,30,0,—,7,—,7,—,7,—,7,—,7,—,7
28,32,19380108,7.0,—,7,25.1,0,—,7,—,7,85,0,20.2,0,23.3,0,65,0,2.2,0,—,7
29,32,19380108,12.0,—,7,28.5,0,—,7,—,7,80,0,23,0,25.8,0,65,0,3.4,0,—,7
30,32,19380108,17.0,—,7,26.5,0,—,7,—,7,86,0,22.2,0,24.8,0,65,0,2.8,0,—,7
31,32,19380108,24.0,—,7,—,7,25,0,29,0,—,7,—,7,—,7,—,7,—,7,—,7
32,32,19380109,7.0,—,7,24.7,0,—,7,—,7,96,0,22.1,0,24.2,0,90,0,1.8,0,—,7
33,32,19380109,12.0,—,7,26.7,0,—,7,—,7,93,0,24.1,0,25.8,0,65,0,2.8,0,—,7
34,32,19380109,17.0,—,7,26.5,0,—,7,—,7,88,0,22.6,0,25,0,65,0,2.8,0,—,7
35,32,19380109,24.0,—,7,—,7,23,0,27,0,—,7,—,7,—,7,—,7,—,7,—,7
36,32,19380110,7.0,—,7,24.3,0,—,7,—,7,91,0,20.7,0,23.3,0,65,0,1.4,0,—,7
37,32,19380110,12.0,—,7,25.6,0,—,7,—,7,95,0,23.2,0,25,0,65,0,—,7,—,7
38,32,19380110,17.0,—,7,26.1,0,—,7,—,7,88,0,22.1,0,24.6,0,65,0,—,7,—,7
39,32,19380110,24.0,—,7,—,7,24.5,0,28.5,0,—,7,—,7,—,7,—,7,—,7,—,7
40,32,19380111,7.0,—,7,24.5,0,—,7,—,7,84,0,19.2,0,22.6,0,65,0,1.8,0,—,7
41,32,19380111,12.0,—,7,27.6,0,—,7,—,7,79,0,21.5,0,24.8,0,65,0,3.4,0,—,7
42,32,19380111,17.0,—,7,27.1,0,—,7,—,7,83,0,22.2,0,25,0,65,0,3.2,0,—,7
43,32,19380111,24.0,—,7,—,7,23.5,0,29,0,—,7,—,7,—,7,—,7,—,7,—,7
44,32,19380112,7.0,—,7,24.9,0,—,7,—,7,81,0,18.9,0,22.6,0,65,0,2.6,0,—,7
45,32,19380112,12.0,—,7,28.7,0,—,7,—,7,84,0,24.6,0,26.6,0,65,0,3.2,0,—,7
46,32,19380112,17.0,—,7,26.5,0,—,7,—,7,99,0,25.5,0,26.4,0,65,0,3,0,—,7
47,32,19380112,24.0,—,7,—,7,25,0,29,0,—,7,—,7,—,7,—,7,—,7,—,7
48,32,19380113,7.0,—,7,24.3,0,—,7,—,7,87,0,19.5,0,22.7,0,115,0,2.2,0,—,7
49,32,19380113,12.0,—,7,29.1,0,—,7,—,7,83,0,24.8,0,26.8,0,90,0,3,0,—,7
50,32,19380113,17.0,—,7,28.1,0,—,7,—,7,84,0,23.7,0,26,0,65,0,3.4,0,—,7
51,32,19380113,24.0,—,7,—,7,24,0,29.5,0,—,7,—,7,—,7,—,7,—,7,—,7
52,32,19380114,7.0,—,7,23.1,0,—,7,—,7,96,0,20.3,0,22.7,0,90,0,2.8,0,—,7
53,32,19380114,12.0,—,7,28,0,—,7,—,7,84,0,23.5,0,25.9,0,65,0,3.6,0,—,7
