,Stn,Datum,Tijd,P,qP,T,qT,Tn,qTn,Tx,qTx,U,qU,Ed,qEd,Tw,qTw,D,qD,F,qF,N,qN
0,32,19390101,7.0,—,7,24,0,—,7,—,7,85,0,18.8,0,22.2,0,65,0,2.6,0,4,0
1,32,19390101,12.0,—,7,25.7,0,—,7,—,7,85,0,20.9,0,23.8,0,65,0,3.4,0,5,0
2,32,19390101,17.0,—,7,26.1,0,—,7,—,7,80,0,20.1,0,23.6,0,65,0,2.2,0,5,0
3,32,19390101,24.0,—,7,—,7,27.2,0,29.8,0,—,7,—,7,—,7,—,7,—,7,—,7
4,32,19390102,7.0,—,7,24.5,0,—,7,—,7,81,0,18.5,0,22.2,0,65,0,2.6,0,3,0
5,32,19390102,12.0,—,7,27.7,0,—,7,—,7,70,0,19.1,0,23.6,0,65,0,3.2,0,4,0
6,32,19390102,17.0,—,7,26.9,0,—,7,—,7,72,0,18.9,0,23.2,0,65,0,2.6,0,3,0
7,32,19390102,24.0,—,7,—,7,24.5,0,30.2,0,—,7,—,7,—,7,—,7,—,7,—,7
8,32,19390103,7.0,—,7,23.5,0,—,7,—,7,87,0,18.7,0,22,0,65,0,1.8,0,4,0
9,32,19390103,12.0,—,7,26.3,0,—,7,—,7,72,0,18.2,0,22.6,0,65,0,4.2,0,4,0
10,32,19390103,17.0,—,7,26.7,0,—,7,—,7,73,0,19,0,23.2,0,65,0,1.8,0,6,0
11,32,19390103,24.0,—,7,—,7,23.5,0,29.2,0,—,7,—,7,—,7,—,7,—,7,—,7
12,32,19390104,7.0,—,7,24.4,0,—,7,—,7,83,0,18.9,0,22.4,0,65,0,2.2,0,3,0
13,32,19390104,12.0,—,7,26.5,0,—,7,—,7,77,0,19.9,0,23.6,0,65,0,3.6,0,6,0
14,32,19390104,17.0,—,7,27.3,0,—,7,—,7,70,0,19,0,23.4,0,65,0,2.4,0,2,0
15,32,19390104,24.0,—,7,—,7,25.3,0,30.5,0,—,7,—,7,—,7,—,7,—,7,—,7
16,32,19390105,7.0,—,7,24.3,0,—,7,—,7,86,0,19.3,0,22.6,0,45,0,2.2,0,5,0
17,32,19390105,12.0,—,7,27.1,0,—,7,—,7,76,0,20.3,0,24,0,45,0,3,0,6,0
18,32,19390105,17.0,—,7,27.1,0,—,7,—,7,66,0,17.6,0,22.6,0,45,0,2.4,0,1,0
19,32,19390105,24.0,—,7,—,7,24.2,0,29,0,—,7,—,7,—,7,—,7,—,7,—,7
20,32,19390106,7.0,—,7,23.5,0,—,7,—,7,84,0,18,0,21.6,0,65,0,2,0,1,0
21,32,19390106,12.0,—,7,27.9,0,—,7,—,7,73,0,18.2,0,23,0,65,0,2.4,0,3,0
22,32,19390106,17.0,—,7,26.1,0,—,7,—,7,64,0,17.9,0,22.6,0,65,0,3.4,0,5,0
23,32,19390106,24.0,—,7,—,7,24,0,30.1,0,—,7,—,7,—,7,—,7,—,7,—,7
24,32,19390107,7.0,—,7,22.9,0,—,7,—,7,86,0,17.7,0,21.2,0,65,0,1.8,0,2,0
25,32,19390107,12.0,—,7,27.9,0,—,7,—,7,66,0,18.2,0,23.2,0,65,0,3.2,0,5,0
26,32,19390107,17.0,—,7,27,0,—,7,—,7,66,0,17.3,0,22.4,0,65,0,2.6,0,4,0
27,32,19390107,24.0,—,7,—,7,24.2,0,29.6,0,—,7,—,7,—,7,—,7,—,7,—,7
28,32,19390108,7.0,—,7,24.3,0,—,7,—,7,83,0,18.6,0,22.2,0,45,0,2.4,0,4,0
29,32,19390108,12.0,—,7,27.4,0,—,7,—,7,68,0,18.5,0,23.2,0,45,0,3,0,6,0
30,32,19390108,17.0,—,7,26.9,0,—,7,—,7,64,0,16.6,0,22,0,45,0,2.8,0,6,0
31,32,19390108,24.0,—,7,—,7,24,0,29.3,0,—,7,—,7,—,7,—,7,—,7,—,7
32,32,19390109,7.0,—,7,23.8,0,—,7,—,7,83,0,18.2,0,21.8,0,45,0,1.8,0,4,0
33,32,19390109,12.0,—,7,27.5,0,—,7,—,7,69,0,18.9,0,23.4,0,45,0,3,0,3,0
34,32,19390109,17.0,—,7,26.9,0,—,7,—,7,79,0,20.8,0,24.2,0,45,0,2.4,0,2,0
35,32,19390109,24.0,—,7,—,7,24.6,0,29.6,0,—,7,—,7,—,7,—,7,—,7,—,7
