,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
0,18990101.0,620.0,605.0,609.0,239.0,,239.0,262.0,,262.0,246.0,,246.0,286.0,225.0,201.0,220.0,210.0,91.0,87.0,92.0,ENE,2.0,NE,6.0,N,4.0,9.0,9.0,10.0,127.0,,
1,18990102.0,625.0,608.0,615.0,241.0,,241.0,275.0,,275.0,248.0,,248.0,291.0,227.0,212.0,224.0,205.0,95.0,82.0,88.0,ESE,2.0,NE,5.0,N,4.0,9.0,9.0,10.0,93.0,,
2,18990103.0,619.0,604.0,609.0,245.0,,245.0,272.0,,272.0,245.0,,245.0,295.0,225.0,207.0,230.0,219.0,91.0,86.0,96.0,NE,6.0,ENE,7.0,NE,2.0,8.0,9.0,10.0,259.0,,
3,18990104.0,616.0,605.0,601.0,246.0,,246.0,247.0,,247.0,245.0,,245.0,287.0,234.0,209.0,214.0,213.0,91.0,92.0,93.0,E,1.0,SE,1.0,NNW,2.0,9.0,10.0,3.0,177.0,,
4,18990105.0,605.0,596.0,598.0,220.0,,220.0,267.0,,267.0,249.0,,249.0,281.0,198.0,193.0,211.0,207.0,98.0,81.0,88.0,SE,1.0,NE,5.0,NNE,4.0,7.0,9.0,4.0,40.0,,
5,18990106.0,617.0,606.0,607.0,235.0,,235.0,283.0,,283.0,244.0,,244.0,289.0,218.0,199.0,207.0,206.0,92.0,72.0,91.0,NE,1.0,ENE,6.0,NE,4.0,9.0,9.0,3.0,15.0,,
6,18990107.0,627.0,617.0,616.0,238.0,,238.0,275.0,,275.0,245.0,,245.0,283.0,210.0,198.0,206.0,229.0,90.0,76.0,100.0,NE,3.0,ENE,5.0,N,1.0,9.0,10.0,10.0,27.0,,
7,18990108.0,618.0,608.0,605.0,229.0,,229.0,238.0,,238.0,232.0,,232.0,275.0,218.0,202.0,212.0,202.0,97.0,97.0,96.0,,0.0,SE,4.0,NE,3.0,9.0,10.0,10.0,353.0,,
8,18990109.0,619.0,599.0,605.0,236.0,,236.0,293.0,,293.0,258.0,,258.0,296.0,224.0,207.0,195.0,209.0,96.0,64.0,85.0,SE,2.0,ESE,3.0,NE,6.0,10.0,5.0,10.0,1.0,,
