,Stn,Datum,Tijd,P,qP
0,73,19440101,8.0,761,0
1,73,19440101,12.0,761,0
2,73,19440101,16.0,760,0
3,73,19440102,8.0,762,0
4,73,19440102,12.0,762,0
5,73,19440102,16.0,761,0
6,73,19440103,8.0,764,0
7,73,19440103,12.0,762,0
8,73,19440103,16.0,761,0
9,73,19440104,8.0,762,0
10,73,19440104,12.0,762,0
11,73,19440104,16.0,760,0
12,73,19440105,8.0,760,0
13,73,19440105,12.0,760,0
14,73,19440105,16.0,758,0
15,73,19440106,8.0,760,0
16,73,19440106,12.0,759,0
17,73,19440106,16.0,759,0
18,73,19440107,8.0,762,0
19,73,19440107,12.0,762,0
20,73,19440107,16.0,761,0
21,73,19440108,8.0,763,0
22,73,19440108,12.0,762,0
23,73,19440108,16.0,761,0
24,73,19440109,8.0,764,0
25,73,19440109,12.0,763,0
26,73,19440109,16.0,762,0
27,73,19440110,8.0,765,0
28,73,19440110,12.0,763,0
29,73,19440110,16.0,763,0
30,73,19440111,8.0,764,0
31,73,19440111,12.0,764,0
32,73,19440111,16.0,764,0
33,73,19440112,8.0,765,0
34,73,19440112,12.0,765,0
35,73,19440112,16.0,764,0
36,73,19440113,8.0,765,0
37,73,19440113,12.0,765,0
38,73,19440113,16.0,764,0
39,73,19440114,8.0,766,0
40,73,19440114,12.0,765,0
41,73,19440114,16.0,764,0
42,73,19440115,8.0,764,0
43,73,19440115,12.0,764,0
44,73,19440115,16.0,764,0
45,73,19440116,8.0,765,0
46,73,19440116,12.0,764,0
47,73,19440116,16.0,763,0
48,73,19440117,8.0,765,0
49,73,19440117,12.0,765,0
50,73,19440117,16.0,764,0
51,73,19440118,8.0,764,0
52,73,19440118,12.0,764,0
53,73,19440118,16.0,763,0
54,73,19440119,8.0,763,0
55,73,19440119,12.0,763,0
56,73,19440119,16.0,763,0
57,73,19440120,8.0,764,0
58,73,19440120,12.0,763,0
59,73,19440120,16.0,761,0
60,73,19440121,8.0,765,0
61,73,19440121,12.0,764,0
62,73,19440121,16.0,763,0
63,73,19440122,8.0,765,0
64,73,19440122,12.0,765,0
65,73,19440122,16.0,763,0
66,73,19440123,8.0,764,0
67,73,19440123,12.0,763,0
68,73,19440123,16.0,762,0
69,73,19440124,8.0,763,0
70,73,19440124,12.0,762,0
71,73,19440124,16.0,761,0
72,73,19440125,8.0,762,0
73,73,19440125,12.0,762,0
74,73,19440125,16.0,762,0
75,73,19440126,8.0,762,0
76,73,19440126,12.0,762,0
77,73,19440126,16.0,761,0
78,73,19440127,8.0,763,0
79,73,19440127,12.0,763,0
80,73,19440127,16.0,761,0
81,73,19440128,8.0,762,0
82,73,19440128,12.0,762,0
