,Stn,Datum,Niveau,Rd,qRd
227,73,19450816,1,0,0
228,73,19450817,1,0,0
229,73,19450818,1,0,0
230,73,19450819,1,128,0
231,73,19450820,1,14,0
232,73,19450821,1,0,0
233,73,19450822,1,0,0
234,73,19450823,1,0,0
235,73,19450824,1,0,0
236,73,19450825,1,0,0
237,73,19450826,1,0,0
238,73,19450827,1,116,0
239,73,19450828,1,0,0
240,73,19450829,1,0,0
241,73,19450830,1,0,0
242,73,19450831,1,0,0
243,73,19450901,1,0,0
244,73,19450902,1,0,0
245,73,19450903,1,0,0
246,73,19450904,1,52,0
247,73,19450905,1,48,0
248,73,19450906,1,10,0
249,73,19450907,1,0,0
250,73,19450908,1,0,0
251,73,19450909,1,0,0
252,73,19450910,1,0,0
253,73,19450911,1,0,0
254,73,19450912,1,153,0
255,73,19450913,1,0,0
256,73,19450914,1,59,0
257,73,19450915,1,113,0
258,73,19450916,1,265,0
259,73,19450917,1,270,0
260,73,19450918,1,0,0
261,73,19450919,1,0,0
262,73,19450920,1,78,0
263,73,19450921,1,225,0
264,73,19450922,1,0,0
265,73,19450923,1,198,0
266,73,19450924,1,0,0
267,73,19450925,1,0,0
268,73,19450926,1,108,0
269,73,19450927,1,28,0
270,73,19450928,1,0,0
271,73,19450929,1,0,0
272,73,19450930,1,0,0
273,73,19451001,1,0,0
274,73,19451002,1,63,0
275,73,19451003,1,151,0
276,73,19451004,1,18,0
277,73,19451005,1,614,0
278,73,19451006,1,0,0
279,73,19451007,1,0,0
280,73,19451008,1,27,0
281,73,19451009,1,0,0
282,73,19451010,1,0,0
283,73,19451011,1,32,0
284,73,19451012,1,0,0
285,73,19451013,1,0,0
286,73,19451014,1,0,0
287,73,19451015,1,0,0
288,73,19451016,1,0,0
289,73,19451017,1,41,0
290,73,19451018,1,38,0
291,73,19451019,1,0,0
292,73,19451020,1,0,0
293,73,19451021,1,32,0
294,73,19451022,1,0,0
295,73,19451023,1,0,0
296,73,19451024,1,0,0
297,73,19451025,1,16,0
298,73,19451026,1,121,0
299,73,19451027,1,0,0
300,73,19451028,1,72,0
301,73,19451029,1,0,0
302,73,19451030,1,0,0
303,73,19451031,1,72,0
304,73,19451101,1,6,0
305,73,19451102,1,0,0
306,73,19451103,1,657,0
307,73,19451104,1,340,0
308,73,19451105,1,15,0
309,73,19451106,1,60,0
310,73,19451107,1,65,0
311,73,19451108,1,0,0
312,73,19451109,1,0,0
313,73,19451110,1,0,0
314,73,19451111,1,0,0
315,73,19451112,1,0,0
316,73,19451113,1,0,0
317,73,19451114,1,0,0
318,73,19451115,1,0,0
319,73,19451116,1,14,0
320,73,19451117,1,0,0
321,73,19451118,1,136,0
322,73,19451119,1,65,0
323,73,19451120,1,0,0
324,73,19451121,1,0,0
325,73,19451122,1,0,0
326,73,19451123,1,0,0
327,73,19451124,1,0,0
328,73,19451125,1,0,0
329,73,19451126,1,0,0
330,73,19451127,1,0,0
331,73,19451128,1,0,0
332,73,19451129,1,0,0
333,73,19451130,1,111,0
334,73,19451201,1,12,0
335,73,19451202,1,0,0
336,73,19451203,1,0,0
337,73,19451204,1,0,0
