,Stn,Datum,Tijd,P,qP
0,73,19460101,8.0,—,7
1,73,19460101,12.0,—,7
2,73,19460101,16.0,—,7
3,73,19460102,8.0,—,7
4,73,19460102,12.0,—,7
5,73,19460102,16.0,—,7
6,73,19460103,8.0,—,7
7,73,19460103,12.0,—,7
8,73,19460103,16.0,—,7
9,73,19460104,8.0,—,7
10,73,19460104,12.0,—,7
11,73,19460104,16.0,—,7
12,73,19460105,8.0,—,7
13,73,19460105,12.0,—,7
14,73,19460105,16.0,—,7
15,73,19460106,8.0,—,7
16,73,19460106,12.0,—,7
17,73,19460106,16.0,—,7
18,73,19460107,8.0,—,7
19,73,19460107,12.0,—,7
20,73,19460107,16.0,—,7
21,73,19460108,8.0,—,7
22,73,19460108,12.0,—,7
23,73,19460108,16.0,—,7
24,73,19460109,8.0,—,7
25,73,19460109,12.0,—,7
26,73,19460109,16.0,—,7
27,73,19460110,8.0,—,7
28,73,19460110,12.0,—,7
29,73,19460110,16.0,—,7
30,73,19460111,8.0,—,7
31,73,19460111,12.0,—,7
32,73,19460111,16.0,—,7
33,73,19460112,8.0,—,7
34,73,19460112,12.0,—,7
35,73,19460112,16.0,—,7
36,73,19460113,8.0,—,7
37,73,19460113,12.0,—,7
38,73,19460113,16.0,—,7
39,73,19460114,8.0,—,7
40,73,19460114,12.0,—,7
41,73,19460114,16.0,—,7
42,73,19460115,8.0,—,7
43,73,19460115,12.0,—,7
44,73,19460115,16.0,—,7
45,73,19460116,8.0,—,7
46,73,19460116,12.0,—,7
47,73,19460116,16.0,—,7
48,73,19460117,8.0,—,7
49,73,19460117,12.0,—,7
50,73,19460117,16.0,—,7
51,73,19460118,8.0,—,7
52,73,19460118,12.0,—,7
53,73,19460118,16.0,—,7
54,73,19460119,8.0,—,7
55,73,19460119,12.0,—,7
56,73,19460119,16.0,—,7
57,73,19460120,8.0,—,7
58,73,19460120,12.0,—,7
59,73,19460120,16.0,—,7
60,73,19460121,8.0,—,7
61,73,19460121,12.0,—,7
62,73,19460121,16.0,—,7
63,73,19460122,8.0,—,7
64,73,19460122,12.0,—,7
65,73,19460122,16.0,—,7
66,73,19460123,8.0,—,7
67,73,19460123,12.0,—,7
68,73,19460123,16.0,—,7
69,73,19460124,8.0,—,7
70,73,19460124,12.0,—,7
71,73,19460124,16.0,—,7
72,73,19460125,8.0,—,7
73,73,19460125,12.0,—,7
74,73,19460125,16.0,—,7
75,73,19460126,8.0,—,7
76,73,19460126,12.0,—,7
77,73,19460126,16.0,—,7
78,73,19460127,8.0,—,7
79,73,19460127,12.0,—,7
80,73,19460127,16.0,—,7
81,73,19460128,8.0,—,7
82,73,19460128,12.0,—,7
83,73,19460128,16.0,—,7
84,73,19460129,8.0,—,7
85,73,19460129,12.0,—,7
86,73,19460129,16.0,—,7
87,73,19460130,8.0,—,7
88,73,19460130,12.0,—,7
89,73,19460130,16.0,—,7
90,73,19460131,8.0,—,7
91,73,19460131,12.0,—,7
92,73,19460131,16.0,—,7
93,73,19460201,8.0,—,7
94,73,19460201,12.0,—,7
95,73,19460201,16.0,—,7
96,73,19460202,8.0,—,7
97,73,19460202,12.0,—,7
98,73,19460202,16.0,—,7
99,73,19460203,8.0,—,7
100,73,19460203,12.0,—,7
101,73,19460203,16.0,—,7
102,73,19460204,8.0,—,7
103,73,19460204,12.0,—,7
104,73,19460204,16.0,—,7
105,73,19460205,8.0,—,7
106,73,19460205,12.0,—,7
107,73,19460205,16.0,—,7
108,73,19460206,8.0,—,7
109,73,19460206,12.0,—,7
110,73,19460206,16.0,—,7
111,73,19460207,8.0,—,7
112,73,19460207,12.0,—,7
113,73,19460207,16.0,—,7
114,73,19460208,8.0,—,7
115,73,19460208,12.0,—,7
116,73,19460208,16.0,—,7
117,73,19460209,8.0,—,7
118,73,19460209,12.0,—,7
119,73,19460209,16.0,—,7
120,73,19460210,8.0,—,7
121,73,19460210,12.0,—,7
122,73,19460210,16.0,—,7
123,73,19460211,8.0,—,7
124,73,19460211,12.0,—,7
125,73,19460211,16.0,—,7
126,73,19460212,8.0,—,7
127,73,19460212,12.0,—,7
128,73,19460212,16.0,—,7
129,73,19460213,8.0,—,7
130,73,19460213,12.0,—,7
131,73,19460213,16.0,—,7
132,73,19460214,8.0,—,7
133,73,19460214,12.0,—,7
134,73,19460214,16.0,—,7
135,73,19460215,8.0,—,7
136,73,19460215,12.0,—,7
137,73,19460215,16.0,—,7
138,73,19460216,8.0,—,7
139,73,19460216,12.0,—,7
140,73,19460216,16.0,—,7
141,73,19460217,8.0,—,7
142,73,19460217,12.0,—,7
143,73,19460217,16.0,—,7
144,73,19460218,8.0,—,7
145,73,19460218,12.0,—,7
146,73,19460218,16.0,—,7
147,73,19460219,8.0,—,7
148,73,19460219,12.0,—,7
149,73,19460219,16.0,—,7
150,73,19460220,8.0,—,7
151,73,19460220,12.0,—,7
152,73,19460220,16.0,—,7
153,73,19460221,8.0,—,7
154,73,19460221,12.0,—,7
155,73,19460221,16.0,—,7
156,73,19460222,8.0,—,7
157,73,19460222,12.0,—,7
158,73,19460222,16.0,—,7
159,73,19460223,8.0,—,7
