,Stn,Datum,Tijd,P,qP
173,73,19430227,16.0,761,0
174,73,19430228,8.0,762,0
175,73,19430228,12.0,761,0
176,73,19430228,16.0,761,0
177,73,19430301,8.0,763,0
178,73,19430301,12.0,763,0
179,73,19430301,16.0,762,0
180,73,19430302,8.0,764,0
181,73,19430302,12.0,764,0
182,73,19430302,16.0,762,0
183,73,19430303,8.0,763,0
184,73,19430303,12.0,762,0
185,73,19430303,16.0,761,0
186,73,19430304,8.0,762,0
187,73,19430304,12.0,764,0
188,73,19430304,16.0,762,0
189,73,19430305,8.0,763,0
190,73,19430305,12.0,763,0
191,73,19430305,16.0,762,0
192,73,19430306,8.0,762,0
193,73,19430306,12.0,763,0
194,73,19430306,16.0,761,0
195,73,19430307,8.0,762,0
196,73,19430307,12.0,762,0
197,73,19430307,16.0,761,0
198,73,19430308,8.0,762,0
199,73,19430308,12.0,762,0
200,73,19430308,16.0,761,0
201,73,19430309,8.0,763,0
202,73,19430309,12.0,763,0
203,73,19430309,16.0,761,0
204,73,19430310,8.0,763,0
205,73,19430310,12.0,763,0
206,73,19430310,16.0,762,0
207,73,19430311,8.0,762,0
208,73,19430311,12.0,762,0
209,73,19430311,16.0,761,0
210,73,19430312,8.0,761,0
211,73,19430312,12.0,761,0
212,73,19430312,16.0,760,0
213,73,19430313,8.0,762,0
214,73,19430313,12.0,764,0
215,73,19430313,16.0,763,0
216,73,19430314,8.0,765,0
217,73,19430314,12.0,765,0
218,73,19430314,16.0,764,0
219,73,19430315,8.0,764,0
220,73,19430315,12.0,763,0
221,73,19430315,16.0,762,0
222,73,19430316,8.0,763,0
223,73,19430316,12.0,763,0
224,73,19430316,16.0,762,0
225,73,19430317,8.0,763,0
226,73,19430317,12.0,764,0
227,73,19430317,16.0,763,0
228,73,19430318,8.0,764,0
229,73,19430318,12.0,765,0
230,73,19430318,16.0,764,0
231,73,19430319,8.0,765,0
232,73,19430319,12.0,765,0
233,73,19430319,16.0,764,0
234,73,19430320,8.0,764,0
235,73,19430320,12.0,764,0
236,73,19430320,16.0,762,0
237,73,19430321,8.0,763,0
238,73,19430321,12.0,763,0
239,73,19430321,16.0,762,0
240,73,19430322,8.0,763,0
241,73,19430322,12.0,762,0
242,73,19430322,16.0,760,0
243,73,19430323,8.0,761,0
244,73,19430323,12.0,761,0
245,73,19430323,16.0,760,0
246,73,19430324,8.0,762,0
247,73,19430324,12.0,762,0
248,73,19430324,16.0,760,0
249,73,19430325,8.0,763,0
250,73,19430325,12.0,762,0
251,73,19430325,16.0,761,0
252,73,19430326,8.0,762,0
253,73,19430326,12.0,762,0
254,73,19430326,16.0,761,0
255,73,19430327,8.0,762,0
256,73,19430327,12.0,761,0
257,73,19430327,16.0,760,0
258,73,19430328,8.0,762,0
259,73,19430328,12.0,761,0
260,73,19430328,16.0,760,0
261,73,19430329,8.0,762,0
262,73,19430329,12.0,761,0
263,73,19430329,16.0,759,0
264,73,19430330,8.0,761,0
265,73,19430330,12.0,761,0
266,73,19430330,16.0,760,0
267,73,19430331,8.0,761,0
268,73,19430331,12.0,761,0
269,73,19430331,16.0,760,0
270,73,19430401,8.0,762,0
271,73,19430401,12.0,762,0
272,73,19430401,16.0,761,0
273,73,19430402,8.0,763,0
274,73,19430402,12.0,763,0
275,73,19430402,16.0,761,0
276,73,19430403,8.0,762,0
277,73,19430403,12.0,762,0
278,73,19430403,16.0,761,0
279,73,19430404,8.0,762,0
280,73,19430404,12.0,762,0
281,73,19430404,16.0,761,0
282,73,19430405,8.0,763,0
283,73,19430405,12.0,763,0
284,73,19430405,16.0,761,0
285,73,19430406,8.0,762,0
286,73,19430406,12.0,762,0
287,73,19430406,16.0,760,0
288,73,19430407,8.0,762,0
289,73,19430407,12.0,763,0
290,73,19430407,16.0,762,0
291,73,19430408,8.0,763,0
292,73,19430408,12.0,763,0
293,73,19430408,16.0,761,0
294,73,19430409,8.0,762,0
295,73,19430409,12.0,762,0
296,73,19430409,16.0,761,0
297,73,19430410,8.0,762,0
298,73,19430410,12.0,761,0
299,73,19430410,16.0,760,0
300,73,19430411,8.0,760,0
301,73,19430411,12.0,760,0
302,73,19430411,16.0,760,0
303,73,19430412,8.0,762,0
304,73,19430412,12.0,762,0
305,73,19430412,16.0,760,0
306,73,19430413,8.0,763,0
307,73,19430413,12.0,763,0
308,73,19430413,16.0,762,0
309,73,19430414,8.0,763,0
310,73,19430414,12.0,764,0
311,73,19430414,16.0,763,0
312,73,19430415,8.0,763,0
313,73,19430415,12.0,763,0
314,73,19430415,16.0,762,0
315,73,19430416,8.0,764,0
316,73,19430416,12.0,763,0
317,73,19430416,16.0,763,0
318,73,19430417,8.0,763,0
319,73,19430417,12.0,763,0
320,73,19430417,16.0,762,0
321,73,19430418,8.0,763,0
322,73,19430418,12.0,763,0
323,73,19430418,16.0,762,0
324,73,19430419,8.0,764,0
325,73,19430419,12.0,763,0
326,73,19430419,16.0,762,0
327,73,19430420,8.0,765,0
328,73,19430420,12.0,764,0
329,73,19430420,16.0,763,0
330,73,19430421,8.0,765,0
331,73,19430421,12.0,764,0
332,73,19430421,16.0,763,0
333,73,19430422,8.0,763,0
334,73,19430422,12.0,762,0
335,73,19430422,16.0,762,0
336,73,19430423,8.0,762,0
337,73,19430423,12.0,761,0
338,73,19430423,16.0,761,0
339,73,19430424,8.0,762,0
340,73,19430424,12.0,761,0
341,73,19430424,16.0,760,0
342,73,19430425,8.0,761,0
343,73,19430425,12.0,761,0
344,73,19430425,16.0,760,0
345,73,19430426,8.0,761,0
346,73,19430426,12.0,761,0
347,73,19430426,16.0,760,0
348,73,19430427,8.0,761,0
349,73,19430427,12.0,761,0
350,73,19430427,16.0,760,0
351,73,19430428,8.0,760,0
352,73,19430428,12.0,760,0
353,73,19430428,16.0,759,0
354,73,19430429,8.0,760,0
355,73,19430429,12.0,760,0
356,73,19430429,16.0,759,0
357,73,19430430,8.0,761,0
358,73,19430430,12.0,761,0
359,73,19430430,16.0,760,0
360,73,19430501,8.0,761,0
361,73,19430501,12.0,761,0
362,73,19430501,16.0,760,0
363,73,19430502,8.0,761,0
364,73,19430502,12.0,761,0
365,73,19430502,16.0,760,0
366,73,19430503,8.0,761,0
367,73,19430503,12.0,761,0
368,73,19430503,16.0,760,0
369,73,19430504,8.0,760,0
370,73,19430504,12.0,761,0
371,73,19430504,16.0,760,0
372,73,19430505,8.0,761,0
373,73,19430505,12.0,761,0
374,73,19430505,16.0,760,0
375,73,19430506,8.0,762,0
376,73,19430506,12.0,761,0
377,73,19430506,16.0,760,0
378,73,19430507,8.0,762,0
379,73,19430507,12.0,762,0
380,73,19430507,16.0,761,0
381,73,19430508,8.0,763,0
382,73,19430508,12.0,763,0
383,73,19430508,16.0,763,0
384,73,19430509,8.0,763,0
