,Stn,Datum,Tijd,P,qP
0,73,19450101,8.0,—,7
1,73,19450101,12.0,—,7
2,73,19450101,16.0,—,7
3,73,19450102,8.0,—,7
4,73,19450102,12.0,—,7
5,73,19450102,16.0,—,7
6,73,19450103,8.0,—,7
7,73,19450103,12.0,—,7
8,73,19450103,16.0,—,7
9,73,19450104,8.0,—,7
10,73,19450104,12.0,—,7
11,73,19450104,16.0,—,7
12,73,19450105,8.0,—,7
13,73,19450105,12.0,—,7
14,73,19450105,16.0,—,7
15,73,19450106,8.0,—,7
16,73,19450106,12.0,—,7
17,73,19450106,16.0,—,7
18,73,19450107,8.0,—,7
19,73,19450107,12.0,—,7
20,73,19450107,16.0,—,7
21,73,19450108,8.0,—,7
22,73,19450108,12.0,—,7
23,73,19450108,16.0,—,7
24,73,19450109,8.0,—,7
25,73,19450109,12.0,—,7
26,73,19450109,16.0,—,7
27,73,19450110,8.0,—,7
28,73,19450110,12.0,—,7
29,73,19450110,16.0,—,7
30,73,19450111,8.0,—,7
31,73,19450111,12.0,—,7
32,73,19450111,16.0,—,7
33,73,19450112,8.0,—,7
34,73,19450112,12.0,—,7
35,73,19450112,16.0,—,7
36,73,19450113,8.0,—,7
37,73,19450113,12.0,—,7
38,73,19450113,16.0,—,7
39,73,19450114,8.0,—,7
40,73,19450114,12.0,—,7
41,73,19450114,16.0,—,7
42,73,19450115,8.0,—,7
43,73,19450115,12.0,—,7
44,73,19450115,16.0,—,7
45,73,19450116,8.0,—,7
46,73,19450116,12.0,—,7
47,73,19450116,16.0,—,7
48,73,19450117,8.0,—,7
49,73,19450117,12.0,—,7
50,73,19450117,16.0,—,7
51,73,19450118,8.0,—,7
52,73,19450118,12.0,—,7
53,73,19450118,16.0,—,7
54,73,19450119,8.0,—,7
55,73,19450119,12.0,—,7
56,73,19450119,16.0,—,7
57,73,19450120,8.0,—,7
58,73,19450120,12.0,—,7
59,73,19450120,16.0,—,7
60,73,19450121,8.0,—,7
61,73,19450121,12.0,—,7
62,73,19450121,16.0,—,7
63,73,19450122,8.0,—,7
64,73,19450122,12.0,—,7
65,73,19450122,16.0,—,7
66,73,19450123,8.0,—,7
67,73,19450123,12.0,—,7
68,73,19450123,16.0,—,7
69,73,19450124,8.0,—,7
70,73,19450124,12.0,—,7
71,73,19450124,16.0,—,7
72,73,19450125,8.0,—,7
73,73,19450125,12.0,—,7
74,73,19450125,16.0,—,7
75,73,19450126,8.0,—,7
76,73,19450126,12.0,—,7
77,73,19450126,16.0,—,7
78,73,19450127,8.0,—,7
79,73,19450127,12.0,—,7
80,73,19450127,16.0,—,7
81,73,19450128,8.0,—,7
82,73,19450128,12.0,—,7
83,73,19450128,16.0,—,7
84,73,19450129,8.0,—,7
85,73,19450129,12.0,—,7
86,73,19450129,16.0,—,7
87,73,19450130,8.0,—,7
88,73,19450130,12.0,—,7
89,73,19450130,16.0,—,7
90,73,19450131,8.0,—,7
91,73,19450131,12.0,—,7
92,73,19450131,16.0,—,7
93,73,19450201,8.0,—,7
94,73,19450201,12.0,—,7
95,73,19450201,16.0,—,7
96,73,19450202,8.0,—,7
97,73,19450202,12.0,—,7
98,73,19450202,16.0,—,7
99,73,19450203,8.0,—,7
100,73,19450203,12.0,—,7
101,73,19450203,16.0,—,7
102,73,19450204,8.0,—,7
103,73,19450204,12.0,—,7
104,73,19450204,16.0,—,7
105,73,19450205,8.0,—,7
106,73,19450205,12.0,—,7
107,73,19450205,16.0,—,7
108,73,19450206,8.0,—,7
109,73,19450206,12.0,—,7
110,73,19450206,16.0,—,7
